,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.55463700E-05,1558918952.303,+1.56998010E+00,+1.21732000E-04,+5.00168900E-03
1,-2.62469900E-05,1558918952.5661578,+1.56998390E+00,+1.21046000E-04,+5.00183200E-03
2,-2.62656800E-05,1558918952.8293157,+1.56998390E+00,+1.95706430E-02,+5.00170200E-03
3,-2.62022300E-05,1558918953.0924737,+1.56998260E+00,+1.95750260E-02,+5.00183200E-03
4,-2.63364700E-05,1558918953.3556316,+1.56998010E+00,+1.95759770E-02,+5.00149400E-03
5,-2.65922400E-05,1558918953.6187894,+1.56998260E+00,+3.91005410E-02,+5.00157200E-03
6,-2.64266200E-05,1558918953.8819473,+1.56998010E+00,+3.91027720E-02,+5.00167600E-03
7,-2.62416400E-05,1558918954.1451051,+1.56998140E+00,+3.91044350E-02,+5.00175400E-03
8,-2.60485900E-05,1558918954.4082632,+1.56997890E+00,+5.86074890E-02,+5.00172800E-03
9,-2.61440900E-05,1558918954.671421,+1.56998390E+00,+5.86143270E-02,+5.00167600E-03
10,-2.65988700E-05,1558918954.934579,+1.56998140E+00,+5.86156470E-02,+5.00168900E-03
11,-2.65601400E-05,1558918955.1977367,+1.56998010E+00,+7.82089980E-02,+5.00124600E-03
12,-2.66068900E-05,1558918955.4608948,+1.56997640E+00,+7.82119420E-02,+5.00109000E-03
13,-2.65654800E-05,1558918955.7240527,+1.56998260E+00,+7.82159420E-02,+5.00092100E-03
14,-2.65154500E-05,1558918955.9872105,+1.56998140E+00,+9.79553300E-02,+5.00050500E-03
15,-2.67471700E-05,1558918956.2503684,+1.56998010E+00,+9.79617860E-02,+5.00025800E-03
16,-2.70437000E-05,1558918956.5135262,+1.56998010E+00,+9.79663140E-02,+5.00054400E-03
17,-2.66930400E-05,1558918956.7766843,+1.56998010E+00,+9.79685320E-02,+5.00053100E-03
18,-2.65761700E-05,1558918957.0398421,+1.56998390E+00,+9.79701030E-02,+5.00019300E-03
19,-2.64292400E-05,1558918957.303,+1.56998140E+00,+9.79720300E-02,+5.00055700E-03
20,-2.68046100E-05,1558918959.52,+1.56998010E+00,+1.08556300E-01,+5.00068700E-03
21,-2.68133000E-05,1558918959.7831578,+1.56998010E+00,+1.17119410E-01,+4.99995900E-03
22,-2.66102800E-05,1558918960.0463157,+1.56998010E+00,+1.17122830E-01,+5.00014100E-03
23,-2.69435200E-05,1558918960.3094738,+1.56998510E+00,+1.34770410E-01,+5.00001100E-03
24,-2.69308200E-05,1558918960.5726316,+1.56998010E+00,+1.34916340E-01,+4.99985500E-03
25,-2.69615500E-05,1558918960.8357894,+1.56998140E+00,+1.35006680E-01,+4.99979000E-03
26,-2.69047900E-05,1558918961.0989473,+1.56998010E+00,+1.54867070E-01,+4.99984200E-03
27,-2.71892800E-05,1558918961.3621051,+1.56998260E+00,+1.54927950E-01,+4.99997200E-03
28,-2.73729400E-05,1558918961.6252632,+1.56997770E+00,+1.54967040E-01,+5.00018000E-03
29,-2.74377200E-05,1558918961.888421,+1.56998010E+00,+1.73904370E-01,+4.99945200E-03
30,-2.70363600E-05,1558918962.151579,+1.56997640E+00,+1.73963010E-01,+4.99938700E-03
31,-2.74383800E-05,1558918962.4147367,+1.56997770E+00,+1.73999070E-01,+4.99988100E-03
32,-2.75372100E-05,1558918962.6778948,+1.56998010E+00,+1.92960320E-01,+4.99986800E-03
33,-2.74063200E-05,1558918962.9410527,+1.56997640E+00,+1.93005890E-01,+4.99947800E-03
34,-2.73809500E-05,1558918963.2042105,+1.56997770E+00,+1.93036920E-01,+4.99934800E-03
35,-2.76634400E-05,1558918963.4673684,+1.56997770E+00,+1.93065190E-01,+4.99923100E-03
36,-2.76921500E-05,1558918963.7305262,+1.56998010E+00,+1.93085130E-01,+4.99955600E-03
37,-2.74390400E-05,1558918963.9936843,+1.56997640E+00,+1.93100980E-01,+4.99951700E-03
38,-2.76367200E-05,1558918964.2568421,+1.56997520E+00,+1.93110090E-01,+4.99911400E-03
39,-2.75699400E-05,1558918964.52,+1.56998140E+00,+1.93119470E-01,+4.99966000E-03
40,-2.74811200E-05,1558918966.581,+1.56997400E+00,+1.97047270E-01,+4.99980300E-03
41,-2.78798200E-05,1558918966.844158,+1.56997640E+00,+2.12959780E-01,+4.99928300E-03
