,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,-5.56146110E-03,1558943348.882,
1,-5.56279240E-03,1558943349.0903332,
2,-2.63310900E-05,1558943349.2986667,
3,-2.74009800E-05,1558943349.507,
4,-2.66516800E-05,1558943349.7153332,
5,-2.69395200E-05,1558943349.9236667,
6,-2.68854300E-05,1558943350.132,
7,-2.70770800E-05,1558943350.3403332,
8,-2.70209800E-05,1558943350.5486667,
9,-2.69548700E-05,1558943350.757,
10,-2.70790900E-05,1558943350.9653332,
11,-2.70470400E-05,1558943351.1736667,
12,-2.71151500E-05,1558943351.382,
13,-2.71919600E-05,1558943351.5903332,
14,-2.70831000E-05,1558943351.7986667,
15,-2.70490300E-05,1558943352.007,
16,-2.70757400E-05,1558943352.2153332,
17,-2.69314900E-05,1558943352.4236667,
18,-2.70310100E-05,1558943352.632,
19,-2.69795900E-05,1558943352.8403332,
20,-2.68827500E-05,1558943353.0486667,
21,-2.70062900E-05,1558943353.257,
22,-2.68480200E-05,1558943353.4653332,
23,-2.69942700E-05,1558943353.6736667,
24,-2.68667200E-05,1558943353.882,
25,-2.68587100E-05,1558943355.969,
26,-2.67545200E-05,1558943356.1773334,
27,-2.67712100E-05,1558943356.3856668,
28,-2.68239800E-05,1558943356.594,
29,-2.67725600E-05,1558943356.8023334,
30,-2.68259900E-05,1558943357.0106668,
31,-2.69067900E-05,1558943357.219,
32,-2.66329900E-05,1558943357.4273334,
33,-2.68293100E-05,1558943357.6356668,
34,-2.67885800E-05,1558943357.844,
35,-2.67979400E-05,1558943358.0523334,
36,-2.68139700E-05,1558943358.2606668,
37,-2.68319900E-05,1558943358.469,
38,-2.67712100E-05,1558943358.6773334,
39,-2.68079500E-05,1558943358.8856668,
40,-2.67505200E-05,1558943359.094,
41,-2.67712300E-05,1558943359.3023334,
42,-2.67565300E-05,1558943359.5106668,
43,-2.66757200E-05,1558943359.719,
44,-2.67665600E-05,1558943359.9273334,
45,-2.66563500E-05,1558943360.1356668,
46,-2.67104600E-05,1558943360.344,
47,-2.66189600E-05,1558943360.5523334,
48,-2.66603700E-05,1558943360.7606668,
49,-2.66844100E-05,1558943360.969,
50,-2.66904000E-05,1558943362.675,
51,-2.66830700E-05,1558943362.8833332,
52,-2.66409900E-05,1558943363.0916667,
53,-2.66804000E-05,1558943363.3,
54,-2.66296400E-05,1558943363.5083332,
55,-2.66917500E-05,1558943363.7166667,
56,-2.66316400E-05,1558943363.925,
57,-2.65541700E-05,1558943364.1333332,
58,-2.66897500E-05,1558943364.3416667,
59,-2.66176200E-05,1558943364.55,
60,-2.66196100E-05,1558943364.7583332,
61,-2.66850800E-05,1558943364.9666667,
62,-2.65682000E-05,1558943365.175,
63,-2.66202900E-05,1558943365.3833332,
64,-2.66016000E-05,1558943365.5916667,
65,-2.65521800E-05,1558943365.8,
66,-2.65915800E-05,1558943366.0083332,
67,-2.66109300E-05,1558943366.2166667,
68,-2.65608600E-05,1558943366.425,
69,-2.65595100E-05,1558943366.6333332,
70,-2.65147700E-05,1558943366.8416667,
71,-2.64887400E-05,1558943367.05,
