,SQUID_Volt(V),timestamp,Temp(V)
0,-5.56534040E-03,1558949437.411,+8.43710000E-05
1,-5.56772290E-03,1558949437.6193333,+1.02657000E-04
2,-5.56542040E-03,1558949437.8276668,+1.01889000E-04
3,-2.95372000E-05,1558949438.036,+4.52330000E-05
4,-2.95038000E-05,1558949438.2443333,+4.53320000E-05
5,-2.94772000E-05,1558949438.4526668,+4.67940000E-05
6,-2.95237000E-05,1558949438.661,+4.68070000E-05
7,-2.97973000E-05,1558949438.8693333,+4.72770000E-05
8,-2.95839000E-05,1558949439.0776668,+4.77610000E-05
9,-2.97908000E-05,1558949439.286,+4.88630000E-05
10,-2.98909000E-05,1558949439.4943333,+4.90370000E-05
11,-2.97640000E-05,1558949439.7026668,+4.96690000E-05
12,-2.97640000E-05,1558949439.911,+5.02010000E-05
13,-2.97440000E-05,1558949440.1193333,+5.08700000E-05
14,-2.98242000E-05,1558949440.3276668,+5.13910000E-05
15,-2.96639000E-05,1558949440.536,+5.16630000E-05
16,-2.98441000E-05,1558949440.7443333,+5.23200000E-05
17,-2.96573000E-05,1558949440.9526668,+5.26170000E-05
18,-2.97907000E-05,1558949441.161,+5.31000000E-05
19,-2.97241000E-05,1558949441.3693333,+5.33110000E-05
20,-2.99643000E-05,1558949441.5776668,+5.37450000E-05
21,-2.97306000E-05,1558949441.786,+5.41530000E-05
22,-2.98641000E-05,1558949441.9943333,+5.47110000E-05
23,-2.95238000E-05,1558949442.2026668,+5.49220000E-05
24,-2.99176000E-05,1558949442.411,+5.56650000E-05
25,-2.97773000E-05,1558949446.011,+5.62840000E-05
26,-2.97707000E-05,1558949446.2193332,+5.69910000E-05
27,-2.96973000E-05,1558949446.4276667,+5.72880000E-05
28,-2.97173000E-05,1558949446.636,+5.73990000E-05
29,-2.96306000E-05,1558949446.8443332,+5.74610000E-05
30,-2.96840000E-05,1558949447.0526667,+5.80680000E-05
31,-2.95973000E-05,1558949447.261,+5.78950000E-05
32,-2.96305000E-05,1558949447.4693332,+5.83780000E-05
33,-2.97241000E-05,1558949447.6776667,+5.87250000E-05
34,-2.97908000E-05,1558949447.886,+5.89730000E-05
35,-2.96707000E-05,1558949448.0943332,+5.93070000E-05
36,-2.96705000E-05,1558949448.3026667,+5.99140000E-05
37,-2.95371000E-05,1558949448.511,+5.95920000E-05
38,-2.94772000E-05,1558949448.7193332,+5.96670000E-05
39,-2.94837000E-05,1558949448.9276667,+5.98650000E-05
40,-2.93904000E-05,1558949449.136,+6.05340000E-05
41,-2.91835000E-05,1558949449.3443332,+6.06580000E-05
42,-2.94970000E-05,1558949449.5526667,+6.03480000E-05
43,-2.86628000E-05,1558949449.761,+6.08930000E-05
44,-2.94971000E-05,1558949449.9693332,+6.07320000E-05
45,-2.97039000E-05,1558949450.1776667,+6.12530000E-05
46,-2.92168000E-05,1558949450.386,+6.15620000E-05
47,-2.94638000E-05,1558949450.5943332,+6.15130000E-05
48,-2.92968000E-05,1558949450.8026667,+6.22190000E-05
49,-2.93369000E-05,1558949451.011,+6.20210000E-05
50,-2.93837000E-05,1558949454.553,+6.23800000E-05
51,-2.94237000E-05,1558949454.7613332,+6.30860000E-05
52,-2.92235000E-05,1558949454.9696667,+6.31850000E-05
53,-2.93904000E-05,1558949455.178,+6.30860000E-05
54,-2.93503000E-05,1558949455.3863332,+6.34450000E-05
