,SQUID_Volt(V),timestamp
0,-5.56271790E-03,1558951875.12
1,-5.56195050E-03,1558951875.3283331
2,-5.56175700E-03,1558951875.5366666
3,-2.64676000E-05,1558951875.745
4,-2.70014000E-05,1558951875.9533331
5,-2.65275000E-05,1558951876.1616666
6,-2.62674000E-05,1558951876.37
7,-2.68880000E-05,1558951876.5783331
8,-2.65276000E-05,1558951876.7866666
9,-2.64275000E-05,1558951876.995
10,-2.66144000E-05,1558951877.2033331
11,-2.64408000E-05,1558951877.4116666
12,-2.64742000E-05,1558951877.62
13,-2.69346000E-05,1558951877.8283331
14,-2.63207000E-05,1558951878.0366666
15,-2.67278000E-05,1558951878.245
16,-2.64675000E-05,1558951878.4533331
17,-2.66811000E-05,1558951878.6616666
18,-2.68079000E-05,1558951878.87
19,-2.66877000E-05,1558951879.0783331
20,-2.66676000E-05,1558951879.2866666
21,-2.66277000E-05,1558951879.495
22,-2.67744000E-05,1558951879.7033331
23,-2.66943000E-05,1558951879.9116666
24,-2.66010000E-05,1558951880.12
25,-2.65609000E-05,1558951881.152
26,-2.64875000E-05,1558951881.3603332
27,-2.63674000E-05,1558951881.5686667
28,-2.64808000E-05,1558951881.777
29,-2.63274000E-05,1558951881.9853332
30,-2.63341000E-05,1558951882.1936667
31,-2.63741000E-05,1558951882.402
32,-2.64008000E-05,1558951882.6103332
33,-2.61606000E-05,1558951882.8186667
34,-2.62806000E-05,1558951883.027
35,-2.64008000E-05,1558951883.2353332
36,-2.62473000E-05,1558951883.4436667
37,-2.61739000E-05,1558951883.652
38,-2.62540000E-05,1558951883.8603332
39,-2.59737000E-05,1558951884.0686667
40,-2.62540000E-05,1558951884.277
41,-2.62472000E-05,1558951884.4853332
42,-2.63875000E-05,1558951884.6936667
43,-2.62739000E-05,1558951884.902
44,-2.61271000E-05,1558951885.1103332
45,-2.61071000E-05,1558951885.3186667
46,-2.62406000E-05,1558951885.527
47,-2.65476000E-05,1558951885.7353332
48,-2.60870000E-05,1558951885.9436667
49,-2.63073000E-05,1558951886.152
50,-2.60936000E-05,1558951886.221
51,-2.61737000E-05,1558951886.4293332
52,-2.62405000E-05,1558951886.6376667
53,-2.62538000E-05,1558951886.846
54,-2.61670000E-05,1558951887.0543332
55,-2.61136000E-05,1558951887.2626667
56,-2.61937000E-05,1558951887.471
57,-2.60869000E-05,1558951887.6793332
58,-2.60536000E-05,1558951887.8876667
59,-2.60536000E-05,1558951888.096
60,-2.64272000E-05,1558951888.3043332
61,-2.61002000E-05,1558951888.5126667
62,-2.63272000E-05,1558951888.721
63,-2.60469000E-05,1558951888.9293332
64,-2.63072000E-05,1558951889.1376667
65,-2.63004000E-05,1558951889.346
66,-2.60937000E-05,1558951889.5543332
67,-2.58801000E-05,1558951889.7626667
68,-2.59334000E-05,1558951889.971
69,-2.59268000E-05,1558951890.1793332
70,-2.60068000E-05,1558951890.3876667
71,-2.59534000E-05,1558951890.596
72,-2.60735000E-05,1558951890.8043332
73,-2.59535000E-05,1558951891.0126667
74,-2.59401000E-05,1558951891.221
75,-2.60536000E-05,1558951891.422
76,-2.58266000E-05,1558951891.6303332
77,-2.60937000E-05,1558951891.8386667
78,-2.61070000E-05,1558951892.047
79,-2.59734000E-05,1558951892.2553332
80,-2.60536000E-05,1558951892.4636667
81,-2.59602000E-05,1558951892.672
82,-2.58332000E-05,1558951892.8803332
83,-2.59401000E-05,1558951893.0886667
84,-2.59534000E-05,1558951893.297
85,-2.61470000E-05,1558951893.5053332
86,-2.63206000E-05,1558951893.7136667
87,-2.59401000E-05,1558951893.922
88,-2.60402000E-05,1558951894.1303332
89,-2.63339000E-05,1558951894.3386667
90,-2.59201000E-05,1558951894.547
91,-2.60203000E-05,1558951894.7553332
92,-2.61536000E-05,1558951894.9636667
93,-2.61404000E-05,1558951895.172
94,-2.60869000E-05,1558951895.3803332
95,-2.60269000E-05,1558951895.5886667
96,-2.61337000E-05,1558951895.797
97,-2.60403000E-05,1558951896.0053332
98,-2.62405000E-05,1558951896.2136667
99,-2.61537000E-05,1558951896.422
100,-2.61671000E-05,1558951896.622
101,-2.60269000E-05,1558951896.8303332
102,-2.62337000E-05,1558951897.0386667
103,-2.59934000E-05,1558951897.247
104,-2.59935000E-05,1558951897.4553332
105,-2.59869000E-05,1558951897.6636667
106,-2.60336000E-05,1558951897.872
107,-2.59201000E-05,1558951898.0803332
108,-2.58800000E-05,1558951898.2886667
109,-2.61537000E-05,1558951898.497
110,-2.59469000E-05,1558951898.7053332
111,-2.59135000E-05,1558951898.9136667
112,-2.61403000E-05,1558951899.122
113,-2.60269000E-05,1558951899.3303332
114,-2.57131000E-05,1558951899.5386667
115,-2.58935000E-05,1558951899.747
116,-2.60002000E-05,1558951899.9553332
117,-2.61337000E-05,1558951900.1636667
118,-2.60202000E-05,1558951900.372
119,-2.58333000E-05,1558951900.5803332
120,-2.59000000E-05,1558951900.7886667
121,-2.56264000E-05,1558951900.997
122,-2.60402000E-05,1558951901.2053332
123,-2.60936000E-05,1558951901.4136667
124,-2.57866000E-05,1558951901.622
125,-2.59934000E-05,1558951901.822
126,-2.62937000E-05,1558951902.0303333
127,-2.60936000E-05,1558951902.2386668
128,-2.60202000E-05,1558951902.447
129,-2.63271000E-05,1558951902.6553333
130,-2.60069000E-05,1558951902.8636668
131,-2.57465000E-05,1558951903.072
132,-2.67543000E-05,1558951903.2803333
133,-2.61003000E-05,1558951903.4886668
134,-2.54864000E-05,1558951903.697
135,-2.60603000E-05,1558951903.9053333
136,-2.60470000E-05,1558951904.1136668
137,-2.58133000E-05,1558951904.322
138,-2.58333000E-05,1558951904.5303333
139,-2.55998000E-05,1558951904.7386668
140,-2.58934000E-05,1558951904.947
141,-2.59534000E-05,1558951905.1553333
142,-2.57333000E-05,1558951905.3636668
143,-2.58599000E-05,1558951905.572
144,-2.57733000E-05,1558951905.7803333
145,-2.58199000E-05,1558951905.9886668
146,-2.59734000E-05,1558951906.197
147,-2.57199000E-05,1558951906.4053333
148,-2.58400000E-05,1558951906.6136668
149,-2.57799000E-05,1558951906.822
150,-2.59133000E-05,1558951907.022
151,-2.58668000E-05,1558951907.2303333
152,-2.56599000E-05,1558951907.4386668
153,-2.61136000E-05,1558951907.647
154,-2.57733000E-05,1558951907.8553333
155,-2.57131000E-05,1558951908.0636668
156,-2.55731000E-05,1558951908.272
157,-2.56599000E-05,1558951908.4803333
158,-2.55063000E-05,1558951908.6886668
159,-2.54796000E-05,1558951908.897
160,-2.53061000E-05,1558951909.1053333
161,-2.54796000E-05,1558951909.3136668
162,-2.57532000E-05,1558951909.522
163,-2.55264000E-05,1558951909.7303333
164,-2.52794000E-05,1558951909.9386668
165,-2.55131000E-05,1558951910.147
166,-2.53595000E-05,1558951910.3553333
167,-2.54997000E-05,1558951910.5636668
168,-2.49657000E-05,1558951910.772
169,-2.53929000E-05,1558951910.9803333
