,Temp(V),timestamp
0,+5.83260730E-01,1558938949.325
1,+5.83377030E-01,1558938949.5333333
2,+5.83505090E-01,1558938949.7416668
3,+5.83622880E-01,1558938949.95
4,+5.83741280E-01,1558938950.1583333
5,+5.83866000E-01,1558938950.3666668
6,+5.83984650E-01,1558938950.575
7,+5.84106890E-01,1558938950.7833333
8,+5.84234580E-01,1558938950.9916668
9,+5.84359300E-01,1558938951.2
10,+5.84480800E-01,1558938951.4083333
11,+5.84606010E-01,1558938951.6166668
12,+5.84729980E-01,1558938951.825
13,+5.84849130E-01,1558938952.0333333
14,+5.84964930E-01,1558938952.2416668
15,+5.85082470E-01,1558938952.45
16,+5.85199750E-01,1558938952.6583333
17,+5.85323600E-01,1558938952.8666668
18,+5.85452530E-01,1558938953.075
19,+5.85582830E-01,1558938953.2833333
20,+5.85698500E-01,1558938953.4916668
21,+5.85813440E-01,1558938953.7
22,+5.85928990E-01,1558938953.9083333
23,+5.86041450E-01,1558938954.1166668
24,+5.86153900E-01,1558938954.325
25,+5.86312810E-01,1558938958.057
26,+5.86418080E-01,1558938958.2653332
27,+5.86514310E-01,1558938958.4736667
28,+5.86611040E-01,1558938958.682
29,+5.86705910E-01,1558938958.8903332
30,+5.86794960E-01,1558938959.0986667
31,+5.86880910E-01,1558938959.307
32,+5.86974920E-01,1558938959.5153332
33,+5.87060250E-01,1558938959.7236667
34,+5.87143480E-01,1558938959.932
35,+5.87232940E-01,1558938960.1403332
36,+5.87306880E-01,1558938960.3486667
37,+5.87383670E-01,1558938960.557
38,+5.87467510E-01,1558938960.7653332
39,+5.87542070E-01,1558938960.9736667
40,+5.87622700E-01,1558938961.182
41,+5.87704190E-01,1558938961.3903332
42,+5.87806620E-01,1558938961.5986667
43,+5.87899140E-01,1558938961.807
44,+5.87993880E-01,1558938962.0153332
45,+5.88090240E-01,1558938962.2236667
46,+5.88189440E-01,1558938962.432
47,+5.88285300E-01,1558938962.6403332
48,+5.88374230E-01,1558938962.8486667
49,+5.88467740E-01,1558938963.057
50,+5.88604840E-01,1558938966.638
51,+5.88727580E-01,1558938966.8463333
52,+5.88824680E-01,1558938967.0546668
53,+5.88919670E-01,1558938967.263
54,+5.88998810E-01,1558938967.4713333
55,+5.89081790E-01,1558938967.6796668
56,+5.89160930E-01,1558938967.888
57,+5.89259890E-01,1558938968.0963333
58,+5.89380900E-01,1558938968.3046668
59,+5.89503510E-01,1558938968.513
60,+5.89583140E-01,1558938968.7213333
61,+5.89651630E-01,1558938968.9296668
62,+5.89710460E-01,1558938969.138
63,+5.89758770E-01,1558938969.3463333
64,+5.89803480E-01,1558938969.5546668
65,+5.89849550E-01,1558938969.763
66,+5.89893520E-01,1558938969.9713333
67,+5.89933030E-01,1558938970.1796668
68,+5.89974520E-01,1558938970.388
69,+5.90017240E-01,1558938970.5963333
70,+5.90061210E-01,1558938970.8046668
71,+5.90108030E-01,1558938971.013
72,+5.90159920E-01,1558938971.2213333
73,+5.90206860E-01,1558938971.4296668
74,+5.90256280E-01,1558938971.638
75,+5.90325140E-01,1558938975.238
76,+5.90362910E-01,1558938975.4463332
77,+5.90402670E-01,1558938975.6546667
78,+5.90440940E-01,1558938975.863
79,+5.90477970E-01,1558938976.0713332
80,+5.90513760E-01,1558938976.2796667
81,+5.90544980E-01,1558938976.488
82,+5.90576810E-01,1558938976.6963332
83,+5.90611240E-01,1558938976.9046667
84,+5.90642070E-01,1558938977.113
85,+5.90675640E-01,1558938977.3213332
86,+5.90721340E-01,1558938977.5296667
87,+5.90785990E-01,1558938977.738
88,+5.90864760E-01,1558938977.9463332
89,+5.90928540E-01,1558938978.1546667
90,+5.90995670E-01,1558938978.363
91,+5.91055370E-01,1558938978.5713332
92,+5.91115810E-01,1558938978.7796667
