"Run 1: Time (s)","Run 1: Force 1 (N)","Run 1: Force 2 (N)","Run 1: Force 3 (N)","Run 1: Force 4 (N)","Run 1: Total Force (N)"
0,280.83,708.18,319.9,363.86,1672.77
2,280.83,711.84,321.12,361.42,1675.21
4,282.05,706.96,321.12,366.3,1676.43
6,282.05,709.4,319.9,365.08,1676.43
8,282.05,709.4,321.12,365.08,1677.65
10,280.83,708.18,319.9,365.08,1673.99
12,280.83,708.18,321.12,366.3,1676.43
14,282.05,708.18,318.68,365.08,1673.99
16,282.05,708.18,319.9,365.08,1675.21
18,280.83,708.18,319.9,366.3,1675.21
20,280.83,708.18,319.9,365.08,1673.99
22,279.61,709.4,321.12,362.64,1672.77
24,279.61,708.18,319.9,363.86,1671.55
26,279.61,709.4,321.12,362.64,1672.77
28,280.83,710.62,321.12,362.64,1675.21
30,279.61,709.4,321.12,362.64,1672.77
32,280.83,709.4,321.12,363.86,1675.21
34,279.61,709.4,321.12,365.08,1675.21
36,280.83,709.4,319.9,363.86,1673.99
38,280.83,708.18,319.9,365.08,1673.99
40,280.83,708.18,321.12,363.86,1673.99
42,282.05,708.18,319.9,365.08,1675.21
44,282.05,708.18,319.9,365.08,1675.21
46,282.05,709.4,321.12,363.86,1676.43
48,280.83,710.62,319.9,362.64,1673.99
50,280.83,708.18,319.9,363.86,1672.77
52,279.61,709.4,319.9,363.86,1672.77
54,280.83,710.62,321.12,362.64,1675.21
56,279.61,710.62,321.12,362.64,1673.99
58,280.83,709.4,319.9,363.86,1673.99
60,279.61,710.62,321.12,362.64,1673.99
62,279.61,709.4,321.12,361.42,1671.55
64,280.83,709.4,321.12,362.64,1673.99
66,279.61,709.4,321.12,362.64,1672.77
68,280.83,709.4,321.12,362.64,1673.99
70,280.83,709.4,321.12,362.64,1673.99
72,279.61,709.4,319.9,362.64,1671.55
74,280.83,709.4,319.9,362.64,1672.77
76,279.61,709.4,319.9,362.64,1671.55
78,280.83,709.4,321.12,362.64,1673.99
80,279.61,708.18,319.9,362.64,1670.33
82,279.61,709.4,319.9,362.64,1671.55
84,282.05,709.4,321.12,362.64,1675.21
86,279.61,709.4,321.12,363.86,1673.99
88,279.61,709.4,321.12,363.86,1673.99
90,280.83,709.4,321.12,363.86,1675.21
92,280.83,709.4,321.12,365.08,1676.43
94,280.83,709.4,321.12,362.64,1673.99
96,279.61,709.4,319.9,363.86,1672.77
98,279.61,709.4,321.12,363.86,1673.99
100,279.61,709.4,319.9,363.86,1672.77
102,280.83,710.62,319.9,362.64,1673.99
104,279.61,709.4,321.12,362.64,1672.77
106,280.83,709.4,319.9,362.64,1672.77
108,280.83,709.4,319.9,362.64,1672.77
110,279.61,709.4,321.12,362.64,1672.77
112,279.61,708.18,319.9,362.64,1670.33
114,279.61,709.4,319.9,362.64,1671.55
116,280.83,710.62,321.12,361.42,1673.99
118,279.61,708.18,319.9,363.86,1671.55
120,280.83,708.18,319.9,362.64,1671.55
122,280.83,708.18,319.9,362.64,1671.55
124,280.83,709.4,319.9,363.86,1673.99
126,280.83,709.4,321.12,363.86,1675.21
128,279.61,709.4,321.12,362.64,1672.77
130,280.83,709.4,321.12,362.64,1673.99
132,280.83,709.4,321.12,363.86,1675.21
134,279.61,710.62,321.12,362.64,1673.99
136,280.83,708.18,321.12,362.64,1672.77
138,280.83,708.18,319.9,362.64,1671.55
140,280.83,709.4,319.9,363.86,1673.99
142,280.83,709.4,321.12,363.86,1675.21
144,280.83,709.4,319.9,363.86,1673.99
146,279.61,709.4,319.9,362.64,1671.55
148,280.83,709.4,319.9,363.86,1673.99
150,280.83,709.4,319.9,362.64,1672.77
152,280.83,709.4,321.12,363.86,1675.21
154,279.61,709.4,319.9,363.86,1672.77
156,279.61,709.4,321.12,362.64,1672.77
158,279.61,709.4,321.12,363.86,1673.99
160,280.83,709.4,321.12,363.86,1675.21
162,279.61,708.18,321.12,363.86,1672.77
164,280.83,708.18,319.9,362.64,1671.55
166,279.61,709.4,321.12,362.64,1672.77
168,279.61,709.4,321.12,363.86,1673.99
170,280.83,709.4,319.9,363.86,1673.99
172,280.83,709.4,319.9,362.64,1672.77
174,279.61,709.4,321.12,363.86,1673.99
176,278.39,711.84,322.34,358.97,1671.54
178,282.05,708.18,317.46,363.86,1671.55
180,284.49,704.52,316.24,366.3,1671.55
182,284.49,704.52,316.24,367.52,1672.77
184,284.49,704.52,316.24,367.52,1672.77
186,284.49,704.52,316.24,368.74,1673.99
188,284.49,705.74,318.68,365.08,1673.99
190,283.27,706.96,317.46,365.08,1672.77
192,284.49,704.52,316.24,367.52,1672.77
194,284.49,705.74,318.68,366.3,1675.21
