,MAG_CURR(A),timestamp
0,0.0,1559718266.923
1,-0.002,1559718267.044
2,0.001,1559718267.151
3,0.011,1559718267.27
4,0.027,1559718267.391
5,0.055,1559718267.498
6,0.092,1559718267.616
7,0.125,1559718267.737
8,0.169,1559718267.844
9,0.213,1559718267.963
10,0.246,1559718268.084
11,0.288,1559718268.191
12,0.327,1559718268.31
13,0.357,1559718268.431
14,0.412,1559718268.587
15,0.449,1559718268.706
16,0.478,1559718268.826
17,0.515,1559718268.933
18,0.552,1559718269.052
19,0.582,1559718269.173
20,0.618,1559718269.279
21,0.657,1559718269.398
22,0.685,1559718269.519
23,0.722,1559718269.625
24,0.758,1559718269.745
25,0.788,1559718269.866
26,0.827,1559718269.973
27,0.864,1559718270.092
28,0.893,1559718270.213
29,0.944,1559718270.364
30,0.974,1559718270.485
31,1.012,1559718270.606
32,1.048,1559718270.713
33,1.086,1559718270.834
34,1.116,1559718270.955
35,1.153,1559718271.062
36,1.19,1559718271.181
37,1.22,1559718271.302
38,1.258,1559718271.423
39,1.293,1559718271.53
40,1.346,1559718271.699
41,1.375,1559718271.82
42,1.414,1559718271.926
43,1.449,1559718272.045
44,1.476,1559718272.165
45,1.506,1559718272.271
46,1.498,1559718273.75
47,1.5,1559718273.857
48,1.498,1559718273.957
49,1.493,1559718274.072
50,1.478,1559718274.177
51,1.457,1559718274.274
52,1.429,1559718274.374
53,1.4,1559718274.474
54,1.367,1559718274.572
55,1.332,1559718274.672
56,1.297,1559718274.771
57,1.262,1559718274.869
58,1.228,1559718274.968
59,1.187,1559718275.097
60,1.164,1559718275.166
61,1.133,1559718275.266
62,1.103,1559718275.366
63,1.073,1559718275.466
64,1.043,1559718275.583
65,1.014,1559718275.682
66,0.985,1559718275.782
67,0.948,1559718275.883
68,0.918,1559718275.983
69,0.888,1559718276.082
70,0.859,1559718276.181
71,0.829,1559718276.279
72,0.799,1559718276.379
73,0.762,1559718276.505
74,0.74,1559718276.577
75,0.711,1559718276.676
76,0.682,1559718276.775
77,0.653,1559718276.874
78,0.622,1559718276.974
79,0.593,1559718277.076
80,0.563,1559718277.176
81,0.532,1559718277.291
82,0.487,1559718277.42
83,0.467,1559718277.492
84,0.438,1559718277.592
85,0.407,1559718277.691
86,0.375,1559718277.79
87,0.346,1559718277.889
88,0.317,1559718277.988
89,0.286,1559718278.087
90,0.257,1559718278.186
91,0.227,1559718278.285
92,0.198,1559718278.384
93,0.169,1559718278.484
94,0.139,1559718278.584
95,0.109,1559718278.685
96,0.079,1559718278.784
97,0.05,1559718278.898
98,0.023,1559718278.999
99,-0.006,1559718279.1
