,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.23108300E-05,1559383957.917,+1.57107220E+00,,,1.3038225629791894e-08,4.879181280788177e-05
1,+3.22347000E-05,1559383958.1253333,+1.57107710E+00,,,1.2795290251916758e-08,4.8791556650246304e-05
2,+3.21999600E-05,1559383958.3336668,+1.57107340E+00,,,2.4894392113910186e-07,4.8794886699507385e-05
3,+3.21605600E-05,1559383958.542,+1.57107460E+00,,,2.1443892661555313e-06,4.87975763546798e-05
4,+3.21592200E-05,1559383958.7503333,+1.57106970E+00,,,2.144536692223439e-06,4.879475862068966e-05
5,+3.19949300E-05,1559383958.9586668,+1.57106850E+00,,,2.1500790799561884e-06,4.879283743842364e-05
6,+3.19568700E-05,1559383959.167,+1.57106470E+00,,,4.215371851040525e-06,4.87975763546798e-05
7,+3.19755800E-05,1559383959.3753333,+1.57106230E+00,,,4.226420372398685e-06,4.8794630541871924e-05
8,+3.19254900E-05,1559383959.5836668,+1.57106100E+00,,,4.703146221248631e-06,4.87968078817734e-05
9,+3.17351500E-05,1559383959.792,+1.57106100E+00,,,6.3447570646221244e-06,4.879821674876848e-05
10,+3.18259900E-05,1559383960.0003333,+1.57106600E+00,,,6.344589375684556e-06,4.879578325123153e-05
11,+3.17925900E-05,1559383960.2086668,+1.57106230E+00,,,6.022893975903614e-06,4.879706403940887e-05
12,+3.17919300E-05,1559383960.417,+1.57106720E+00,,,8.561159474260679e-06,4.879872906403941e-05
13,+3.16630300E-05,1559383960.6253333,+1.57106470E+00,,,8.561834720700986e-06,4.879847290640394e-05
14,+3.17244600E-05,1559383960.8336668,+1.57106720E+00,,,8.562300328587075e-06,4.8797192118226595e-05
15,+3.16850800E-05,1559383961.042,+1.57106850E+00,,,8.562575027382256e-06,4.8799369458128084e-05
16,+3.17017700E-05,1559383961.2503333,+1.57106600E+00,,,8.562893209200438e-06,4.879885714285714e-05
17,+3.17705500E-05,1559383961.4586668,+1.57106470E+00,,,8.563127382256298e-06,4.879872906403941e-05
18,+3.18206300E-05,1559383961.667,+1.57106100E+00,,,8.563177984665937e-06,4.8797960591133005e-05
19,+3.17351500E-05,1559383961.8753333,+1.57106470E+00,,,8.563386308871852e-06,4.8798985221674876e-05
20,+3.17157800E-05,1559383962.0836668,+1.57106230E+00,,,8.563504819277109e-06,4.879744827586207e-05
21,+3.16884200E-05,1559383962.292,+1.57106600E+00,,,8.563658050383352e-06,4.880026600985222e-05
22,+3.17678900E-05,1559383962.5003333,+1.57107090E+00,,,8.563793975903615e-06,4.8797192118226595e-05
23,+3.16897500E-05,1559383962.7086668,+1.57107340E+00,,,8.563983461117196e-06,4.8799369458128084e-05
24,+3.16984200E-05,1559383962.917,+1.57107960E+00,,,8.564058598028478e-06,4.879603940886699e-05
25,+3.17438400E-05,1559383966.58,+1.57107840E+00,,,8.883453450164295e-06,4.8794630541871924e-05
26,+3.15875700E-05,1559383966.7883332,+1.57108580E+00,,,1.0725910952902519e-05,4.879591133004926e-05
27,+3.17425100E-05,1559383966.9966667,+1.57108330E+00,,,1.0726237787513692e-05,4.8793349753694585e-05
28,+3.16269700E-05,1559383967.205,+1.57108080E+00,,,1.1089849945235487e-05,4.8801931034482755e-05
29,+3.15682000E-05,1559383967.4133332,+1.57107710E+00,,,1.2823078860898137e-05,4.87983448275862e-05
30,+3.13718600E-05,1559383967.6216667,+1.57107590E+00,,,1.282344578313253e-05,4.8798600985221674e-05
31,+3.15915700E-05,1559383967.83,+1.57107460E+00,,,1.128829682365827e-05,4.87983448275862e-05
32,+3.14633500E-05,1559383968.0383332,+1.57107460E+00,,,1.4967323110624317e-05,4.879744827586207e-05
33,+3.15581900E-05,1559383968.2466667,+1.57106970E+00,,,1.4967640744797371e-05,4.879629556650246e-05
34,+3.12222700E-05,1559383968.455,+1.57107340E+00,,,1.6138866374589268e-05,4.879501477832512e-05
35,+3.13591600E-05,1559383968.6633332,+1.57107340E+00,,,1.7163409638554216e-05,4.879399014778325e-05
36,+3.12650100E-05,1559383968.8716667,+1.57107090E+00,,,1.716390142387733e-05,4.87911724137931e-05
37,+3.10499800E-05,1559383969.08,+1.57106970E+00,,,1.8334391018619933e-05,4.879706403940887e-05
38,+3.10640000E-05,1559383969.2883332,+1.57106350E+00,,,1.9259338444687843e-05,4.879629556650246e-05
39,+3.12002400E-05,1559383969.4966667,+1.57106350E+00,,,1.9259584884994522e-05,4.879706403940887e-05
40,+3.11294500E-05,1559383969.705,+1.57106720E+00,,,1.9259946330777656e-05,4.879603940886699e-05
41,+3.08977000E-05,1559383969.9133332,+1.57106850E+00,,,1.925999014238773e-05,4.8800650246305416e-05
42,+3.09498000E-05,1559383970.1216667,+1.57106720E+00,,,1.926014895947426e-05,4.8799369458128084e-05
43,+3.11007100E-05,1559383970.33,+1.57106230E+00,,,1.926039430449069e-05,4.880013793103448e-05
44,+3.10025400E-05,1559383970.5383332,+1.57106100E+00,,,1.926058269441402e-05,4.879732019704433e-05
45,+3.09043800E-05,1559383970.7466667,+1.57106600E+00,,,1.926077108433735e-05,4.880013793103448e-05
46,+3.09137400E-05,1559383970.955,+1.57106470E+00,,,1.9260987951807228e-05,4.879655172413793e-05
47,+3.10319300E-05,1559383971.1633332,+1.57106600E+00,,,1.9261248630887184e-05,4.879744827586207e-05
48,+3.08576400E-05,1559383971.3716667,+1.57106600E+00,,,1.926129134720701e-05,4.879411822660098e-05
49,+3.07507900E-05,1559383971.58,+1.57106970E+00,,,1.9261421686746987e-05,4.879168472906404e-05
50,+3.07294200E-05,1559383975.18,+1.57107340E+00,,,1.951313800657174e-05,4.879783251231527e-05
51,+3.07167200E-05,1559383975.3883333,+1.57107590E+00,,,2.1358785323110623e-05,4.879629556650246e-05
52,+3.06158800E-05,1559383975.5966668,+1.57107460E+00,,,2.1359247535596933e-05,4.8800906403940884e-05
53,+3.05003400E-05,1559383975.805,+1.57106970E+00,,,2.181850273822563e-05,4.8796167487684724e-05
54,+3.04509400E-05,1559383976.0133333,+1.57106970E+00,,,2.3551721796276013e-05,4.879475862068966e-05
55,+3.04041800E-05,1559383976.2216668,+1.57106850E+00,,,2.3551894852135817e-05,4.879539901477833e-05
56,+3.03053500E-05,1559383976.43,+1.57106600E+00,,,2.4042656078860898e-05,4.879706403940887e-05
57,+3.01904900E-05,1559383976.6383333,+1.57106850E+00,,,2.564800109529025e-05,4.8795655172413795e-05
58,+3.01851300E-05,1559383976.8466668,+1.57107090E+00,,,2.5648536692223438e-05,4.8796679802955666e-05
59,+3.00682700E-05,1559383977.055,+1.57106970E+00,,,2.782881599123768e-05,4.880013793103448e-05
60,+3.01417300E-05,1559383977.2633333,+1.57106350E+00,,,2.78252278203724e-05,4.879591133004926e-05
61,+3.00535800E-05,1559383977.4716668,+1.57106350E+00,,,2.7826269441401967e-05,4.879706403940887e-05
62,+3.03400800E-05,1559383977.68,+1.57106350E+00,,,3.0004336254107338e-05,4.8797960591133005e-05
63,+2.98906300E-05,1559383977.8883333,+1.57106350E+00,,,3.0005566265060238e-05,4.87983448275862e-05
64,+2.99647400E-05,1559383978.0966668,+1.57106100E+00,,,3.0006130339539977e-05,4.8792197044334974e-05
65,+2.99587300E-05,1559383978.305,+1.57106350E+00,,,3.000682475355969e-05,4.8796167487684724e-05
