,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.62590400E-05,1559382417.041,+1.57105230E+00,,,3.0316968236582696e-05,4.8724167487684735e-05
1,+3.59919100E-05,1559382417.2493331,+1.57105480E+00,,,3.031770536692223e-05,4.8732374384236456e-05
2,+3.62784000E-05,1559382417.4576666,+1.57105110E+00,,,3.0318313253012048e-05,4.8724679802955664e-05
3,+3.64727400E-05,1559382417.666,+1.57105110E+00,,,3.031873274917853e-05,4.871648275862069e-05
4,+3.65275000E-05,1559382417.8743331,+1.57105230E+00,,,3.0318559693318727e-05,4.865653201970444e-05
5,+3.57989100E-05,1559382418.0826666,+1.57105230E+00,,,3.0318515881708656e-05,4.8667802955665025e-05
6,+3.61969300E-05,1559382418.291,+1.57105480E+00,,,3.0318616648411827e-05,4.874479802955665e-05
7,+3.58309700E-05,1559382418.4993331,+1.57105610E+00,,,3.0318602409638554e-05,4.874005911330049e-05
8,+3.61328300E-05,1559382418.7076666,+1.57105480E+00,,,3.0319180722891566e-05,4.873288669950739e-05
9,+3.61648500E-05,1559382418.916,+1.57105850E+00,,,3.0319369112814894e-05,4.87059802955665e-05
10,+3.56519700E-05,1559382419.1243331,+1.57105610E+00,,,3.031921029572837e-05,4.876247290640394e-05
11,+3.59605200E-05,1559382419.3326666,+1.57105730E+00,,,3.0319527929901423e-05,4.8761192118226604e-05
12,+3.63224800E-05,1559382419.541,+1.57105480E+00,,,3.0319427163198245e-05,4.875632512315271e-05
13,+3.64139700E-05,1559382419.7493331,+1.57105610E+00,,,3.0319398685651698e-05,4.876067980295567e-05
14,+3.61408200E-05,1559382419.9576666,+1.57105610E+00,,,3.031910843373494e-05,4.8754788177339903e-05
15,+3.62576800E-05,1559382420.166,+1.57105850E+00,,,3.0319311062431542e-05,4.875542857142857e-05
16,+3.63278200E-05,1559382420.3743331,+1.57105610E+00,,,3.0319557502738228e-05,4.875658128078818e-05
17,+3.61394800E-05,1559382420.5826666,+1.57105610E+00,,,3.0319470974808323e-05,4.874992118226601e-05
18,+3.63218000E-05,1559382420.791,+1.57105850E+00,,,3.03194556407448e-05,4.8757221674876854e-05
19,+3.62596800E-05,1559382420.9993331,+1.57105730E+00,,,3.0319629791894853e-05,4.8757221674876854e-05
20,+3.61454900E-05,1559382421.2076666,+1.57105980E+00,,,3.03194556407448e-05,4.875555665024631e-05
21,+3.63832400E-05,1559382421.416,+1.57106230E+00,,,3.031941292442497e-05,4.8752738916256155e-05
22,+3.62069200E-05,1559382421.6243331,+1.57106230E+00,,,3.0319224534501644e-05,4.875555665024631e-05
23,+3.63872500E-05,1559382421.8326666,+1.57106230E+00,,,3.031894961664841e-05,4.875811822660099e-05
24,+3.64046100E-05,1559382422.041,+1.57105850E+00,,,3.031915224534502e-05,4.87544039408867e-05
25,+3.60193000E-05,1559382425.841,+1.57105610E+00,,,3.0319398685651698e-05,4.8753123152709356e-05
26,+3.65575500E-05,1559382426.0493333,+1.57105610E+00,,,3.031961555312158e-05,4.8750433497536945e-05
27,+3.66230100E-05,1559382426.2576668,+1.57105980E+00,,,3.0319702081051477e-05,4.8759527093596063e-05
28,+3.65689100E-05,1559382426.466,+1.57105850E+00,,,3.031981818181818e-05,4.875594088669951e-05
29,+3.62036100E-05,1559382426.6743333,+1.57105850E+00,,,3.0319543263964947e-05,4.8753507389162565e-05
30,+3.61221400E-05,1559382426.8826668,+1.57105980E+00,,,3.031961555312158e-05,4.875427586206897e-05
31,+3.57822000E-05,1559382427.091,+1.57106100E+00,,,3.0319282584884995e-05,4.8754788177339903e-05
32,+3.62082900E-05,1559382427.2993333,+1.57106100E+00,,,3.0319021905805036e-05,4.8753507389162565e-05
33,+3.60012600E-05,1559382427.5076668,+1.57106230E+00,,,3.0319644030668126e-05,4.8739418719211825e-05
34,+3.62577000E-05,1559382427.716,+1.57105980E+00,,,3.0319441401971525e-05,4.87476157635468e-05
35,+3.64493700E-05,1559382427.9243333,+1.57106350E+00,,,3.0319745892661555e-05,4.8739418719211825e-05
36,+3.62203100E-05,1559382428.1326668,+1.57106600E+00,,,3.0319788608981383e-05,4.874569458128079e-05
37,+3.62089500E-05,1559382428.341,+1.57106720E+00,,,3.031967250821468e-05,4.875145812807882e-05
38,+3.58369700E-05,1559382428.5493333,+1.57106600E+00,,,3.031987513691128e-05,4.8748e-05
39,+3.57715300E-05,1559382428.7576668,+1.57107090E+00,,,3.031941292442497e-05,4.874415763546798e-05
40,+3.63926100E-05,1559382428.966,+1.57106970E+00,,,3.0319021905805036e-05,4.874057142857143e-05
41,+3.59745500E-05,1559382429.1743333,+1.57107090E+00,,,3.031929682365827e-05,4.874607881773399e-05
42,+3.55591600E-05,1559382429.3826668,+1.57106600E+00,,,3.0319079956188387e-05,4.8750433497536945e-05
43,+3.62670500E-05,1559382429.591,+1.57105850E+00,,,3.031889156626506e-05,4.8749408866995074e-05
44,+3.63338300E-05,1559382429.7993333,+1.57105850E+00,,,3.0319427163198245e-05,4.874620689655172e-05
45,+3.59805600E-05,1559382430.0076668,+1.57105610E+00,,,3.0319398685651698e-05,4.873391133004926e-05
46,+3.61234700E-05,1559382430.216,+1.57105730E+00,,,3.031967250821468e-05,4.875030541871922e-05
47,+3.59812200E-05,1559382430.4243333,+1.57105850E+00,,,3.031961555312158e-05,4.8737625615763544e-05
