,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.18547000E-05,1559382865.598,+1.57105980E+00,,,3.03194556407448e-05,4.8776187192118226e-05
1,+3.18253100E-05,1559382865.8063333,+1.57105730E+00,,,3.031997699890471e-05,4.877260098522168e-05
2,+3.18293200E-05,1559382866.0146668,+1.57106100E+00,,,3.0320222343921138e-05,4.8774778325123154e-05
3,+3.18713900E-05,1559382866.223,+1.57105110E+00,,,3.032049726177437e-05,4.878002955665024e-05
4,+3.17966000E-05,1559382866.4313333,+1.57105360E+00,,,3.032043921139102e-05,4.877733990147784e-05
5,+3.17632100E-05,1559382866.6396668,+1.57105360E+00,,,3.032100438116101e-05,4.8771960591133e-05
6,+3.17518500E-05,1559382866.848,+1.57105480E+00,,,3.0320714129244252e-05,4.877605911330049e-05
7,+3.18299800E-05,1559382867.0563333,+1.57104990E+00,,,3.0320844468784228e-05,4.877375369458128e-05
8,+3.17925900E-05,1559382867.2646668,+1.57105110E+00,,,3.032081599123768e-05,4.877554679802956e-05
9,+3.17819000E-05,1559382867.473,+1.57105230E+00,,,3.0320858707557502e-05,4.8774522167487686e-05
10,+3.18186300E-05,1559382867.6813333,+1.57105110E+00,,,3.032043921139102e-05,4.877272906403941e-05
11,+3.17304700E-05,1559382867.8896668,+1.57105110E+00,,,3.032023767798467e-05,4.877772413793103e-05
12,+3.16122800E-05,1559382868.098,+1.57105230E+00,,,3.032065717415115e-05,4.877695566502463e-05
13,+3.18199800E-05,1559382868.3063333,+1.57105480E+00,,,3.0320107338444686e-05,4.8778108374384234e-05
14,+3.17465100E-05,1559382868.5146668,+1.57105360E+00,,,3.0320294633077763e-05,4.8775162561576355e-05
15,+3.18446900E-05,1559382868.723,+1.57105360E+00,,,3.0320483023001097e-05,4.877362561576355e-05
16,+3.17612000E-05,1559382868.9313333,+1.57105610E+00,,,3.0320454545454544e-05,4.877503448275862e-05
17,+3.17251400E-05,1559382869.1396668,+1.57105610E+00,,,3.0320584884994526e-05,4.877490640394089e-05
18,+3.17458400E-05,1559382869.348,+1.57105850E+00,,,3.0320627601314347e-05,4.877041379310345e-05
19,+3.18173000E-05,1559382869.5563333,+1.57105730E+00,,,3.0320874041621033e-05,4.87775960591133e-05
20,+3.17799100E-05,1559382869.7646668,+1.57105610E+00,,,3.0320974808324204e-05,4.8773497536945815e-05
21,+3.17291400E-05,1559382869.973,+1.57105480E+00,,,3.0321177437020812e-05,4.877631527093597e-05
22,+3.17739000E-05,1559382870.1813333,+1.57105610E+00,,,3.0321018619934282e-05,4.877426600985221e-05
23,+3.17698800E-05,1559382870.3896668,+1.57105610E+00,,,3.0321380065717413e-05,4.877708374384236e-05
24,+3.17398300E-05,1559382870.598,+1.57105480E+00,,,3.0321713033953997e-05,4.877400985221675e-05
25,+3.17979400E-05,1559382874.396,+1.57105480E+00,,,3.0321408543263967e-05,4.877426600985221e-05
26,+3.18006100E-05,1559382874.6043332,+1.57105610E+00,,,3.032166922234392e-05,4.87723448275862e-05
27,+3.18533700E-05,1559382874.8126667,+1.57105480E+00,,,3.0321640744797372e-05,4.877066995073892e-05
28,+3.17972600E-05,1559382875.021,+1.57106100E+00,,,3.0321857612267253e-05,4.877426600985221e-05
29,+3.18667200E-05,1559382875.2293332,+1.57106100E+00,,,3.0321713033953997e-05,4.877324137931034e-05
30,+3.18480100E-05,1559382875.4376667,+1.57105610E+00,,,3.0321249726177437e-05,4.8775418719211816e-05
31,+3.19168100E-05,1559382875.646,+1.57105360E+00,,,3.032142387732749e-05,4.877375369458128e-05
32,+3.18473500E-05,1559382875.8543332,+1.57105730E+00,,,3.0321336254107342e-05,4.877324137931034e-05
33,+3.18166300E-05,1559382876.0626667,+1.57105480E+00,,,3.032136582694414e-05,4.8776827586206896e-05
34,+3.17939200E-05,1559382876.271,+1.57105480E+00,,,3.032122124863089e-05,4.877041379310345e-05
35,+3.17391700E-05,1559382876.4793332,+1.57105360E+00,,,3.0321105147864187e-05,4.8774778325123154e-05
36,+3.19001100E-05,1559382876.6876667,+1.57105610E+00,,,3.0320874041621033e-05,4.877324137931034e-05
37,+3.18246500E-05,1559382876.896,+1.57106230E+00,,,3.0320671412924425e-05,4.877503448275862e-05
38,+3.17485100E-05,1559382877.1043332,+1.57105850E+00,,,3.0320989047097485e-05,4.8769645320197046e-05
39,+3.17338300E-05,1559382877.3126667,+1.57105610E+00,,,3.0320613362541073e-05,4.8769261083743844e-05
40,+3.17264800E-05,1559382877.521,+1.57105850E+00,,,3.032090251916758e-05,4.8774778325123154e-05
41,+3.17017700E-05,1559382877.7293332,+1.57105480E+00,,,3.032049726177437e-05,4.877221674876847e-05
42,+3.17999300E-05,1559382877.9376667,+1.57105730E+00,,,3.0320613362541073e-05,4.877490640394089e-05
43,+3.17725600E-05,1559382878.146,+1.57105480E+00,,,3.0321047097480836e-05,4.8778748768472904e-05
44,+3.17324800E-05,1559382878.3543332,+1.57105360E+00,,,3.0321235487404163e-05,4.877772413793103e-05
45,+3.16530200E-05,1559382878.5626667,+1.57105850E+00,,,3.0321133625410734e-05,4.877695566502463e-05
