,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+5.55333780E-03,1559383308.055,+1.57106850E+00,,,,
1,+5.55431870E-03,1559383308.2633333,+1.57107460E+00,,,,
2,+2.84901800E-05,1559383308.4716668,+1.57108330E+00,,,,
3,+2.85649900E-05,1559383308.68,+1.57109200E+00,,,,
4,+2.87005600E-05,1559383308.8883333,+1.57109080E+00,,,,
5,+2.87847000E-05,1559383309.0966668,+1.57108950E+00,,,,
6,+2.88815300E-05,1559383309.305,+1.57108210E+00,,,,
7,+2.87933900E-05,1559383309.5133333,+1.57107840E+00,,,,
8,+2.88261200E-05,1559383309.7216668,+1.57107340E+00,,,,
9,+2.88575000E-05,1559383309.93,+1.57106850E+00,,,,
10,+2.88929000E-05,1559383310.1383333,+1.57106350E+00,,,,
11,+2.88007300E-05,1559383310.3466668,+1.57106100E+00,,,,
12,+2.88087400E-05,1559383310.555,+1.57105610E+00,,,,
13,+2.88588300E-05,1559383310.7633333,+1.57105480E+00,,,,
14,+2.87940500E-05,1559383310.9716668,+1.57105980E+00,,,,
15,+2.87560000E-05,1559383311.18,+1.57105730E+00,,,,
16,+2.86818700E-05,1559383311.3883333,+1.57105730E+00,,,,
17,+2.87346300E-05,1559383311.5966668,+1.57105480E+00,,,,
18,+2.87239400E-05,1559383311.805,+1.57105730E+00,,,,
19,+2.86578100E-05,1559383312.0133333,+1.57105230E+00,,,,
20,+2.86918800E-05,1559383312.2216668,+1.57105480E+00,,,,
21,+2.86785200E-05,1559383312.43,+1.57106100E+00,,,,
22,+2.86531400E-05,1559383312.6383333,+1.57105980E+00,,,,
23,+2.86705000E-05,1559383312.8466668,+1.57105980E+00,,,,
24,+2.86918700E-05,1559383313.055,+1.57105980E+00,,,,
25,+2.87807000E-05,1559383316.576,+1.57106100E+00,,,,
26,+2.87312900E-05,1559383316.7843332,+1.57106600E+00,,,,
27,+2.87646800E-05,1559383316.9926667,+1.57106100E+00,,,,
28,+2.87994100E-05,1559383317.201,+1.57106350E+00,,,,
29,+2.87653300E-05,1559383317.4093332,+1.57106230E+00,,,,
30,+2.87806900E-05,1559383317.6176667,+1.57105980E+00,,,,
31,+2.87927200E-05,1559383317.826,+1.57106100E+00,,,,
32,+2.88508200E-05,1559383318.0343332,+1.57105980E+00,,,,
33,+2.88054100E-05,1559383318.2426667,+1.57105980E+00,,,,
34,+2.87947200E-05,1559383318.451,+1.57105980E+00,,,,
35,+2.87833700E-05,1559383318.6593332,+1.57105730E+00,,,,
36,+2.88595000E-05,1559383318.8676667,+1.57105980E+00,,,,
37,+2.88134100E-05,1559383319.076,+1.57105850E+00,,,,
38,+2.88120800E-05,1559383319.2843332,+1.57105480E+00,,,,
39,+2.88448100E-05,1559383319.4926667,+1.57105980E+00,,,,
40,+2.88314400E-05,1559383319.701,+1.57105360E+00,,,,
41,+2.88722000E-05,1559383319.9093332,+1.57105610E+00,,,,
42,+2.88902100E-05,1559383320.1176667,+1.57105610E+00,,,,
43,+2.89115900E-05,1559383320.326,+1.57105610E+00,,,,
44,+2.88574900E-05,1559383320.5343332,+1.57105730E+00,,,,
45,+2.88935600E-05,1559383320.7426667,+1.57105610E+00,,,,
46,+2.89142700E-05,1559383320.951,+1.57105850E+00,,,,
47,+2.88935600E-05,1559383321.1593332,+1.57105850E+00,,,,
48,+2.89162600E-05,1559383321.3676667,+1.57106230E+00,,,,
49,+2.89523400E-05,1559383321.576,+1.57106230E+00,,,,
50,+2.89810400E-05,1559383325.198,+1.57106470E+00,,,,
51,+2.89389800E-05,1559383325.4063332,+1.57106100E+00,,,,
52,+2.89977400E-05,1559383325.6146667,+1.57105980E+00,,,,
53,+2.89897400E-05,1559383325.823,+1.57106100E+00,,,,
54,+2.90538300E-05,1559383326.0313332,+1.57105850E+00,,,,
55,+2.90471600E-05,1559383326.2396667,+1.57105850E+00,,,,
56,+2.90671900E-05,1559383326.448,+1.57105730E+00,,,,
57,+2.91313100E-05,1559383326.6563332,+1.57105980E+00,,,,
58,+2.90872400E-05,1559383326.8646667,+1.57106100E+00,,,,
59,+2.90805400E-05,1559383327.073,+1.57105850E+00,,,,
60,+2.90692000E-05,1559383327.2813332,+1.57106100E+00,,,,
61,+2.90237800E-05,1559383327.4896667,+1.57105730E+00,,,,
62,+2.89730400E-05,1559383327.698,+1.57106350E+00,,,,
63,+2.90431600E-05,1559383327.9063332,+1.57106470E+00,,,,
64,+2.90418300E-05,1559383328.1146667,+1.57106470E+00,,,,
65,+2.89957400E-05,1559383328.323,+1.57106350E+00,,,,
66,+2.90678700E-05,1559383328.5313332,+1.57106470E+00,,,,
67,+2.91072700E-05,1559383328.7396667,+1.57106100E+00,,,,
68,+2.91092600E-05,1559383328.948,+1.57106350E+00,,,,
69,+2.91680300E-05,1559383329.1563332,+1.57106350E+00,,,,
70,+2.91760500E-05,1559383329.3646667,+1.57106350E+00,,,,
