,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,+2.79422000E-05,1559380215.544,+1.57107960E+00,1.3002081051478643e-08,4.848717241379311e-05
1,+2.77419000E-05,1559380215.7523332,+1.57107840E+00,1.2968784227820373e-08,4.848832512315271e-05
2,+2.96039000E-05,1559380215.9606667,+1.57107340E+00,2.1446220153340635e-06,4.8486147783251236e-05
3,+2.84160000E-05,1559380216.169,+1.57107340E+00,2.145593756845564e-06,4.848960591133005e-05
4,+2.78220000E-05,1559380216.3773332,+1.57107710E+00,2.145705038335159e-06,4.8489093596059115e-05
5,+2.80023000E-05,1559380216.5856667,+1.57107960E+00,4.280236582694414e-06,4.848883743842364e-05
6,+2.85561000E-05,1559380216.794,+1.57108580E+00,4.28065443592552e-06,4.84879408866995e-05
7,+2.85027000E-05,1559380217.0023332,+1.57108950E+00,4.280836692223439e-06,4.8587477832512315e-05
8,+2.80289000E-05,1559380217.2106667,+1.57108950E+00,6.4153531215772175e-06,4.862539901477833e-05
9,+2.81958000E-05,1559380217.419,+1.57107960E+00,6.416768784227821e-06,4.8637576354679804e-05
10,+2.40047000E-05,1559380217.6273332,+1.57107340E+00,6.417059364731654e-06,4.864154679802956e-05
11,+2.90900000E-05,1559380217.8356667,+1.57106970E+00,8.552051369112815e-06,4.864551724137931e-05
12,+2.76218000E-05,1559380218.044,+1.57107590E+00,8.552767141292443e-06,4.864410837438423e-05
13,+2.79488000E-05,1559380218.2523332,+1.57108330E+00,8.553358488499452e-06,4.865051231527094e-05
14,+2.80289000E-05,1559380218.4606667,+1.57108460E+00,8.55391960569551e-06,4.864205911330049e-05
15,+2.81758000E-05,1559380218.669,+1.57107840E+00,8.554398138006572e-06,4.865051231527094e-05
16,+2.91502000E-05,1559380218.8773332,+1.57107840E+00,8.554750930996714e-06,4.8644364532019706e-05
17,+2.76618000E-05,1559380219.0856667,+1.57108080E+00,8.55501412924425e-06,4.864974384236453e-05
18,+2.74215000E-05,1559380219.294,+1.57108460E+00,8.555196385542169e-06,4.865461083743842e-05
19,+2.92234000E-05,1559380219.5023332,+1.57108830E+00,8.555403066812706e-06,4.8647950738916255e-05
20,+2.78754000E-05,1559380219.7106667,+1.57108950E+00,8.555445016429353e-06,4.8653330049261084e-05
21,+2.72281000E-05,1559380219.919,+1.57108580E+00,8.555693756845564e-06,4.865179310344828e-05
22,+2.84561000E-05,1559380220.1273332,+1.57108830E+00,8.555899123767798e-06,4.865217733990147e-05
23,+2.63938000E-05,1559380220.3356667,+1.57108210E+00,8.556066812705366e-06,4.865217733990147e-05
24,+2.92770000E-05,1559380220.544,+1.57107960E+00,8.55612322015334e-06,4.8653714285714286e-05
25,+2.84561000E-05,1559380224.428,+1.57107710E+00,8.587207009857612e-06,4.8655123152709365e-05
26,+2.74817000E-05,1559380224.6363332,+1.57108080E+00,1.071554052573932e-05,4.865358620689655e-05
27,+2.81024000E-05,1559380224.8446667,+1.57108210E+00,1.0716108762322015e-05,4.8622068965517246e-05
28,+2.89831000E-05,1559380225.053,+1.57108210E+00,1.080539726177437e-05,4.8642187192118224e-05
29,+2.07214000E-05,1559380225.2613332,+1.57108330E+00,1.2809769989047097e-05,4.849986206896551e-05
30,+2.81691000E-05,1559380225.4696667,+1.57108210E+00,1.2810381161007666e-05,4.8551871921182265e-05
31,+3.68247000E-05,1559380225.678,+1.57108950E+00,1.1390256297918948e-05,4.864065024630542e-05
32,+2.42049000E-05,1559380225.8863332,+1.57109200E+00,1.4949979189485214e-05,4.864769458128079e-05
33,+2.66142000E-05,1559380226.0946667,+1.57109200E+00,1.4949979189485214e-05,4.865064039408867e-05
34,+2.64673000E-05,1559380226.303,+1.57109080E+00,1.5857465498357065e-05,4.8646926108374384e-05
35,+2.71814000E-05,1559380226.5113332,+1.57108950E+00,1.7141581599123768e-05,4.864743842364532e-05
36,+2.76952000E-05,1559380226.7196667,+1.57108460E+00,1.714231872946331e-05,4.8654354679802955e-05
37,+2.83826000E-05,1559380226.928,+1.57108330E+00,1.8082008762322018e-05,4.865e-05
38,+2.72148000E-05,1559380227.1363332,+1.57108330E+00,1.9234443592552026e-05,4.864577339901478e-05
39,+2.69611000E-05,1559380227.3446667,+1.57108460E+00,1.923525301204819e-05,4.865294581280788e-05
40,+2.76284000E-05,1559380227.553,+1.57108080E+00,1.9235412924424974e-05,4.8653201970443343e-05
41,+2.83760000E-05,1559380227.7613332,+1.57108210E+00,1.92354852135816e-05,4.86511527093596e-05
42,+2.74550000E-05,1559380227.9696667,+1.57108330E+00,1.923603504928806e-05,4.8656147783251236e-05
43,+2.84161000E-05,1559380228.178,+1.57108460E+00,1.9236382256297918e-05,4.865128078817734e-05
44,+2.68878000E-05,1559380228.3863332,+1.57108580E+00,1.923698904709748e-05,4.8654098522167494e-05
45,+2.64406000E-05,1559380228.5946667,+1.57108330E+00,1.9237235487404163e-05,4.865358620689655e-05
46,+2.76418000E-05,1559380228.803,+1.57109080E+00,1.9237596933187293e-05,4.865473891625616e-05
47,+2.87830000E-05,1559380229.0113332,+1.57108700E+00,1.9237713033953996e-05,4.865461083743842e-05
48,+2.87296000E-05,1559380229.2196667,+1.57108950E+00,1.9237871851040526e-05,4.8653330049261084e-05
49,+2.79621000E-05,1559380229.428,+1.57109450E+00,1.923826286966046e-05,4.865204926108374e-05
50,+2.83625000E-05,1559380233.006,+1.57109940E+00,1.947804490690033e-05,4.8656403940886704e-05
51,+2.62804000E-05,1559380233.2143333,+1.57109450E+00,2.1331966046002192e-05,4.865960591133005e-05
52,+2.81757000E-05,1559380233.4226668,+1.57109820E+00,2.133274698795181e-05,4.865537931034483e-05
53,+2.73416000E-05,1559380233.631,+1.57110190E+00,2.1796081051478642e-05,4.865307389162562e-05
54,+2.67343000E-05,1559380233.8393333,+1.57109940E+00,2.3521893756845565e-05,4.8654098522167494e-05
55,+2.70814000E-05,1559380234.0476668,+1.57110320E+00,2.3522891566265063e-05,4.865307389162562e-05
56,+2.74884000E-05,1559380234.256,+1.57109940E+00,2.4036493975903613e-05,4.8655123152709365e-05
57,+2.81424000E-05,1559380234.4643333,+1.57109820E+00,2.5615005476451257e-05,4.865256157635468e-05
58,+2.67877000E-05,1559380234.6726668,+1.57110320E+00,2.561555421686747e-05,4.8653201970443343e-05
59,+2.84626000E-05,1559380234.881,+1.57110190E+00,2.7711383351588174e-05,4.8563655172413794e-05
60,+2.67810000E-05,1559380235.0893333,+1.57110320E+00,2.7705062431544357e-05,4.848230541871921e-05
61,+2.67744000E-05,1559380235.2976668,+1.57110320E+00,2.7706248630887185e-05,4.848922167487685e-05
62,+2.85761000E-05,1559380235.506,+1.57110320E+00,2.9873813800657172e-05,4.848819704433498e-05
63,+2.76753000E-05,1559380235.7143333,+1.57110070E+00,2.987650383351588e-05,4.84867881773399e-05
64,+2.70345000E-05,1559380235.9226668,+1.57109820E+00,2.9877573932092005e-05,4.8491399014778325e-05
65,+4.34582000E-05,1559380236.131,+1.57109570E+00,2.987858707557503e-05,4.849306403940887e-05
66,+2.87029000E-05,1559380236.3393333,+1.57109320E+00,2.9879078860898138e-05,4.849383251231527e-05
67,+2.89432000E-05,1559380236.5476668,+1.57108580E+00,2.9879903614457832e-05,4.849050246305419e-05
68,+2.74150000E-05,1559380236.756,+1.57108580E+00,2.9881248630887184e-05,4.849806896551724e-05
69,+2.81223000E-05,1559380236.9643333,+1.57108580E+00,2.9881884994523547e-05,4.849524137931035e-05
70,+2.68810000E-05,1559380237.1726668,+1.57108830E+00,2.9882854326396495e-05,4.8492167487684735e-05
71,+2.71280000E-05,1559380237.381,+1.57109200E+00,2.9883779846659364e-05,4.8493960591133e-05
72,+2.69344000E-05,1559380237.5893333,+1.57109080E+00,2.9884503833515883e-05,4.8496522167487686e-05
73,+2.71948000E-05,1559380237.7976668,+1.57109570E+00,2.9885140197152247e-05,4.8493192118226606e-05
74,+2.78088000E-05,1559380238.006,+1.57109080E+00,2.9886065717415113e-05,4.84935763546798e-05
75,+2.80022000E-05,1559380241.727,+1.57107590E+00,3.114369550930997e-05,4.8493704433497534e-05
76,+2.57399000E-05,1559380241.9353333,+1.57108080E+00,3.19913964950712e-05,4.849806896551724e-05
77,+2.64807000E-05,1559380242.1436667,+1.57109570E+00,3.199252464403067e-05,4.8496009852216744e-05
78,+2.83558000E-05,1559380242.352,+1.57109940E+00,3.330488061336254e-05,4.849781280788177e-05
79,+2.67476000E-05,1559380242.5603333,+1.57109080E+00,3.4071647316538885e-05,4.849730049261084e-05
80,+2.68278000E-05,1559380242.7686667,+1.57108830E+00,3.407271851040526e-05,4.8495753694581276e-05
81,+2.72548000E-05,1559380242.977,+1.57108950E+00,3.565510514786419e-05,4.850216748768472e-05
82,+2.66009000E-05,1559380243.1853333,+1.57109820E+00,3.624320481927711e-05,4.8496522167487686e-05
83,+2.82759000E-05,1559380243.3936667,+1.57109820E+00,3.6243928806133626e-05,4.8501399014778326e-05
84,+2.82891000E-05,1559380243.602,+1.57109820E+00,3.785151150054765e-05,4.8507802955665027e-05
85,+2.64940000E-05,1559380243.8103333,+1.57110190E+00,3.835021577217963e-05,4.863308374384236e-05
86,+2.81624000E-05,1559380244.0186667,+1.57110190E+00,3.835146002190581e-05,4.8630009852216746e-05
87,+2.64674000E-05,1559380244.227,+1.57110560E+00,4.0005465498357065e-05,4.863821674876847e-05
88,+2.81024000E-05,1559380244.4353333,+1.57110560E+00,4.0427343921139104e-05,4.864116256157635e-05
89,+2.66275000E-05,1559380244.6436667,+1.57110940E+00,4.0428588170865284e-05,4.863770443349754e-05
90,+2.95104000E-05,1559380244.852,+1.57110440E+00,4.0429340635268346e-05,4.863847290640394e-05
91,+2.64405000E-05,1559380245.0603333,+1.57110440E+00,4.043032420591457e-05,4.8640522167487683e-05
92,+2.77953000E-05,1559380245.2686667,+1.57109940E+00,4.043101861993428e-05,4.8642315270935964e-05
93,+2.78955000E-05,1559380245.477,+1.57110070E+00,4.0432277108433735e-05,4.864385221674877e-05
94,+2.62070000E-05,1559380245.6853333,+1.57110560E+00,4.043353559693319e-05,4.8636551724137934e-05
95,+2.75952000E-05,1559380245.8936667,+1.57110070E+00,4.0434504928806136e-05,4.862975369458128e-05
96,+2.88164000E-05,1559380246.102,+1.57109940E+00,4.04353143483023e-05,4.865102463054187e-05
97,+2.70011000E-05,1559380246.3103333,+1.57109450E+00,4.043678970427163e-05,4.8654354679802955e-05
98,+2.69279000E-05,1559380246.5186667,+1.57109940E+00,4.0437860898138e-05,4.8646926108374384e-05
99,+2.83826000E-05,1559380246.727,+1.57111060E+00,4.043907557502739e-05,4.864718226600986e-05
100,+2.87296000E-05,1559380250.406,+1.57110320E+00,4.072558159912377e-05,4.865358620689655e-05
101,+2.86028000E-05,1559380250.6143332,+1.57109940E+00,4.2550530120481926e-05,4.865256157635468e-05
102,+3.33145000E-05,1559380250.8226666,+1.57110320E+00,4.25519178532311e-05,4.860426600985222e-05
103,+2.48256000E-05,1559380251.031,+1.57111310E+00,4.2917826944140195e-05,4.864743842364532e-05
104,+2.47056000E-05,1559380251.2393332,+1.57110810E+00,4.47232847754655e-05,4.864679802955665e-05
105,+2.75151000E-05,1559380251.4476666,+1.57110070E+00,4.472494852135816e-05,4.865102463054187e-05
106,+2.77554000E-05,1559380251.656,+1.57110560E+00,4.528485761226725e-05,4.86628078817734e-05
107,+2.69544000E-05,1559380251.8643332,+1.57110560E+00,4.683219386637459e-05,4.866485714285714e-05
108,+3.05916000E-05,1559380252.0726666,+1.57111060E+00,4.683401642935378e-05,4.866639408866995e-05
109,+2.63338000E-05,1559380252.281,+1.57111310E+00,4.745612814895947e-05,4.866255172413793e-05
110,+2.76685000E-05,1559380252.4893332,+1.57111560E+00,4.8911026286966046e-05,4.8661783251231526e-05
111,+2.79555000E-05,1559380252.6976666,+1.57110940E+00,4.8912385542168674e-05,4.866690640394089e-05
112,+2.82891000E-05,1559380252.906,+1.57110560E+00,4.9648964950711935e-05,4.866626600985222e-05
113,+2.89500000E-05,1559380253.1143332,+1.57110810E+00,5.1117434830230015e-05,4.866972413793103e-05
114,+2.84960000E-05,1559380253.3226666,+1.57110690E+00,5.11193439211391e-05,4.867138916256158e-05
115,+2.78954000E-05,1559380253.531,+1.57110070E+00,5.1120848849945234e-05,4.867625615763547e-05
116,+2.78088000E-05,1559380253.7393332,+1.57110690E+00,5.1121485213581595e-05,4.867228571428572e-05
117,+2.79822000E-05,1559380253.9476666,+1.57110810E+00,5.1122671412924427e-05,4.867612807881774e-05
118,+2.90899000E-05,1559380254.156,+1.57110440E+00,5.112413253012048e-05,4.8670748768472904e-05
119,+2.83293000E-05,1559380254.3643332,+1.57110190E+00,5.112527491785323e-05,4.8629625615763545e-05
120,+2.98375000E-05,1559380254.5726666,+1.57109820E+00,5.1126894852135816e-05,4.8530857142857144e-05
121,+2.72214000E-05,1559380254.781,+1.57110070E+00,5.112855859802848e-05,4.854212807881774e-05
122,+2.87364000E-05,1559380254.9893332,+1.57109940E+00,5.113010624315444e-05,4.852432512315271e-05
123,+2.79822000E-05,1559380255.1976666,+1.57109080E+00,5.1131711938663745e-05,4.865755665024631e-05
124,+2.73415000E-05,1559380255.406,+1.57109200E+00,5.113331763417306e-05,4.866434482758621e-05
125,+2.86495000E-05,1559380259.006,+1.57108830E+00,5.1369209200438117e-05,4.868049261083744e-05
126,+2.99910000E-05,1559380259.2143333,+1.57109570E+00,5.321193428258488e-05,4.8684847290640396e-05
127,+2.84493000E-05,1559380259.4226668,+1.57109570E+00,5.321436363636364e-05,4.868241379310345e-05
128,+2.91034000E-05,1559380259.631,+1.57109320E+00,5.5674063526834606e-05,4.8640522167487683e-05
129,+2.85494000E-05,1559380259.8393333,+1.57109200E+00,5.565413033953998e-05,4.868945812807882e-05
130,+2.10883000E-05,1559380260.0476668,+1.57108950E+00,5.565294414019715e-05,4.868997044334975e-05
131,+2.79021000E-05,1559380260.256,+1.57108830E+00,5.782646987951807e-05,4.869176354679803e-05
132,+2.85162000E-05,1559380260.4643333,+1.57108330E+00,5.782764184008762e-05,4.8688817733990146e-05
133,+2.91635000E-05,1559380260.6726668,+1.57108330E+00,5.782798904709748e-05,4.869061083743843e-05
134,+2.91702000E-05,1559380260.881,+1.57108830E+00,5.994099233296823e-05,4.869650246305419e-05
135,+2.80423000E-05,1559380261.0893333,+1.57108700E+00,5.9942684556407446e-05,4.869214778325123e-05
136,+2.87763000E-05,1559380261.2976668,+1.57108700E+00,5.9942612267250825e-05,4.8691507389162564e-05
137,+2.84828000E-05,1559380261.506,+1.57108700E+00,6.20556013143483e-05,4.86916354679803e-05
138,+2.98041000E-05,1559380261.7143333,+1.57108330E+00,6.205661336254107e-05,4.864807881773399e-05
139,+2.82158000E-05,1559380261.9226668,+1.57107960E+00,6.205739539978094e-05,4.8695477832512314e-05
140,+2.76552000E-05,1559380262.131,+1.57107590E+00,6.205664293537787e-05,4.8693812807881774e-05
141,+2.85429000E-05,1559380262.3393333,+1.57107840E+00,6.205768455640746e-05,4.869304433497537e-05
142,+2.85896000E-05,1559380262.5476668,+1.57107460E+00,6.205792990142387e-05,4.8694837438423645e-05
143,+2.88631000E-05,1559380262.756,+1.57107590E+00,6.205839320920044e-05,4.869560591133005e-05
144,+2.86429000E-05,1559380262.9643333,+1.57107710E+00,6.205888499452355e-05,4.869599014778325e-05
145,+2.80889000E-05,1559380263.1726668,+1.57107460E+00,6.205917415115005e-05,4.8695862068965516e-05
146,+2.92169000E-05,1559380263.381,+1.57108080E+00,6.205921796276013e-05,4.869663054187192e-05
147,+2.46988000E-05,1559380263.5893333,+1.57108580E+00,6.205995509309967e-05,4.8699576354679805e-05
148,+2.84226000E-05,1559380263.7976668,+1.57109450E+00,6.206021577217962e-05,4.869970443349754e-05
149,+2.99842000E-05,1559380264.006,+1.57109700E+00,6.206062102957283e-05,4.869688669950739e-05
150,+2.92903000E-05,1559380267.744,+1.57108830E+00,6.320932530120482e-05,4.870021674876847e-05
151,+3.06717000E-05,1559380267.9523332,+1.57109570E+00,6.423729682365826e-05,4.869227586206896e-05
152,+2.93369000E-05,1559380268.1606667,+1.57108950E+00,6.423790470974809e-05,4.869803940886699e-05
153,+2.83427000E-05,1559380268.369,+1.57108950E+00,6.542987732749178e-05,4.869509359605911e-05
154,+2.99842000E-05,1559380268.5773332,+1.57109200E+00,6.635827053669221e-05,4.86976551724138e-05
155,+2.98308000E-05,1559380268.7856667,+1.57109080E+00,6.635870427163198e-05,4.8698167487684726e-05
156,+3.04181000E-05,1559380268.994,+1.57109820E+00,6.762126944140198e-05,4.869509359605911e-05
157,+3.05714000E-05,1559380269.2023332,+1.57108830E+00,6.847633406352683e-05,4.869867980295567e-05
158,+2.90500000E-05,1559380269.4106667,+1.57108700E+00,6.84769704271632e-05,4.8696118226600984e-05
159,+3.00376000E-05,1559380269.619,+1.57109570E+00,6.985105038335159e-05,4.869304433497537e-05
160,+2.85828000E-05,1559380269.8273332,+1.57109450E+00,7.065339211391019e-05,4.86943251231527e-05
161,+3.12055000E-05,1559380270.0356667,+1.57108700E+00,7.06539704271632e-05,4.869675862068965e-05
162,+2.91500000E-05,1559380270.244,+1.57109200E+00,7.219264074479738e-05,4.869752709359606e-05
