,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+2.95072700E-05,1559380720.56,+1.57102010E+00,,1.255093099671413e-08,4.8679586206896555e-05
1,+2.95787300E-05,1559380720.7683332,+1.57102380E+00,,1.2545125958378971e-08,4.868292610837438e-05
2,+2.95633600E-05,1559380720.9766667,+1.57102880E+00,,2.2789058050383349e-07,4.8678305418719216e-05
3,+2.95907500E-05,1559380721.185,+1.57102750E+00,,2.1420945235487405e-06,4.868138916256158e-05
4,+2.95313200E-05,1559380721.3933332,+1.57102750E+00,,2.1423461117196056e-06,4.867933004926109e-05
5,+2.96702300E-05,1559380721.6016667,+1.57101760E+00,,2.1474401971522453e-06,4.867933004926109e-05
6,+2.96054500E-05,1559380721.81,+1.57101270E+00,,4.275804709748083e-06,4.868241379310345e-05
7,+2.95887500E-05,1559380722.0183332,+1.57101140E+00,,4.276070755750273e-06,4.868241379310345e-05
8,+2.96114600E-05,1559380722.2266667,+1.57100650E+00,,4.7528051478641834e-06,4.868126108374385e-05
9,+2.96715500E-05,1559380722.435,+1.57100280E+00,,6.409990142387732e-06,4.867856157635468e-05
10,+2.97630600E-05,1559380722.6433332,+1.57100030E+00,,6.410519277108434e-06,4.868369458128079e-05
11,+2.97396800E-05,1559380722.8516667,+1.57100150E+00,,6.116223877327492e-06,4.868190147783251e-05
12,+2.97203200E-05,1559380723.06,+1.57100030E+00,,8.547560240963856e-06,4.86803645320197e-05
13,+2.98972900E-05,1559380723.2683332,+1.57100280E+00,,8.548517415115006e-06,4.868228571428572e-05
14,+2.99186600E-05,1559380723.4766667,+1.57099660E+00,,8.54910021905805e-06,4.8689586206896556e-05
15,+2.98672400E-05,1559380723.685,+1.57099780E+00,,8.549601971522453e-06,4.869752709359606e-05
16,+2.99039600E-05,1559380723.8933332,+1.57099530E+00,,8.549896933187294e-06,4.869458128078818e-05
17,+2.98912800E-05,1559380724.1016667,+1.57099410E+00,,8.550151369112815e-06,4.870367487684729e-05
18,+2.99233200E-05,1559380724.31,+1.57099410E+00,,8.550524424972618e-06,4.870508374384236e-05
19,+2.98966100E-05,1559380724.5183332,+1.57099900E+00,,8.55068926615553e-06,4.870854187192118e-05
20,+2.99326700E-05,1559380724.7266667,+1.57099900E+00,,8.550820810514786e-06,4.8708669950738916e-05
21,+2.98939500E-05,1559380724.935,+1.57099900E+00,,8.550969769989046e-06,4.8709566502463054e-05
22,+2.99654100E-05,1559380725.1433332,+1.57099780E+00,,8.551157721796276e-06,4.871007881773399e-05
23,+3.00048000E-05,1559380725.3516667,+1.57099780E+00,,8.551208433734939e-06,4.8707261083743844e-05
24,+3.00134900E-05,1559380725.56,+1.57099900E+00,,8.551348630887185e-06,4.870854187192118e-05
25,+3.00048000E-05,1559380729.223,+1.57100400E+00,,8.780668674698795e-06,4.870905418719212e-05
26,+3.01624100E-05,1559380729.4313333,+1.57100650E+00,,1.0710018400876232e-05,4.8711615763546795e-05
27,+3.01710900E-05,1559380729.6396668,+1.57100770E+00,,1.0710319167579407e-05,4.870674876847291e-05
28,+3.01443800E-05,1559380729.848,+1.57100650E+00,,1.1124193866374589e-05,4.870905418719212e-05
29,+3.01323600E-05,1559380730.0563333,+1.57101140E+00,,1.2803564074479736e-05,4.8710591133004925e-05
30,+3.02539000E-05,1559380730.2646668,+1.57101640E+00,,1.2803980284775467e-05,4.870802955665025e-05
31,+3.02372000E-05,1559380730.473,+1.57101640E+00,,1.1404169769989046e-05,4.870790147783251e-05
32,+3.02792700E-05,1559380730.6813333,+1.57101640E+00,,1.4962867469879517e-05,4.8707261083743844e-05
33,+3.01170000E-05,1559380730.8896668,+1.57101520E+00,,1.4963214676889374e-05,4.8708285714285715e-05
34,+3.04823000E-05,1559380731.098,+1.57102510E+00,,1.6203311062431544e-05,4.8712384236453205e-05
