,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.11815300E-05,1559381048.368,+1.57099780E+00,,3.0272023001095292e-05,4.865922167487685e-05
1,+3.12289500E-05,1559381048.5763333,+1.57099160E+00,,3.027468455640745e-05,4.8654098522167494e-05
2,+3.12363000E-05,1559381048.7846668,+1.57099040E+00,,3.027556736035049e-05,4.8655123152709365e-05
3,+3.11728600E-05,1559381048.993,+1.57099040E+00,,3.0275914567360348e-05,4.865806896551724e-05
4,+3.12155800E-05,1559381049.2013333,+1.57098790E+00,,3.027618948521358e-05,4.86567881773399e-05
5,+3.11781900E-05,1559381049.4096668,+1.57098910E+00,,3.0276059145673605e-05,4.865256157635468e-05
6,+3.11828700E-05,1559381049.618,+1.57098660E+00,,3.027558159912377e-05,4.8662039408866994e-05
7,+3.12603300E-05,1559381049.8263333,+1.57099040E+00,,3.027542278203724e-05,4.865537931034483e-05
8,+3.12149300E-05,1559381050.0346668,+1.57098910E+00,,3.027582803943045e-05,4.8655635467980294e-05
9,+3.11968900E-05,1559381050.243,+1.57098910E+00,,3.0276030668127058e-05,4.865589162561576e-05
10,+3.11989000E-05,1559381050.4513333,+1.57099040E+00,,3.0276102957283682e-05,4.865281773399015e-05
11,+3.12456500E-05,1559381050.6596668,+1.57099280E+00,,3.0275943044906902e-05,4.865755665024631e-05
12,+3.12095700E-05,1559381050.868,+1.57099280E+00,,3.0276175246440307e-05,4.8653970443349753e-05
13,+3.11862000E-05,1559381051.0763333,+1.57099160E+00,,3.0276319824753564e-05,4.865384236453202e-05
14,+3.12102500E-05,1559381051.2846668,+1.57099040E+00,,3.0275495071193866e-05,4.8652689655172415e-05
15,+3.12743700E-05,1559381051.493,+1.57099280E+00,,3.0275711938663747e-05,4.865025615763547e-05
16,+3.12302800E-05,1559381051.7013333,+1.57099410E+00,,3.0275972617743706e-05,4.865537931034483e-05
17,+3.12883800E-05,1559381051.9096668,+1.57099410E+00,,3.0276217962760135e-05,4.8656147783251236e-05
18,+3.12423000E-05,1559381052.118,+1.57099410E+00,,3.0276073384446878e-05,4.865717241379311e-05
19,+3.11928900E-05,1559381052.3263333,+1.57099280E+00,,3.0276145673603503e-05,4.865819704433498e-05
20,+3.12396400E-05,1559381052.5346668,+1.57099780E+00,,3.0276001095290253e-05,4.8653330049261084e-05
21,+3.12329500E-05,1559381052.743,+1.57099900E+00,,3.0276232201533408e-05,4.8656660098522165e-05
22,+3.12696900E-05,1559381052.9513333,+1.57100150E+00,,3.0276232201533408e-05,4.8653330049261084e-05
23,+3.13030800E-05,1559381053.1596668,+1.57100520E+00,,3.0276261774370212e-05,4.865153694581281e-05
24,+3.13057500E-05,1559381053.368,+1.57100650E+00,,3.0276145673603503e-05,4.8655123152709365e-05
25,+3.12596600E-05,1559381057.166,+1.57100400E+00,,3.027660898138007e-05,4.8653970443349753e-05
26,+3.11928900E-05,1559381057.3743331,+1.57100280E+00,,3.0276377875136915e-05,4.865576354679803e-05
27,+3.12496500E-05,1559381057.5826666,+1.57100900E+00,,3.0276362541073384e-05,4.86567881773399e-05
28,+3.12523200E-05,1559381057.791,+1.57100900E+00,,3.0276319824753564e-05,4.865589162561576e-05
29,+3.12877200E-05,1559381057.9993331,+1.57100900E+00,,3.0276319824753564e-05,4.865768472906404e-05
30,+3.11948900E-05,1559381058.2076666,+1.57101140E+00,,3.027629025191676e-05,4.865730049261084e-05
31,+3.11474600E-05,1559381058.416,+1.57101270E+00,,3.0276507119386637e-05,4.8653201970443343e-05
32,+3.12055700E-05,1559381058.6243331,+1.57102010E+00,,3.0276695509309968e-05,4.8654995073891624e-05
33,+3.11621700E-05,1559381058.8326666,+1.57101640E+00,,3.0276434830230012e-05,4.8655123152709365e-05
34,+3.12403000E-05,1559381059.041,+1.57101640E+00,,3.0276059145673605e-05,4.8651408866995076e-05
35,+3.11574900E-05,1559381059.2493331,+1.57101760E+00,,3.0276232201533408e-05,4.865256157635468e-05
36,+3.12042400E-05,1559381059.4576666,+1.57101640E+00,,3.0276276013143486e-05,4.865448275862069e-05
37,+3.11835400E-05,1559381059.666,+1.57101270E+00,,3.0276175246440307e-05,4.865230541871921e-05
38,+3.12356200E-05,1559381059.8743331,+1.57101140E+00,,3.0276464403066813e-05,4.8656403940886704e-05
39,+3.12396400E-05,1559381060.0826666,+1.57100770E+00,,3.0276825848849944e-05,4.865153694581281e-05
40,+3.12389600E-05,1559381060.291,+1.57101270E+00,,3.027660898138007e-05,4.865819704433498e-05
41,+3.11875400E-05,1559381060.4993331,+1.57100650E+00,,3.0276434830230012e-05,4.865448275862069e-05
42,+3.11608300E-05,1559381060.7076666,+1.57100770E+00,,3.0276492880613364e-05,4.864756650246305e-05
43,+3.11314400E-05,1559381060.916,+1.57101140E+00,,3.0276464403066813e-05,4.866063054187192e-05
44,+3.11755300E-05,1559381061.1243331,+1.57100520E+00,,3.0276247535596932e-05,4.8652689655172415e-05
45,+3.11381200E-05,1559381061.3326666,+1.57101270E+00,,3.027634830230011e-05,4.8654995073891624e-05
46,+3.11414700E-05,1559381061.541,+1.57101020E+00,,3.0275943044906902e-05,4.8650896551724134e-05
47,+3.11134100E-05,1559381061.7493331,+1.57100650E+00,,3.0276492880613364e-05,4.865294581280788e-05
48,+3.12042400E-05,1559381061.9576666,+1.57100400E+00,,3.0276406352683462e-05,4.8651665024630544e-05
49,+3.11354600E-05,1559381062.166,+1.57100280E+00,,3.0276869660460022e-05,4.8655635467980294e-05
50,+3.11414500E-05,1559381065.767,+1.57099660E+00,,3.027724534501643e-05,4.8655123152709365e-05
51,+3.10566500E-05,1559381065.9753332,+1.57099660E+00,,3.0276998904709744e-05,4.8654098522167494e-05
52,+3.11227600E-05,1559381066.1836667,+1.57099780E+00,,3.0277129244249727e-05,4.865422660098523e-05
53,+3.11013900E-05,1559381066.392,+1.57100280E+00,,3.027692661555312e-05,4.865627586206897e-05
54,+3.10987200E-05,1559381066.6003332,+1.57100150E+00,,3.027681161007667e-05,4.865294581280788e-05
55,+3.10920400E-05,1559381066.8086667,+1.57100150E+00,,3.027698466593647e-05,4.865281773399015e-05
56,+3.11080700E-05,1559381067.017,+1.57099900E+00,,3.0276406352683462e-05,4.8654354679802955e-05
57,+3.11207700E-05,1559381067.2253332,+1.57100280E+00,,3.0276695509309968e-05,4.865192118226601e-05
58,+3.10980500E-05,1559381067.4336667,+1.57100280E+00,,3.027675355969332e-05,4.865384236453202e-05
59,+3.10673400E-05,1559381067.642,+1.57100150E+00,,3.027666703176342e-05,4.8653970443349753e-05
60,+3.10760200E-05,1559381067.8503332,+1.57099660E+00,,3.0277086527929903e-05,4.86567881773399e-05
61,+3.11034000E-05,1559381068.0586667,+1.57100150E+00,,3.027660898138007e-05,4.865422660098523e-05
62,+3.11354400E-05,1559381068.267,+1.57100150E+00,,3.0276420591456736e-05,4.865653201970444e-05
63,+3.10299400E-05,1559381068.4753332,+1.57099900E+00,,3.0276492880613364e-05,4.865755665024631e-05
64,+3.09511300E-05,1559381068.6836667,+1.57100280E+00,,3.0276522453450165e-05,4.865730049261084e-05
65,+3.10319400E-05,1559381068.892,+1.57100030E+00,,3.027675355969332e-05,4.865883743842365e-05
66,+3.10285900E-05,1559381069.1003332,+1.57099900E+00,,3.027724534501643e-05,4.865909359605911e-05
67,+3.09471200E-05,1559381069.3086667,+1.57099660E+00,,3.0277506024096386e-05,4.86552512315271e-05
68,+3.09391200E-05,1559381069.517,+1.57099530E+00,,3.027724534501643e-05,4.865730049261084e-05
69,+3.09377800E-05,1559381069.7253332,+1.57099660E+00,,3.0277722891566263e-05,4.8656660098522165e-05
70,+3.08810100E-05,1559381069.9336667,+1.57099780E+00,,3.0277231106243153e-05,4.8656660098522165e-05
71,+3.09143900E-05,1559381070.142,+1.57100520E+00,,3.0277231106243153e-05,4.865730049261084e-05
72,+3.08476300E-05,1559381070.3503332,+1.57100650E+00,,3.027724534501643e-05,4.865755665024631e-05
73,+3.08382600E-05,1559381070.5586667,+1.57100030E+00,,3.027730339539978e-05,4.865986206896552e-05
74,+3.08730000E-05,1559381070.767,+1.57100280E+00,,3.0277679079956186e-05,4.865922167487685e-05
75,+3.06967000E-05,1559381074.367,+1.57099660E+00,,3.0277375684556406e-05,4.865627586206897e-05
76,+3.06806500E-05,1559381074.5753334,+1.57099410E+00,,3.0277158817086528e-05,4.865627586206897e-05
77,+3.08730000E-05,1559381074.7836668,+1.57100030E+00,,3.0277621029572834e-05,4.865243349753695e-05
78,+3.08008700E-05,1559381074.992,+1.57099660E+00,,3.0277534501642936e-05,4.865819704433498e-05
79,+3.07113800E-05,1559381075.2003334,+1.57099660E+00,,3.0277997809419496e-05,4.865858128078818e-05
80,+3.07007000E-05,1559381075.4086668,+1.57099780E+00,,3.027765060240964e-05,4.865858128078818e-05
81,+3.08770100E-05,1559381075.617,+1.57099780E+00,,3.0277476451259585e-05,4.8659733990147784e-05
82,+3.08008600E-05,1559381075.8253334,+1.57100150E+00,,3.027770865279299e-05,4.8656147783251236e-05
83,+3.07815000E-05,1559381076.0336668,+1.57099530E+00,,3.0277592552026287e-05,4.8654354679802955e-05
84,+3.07167200E-05,1559381076.242,+1.57099530E+00,,3.0277476451259585e-05,4.866063054187192e-05
85,+3.09331100E-05,1559381076.4503334,+1.57099900E+00,,3.0277331872946328e-05,4.865461083743842e-05
86,+3.08522900E-05,1559381076.6586668,+1.57100520E+00,,3.0277462212486304e-05,4.8656403940886704e-05
87,+3.07728300E-05,1559381076.867,+1.57100770E+00,,3.027776560788609e-05,4.8660374384236454e-05
88,+3.07527900E-05,1559381077.0753334,+1.57100650E+00,,3.0277534501642936e-05,4.8656660098522165e-05
89,+3.08589800E-05,1559381077.2836668,+1.57101140E+00,,3.027738992332968e-05,4.865589162561576e-05
90,+3.08496200E-05,1559381077.492,+1.57101390E+00,,3.027738992332968e-05,4.8656660098522165e-05
91,+3.07160600E-05,1559381077.7003334,+1.57102010E+00,,3.0277173055859802e-05,4.866050246305419e-05
92,+3.07220800E-05,1559381077.9086668,+1.57101390E+00,,3.0277042716319822e-05,4.865858128078818e-05
93,+3.08563000E-05,1559381078.117,+1.57101890E+00,,3.0277346111719602e-05,4.865576354679803e-05
94,+3.07608000E-05,1559381078.3253334,+1.57101760E+00,,3.027718729463308e-05,4.866011822660098e-05
95,+3.06793300E-05,1559381078.5336668,+1.57101890E+00,,3.0277621029572834e-05,4.865819704433498e-05
96,+3.06459400E-05,1559381078.742,+1.57101760E+00,,3.0277939759036145e-05,4.8658965517241374e-05
97,+3.08489600E-05,1559381078.9503334,+1.57101520E+00,,3.0277592552026287e-05,4.866024630541872e-05
98,+3.07434300E-05,1559381079.1586668,+1.57101390E+00,,3.027776560788609e-05,4.866229556650247e-05
99,+3.06866800E-05,1559381079.367,+1.57101270E+00,,3.0277737130339537e-05,4.865550738916256e-05
100,+3.08289200E-05,1559381082.967,+1.57100520E+00,,3.0277679079956186e-05,4.866152709359606e-05
101,+3.09885300E-05,1559381083.1753333,+1.57100520E+00,,3.027779518072289e-05,4.865550738916256e-05
102,+3.08402700E-05,1559381083.3836668,+1.57100520E+00,,3.027738992332968e-05,4.865781280788177e-05
103,+3.08436000E-05,1559381083.592,+1.57100280E+00,,3.0277621029572834e-05,4.865806896551724e-05
