,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+3.47851200E-05,1559357523.435,0.00011768030668127053,4.9435674876847295e-05
1,+3.47397100E-05,1559357523.6433332,0.00011768552026286966,4.943631527093596e-05
2,+3.48712700E-05,1559357523.8516667,0.00011769015334063528,4.9442334975369456e-05
3,+3.50555900E-05,1559357524.06,0.00011769276013143483,4.944323152709359e-05
4,+3.43924400E-05,1559357524.2683332,0.0001176937677984666,4.943183251231527e-05
5,+3.47670800E-05,1559357524.4766667,0.00011769189485213581,4.9427605911330054e-05
6,+3.48358600E-05,1559357524.685,0.0001176931982475356,4.942222660098522e-05
7,+3.48853000E-05,1559357524.8933332,0.0001176943483023001,4.942811822660098e-05
8,+3.47978100E-05,1559357525.1016667,0.0001176937677984666,4.942799014778325e-05
9,+3.48979900E-05,1559357525.31,0.00011769145673603504,4.942670935960592e-05
10,+3.45099700E-05,1559357525.5183332,0.000117689430449069,4.942530049261084e-05
11,+3.46549000E-05,1559357525.7266667,0.00011769406352683462,4.942670935960592e-05
12,+3.49794600E-05,1559357525.935,0.0001176937677984666,4.943170443349754e-05
13,+3.46555600E-05,1559357526.1433332,0.00011769550930996714,4.94311921182266e-05
14,+3.47877800E-05,1559357526.3516667,0.00011769608981380065,4.943208866995074e-05
15,+3.49500700E-05,1559357526.56,0.00011769608981380065,4.943272906403941e-05
16,+3.44993000E-05,1559357526.7683332,0.00011769623220153341,4.9429527093596055e-05
17,+3.47597500E-05,1559357526.9766667,0.00011769739320920044,4.943016748768473e-05
18,+3.47443700E-05,1559357527.185,0.00011769739320920044,4.94308078817734e-05
19,+3.48178500E-05,1559357527.3933332,0.00011769594742606791,4.94308078817734e-05
20,+3.49801300E-05,1559357527.6016667,0.00011769392113910186,4.943183251231527e-05
21,+3.51530800E-05,1559357527.81,0.00011769478641840089,4.9430039408867e-05
22,+3.47597300E-05,1559357528.0183332,0.00011769507119386639,4.942837438423645e-05
23,+3.47791000E-05,1559357528.2266667,0.00011769450164293536,4.942939901477832e-05
24,+3.49514000E-05,1559357528.435,0.0001176943483023001,4.9429911330049264e-05
25,+3.46235000E-05,1559357532.454,0.00011769594742606791,4.943106403940887e-05
26,+3.47704200E-05,1559357532.6623333,0.00011769362541073383,4.943183251231527e-05
27,+3.48145100E-05,1559357532.8706667,0.00011769217962760131,4.942786206896552e-05
28,+3.47884600E-05,1559357533.079,0.00011769276013143483,4.9429527093596055e-05
29,+3.47490600E-05,1559357533.2873333,0.00011769217962760131,4.9429911330049264e-05
30,+3.49747800E-05,1559357533.4956667,0.00011768986856516978,4.942927093596059e-05
31,+3.49754400E-05,1559357533.704,0.00011768870755750273,4.943029556650246e-05
32,+3.48632600E-05,1559357533.9123333,0.00011768841182913473,4.9430039408867e-05
33,+3.49714400E-05,1559357534.1206667,0.00011768841182913473,4.94311921182266e-05
34,+3.45607300E-05,1559357534.329,0.00011768957283680176,4.9429014778325127e-05
35,+3.50636100E-05,1559357534.5373333,0.00011769029572836802,4.943234482758621e-05
36,+3.47964700E-05,1559357534.7456667,0.00011769029572836802,4.943029556650246e-05
37,+3.49206800E-05,1559357534.954,0.00011768899233296824,4.9429014778325127e-05
38,+3.51464000E-05,1559357535.1623333,0.00011768884994523549,4.942645320197044e-05
39,+3.48125000E-05,1559357535.3706667,0.00011769001095290252,4.942888669950739e-05
40,+3.47430400E-05,1559357535.579,0.00011768856516977,4.942875862068966e-05
41,+3.50969800E-05,1559357535.7873333,0.00011768884994523549,4.942747783251231e-05
42,+3.45740900E-05,1559357535.9956667,0.00011768812705366921,4.942799014778325e-05
43,+3.49694400E-05,1559357536.204,0.00011768899233296824,4.942184236453202e-05
44,+3.46241700E-05,1559357536.4123333,0.00011768841182913473,4.942696551724138e-05
45,+3.51363900E-05,1559357536.6206667,0.00011768493975903614,4.942747783251231e-05
46,+3.50903200E-05,1559357536.829,0.00011768435925520263,4.942786206896552e-05
47,+3.46422100E-05,1559357537.0373333,0.0001176845125958379,4.94244039408867e-05
48,+3.48592500E-05,1559357537.2456667,0.00011768248630887185,4.942837438423645e-05
49,+3.47230100E-05,1559357537.454,0.00011768132530120482,4.942773399014779e-05
50,+3.47210000E-05,1559357540.975,0.00011768262869660459,4.94244039408867e-05
51,+3.44678900E-05,1559357541.1833332,0.00011768030668127053,4.9427221674876846e-05
52,+3.46942900E-05,1559357541.3916667,0.00011768118291347206,4.9424916256157636e-05
53,+3.47376900E-05,1559357541.6,0.00011767972617743701,4.94247881773399e-05
54,+3.46368600E-05,1559357541.8083332,0.00011767785323110624,4.942261083743842e-05
55,+3.46522200E-05,1559357542.0166667,0.00011767944140197153,4.942632512315271e-05
56,+3.48432100E-05,1559357542.225,0.00011767886089813801,4.942414778325123e-05
57,+3.45740900E-05,1559357542.4333332,0.00011767944140197153,4.942837438423645e-05
58,+3.48358800E-05,1559357542.6416667,0.00011767828039430449,4.9428502463054184e-05
59,+3.44799200E-05,1559357542.85,0.00011768030668127053,4.9429142857142854e-05
60,+3.44124800E-05,1559357543.0583332,0.00011767929901423877,4.942747783251231e-05
61,+3.45213300E-05,1559357543.2666667,0.00011767972617743701,4.942786206896552e-05
62,+3.48205100E-05,1559357543.475,0.00011767813800657174,4.942645320197044e-05
63,+3.48532400E-05,1559357543.6833332,0.00011767654983570645,4.942568472906403e-05
64,+3.46809500E-05,1559357543.8916667,0.00011767944140197153,4.942773399014779e-05
65,+3.45413600E-05,1559357544.1,0.00011767755750273822,4.942376354679803e-05
66,+3.50028300E-05,1559357544.3083332,0.00011767871851040525,4.942197044334976e-05
67,+3.46114900E-05,1559357544.5166667,0.00011767944140197153,4.9424275862068967e-05
68,+3.45941300E-05,1559357544.725,0.0001176801642935378,4.942645320197044e-05
69,+3.49861300E-05,1559357544.9333332,0.00011767900328587074,4.942209852216749e-05
70,+3.46675800E-05,1559357545.1416667,0.00011767972617743701,4.942594088669951e-05
71,+3.49500700E-05,1559357545.35,0.0001176791456736035,4.9423891625615765e-05
72,+3.48064900E-05,1559357545.5583332,0.00011767958378970428,4.942696551724138e-05
73,+3.47043000E-05,1559357545.7666667,0.00011767972617743701,4.942645320197044e-05
74,+3.46368600E-05,1559357545.975,0.00011767769989047098,4.9429527093596055e-05
75,+3.47216800E-05,1559357549.576,0.00011768118291347206,4.942530049261084e-05
76,+3.49767900E-05,1559357549.7843332,0.00011767929901423877,4.942504433497537e-05
77,+3.46522200E-05,1559357549.9926667,0.00011767683461117198,4.942542857142857e-05
78,+3.49781200E-05,1559357550.201,0.00011767538882803943,4.94244039408867e-05
79,+3.46802800E-05,1559357550.4093332,0.00011767596933187293,4.942466009852216e-05
80,+3.50849700E-05,1559357550.6176667,0.00011767567360350493,4.942542857142857e-05
81,+3.47918000E-05,1559357550.826,0.00011767480832420591,4.9428502463054184e-05
82,+3.48472300E-05,1559357551.0343332,0.00011767538882803943,4.942658128078818e-05
83,+3.46836100E-05,1559357551.2426667,0.0001176763964950712,4.942542857142857e-05
84,+3.47951300E-05,1559357551.451,0.00011767711938663746,4.942645320197044e-05
85,+3.45794300E-05,1559357551.6593332,0.00011767538882803943,4.942645320197044e-05
86,+3.49046500E-05,1559357551.8676667,0.00011767495071193867,4.942466009852216e-05
87,+3.48392200E-05,1559357552.076,0.000117677995618839,4.9425172413793104e-05
88,+3.48325400E-05,1559357552.2843332,0.00011767857612267251,4.942568472906403e-05
89,+3.46802600E-05,1559357552.4926667,0.000117677995618839,4.942235467980295e-05
90,+3.46709300E-05,1559357552.701,0.00011767625410733843,4.9424916256157636e-05
91,+3.45513900E-05,1559357552.9093332,0.00011767886089813801,4.942466009852216e-05
92,+3.46649100E-05,1559357553.1176667,0.00011767828039430449,4.942786206896552e-05
93,+3.49160100E-05,1559357553.326,0.00011767785323110624,4.942786206896552e-05
94,+3.49661000E-05,1559357553.5343332,0.00011767769989047098,4.942670935960592e-05
95,+3.47570700E-05,1559357553.7426667,0.00011767711938663746,4.942811822660098e-05
96,+3.48819500E-05,1559357553.951,0.00011767669222343922,4.942747783251231e-05
97,+3.46936300E-05,1559357554.1593332,0.00011767769989047098,4.9427605911330054e-05
98,+3.49320500E-05,1559357554.3676667,0.00011768030668127053,4.942542857142857e-05
99,+3.47764400E-05,1559357554.576,0.00011767828039430449,4.9427221674876846e-05
100,+3.46535500E-05,1559357558.175,0.00011767886089813801,4.942504433497537e-05
101,+3.47136700E-05,1559357558.3833332,0.00011767944140197153,4.942606896551724e-05
102,+3.49667800E-05,1559357558.5916667,0.000117677995618839,4.942747783251231e-05
103,+3.49834700E-05,1559357558.8,0.00011767987951807227,4.9423891625615765e-05
104,+3.42942800E-05,1559357559.0083332,0.00011767972617743701,4.942414778325123e-05
105,+3.44719200E-05,1559357559.2166667,0.00011767944140197153,4.942799014778325e-05
106,+3.50302200E-05,1559357559.425,0.00011767972617743701,4.9426197044334975e-05
107,+3.48071600E-05,1559357559.6333332,0.0001176804490690033,4.942414778325123e-05
108,+3.48559100E-05,1559357559.8416667,0.00011768118291347206,4.942542857142857e-05
109,+3.48151600E-05,1559357560.05,0.00011768030668127053,4.942594088669951e-05
110,+3.51931700E-05,1559357560.2583332,0.00011767711938663746,4.9423891625615765e-05
111,+3.50235400E-05,1559357560.4666667,0.00011767785323110624,4.942504433497537e-05
112,+3.46281800E-05,1559357560.675,0.00011767741511500549,4.942312315270936e-05
113,+3.47250200E-05,1559357560.8833332,0.000117677995618839,4.942363546798029e-05
114,+3.50615900E-05,1559357561.0916667,0.00011767755750273822,4.942568472906403e-05
115,+3.47624100E-05,1559357561.3,0.00011767857612267251,4.942414778325123e-05
116,+3.47023100E-05,1559357561.5083332,0.00011768002190580504,4.942542857142857e-05
117,+3.51036700E-05,1559357561.7166667,0.000117677995618839,4.942273891625616e-05
118,+3.49427200E-05,1559357561.925,0.00011768132530120482,4.942209852216749e-05
119,+3.49287100E-05,1559357562.1333332,0.00011767886089813801,4.9423891625615765e-05
120,+3.50041700E-05,1559357562.3416667,0.00011767944140197153,4.942466009852216e-05
121,+3.49080100E-05,1559357562.55,0.00011767741511500549,4.942466009852216e-05
122,+3.48098400E-05,1559357562.7583332,0.00011767929901423877,4.942312315270936e-05
123,+3.48953100E-05,1559357562.9666667,0.00011768060240963856,4.942875862068966e-05
124,+3.47677600E-05,1559357563.175,0.00011768204819277108,4.942747783251231e-05
125,+3.46168300E-05,1559357566.776,0.00011768146768893756,4.942466009852216e-05
126,+3.47136600E-05,1559357566.9843333,0.00011768060240963856,4.942670935960592e-05
127,+3.53480900E-05,1559357567.1926668,0.00011768060240963856,4.942363546798029e-05
128,+3.47183400E-05,1559357567.401,0.00011767958378970428,4.942363546798029e-05
129,+3.50455700E-05,1559357567.6093333,0.00011767711938663746,4.94244039408867e-05
130,+3.46809300E-05,1559357567.8176668,0.00011767683461117198,4.942312315270936e-05
131,+3.47136700E-05,1559357568.026,0.00011767669222343922,4.9422866995073894e-05
132,+3.47817800E-05,1559357568.2343333,0.00011767711938663746,4.9423891625615765e-05
133,+3.47931300E-05,1559357568.4426668,0.00011767683461117198,4.942542857142857e-05
134,+3.43997700E-05,1559357568.651,0.000117677995618839,4.942555665024631e-05
135,+3.50215400E-05,1559357568.8593333,0.00011767842278203722,4.942414778325123e-05
136,+3.51838100E-05,1559357569.0676668,0.00011767944140197153,4.9423251231527096e-05
137,+3.48125000E-05,1559357569.276,0.00011767972617743701,4.942299507389163e-05
138,+3.47002900E-05,1559357569.4843333,0.00011767828039430449,4.942337931034482e-05
139,+3.45640600E-05,1559357569.6926668,0.00011767929901423877,4.942581280788177e-05
140,+3.47116600E-05,1559357569.901,0.00011767711938663746,4.942081773399015e-05
141,+3.46121600E-05,1559357570.1093333,0.0001176791456736035,4.942734975369458e-05
142,+3.49500700E-05,1559357570.3176668,0.00011767813800657174,4.941992118226601e-05
143,+3.46976400E-05,1559357570.526,0.00011767813800657174,4.942184236453202e-05
144,+3.48512400E-05,1559357570.7343333,0.00011768060240963856,4.942184236453202e-05
145,+3.48238600E-05,1559357570.9426668,0.00011767944140197153,4.9422866995073894e-05
146,+3.45033000E-05,1559357571.151,0.00011768074479737132,4.942363546798029e-05
147,+3.46241800E-05,1559357571.3593333,0.00011768118291347206,4.941902463054187e-05
148,+3.45974600E-05,1559357571.5676668,0.0001176804490690033,4.942184236453202e-05
149,+3.47657600E-05,1559357571.776,0.00011768305585980284,4.942414778325123e-05
150,+3.46575600E-05,1559357575.376,0.0001176791456736035,4.942184236453202e-05
151,+3.46442000E-05,1559357575.5843332,0.00011768060240963856,4.942107389162561e-05
152,+3.46842700E-05,1559357575.7926667,0.00011768002190580504,4.942133004926108e-05
153,+3.48786100E-05,1559357576.001,0.0001176804490690033,4.942197044334976e-05
154,+3.48746100E-05,1559357576.2093332,0.00011767886089813801,4.942235467980295e-05
155,+3.45807600E-05,1559357576.4176667,0.00011768060240963856,4.942414778325123e-05
156,+3.48986500E-05,1559357576.626,0.00011768088718510405,4.942337931034482e-05
157,+3.46535500E-05,1559357576.8343332,0.00011767929901423877,4.942056157635468e-05
158,+3.49140100E-05,1559357577.0426667,0.0001176750930996714,4.94244039408867e-05
159,+3.47056500E-05,1559357577.251,0.00011767625410733843,4.942299507389163e-05
160,+3.46796000E-05,1559357577.4593332,0.00011768002190580504,4.942337931034482e-05
161,+3.47897800E-05,1559357577.6676667,0.00011767871851040525,4.942107389162561e-05
162,+3.47263500E-05,1559357577.876,0.00011767741511500549,4.942107389162561e-05
163,+3.48345300E-05,1559357578.0843332,0.00011767567360350493,4.9420433497536944e-05
164,+3.48338600E-05,1559357578.2926667,0.00011767741511500549,4.942081773399015e-05
165,+3.47557200E-05,1559357578.501,0.00011767755750273822,4.942107389162561e-05
166,+3.49487400E-05,1559357578.7093332,0.00011767683461117198,4.9420945812807886e-05
167,+3.44512100E-05,1559357578.9176667,0.00011767567360350493,4.9422866995073894e-05
168,+3.46876200E-05,1559357579.126,0.00011767495071193867,4.941940886699507e-05
169,+3.46682400E-05,1559357579.3343332,0.00011767625410733843,4.942235467980295e-05
170,+3.49220600E-05,1559357579.5426667,0.00011767452354874041,4.942107389162561e-05
171,+3.50629800E-05,1559357579.751,0.00011767567360350493,4.941979310344828e-05
172,+3.49213900E-05,1559357579.9593332,0.00011767654983570645,4.9420177339901476e-05
173,+3.47203800E-05,1559357580.1676667,0.00011767711938663746,4.942184236453202e-05
174,+3.49741500E-05,1559357580.376,0.0001176750930996714,4.942081773399015e-05
175,+3.48272200E-05,1559357583.976,0.00011767538882803943,4.941979310344828e-05
176,+3.46242200E-05,1559357584.1843333,0.0001176742278203724,4.9418512315270936e-05
177,+3.46442400E-05,1559357584.3926668,0.00011767437020810515,4.942120197044335e-05
178,+3.48880100E-05,1559357584.601,0.00011767162102957284,4.9420177339901476e-05
179,+3.46362200E-05,1559357584.8093333,0.00011767220153340636,4.942312315270936e-05
180,+3.46602800E-05,1559357585.0176668,0.00011767046002190581,4.9420945812807886e-05
181,+3.46963400E-05,1559357585.226,0.00011767104052573933,4.941979310344828e-05
182,+3.45467400E-05,1559357585.4343333,0.00011767191675794086,4.941953694581281e-05
183,+3.44338900E-05,1559357585.6426668,0.00011766945235487405,4.941889655172414e-05
184,+3.46008500E-05,1559357585.851,0.00011766698795180723,4.941979310344828e-05
185,+3.48178800E-05,1559357586.0593333,0.00011766843373493975,4.942209852216749e-05
186,+3.45474000E-05,1559357586.2676668,0.00011766496166484119,4.941979310344828e-05
187,+3.42989400E-05,1559357586.476,0.00011766351588170865,4.942068965517242e-05
188,+3.46749700E-05,1559357586.6843333,0.00011766467688937568,4.941928078817734e-05
189,+3.45133500E-05,1559357586.8926668,0.00011766221248630889,4.942081773399015e-05
190,+3.42488500E-05,1559357587.101,0.00011766293537787513,4.9420177339901476e-05
191,+3.48145100E-05,1559357587.3093333,0.0001176606243154436,4.941928078817734e-05
192,+3.47323500E-05,1559357587.5176668,0.00011766265060240963,4.941928078817734e-05
193,+3.45400200E-05,1559357587.726,0.00011766351588170865,4.942004926108374e-05
194,+3.48953400E-05,1559357587.9343333,0.00011766265060240963,4.942235467980295e-05
195,+3.46208800E-05,1559357588.1426668,0.0001176617743702081,4.9417743842364526e-05
196,+3.45153500E-05,1559357588.351,0.00011766207009857613,4.941902463054187e-05
197,+3.51184000E-05,1559357588.5593333,0.00011766293537787513,4.941928078817734e-05
198,+3.50529600E-05,1559357588.7676668,0.00011766293537787513,4.941825615763547e-05
199,+3.45046700E-05,1559357588.976,0.00011766380065717415,4.9418128078817734e-05
200,+3.48365900E-05,1559357592.575,0.00011766293537787513,4.94183842364532e-05
201,+3.45821400E-05,1559357592.7833333,0.00011766525739320918,4.942081773399015e-05
202,+3.48018600E-05,1559357592.9916668,0.00011766640744797371,4.942107389162561e-05
203,+3.47350600E-05,1559357593.2,0.00011766670317634173,4.9416719211822655e-05
204,+3.47210500E-05,1559357593.4083333,0.00011766612267250823,4.942209852216749e-05
205,+3.45113400E-05,1559357593.6166668,0.00011766930996714128,4.9422866995073894e-05
206,+3.47958400E-05,1559357593.825,0.00011766887185104054,4.942056157635468e-05
207,+3.48840000E-05,1559357594.0333333,0.00011766901423877327,4.942120197044335e-05
208,+3.47531000E-05,1559357594.2416668,0.00011766814895947426,4.942261083743842e-05
209,+3.46442400E-05,1559357594.45,0.00011766814895947426,4.941979310344828e-05
210,+3.48886600E-05,1559357594.6583333,0.00011766554216867471,4.941940886699507e-05
