,SQUID_Volt(V),timestamp,FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+8.49092520E-04,1559359321.101,,0.294,,
1,+8.48920060E-04,1559359321.3093333,,,,
2,+4.70177000E-05,1559359321.5176668,,,,
3,+4.67712600E-05,1559359321.726,,,,
4,+4.71145500E-05,1559359321.9343333,,,,
5,+4.73883500E-05,1559359322.1426668,,,,
6,+4.70110300E-05,1559359322.351,,,,
7,+4.70677900E-05,1559359322.5593333,,,,
8,+4.69816500E-05,1559359322.7676668,,,,
9,+4.70497700E-05,1559359322.976,,,,
10,+4.69382500E-05,1559359323.1843333,,,,
11,+4.70404100E-05,1559359323.3926668,,,,
12,+4.69115300E-05,1559359323.601,,,,
13,+4.69395800E-05,1559359323.8093333,,,,
14,+4.69275600E-05,1559359324.0176668,,,,
15,+4.69329000E-05,1559359324.226,,,,
16,+4.69175400E-05,1559359324.4343333,,,,
17,+4.68868200E-05,1559359324.6426668,,,,
18,+4.69282200E-05,1559359324.851,,,,
19,+4.69288900E-05,1559359325.0593333,,,,
20,+4.69455900E-05,1559359325.2676668,,,,
21,+4.69422400E-05,1559359325.476,,,,
22,+4.69128600E-05,1559359325.6843333,,,,
23,+4.68941700E-05,1559359325.8926668,,,,
24,+4.69081900E-05,1559359326.101,,,,
25,+4.69509300E-05,1559359328.216,,,,
26,+4.69362300E-05,1559359328.4243333,,,,
27,+4.69115300E-05,1559359328.6326668,,,,
28,+4.69202200E-05,1559359328.841,,,,
29,+4.69275500E-05,1559359329.0493333,,,,
30,+4.69395700E-05,1559359329.2576668,,,,
31,+4.68988300E-05,1559359329.466,,,,
32,+4.69435900E-05,1559359329.6743333,,,,
33,+4.69035100E-05,1559359329.8826668,,,,
34,+4.69429200E-05,1559359330.091,,,,
35,+4.69288900E-05,1559359330.2993333,,,,
36,+4.69576100E-05,1559359330.5076668,,,,
37,+4.69422400E-05,1559359330.716,,,,
38,+4.69656100E-05,1559359330.9243333,,,,
39,+4.69275500E-05,1559359331.1326668,,,,
40,+4.69469300E-05,1559359331.341,,,,
41,+4.68988400E-05,1559359331.5493333,,,,
42,+4.69202200E-05,1559359331.7576668,,,,
43,+4.69849900E-05,1559359331.966,,,,
44,+4.69682900E-05,1559359332.1743333,,,,
45,+4.69409100E-05,1559359332.3826668,,,,
46,+4.69496000E-05,1559359332.591,,,,
47,+4.69869900E-05,1559359332.7993333,,,,
48,+4.69228700E-05,1559359333.0076668,,,,
49,+4.69629500E-05,1559359333.216,,,,
50,+4.69629500E-05,1559359334.894,,,,
51,+4.69983400E-05,1559359335.1023333,,,,
52,+4.69816500E-05,1559359335.3106668,,,,
53,+4.70010100E-05,1559359335.519,,,,
54,+4.69936600E-05,1559359335.7273333,,,,
55,+4.69883300E-05,1559359335.9356668,,,,
56,+4.70036900E-05,1559359336.144,,,,
57,+4.69849900E-05,1559359336.3523333,,,,
58,+4.70123600E-05,1559359336.5606668,,,,
59,+4.70117100E-05,1559359336.769,,,,
60,+4.69803100E-05,1559359336.9773333,,,,
61,+4.70123700E-05,1559359337.1856668,,,,
62,+4.70016700E-05,1559359337.394,,,,
