,SQUID_Volt(V),FC_CURR(A),MAG_CURR(A),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,,,-0.011,1559359153.983,,
1,,,-0.01,1559359154.089,,
2,,,-0.01,1559359154.207,,
3,,,-0.012,1559359154.328,,
4,,,-0.009,1559359154.434,,
5,,,-0.009,1559359154.554,,
6,,,-0.008,1559359154.674,,
7,,,-0.004,1559359154.827,,
8,,,-0.005,1559359154.946,,
9,,,-0.003,1559359155.052,,
10,,,-0.002,1559359155.173,,
11,,,-0.002,1559359155.293,,
12,,,0.001,1559359155.398,,
13,,,0.001,1559359155.519,,
14,,,0.003,1559359155.639,,
15,,,0.004,1559359155.745,,
16,,,0.005,1559359155.865,,
17,,,0.006,1559359155.985,,
18,,,0.007,1559359156.139,,
19,,,0.009,1559359156.259,,
20,,,0.011,1559359156.364,,
21,,,0.011,1559359156.484,,
22,,,0.013,1559359156.605,,
23,,,0.013,1559359156.711,,
24,,,0.016,1559359156.831,,
25,,,0.017,1559359156.951,,
26,,,0.017,1559359157.057,,
27,,,0.019,1559359157.178,,
28,,,0.019,1559359157.298,,
29,,,0.02,1559359157.403,,
30,,,0.021,1559359157.524,,
31,,,0.023,1559359157.643,,
32,,,0.025,1559359157.75,,
33,,,0.025,1559359157.87,,
34,,,0.026,1559359157.99,,
35,,,0.028,1559359158.096,,
36,,,0.028,1559359158.215,,
37,,,0.03,1559359158.371,,
38,,,0.032,1559359158.489,,
39,,,0.033,1559359158.608,,
40,,,0.035,1559359158.715,,
41,,,0.035,1559359158.835,,
42,,,0.036,1559359158.955,,
43,,,0.038,1559359159.061,,
44,,,0.039,1559359159.182,,
45,,,0.04,1559359159.302,,
46,,,0.04,1559359159.408,,
47,,,0.043,1559359159.528,,
48,,,0.044,1559359159.676,,
49,,,0.044,1559359159.797,,
50,,,0.045,1559359159.903,,
51,,,0.046,1559359160.023,,
52,,,0.048,1559359160.143,,
53,,,0.05,1559359160.249,,
54,,,0.05,1559359160.369,,
55,,,0.051,1559359160.474,,
56,,,0.053,1559359160.593,,
57,,,0.054,1559359160.712,,
58,,,0.055,1559359160.819,,
59,,,0.055,1559359160.939,,
60,,,0.057,1559359161.059,,
61,,,0.06,1559359161.166,,
62,,,0.06,1559359161.286,,
63,,,0.06,1559359161.439,,
64,,,0.062,1559359161.558,,
65,,,0.063,1559359161.678,,
66,,,0.065,1559359161.784,,
67,,,0.065,1559359161.906,,
68,,,0.067,1559359162.025,,
69,,,0.069,1559359162.132,,
70,,,0.069,1559359162.251,,
71,,,0.071,1559359162.372,,
72,,,0.071,1559359162.477,,
73,,,0.073,1559359162.598,,
74,,,0.073,1559359162.718,,
75,,,0.074,1559359162.824,,
76,,,0.077,1559359162.944,,
77,,,0.078,1559359163.064,,
78,,,0.079,1559359163.17,,
79,,,0.079,1559359163.29,,
80,,,0.08,1559359163.41,,
81,,,0.083,1559359163.516,,
82,,,0.083,1559359163.636,,
83,,,0.084,1559359163.755,,
84,,,0.086,1559359163.862,,
85,,,0.086,1559359163.982,,
86,,,0.088,1559359164.131,,
87,,,0.09,1559359164.252,,
88,,,0.09,1559359164.358,,
