,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,+4.81009000E-05,1559362518.343,
1,+4.81269500E-05,1559362518.5513332,
2,+4.80120800E-05,1559362518.7596667,
3,+4.80635000E-05,1559362518.968,
4,+4.80755300E-05,1559362519.1763332,
5,+4.79993900E-05,1559362519.3846667,
6,+4.79332800E-05,1559362519.593,
7,+4.79212600E-05,1559362519.8013332,
8,+4.80347900E-05,1559362520.0096667,
9,+4.79279400E-05,1559362520.218,
10,+4.78918800E-05,1559362520.4263332,
11,+4.78664900E-05,1559362520.6346667,
12,+4.78925500E-05,1559362520.843,
13,+4.78057300E-05,1559362521.0513332,
14,+4.77957000E-05,1559362521.2596667,
15,+4.77870300E-05,1559362521.468,
16,+4.76875300E-05,1559362521.6763332,
17,+4.76901900E-05,1559362521.8846667,
18,+4.77543100E-05,1559362522.093,
19,+4.76735000E-05,1559362522.3013332,
20,+4.76167300E-05,1559362522.5096667,
21,+4.76394400E-05,1559362522.718,
22,+4.78331000E-05,1559362522.9263332,
23,+4.77209100E-05,1559362523.1346667,
24,+4.77302600E-05,1559362523.343,
25,+4.78177500E-05,1559362525.691,
26,+4.78311000E-05,1559362525.8993332,
27,+4.79413000E-05,1559362526.1076667,
28,+4.79272700E-05,1559362526.316,
29,+4.77656600E-05,1559362526.5243332,
30,+4.78404500E-05,1559362526.7326667,
31,+4.77462900E-05,1559362526.941,
32,+4.74684700E-05,1559362527.1493332,
33,+4.74564500E-05,1559362527.3576667,
34,+4.73168800E-05,1559362527.566,
35,+4.74250700E-05,1559362527.7743332,
36,+4.75352600E-05,1559362527.9826667,
37,+4.73669700E-05,1559362528.191,
38,+4.79145900E-05,1559362528.3993332,
39,+4.76815100E-05,1559362528.6076667,
40,+4.75252400E-05,1559362528.816,
41,+4.77503000E-05,1559362529.0243332,
42,+4.80962300E-05,1559362529.2326667,
43,+4.79720200E-05,1559362529.441,
44,+4.77335900E-05,1559362529.6493332,
45,+4.79018900E-05,1559362529.8576667,
46,+4.78918800E-05,1559362530.066,
47,+4.76274200E-05,1559362530.2743332,
48,+4.76821800E-05,1559362530.4826667,
49,+4.78044000E-05,1559362530.691,
50,+4.76734900E-05,1559362532.336,
51,+4.77730000E-05,1559362532.5443332,
52,+4.79052400E-05,1559362532.7526667,
53,+4.76507900E-05,1559362532.961,
54,+4.75285700E-05,1559362533.1693332,
55,+4.76768300E-05,1559362533.3776667,
56,+4.73636100E-05,1559362533.586,
57,+4.75098900E-05,1559362533.7943332,
58,+4.74097100E-05,1559362534.0026667,
59,+4.75572800E-05,1559362534.211,
60,+4.72834900E-05,1559362534.4193332,
61,+4.73088700E-05,1559362534.6276667,
62,+4.70951500E-05,1559362534.836,
63,+4.72908300E-05,1559362535.0443332,
64,+4.75532900E-05,1559362535.2526667,
65,+4.73776500E-05,1559362535.461,
66,+4.73876600E-05,1559362535.6693332,
67,+4.73843300E-05,1559362535.8776667,
68,+4.73429200E-05,1559362536.086,
69,+4.74190600E-05,1559362536.2943332,
70,+4.75886700E-05,1559362536.5026667,
71,+4.76628200E-05,1559362536.711,
72,+4.75386000E-05,1559362536.9193332,
73,+4.76467800E-05,1559362537.1276667,
74,+4.76107300E-05,1559362537.336,
75,+4.76988800E-05,1559362538.936,
76,+4.76394400E-05,1559362539.1443334,
77,+4.75285800E-05,1559362539.3526669,
78,+4.75606300E-05,1559362539.561,
79,+4.76033800E-05,1559362539.7693334,
80,+4.76467900E-05,1559362539.9776669,
81,+4.75993600E-05,1559362540.186,
82,+4.75953500E-05,1559362540.3943334,
83,+4.75225600E-05,1559362540.6026669,
84,+4.74604500E-05,1559362540.811,
85,+4.76240800E-05,1559362541.0193334,
86,+4.75906900E-05,1559362541.2276669,
87,+4.78725000E-05,1559362541.436,
88,+4.78050600E-05,1559362541.6443334,
89,+4.76554700E-05,1559362541.8526669,
90,+4.77796800E-05,1559362542.061,
91,+4.77028800E-05,1559362542.2693334,
92,+4.77048900E-05,1559362542.4776669,
93,+4.75626400E-05,1559362542.686,
94,+4.77115700E-05,1559362542.8943334,
95,+4.76721700E-05,1559362543.1026669,
96,+4.75466100E-05,1559362543.311,
97,+4.75586200E-05,1559362543.5193334,
98,+4.77162400E-05,1559362543.7276669,
99,+4.77249100E-05,1559362543.936,
100,+4.76674900E-05,1559362545.537,
101,+4.77349400E-05,1559362545.7453332,
102,+4.77476200E-05,1559362545.9536667,
103,+4.76568000E-05,1559362546.162,
104,+4.76414300E-05,1559362546.3703332,
105,+4.76848500E-05,1559362546.5786667,
106,+4.76461100E-05,1559362546.787,
107,+4.75833400E-05,1559362546.9953332,
108,+4.75926900E-05,1559362547.2036667,
109,+4.76908700E-05,1559362547.412,
110,+4.75953700E-05,1559362547.6203332,
111,+4.76147200E-05,1559362547.8286667,
112,+4.76080500E-05,1559362548.037,
113,+4.76140600E-05,1559362548.2453332,
114,+4.76487900E-05,1559362548.4536667,
115,+4.76454500E-05,1559362548.662,
116,+4.75345800E-05,1559362548.8703332,
117,+4.75846700E-05,1559362549.0786667,
118,+4.78030400E-05,1559362549.287,
119,+4.78097300E-05,1559362549.4953332,
120,+4.77676600E-05,1559362549.7036667,
121,+4.79039000E-05,1559362549.912,
122,+4.78371200E-05,1559362550.1203332,
123,+4.78531300E-05,1559362550.3286667,
124,+4.78251000E-05,1559362550.537,
125,+4.76334300E-05,1559362552.137,
126,+4.75098900E-05,1559362552.3453333,
127,+4.74878300E-05,1559362552.5536668,
128,+4.75452700E-05,1559362552.762,
129,+4.73529400E-05,1559362552.9703333,
130,+4.73876700E-05,1559362553.1786668,
131,+4.72841500E-05,1559362553.387,
132,+4.71839800E-05,1559362553.5953333,
133,+4.71659500E-05,1559362553.8036668,
134,+4.71993500E-05,1559362554.012,
135,+4.72941700E-05,1559362554.2203333,
136,+4.74364200E-05,1559362554.4286668,
137,+4.74898400E-05,1559362554.637,
