,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,+4.78023900E-05,1559363476.852,
1,+4.78598200E-05,1559363477.0603333,
2,+4.78745100E-05,1559363477.2686667,
3,+4.78805200E-05,1559363477.477,
4,+4.78932100E-05,1559363477.6853333,
5,+4.79045600E-05,1559363477.8936667,
6,+4.78417900E-05,1559363478.102,
7,+4.78251000E-05,1559363478.3103333,
8,+4.78718400E-05,1559363478.5186667,
9,+4.78424500E-05,1559363478.727,
10,+4.80234300E-05,1559363478.9353333,
11,+4.79199200E-05,1559363479.1436667,
12,+4.79299400E-05,1559363479.352,
13,+4.79826900E-05,1559363479.5603333,
14,+4.81503200E-05,1559363479.7686667,
15,+4.83493300E-05,1559363479.977,
16,+4.80394700E-05,1559363480.1853333,
17,+4.78344500E-05,1559363480.3936667,
18,+4.77983700E-05,1559363480.602,
19,+4.78852000E-05,1559363480.8103333,
20,+4.77830200E-05,1559363481.0186667,
21,+4.78878700E-05,1559363481.227,
22,+4.78618200E-05,1559363481.4353333,
23,+4.78324400E-05,1559363481.6436667,
24,+4.78491400E-05,1559363481.852,
25,+4.79239200E-05,1559363484.2,
26,+4.79499800E-05,1559363484.4083333,
27,+4.87754100E-05,1559363484.6166668,
28,+4.79332700E-05,1559363484.825,
29,+4.80167600E-05,1559363485.0333333,
30,+4.79840400E-05,1559363485.2416668,
31,+4.79099100E-05,1559363485.45,
32,+4.79606600E-05,1559363485.6583333,
33,+4.79646600E-05,1559363485.8666668,
34,+4.79807000E-05,1559363486.075,
35,+4.78818500E-05,1559363486.2833333,
36,+4.79780300E-05,1559363486.4916668,
37,+4.79199200E-05,1559363486.7,
38,+4.78798600E-05,1559363486.9083333,
39,+4.80721900E-05,1559363487.1166668,
40,+4.79413000E-05,1559363487.325,
41,+4.78825200E-05,1559363487.5333333,
42,+4.78958800E-05,1559363487.7416668,
43,+4.79286100E-05,1559363487.95,
44,+4.78725000E-05,1559363488.1583333,
45,+4.78798400E-05,1559363488.3666668,
46,+4.78324400E-05,1559363488.575,
47,+4.78538100E-05,1559363488.7833333,
48,+4.78264400E-05,1559363488.9916668,
49,+4.78611600E-05,1559363489.2,
50,+4.79299400E-05,1559363490.845,
51,+4.78872100E-05,1559363491.0533333,
52,+4.78631600E-05,1559363491.2616668,
53,+4.79005600E-05,1559363491.47,
54,+4.79459700E-05,1559363491.6783333,
55,+4.79052400E-05,1559363491.8866668,
56,+4.77997200E-05,1559363492.095,
57,+4.77008700E-05,1559363492.3033333,
58,+4.75586300E-05,1559363492.5116668,
59,+4.77022100E-05,1559363492.72,
60,+4.77596500E-05,1559363492.9283333,
61,+4.78518000E-05,1559363493.1366668,
62,+4.79292800E-05,1559363493.345,
63,+4.76875200E-05,1559363493.5533333,
64,+4.76534500E-05,1559363493.7616668,
65,+4.76394400E-05,1559363493.97,
66,+4.76334200E-05,1559363494.1783333,
67,+4.82919100E-05,1559363494.3866668,
68,+4.75352600E-05,1559363494.595,
69,+4.75592900E-05,1559363494.8033333,
70,+4.78384500E-05,1559363495.0116668,
71,+4.77229200E-05,1559363495.22,
72,+4.75833400E-05,1559363495.4283333,
73,+4.76300900E-05,1559363495.6366668,
74,+4.78651600E-05,1559363495.845,
75,+4.78745200E-05,1559363497.445,
76,+4.77002000E-05,1559363497.6533332,
77,+4.76841800E-05,1559363497.8616667,
78,+4.77523000E-05,1559363498.07,
79,+4.77135700E-05,1559363498.2783332,
80,+4.76474400E-05,1559363498.4866667,
81,+4.75686500E-05,1559363498.695,
82,+4.77129000E-05,1559363498.9033332,
83,+4.78324400E-05,1559363499.1116667,
84,+4.78417900E-05,1559363499.32,
85,+4.77402800E-05,1559363499.5283332,
86,+4.77750000E-05,1559363499.7366667,
87,+4.77629800E-05,1559363499.945,
88,+4.80681900E-05,1559363500.1533332,
89,+4.80374500E-05,1559363500.3616667,
90,+4.77523000E-05,1559363500.57,
91,+4.78284400E-05,1559363500.7783332,
92,+4.77222500E-05,1559363500.9866667,
93,+4.77202400E-05,1559363501.195,
94,+4.76400900E-05,1559363501.4033332,
95,+4.78818600E-05,1559363501.6116667,
96,+4.77856900E-05,1559363501.82,
97,+4.77382800E-05,1559363502.0283332,
98,+4.77369300E-05,1559363502.2366667,
99,+4.77696700E-05,1559363502.445,
100,+4.78838600E-05,1559363504.045,
101,+4.79767000E-05,1559363504.2533333,
102,+4.77382800E-05,1559363504.4616668,
103,+4.77269200E-05,1559363504.67,
104,+4.78704900E-05,1559363504.8783333,
105,+4.78551400E-05,1559363505.0866668,
106,+4.77289300E-05,1559363505.295,
107,+4.77316000E-05,1559363505.5033333,
108,+4.77523000E-05,1559363505.7116668,
109,+4.77422800E-05,1559363505.92,
110,+4.78404500E-05,1559363506.1283333,
111,+4.77269200E-05,1559363506.3366668,
112,+4.78351100E-05,1559363506.545,
113,+4.78778500E-05,1559363506.7533333,
114,+4.80761900E-05,1559363506.9616668,
115,+4.78424500E-05,1559363507.17,
116,+4.78150700E-05,1559363507.3783333,
117,+4.77476200E-05,1559363507.5866668,
118,+4.78110700E-05,1559363507.795,
119,+4.79740100E-05,1559363508.0033333,
120,+4.76788400E-05,1559363508.2116668,
121,+4.77008700E-05,1559363508.42,
122,+4.75646500E-05,1559363508.6283333,
123,+4.78958800E-05,1559363508.8366668,
124,+4.76888600E-05,1559363509.045,
125,+4.76935400E-05,1559363510.645,
126,+4.76735000E-05,1559363510.8533332,
127,+4.75786600E-05,1559363511.0616667,
128,+4.75592900E-05,1559363511.27,
129,+4.75105500E-05,1559363511.4783332,
130,+4.75372500E-05,1559363511.6866667,
131,+4.75980300E-05,1559363511.895,
132,+4.75539600E-05,1559363512.1033332,
133,+4.75713300E-05,1559363512.3116667,
134,+4.75833300E-05,1559363512.52,
135,+4.76848500E-05,1559363512.7283332,
136,+4.76841800E-05,1559363512.9366667,
137,+4.77556400E-05,1559363513.145,
138,+4.75726600E-05,1559363513.3533332,
139,+4.77068900E-05,1559363513.5616667,
140,+4.76394400E-05,1559363513.77,
141,+4.75259100E-05,1559363513.9783332,
142,+4.76901900E-05,1559363514.1866667,
143,+4.75366000E-05,1559363514.395,
144,+4.75152200E-05,1559363514.6033332,
145,+4.74397600E-05,1559363514.8116667,
146,+4.75980300E-05,1559363515.02,
147,+4.74197100E-05,1559363515.2283332,
148,+4.74938500E-05,1559363515.4366667,
149,+4.74951800E-05,1559363515.645,
150,+4.76280800E-05,1559363517.245,
151,+4.73175500E-05,1559363517.4533331,
152,+4.73616200E-05,1559363517.6616666,
153,+4.76007100E-05,1559363517.87,
154,+4.74150500E-05,1559363518.0783331,
155,+4.74638000E-05,1559363518.2866666,
156,+4.75766500E-05,1559363518.495,
157,+4.73663000E-05,1559363518.7033331,
158,+4.75412700E-05,1559363518.9116666,
159,+4.74865000E-05,1559363519.12,
160,+4.74611200E-05,1559363519.3283331,
161,+4.74531100E-05,1559363519.5366666,
162,+4.74410900E-05,1559363519.745,
163,+4.74651300E-05,1559363519.9533331,
164,+4.76427600E-05,1559363520.1616666,
165,+4.74210600E-05,1559363520.37,
