,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
0,+3.77168800E-05,1559361313.477,,1.1436144578313254e-08
1,+3.77275700E-05,1559361313.6853333,,1.135224534501643e-08
2,+3.77255600E-05,1559361313.8936667,,2.09360569550931e-07
3,+3.77609600E-05,1559361314.102,,2.1051516976998904e-06
4,+3.77729800E-05,1559361314.3103333,,2.106879627601314e-06
5,+3.77395900E-05,1559361314.5186667,,2.108201204819277e-06
6,+3.77529500E-05,1559361314.727,,4.2147456736035055e-06
7,+3.77476000E-05,1559361314.9353333,,4.210219824753559e-06
8,+3.77696300E-05,1559361315.1436667,,4.647288718510405e-06
9,+3.78210600E-05,1559361315.352,,6.314481161007667e-06
10,+3.77943500E-05,1559361315.5603333,,6.312083789704272e-06
11,+3.77997000E-05,1559361315.7686667,,6.013515443592552e-06
12,+3.77903400E-05,1559361315.977,,8.408078094194963e-06
13,+3.78023700E-05,1559361316.1853333,,8.403685323110624e-06
14,+3.77616200E-05,1559361316.3936667,,9.0842143483023e-06
15,+3.77916900E-05,1559361316.602,,1.0513252792990143e-05
16,+3.77743200E-05,1559361316.8103333,,1.0518958488499453e-05
17,+3.77409100E-05,1559361317.0186667,,1.0517769989047097e-05
18,+3.78023700E-05,1559361317.227,,1.0506103943044907e-05
19,+3.77402500E-05,1559361317.4353333,,1.0497191018619934e-05
20,+3.77522700E-05,1559361317.6436667,,1.0486447535596934e-05
21,+3.77422600E-05,1559361317.852,,1.0482176232201535e-05
22,+3.76701400E-05,1559361318.0603333,,1.0476198576122674e-05
23,+3.76641200E-05,1559361318.2686667,,1.0484102190580503e-05
24,+3.76547600E-05,1559361318.477,,1.0483023548740416e-05
25,+3.75078600E-05,1559361322.111,,1.1138836801752464e-05
26,+3.74784600E-05,1559361322.3193333,,1.2525695509309968e-05
27,+3.74570900E-05,1559361322.5276668,,1.2580076670317635e-05
28,+3.73976600E-05,1559361322.736,,1.4585774370208105e-05
29,+3.73836400E-05,1559361322.9443333,,1.4588768893756844e-05
30,+3.74744600E-05,1559361323.1526668,,1.4561630887185104e-05
31,+3.74056800E-05,1559361323.361,,1.6643254107338446e-05
32,+3.74257200E-05,1559361323.5693333,,1.6654682365826946e-05
33,+3.73769600E-05,1559361323.7776668,,1.6681660460021907e-05
34,+3.73075000E-05,1559361323.986,,1.8712899233296823e-05
35,+3.73335500E-05,1559361324.1943333,,1.86911139101862e-05
