,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
0,+4.73836700E-05,1559360368.298,,1.2996276013143483e-08
1,+4.73829900E-05,1559360368.5063334,,1.3039649507119387e-08
2,+4.73616200E-05,1559360368.7146668,,2.654654983570646e-07
3,+4.73515900E-05,1559360368.923,,2.144131872946331e-06
4,+4.73289000E-05,1559360369.1313334,,2.144580065717415e-06
5,+4.73549300E-05,1559360369.3396668,,2.1472464403066813e-06
6,+4.73562700E-05,1559360369.548,,4.164410405257393e-06
7,+4.73295600E-05,1559360369.7563334,,4.179237239868565e-06
8,+4.73923300E-05,1559360369.9646668,,4.5543477546549834e-06
9,+4.73489200E-05,1559360370.173,,6.314030120481928e-06
10,+4.73001800E-05,1559360370.3813334,,6.325219277108434e-06
11,+4.73081900E-05,1559360370.5896668,,6.049382475355969e-06
12,+4.73182100E-05,1559360370.798,,8.569749945235488e-06
13,+4.72854800E-05,1559360371.0063334,,8.568983570646221e-06
14,+4.72921700E-05,1559360371.2146668,,9.212792332968237e-06
15,+4.72501000E-05,1559360371.423,,1.0732381599123768e-05
16,+4.72447400E-05,1559360371.6313334,,1.0734786308871851e-05
17,+4.72814700E-05,1559360371.8396668,,1.0735462979189484e-05
18,+4.72701400E-05,1559360372.048,,1.0735685651697699e-05
19,+4.72507700E-05,1559360372.2563334,,1.0735691456736035e-05
20,+4.72387300E-05,1559360372.4646668,,1.0735976341730558e-05
21,+4.72567800E-05,1559360372.673,,1.0736037020810515e-05
22,+4.72307300E-05,1559360372.8813334,,1.0736178751369113e-05
23,+4.72207100E-05,1559360373.0896668,,1.0736543154435925e-05
24,+4.72093600E-05,1559360373.298,,1.0736693537787513e-05
25,+4.72273900E-05,1559360376.933,,1.1368430449069003e-05
26,+4.72547700E-05,1559360377.1413333,,1.283506352683461e-05
27,+4.72066700E-05,1559360377.3496668,,1.2835283680175245e-05
28,+4.72280500E-05,1559360377.558,,1.4926338444687844e-05
29,+4.72467600E-05,1559360377.7663333,,1.492483461117196e-05
30,+4.72534400E-05,1559360377.9746668,,1.4925108433734941e-05
31,+4.72387300E-05,1559360378.183,,1.7113474260679082e-05
32,+4.72140300E-05,1559360378.3913333,,1.711535487404162e-05
33,+4.72100300E-05,1559360378.5996668,,1.7116121577217962e-05
34,+4.71692800E-05,1559360378.808,,1.9205309967141293e-05
35,+4.72020100E-05,1559360379.0163333,,1.920675575027382e-05
36,+4.71566000E-05,1559360379.2246668,,1.9207652792990142e-05
37,+4.71946700E-05,1559360379.433,,2.1299099671412925e-05
38,+4.71332200E-05,1559360379.6413333,,2.130041621029573e-05
39,+4.71546000E-05,1559360379.8496668,,2.13015443592552e-05
40,+4.71833200E-05,1559360380.058,,2.1302007667031764e-05
41,+4.71879800E-05,1559360380.2663333,,2.1302991237677985e-05
42,+4.71652900E-05,1559360380.4746668,,2.1303208105147863e-05
43,+4.71646100E-05,1559360380.683,,2.130371412924425e-05
44,+4.71606100E-05,1559360380.8913333,,2.1303858707557503e-05
45,+4.71445800E-05,1559360381.0996668,,2.1304163198247537e-05
46,+4.71773100E-05,1559360381.308,,2.130420591456736e-05
47,+4.71365500E-05,1559360381.5163333,,2.1304625410733846e-05
48,+4.71459200E-05,1559360381.7246668,,2.130466922234392e-05
49,+4.71586100E-05,1559360381.933,,2.130518948521358e-05
50,+4.70597600E-05,1559360385.649,,2.305769112814896e-05
51,+4.70303900E-05,1559360385.8573332,,2.349244140197152e-05
52,+4.70437400E-05,1559360386.0656667,,2.3492991237677986e-05
53,+4.70611000E-05,1559360386.274,,2.5228047097480832e-05
54,+4.70323800E-05,1559360386.4823332,,2.558391894852136e-05
55,+4.70123400E-05,1559360386.6906667,,2.558501752464403e-05
56,+4.69923200E-05,1559360386.899,,2.785731325301205e-05
57,+4.70343900E-05,1559360387.1073332,,2.785217743702081e-05
58,+4.70250400E-05,1559360387.3156667,,2.7852076670317637e-05
59,+4.69876400E-05,1559360387.524,,3.0031763417305586e-05
60,+4.70217100E-05,1559360387.7323332,,3.0032963855421684e-05
61,+4.69783000E-05,1559360387.9406667,,3.0033427163198245e-05
62,+4.69709400E-05,1559360388.149,,3.214817524644031e-05
63,+4.69161800E-05,1559360388.3573332,,3.2148695509309967e-05
