,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,+4.68974900E-05,1559359932.72,1.3926067907995619e-08
1,+4.68814600E-05,1559359932.9283333,1.3703395399780942e-08
2,+4.69261900E-05,1559359933.1366668,2.482975903614458e-07
3,+4.69161900E-05,1559359933.345,2.1417676889375686e-06
4,+4.69048300E-05,1559359933.5533333,2.142075684556407e-06
5,+4.68881300E-05,1559359933.7616668,2.152470755750274e-06
6,+4.68774500E-05,1559359933.97,4.2734607886089814e-06
7,+4.68881300E-05,1559359934.1783333,4.273757283680176e-06
8,+4.68868000E-05,1559359934.3866668,4.7596185104052576e-06
9,+4.68881400E-05,1559359934.595,6.406378094194962e-06
10,+4.69001600E-05,1559359934.8033333,6.406713581599124e-06
11,+4.68721100E-05,1559359935.0116668,6.020065607886089e-06
12,+4.68941400E-05,1559359935.22,8.57169616648412e-06
13,+4.68033200E-05,1559359935.4283333,8.571560240963857e-06
14,+4.68447300E-05,1559359935.6366668,9.188209529025192e-06
15,+4.68099900E-05,1559359935.845,1.0735353121577218e-05
16,+4.68280300E-05,1559359936.0533333,1.0735622015334064e-05
17,+4.67966400E-05,1559359936.2616668,1.073595465498357e-05
18,+4.68320300E-05,1559359936.47,1.0736346440306681e-05
19,+4.68307000E-05,1559359936.6783333,1.0736175903614457e-05
20,+4.68013200E-05,1559359936.8866668,1.0736052902519166e-05
21,+4.68674200E-05,1559359937.095,1.0736170098576123e-05
22,+4.67899600E-05,1559359937.3033333,1.073625104052574e-05
23,+4.68253600E-05,1559359937.5116668,1.073629156626506e-05
24,+4.68073300E-05,1559359937.72,1.0736349397590362e-05
25,+4.68206900E-05,1559359941.355,1.1338704271631983e-05
26,+4.67525700E-05,1559359941.5633333,1.2834360350492882e-05
27,+4.67645900E-05,1559359941.7716668,1.2834695509309968e-05
28,+4.68173500E-05,1559359941.98,1.4759477546549836e-05
29,+4.67846100E-05,1559359942.1883333,1.4775751369112816e-05
30,+4.67879600E-05,1559359942.3966668,1.4780191675794087e-05
31,+4.68073200E-05,1559359942.605,1.6947076670317632e-05
32,+4.68053300E-05,1559359942.8133333,1.6948190580503833e-05
33,+4.68520700E-05,1559359943.0216668,1.695196604600219e-05
34,+4.68654300E-05,1559359943.23,1.902265169769989e-05
35,+4.68660900E-05,1559359943.4383333,1.902812048192771e-05
36,+4.68427300E-05,1559359943.6466668,1.9036915662650604e-05
37,+4.68701000E-05,1559359943.855,2.111803395399781e-05
38,+4.68794400E-05,1559359944.0633333,2.1120029572836802e-05
39,+4.68113400E-05,1559359944.2716668,2.1121100766703175e-05
40,+4.68540700E-05,1559359944.48,2.1125512595837896e-05
41,+4.68894700E-05,1559359944.6883333,2.1128362541073383e-05
42,+4.68440500E-05,1559359944.8966668,2.113071960569551e-05
43,+4.68974700E-05,1559359945.105,2.113219496166484e-05
44,+4.68921400E-05,1559359945.3133333,2.1133945235487405e-05
45,+4.68493900E-05,1559359945.5216668,2.1135277108433737e-05
46,+4.69115100E-05,1559359945.73,2.1136116100766705e-05
47,+4.69001600E-05,1559359945.9383333,2.113695509309967e-05
48,+4.69282000E-05,1559359946.1466668,2.113809748083242e-05
49,+4.69068200E-05,1559359946.355,2.1138806133625412e-05
50,+4.69155200E-05,1559359950.071,2.2836048192771086e-05
51,+4.68520700E-05,1559359950.2793334,2.3311143483023e-05
52,+4.69135200E-05,1559359950.4876668,2.3314340635268345e-05
53,+4.69382100E-05,1559359950.696,2.5128031763417306e-05
54,+4.68914800E-05,1559359950.9043334,2.5397051478641842e-05
55,+4.69128400E-05,1559359951.1126668,2.5398613362541072e-05
56,+4.68901300E-05,1559359951.321,2.7838392113910186e-05
57,+4.68868000E-05,1559359951.5293334,2.783447207009858e-05
58,+4.68968200E-05,1559359951.7376668,2.7834948521358162e-05
59,+4.68547500E-05,1559359951.946,3.0013725082146772e-05
60,+4.68968200E-05,1559359952.1543334,3.0014911281489594e-05
61,+4.68887900E-05,1559359952.3626668,3.001579299014239e-05
62,+4.68901300E-05,1559359952.571,3.212968784227821e-05
