,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
0,+4.73108700E-05,1559361829.929,,1.2323877327491785e-08
1,+4.72748100E-05,1559361830.1373332,,1.2240087623220153e-08
2,+4.73282200E-05,1559361830.3456666,,2.126355969331873e-07
3,+4.73155500E-05,1559361830.554,,2.139872070098576e-06
4,+4.73429200E-05,1559361830.7623332,,2.140025301204819e-06
5,+4.73469400E-05,1559361830.9706666,,2.1395771084337353e-06
6,+4.73529500E-05,1559361831.179,,4.269323877327492e-06
7,+4.73489300E-05,1559361831.3873332,,4.270049835706462e-06
8,+4.73536000E-05,1559361831.5956666,,4.711019715224534e-06
9,+4.73582900E-05,1559361831.804,,6.4022325301204815e-06
10,+4.74030200E-05,1559361832.0123332,,6.402129901423877e-06
11,+4.74076900E-05,1559361832.2206666,,6.0996141292442495e-06
12,+4.74317500E-05,1559361832.429,,8.54287677984666e-06
13,+4.74130400E-05,1559361832.6373332,,8.543148630887186e-06
14,+4.74310700E-05,1559361832.8456666,,9.238578094194963e-06
15,+4.74203900E-05,1559361833.054,,1.070083800657174e-05
16,+4.74270700E-05,1559361833.2623332,,1.0700667360350493e-05
17,+4.74718200E-05,1559361833.4706666,,1.070096243154436e-05
18,+4.74611300E-05,1559361833.679,,1.0701187951807228e-05
19,+4.74484300E-05,1559361833.8873332,,1.0701211062431544e-05
20,+4.74577800E-05,1559361834.0956666,,1.0701404819277107e-05
21,+4.74631300E-05,1559361834.304,,1.0701471412924426e-05
22,+4.74678100E-05,1559361834.5123332,,1.0701733077765609e-05
23,+4.74738200E-05,1559361834.7206666,,1.0702333187294634e-05
24,+4.75546300E-05,1559361834.929,,1.0702388061336254e-05
25,+4.75292500E-05,1559361838.562,,1.1358232201533406e-05
26,+4.75459500E-05,1559361838.7703333,,1.2794476451259585e-05
27,+4.74951800E-05,1559361838.9786668,,1.2794884994523548e-05
28,+4.75252300E-05,1559361839.187,,1.4822026286966046e-05
29,+4.75232300E-05,1559361839.3953333,,1.4827900328587076e-05
30,+4.75486100E-05,1559361839.6036668,,1.483199342825849e-05
31,+4.75005300E-05,1559361839.812,,1.7010030668127053e-05
32,+4.74858400E-05,1559361840.0203333,,1.7013358159912377e-05
33,+4.75145600E-05,1559361840.2286668,,1.70145147864184e-05
34,+4.74631300E-05,1559361840.437,,1.9091435925520264e-05
35,+4.74190600E-05,1559361840.6453333,,1.909262212486309e-05
36,+4.73930200E-05,1559361840.8536668,,1.9094155531215772e-05
37,+4.74424300E-05,1559361841.062,,2.1173711938663745e-05
38,+4.74177200E-05,1559361841.2703333,,2.117635925520263e-05
39,+4.73970100E-05,1559361841.4786668,,2.1179049288061335e-05
40,+4.73829900E-05,1559361841.687,,2.118046768893757e-05
41,+4.74130400E-05,1559361841.8953333,,2.11819430449069e-05
42,+4.73435900E-05,1559361842.1036668,,2.1182202628696602e-05
43,+4.73576100E-05,1559361842.312,,2.1183910186199342e-05
44,+4.73496000E-05,1559361842.5203333,,2.11853713033954e-05
45,+4.72915100E-05,1559361842.7286668,,2.11863986856517e-05
46,+4.73275700E-05,1559361842.937,,2.1187237677984667e-05
47,+4.72794800E-05,1559361843.1453333,,2.1187830230010953e-05
48,+4.72561000E-05,1559361843.3536668,,2.1188408543263965e-05
49,+4.72320700E-05,1559361843.562,,2.1189335158817085e-05
50,+4.71218800E-05,1559361847.28,,2.2895443592552027e-05
51,+4.71472500E-05,1559361847.4883332,,2.336560679079956e-05
52,+4.71131800E-05,1559361847.6966667,,2.3366706462212487e-05
53,+4.71712900E-05,1559361847.905,,2.518318948521358e-05
54,+4.71733000E-05,1559361848.1133332,,2.544846221248631e-05
55,+4.71699600E-05,1559361848.3216667,,2.545025629791895e-05
56,+4.72253800E-05,1559361848.53,,2.78009978094195e-05
57,+4.72180400E-05,1559361848.7383332,,2.7795993428258486e-05
58,+4.72140300E-05,1559361848.9466667,,2.7795732749178534e-05
59,+4.72307300E-05,1559361849.155,,2.997069003285871e-05
60,+4.72193800E-05,1559361849.3633332,,2.9972613362541076e-05
61,+4.72427600E-05,1559361849.5716667,,2.9973380065717416e-05
62,+4.72200500E-05,1559361849.78,,3.2084352683461116e-05
63,+4.72554400E-05,1559361849.9883332,,3.208464184008762e-05
64,+4.72026700E-05,1559361850.1966667,,3.208441073384447e-05
65,+4.72006800E-05,1559361850.405,,3.208471412924425e-05
66,+4.71819800E-05,1559361850.6133332,,3.208516210295729e-05
67,+4.71619400E-05,1559361850.8216667,,3.208579846659365e-05
68,+4.71692800E-05,1559361851.03,,3.208608871851041e-05
69,+4.71038400E-05,1559361851.2383332,,3.2086203723986856e-05
70,+4.71505900E-05,1559361851.4466667,,3.20858860898138e-05
71,+4.71118600E-05,1559361851.655,,3.208603066812705e-05
72,+4.71545900E-05,1559361851.8633332,,3.2085856516977e-05
73,+4.71332200E-05,1559361852.0716667,,3.2086464403066815e-05
74,+4.71218800E-05,1559361852.28,,3.208649288061336e-05
75,+4.72888300E-05,1559361855.985,,3.246716100766703e-05
76,+4.72674600E-05,1559361856.1933331,,3.41698838992333e-05
77,+4.72681300E-05,1559361856.4016666,,3.41701730558598e-05
78,+4.72708000E-05,1559361856.61,,3.462109748083242e-05
79,+4.72461000E-05,1559361856.8183331,,3.634556407447974e-05
80,+4.72267100E-05,1559361857.0266666,,3.6346186199342824e-05
81,+4.72420800E-05,1559361857.235,,3.6970596933187295e-05
82,+4.71819800E-05,1559361857.4433331,,3.8459170865279295e-05
83,+4.71786400E-05,1559361857.6516666,,3.845944578313253e-05
84,+4.71799800E-05,1559361857.86,,3.9127950711938665e-05
85,+4.71619400E-05,1559361858.0683331,,4.054059583789704e-05
86,+4.71532700E-05,1559361858.2766666,,4.054072617743702e-05
87,+4.71900000E-05,1559361858.485,,4.12736560788609e-05
88,+4.71145300E-05,1559361858.6933331,,4.2654046002190584e-05
89,+4.71385700E-05,1559361858.9016666,,4.265515991237678e-05
90,+4.70891400E-05,1559361859.11,,4.2654841182913474e-05
91,+4.71218700E-05,1559361859.3183331,,4.265636035049288e-05
92,+4.70677800E-05,1559361859.5266666,,4.2656230010952904e-05
93,+4.70737900E-05,1559361859.735,,4.265712705366922e-05
94,+4.70150200E-05,1559361859.9433331,,4.265738773274918e-05
95,+4.70697800E-05,1559361860.1516666,,4.265676560788609e-05
96,+4.70457400E-05,1559361860.36,,4.265666374589266e-05
97,+4.70597700E-05,1559361860.5683331,,4.2656808324205916e-05
98,+4.70958300E-05,1559361860.7766666,,4.265685213581599e-05
99,+4.70377300E-05,1559361860.985,,4.2657936473165387e-05
100,+4.70163600E-05,1559361864.506,,4.408442387732749e-05
101,+4.69649400E-05,1559361864.7143333,,4.483238773274918e-05
102,+4.70043400E-05,1559361864.9226668,,4.483279299014239e-05
103,+4.70577600E-05,1559361865.131,,4.627007338444688e-05
104,+4.70343900E-05,1559361865.3393333,,4.694398357064622e-05
105,+4.70016700E-05,1559361865.5476668,,4.6944822562979186e-05
106,+4.70557600E-05,1559361865.756,,4.854507447973713e-05
107,+4.70230200E-05,1559361865.9643333,,4.902510186199343e-05
108,+4.70704600E-05,1559361866.1726668,,4.902520372398686e-05
109,+4.70530800E-05,1559361866.381,,5.077902628696604e-05
110,+4.70604200E-05,1559361866.5893333,,5.123284118291347e-05
111,+4.70190200E-05,1559361866.7976668,,5.123275465498357e-05
112,+4.70477400E-05,1559361867.006,,5.3068145673603504e-05
