,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+4.70391000E-05,1559364109.755,1.2472836801752464e-08,4.853777339901478e-05
1,+4.70357600E-05,1559364109.9633334,1.2448302300109529e-08,4.854148768472906e-05
2,+4.70057000E-05,1559364110.1716669,3.043372398685652e-07,4.853854187192118e-05
3,+4.70410900E-05,1559364110.38,2.1454231106243154e-06,4.854097536945813e-05
4,+4.70410800E-05,1559364110.5883334,2.1456602409638556e-06,4.853982266009852e-05
5,+4.70257300E-05,1559364110.7966669,2.1566958378970427e-06,4.85412315270936e-05
6,+4.70704800E-05,1559364111.005,4.278320700985761e-06,4.8538285714285715e-05
7,+4.70464400E-05,1559364111.2133334,4.278455202628697e-06,4.8536876847290635e-05
8,+4.70177300E-05,1559364111.4216669,4.676728477546549e-06,4.853623645320197e-05
9,+4.70364200E-05,1559364111.63,6.4137698795180725e-06,4.853905418719211e-05
10,+4.70778300E-05,1559364111.8383334,6.414199233296824e-06,4.8536876847290635e-05
11,+4.70103800E-05,1559364112.0466669,6.0533198247535595e-06,4.853995073891626e-05
12,+4.69923500E-05,1559364112.255,8.571482146768894e-06,4.853623645320197e-05
13,+4.70350800E-05,1559364112.4633334,8.571487951807228e-06,4.853802955665024e-05
14,+4.70564500E-05,1559364112.6716669,8.571568893756845e-06,4.853751724137931e-05
15,+4.70183800E-05,1559364112.88,8.571602190580504e-06,4.854110344827587e-05
16,+4.70317400E-05,1559364113.0883334,8.571817634173056e-06,4.8537645320197045e-05
17,+4.70143800E-05,1559364113.2966669,8.571884118291347e-06,4.8538669950738916e-05
18,+4.70437700E-05,1559364113.505,8.571771412924425e-06,4.854097536945813e-05
19,+4.70203900E-05,1559364113.7133334,8.57190295728368e-06,4.8535852216748764e-05
20,+4.70384200E-05,1559364113.9216669,8.572027272727273e-06,4.853841379310345e-05
21,+4.70350700E-05,1559364114.13,8.572329463307776e-06,4.8534315270935965e-05
22,+4.70557900E-05,1559364114.3383334,8.57219069003286e-06,4.8540078817733996e-05
23,+4.70277400E-05,1559364114.5466669,8.57221960569551e-06,4.8534827586206894e-05
24,+4.70224000E-05,1559364114.755,8.572268784227821e-06,4.853815763546798e-05
25,+4.70050300E-05,1559364118.418,8.950478094194961e-06,4.853713300492611e-05
26,+4.70324100E-05,1559364118.6263332,1.0735966155531215e-05,4.854046305418719e-05
27,+4.70484400E-05,1559364118.8346667,1.0736290032858709e-05,4.8539566502463054e-05
28,+4.70491100E-05,1559364119.043,1.1153116100766702e-05,4.8537645320197045e-05
29,+4.70030200E-05,1559364119.2513332,1.2834886089813802e-05,4.853982266009852e-05
30,+4.70357500E-05,1559364119.4596667,1.2835273822562979e-05,4.853777339901478e-05
31,+4.70324200E-05,1559364119.668,1.1414151150054766e-05,4.854187192118226e-05
32,+4.69976800E-05,1559364119.8763332,1.4970649507119387e-05,4.8538285714285715e-05
33,+4.70097100E-05,1559364120.0846667,1.4970693318729463e-05,4.854290640394089e-05
34,+4.70103800E-05,1559364120.293,1.620089594742607e-05,4.854508374384236e-05
35,+4.69850000E-05,1559364120.5013332,1.7166028477546552e-05,4.854097536945813e-05
36,+4.69863400E-05,1559364120.7096667,1.7166592552026287e-05,4.854367487684729e-05
37,+4.69496000E-05,1559364120.918,1.839254326396495e-05,4.854649261083744e-05
38,+4.69569500E-05,1559364121.1263332,1.926215991237678e-05,4.854405911330049e-05
