,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.74878700E-05,1559364494.952,,1.2876232201533408e-08,4.8513694581280785e-05
1,+4.74885400E-05,1559364495.1603332,,1.283866374589266e-08,4.8512029556650244e-05
2,+4.75105800E-05,1559364495.3686666,,2.7727601314348304e-07,4.85156157635468e-05
3,+4.74825300E-05,1559364495.577,,2.1448143483023003e-06,4.8513694581280785e-05
4,+4.74765200E-05,1559364495.7853332,,2.1451830230010954e-06,4.8510364532019704e-05
5,+4.74651700E-05,1559364495.9936666,,2.1524852135815993e-06,4.8516512315270937e-05
6,+4.74811800E-05,1559364496.202,,4.281212595837897e-06,4.851856157635468e-05
7,+4.75266100E-05,1559364496.4103332,,4.2810449069003285e-06,4.851830541871921e-05
8,+4.74972300E-05,1559364496.6186666,,4.787036801752464e-06,4.851804926108375e-05
9,+4.74965500E-05,1559364496.827,,6.417650821467689e-06,4.852445320197044e-05
10,+4.75025600E-05,1559364497.0353332,,6.418142387732749e-06,4.851997044334975e-05
11,+4.74638400E-05,1559364497.2436666,,6.074543592552026e-06,4.852086699507389e-05
12,+4.74998800E-05,1559364497.452,,8.570876341730559e-06,4.8523556650246306e-05
13,+4.74838700E-05,1559364497.6603332,,8.571099014238774e-06,4.852086699507389e-05
14,+4.74932000E-05,1559364497.8686666,,9.192726725082146e-06,4.852342857142857e-05
15,+4.74838700E-05,1559364498.077,,1.0734831106243154e-05,4.8526502463054185e-05
16,+4.75419700E-05,1559364498.2853332,,1.0735354545454545e-05,4.85216354679803e-05
17,+4.75299300E-05,1559364498.4936666,,1.0735703066812705e-05,4.851830541871921e-05
18,+4.74985600E-05,1559364498.702,,1.0735798466593646e-05,4.852061083743842e-05
19,+4.74878700E-05,1559364498.9103332,,1.0735862102957283e-05,4.85224039408867e-05
20,+4.75105800E-05,1559364499.1186666,,1.0735928587075574e-05,4.852432512315271e-05
21,+4.75212700E-05,1559364499.327,,1.073599222343921e-05,4.8521763546798025e-05
22,+4.74865400E-05,1559364499.5353332,,1.0736107886089814e-05,4.8524197044334976e-05
23,+4.74691600E-05,1559364499.7436666,,1.0736067360350493e-05,4.85216354679803e-05
24,+4.74978800E-05,1559364499.952,,1.0736213472070099e-05,4.852266009852217e-05
25,+4.74324400E-05,1559364503.615,,1.1051629791894852e-05,4.852470935960591e-05
26,+4.74124000E-05,1559364503.8233333,,1.2834577217962761e-05,4.8521763546798025e-05
27,+4.74458000E-05,1559364504.0316668,,1.2834927710843373e-05,4.852086699507389e-05
28,+4.74351100E-05,1559364504.24,,1.1369095290251917e-05,4.852342857142857e-05
29,+4.74344500E-05,1559364504.4483333,,1.4984175246440309e-05,4.852189162561576e-05
30,+4.74484600E-05,1559364504.6566668,,1.4983755750273823e-05,4.852009852216749e-05
31,+4.74691600E-05,1559364504.865,,1.6100142387732747e-05,4.851907389162562e-05
