,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
0,+4.75372500E-05,1559360699.088,,1.3085980284775465e-08
1,+4.75426000E-05,1559360699.2963333,,1.3161117196056956e-08
2,+4.75199000E-05,1559360699.5046668,,1.7739036144578313e-07
3,+4.75292400E-05,1559360699.713,,2.144285104052574e-06
4,+4.75219000E-05,1559360699.9213333,,2.1445077765607885e-06
5,+4.75185700E-05,1559360700.1296668,,2.134766374589266e-06
6,+4.75272400E-05,1559360700.338,,4.271712705366922e-06
7,+4.74838300E-05,1559360700.5463333,,4.272186966046002e-06
8,+4.75245700E-05,1559360700.7546668,,4.684314019715225e-06
9,+4.75526200E-05,1559360700.963,,6.4046313253012046e-06
10,+4.75038700E-05,1559360701.1713333,,6.405308105147864e-06
11,+4.75459400E-05,1559360701.3796668,,6.023336363636364e-06
12,+4.75399300E-05,1559360701.588,,8.563883680175246e-06
13,+4.75118800E-05,1559360701.7963333,,8.563903943044907e-06
14,+4.74945200E-05,1559360702.0046668,,8.563987732749177e-06
15,+4.75285800E-05,1559360702.213,,8.564091894852135e-06
16,+4.75566300E-05,1559360702.4213333,,8.564175794085433e-06
17,+4.74992000E-05,1559360702.6296668,,8.56442300109529e-06
18,+4.75112100E-05,1559360702.838,,8.564475027382257e-06
19,+4.75138900E-05,1559360703.0463333,,8.564567579408543e-06
20,+4.75138900E-05,1559360703.2546668,,8.564674589266156e-06
21,+4.75118800E-05,1559360703.463,,8.564827929901423e-06
22,+4.75132100E-05,1559360703.6713333,,8.564856845564075e-06
23,+4.75332500E-05,1559360703.8796668,,8.564833625410734e-06
24,+4.75532800E-05,1559360704.088,,8.564891456736035e-06
25,+4.75305800E-05,1559360707.723,,9.2415713033954e-06
26,+4.75466100E-05,1559360707.9313333,,1.0726910186199344e-05
27,+4.75579600E-05,1559360708.1396668,,1.0727115443592552e-05
28,+4.75492900E-05,1559360708.348,,1.1438207009857613e-05
29,+4.75399400E-05,1559360708.5563333,,1.2823635268346112e-05
30,+4.75733100E-05,1559360708.7646668,,1.2823921139101862e-05
31,+4.75572900E-05,1559360708.973,,1.466890799561884e-05
32,+4.75586200E-05,1559360709.1813333,,1.468240416210296e-05
33,+4.75686400E-05,1559360709.3896668,,1.4687670317634172e-05
34,+4.75639800E-05,1559360709.598,,1.6849506024096385e-05
35,+4.75606300E-05,1559360709.8063333,,1.685964622124863e-05
36,+4.76000400E-05,1559360710.0146668,,1.6865504928806135e-05
37,+4.75626400E-05,1559360710.223,,1.893737677984666e-05
38,+4.75659800E-05,1559360710.4313333,,1.8950077765607887e-05
39,+4.75546200E-05,1559360710.6396668,,1.8955545454545457e-05
40,+4.75686400E-05,1559360710.848,,1.8959669222343922e-05
41,+4.75265600E-05,1559360711.0563333,,1.896272070098576e-05
42,+4.75412600E-05,1559360711.2646668,,1.8966048192771084e-05
43,+4.75532900E-05,1559360711.473,,1.8968507119386636e-05
44,+4.75840100E-05,1559360711.6813333,,1.897082146768894e-05
45,+4.75419400E-05,1559360711.8896668,,1.8972354874041622e-05
46,+4.75472800E-05,1559360712.098,,1.8974698795180722e-05
47,+4.75025400E-05,1559360712.3063333,,1.8976391018619934e-05
48,+4.74758100E-05,1559360712.5146668,,1.89782278203724e-05
49,+4.75392500E-05,1559360712.723,,1.8979602409638556e-05
50,+4.75860000E-05,1559360716.439,,2.0628918948521356e-05
51,+4.75566200E-05,1559360716.6473331,,2.10567426067908e-05
52,+4.76040300E-05,1559360716.8556666,,2.1061733844468784e-05
53,+4.76307600E-05,1559360717.064,,2.2848010952902517e-05
54,+4.75920200E-05,1559360717.2723331,,2.3241447973713033e-05
55,+4.76020400E-05,1559360717.4806666,,2.3248145673603505e-05
56,+4.76327500E-05,1559360717.689,,2.5145100766703176e-05
57,+4.76688300E-05,1559360717.8973331,,2.533230339539978e-05
58,+4.76614700E-05,1559360718.1056666,,2.5337409638554216e-05
59,+4.76387600E-05,1559360718.314,,2.7860972617743703e-05
60,+4.75820100E-05,1559360718.5223331,,2.785337787513691e-05
61,+4.76133900E-05,1559360718.7306666,,2.7853493975903614e-05
62,+4.76153900E-05,1559360718.939,,3.0032674698795182e-05
63,+4.76594800E-05,1559360719.1473331,,3.00336582694414e-05
