,SQUID_Volt(V),timestamp
0,+3.40224800E-05,1559358138.613
1,+3.40011000E-05,1559358138.8213332
2,+3.40511900E-05,1559358139.0296667
3,+3.40385000E-05,1559358139.238
4,+3.40538600E-05,1559358139.4463332
5,+3.40391800E-05,1559358139.6546667
6,+3.41627200E-05,1559358139.863
7,+3.40118000E-05,1559358140.0713332
8,+3.40024300E-05,1559358140.2796667
9,+3.39443300E-05,1559358140.488
10,+3.40157800E-05,1559358140.6963332
11,+3.39824100E-05,1559358140.9046667
12,+3.39884000E-05,1559358141.113
13,+3.40151300E-05,1559358141.3213332
14,+3.39717100E-05,1559358141.5296667
15,+3.39263000E-05,1559358141.738
16,+3.41166400E-05,1559358141.9463332
17,+3.39944200E-05,1559358142.1546667
18,+3.40097900E-05,1559358142.363
19,+3.40011000E-05,1559358142.5713332
20,+3.39777400E-05,1559358142.7796667
21,+3.40057800E-05,1559358142.988
22,+3.39410000E-05,1559358143.1963332
23,+3.40331600E-05,1559358143.4046667
24,+3.40171200E-05,1559358143.613
25,+3.40825800E-05,1559358145.96
26,+3.39884000E-05,1559358146.1683333
27,+3.40184600E-05,1559358146.3766668
28,+3.40358300E-05,1559358146.585
29,+3.41573700E-05,1559358146.7933333
30,+3.40338200E-05,1559358147.0016668
31,+3.40278100E-05,1559358147.21
32,+3.40932600E-05,1559358147.4183333
33,+3.40645400E-05,1559358147.6266668
34,+3.40498600E-05,1559358147.835
35,+3.42141400E-05,1559358148.0433333
36,+3.40645400E-05,1559358148.2516668
37,+3.40398300E-05,1559358148.46
38,+3.40518500E-05,1559358148.6683333
39,+3.40859200E-05,1559358148.8766668
40,+3.40825800E-05,1559358149.085
41,+3.40518500E-05,1559358149.2933333
42,+3.41299900E-05,1559358149.5016668
43,+3.40785600E-05,1559358149.71
44,+3.40565300E-05,1559358149.9183333
45,+3.42308400E-05,1559358150.1266668
46,+3.40011100E-05,1559358150.335
47,+3.40779100E-05,1559358150.5433333
48,+3.40885800E-05,1559358150.7516668
49,+3.40371700E-05,1559358150.96
50,+3.40865800E-05,1559358152.605
51,+3.40892500E-05,1559358152.8133333
52,+3.40632100E-05,1559358153.0216668
53,+3.40084500E-05,1559358153.23
54,+3.40785600E-05,1559358153.4383333
55,+3.41066200E-05,1559358153.6466668
56,+3.40912500E-05,1559358153.855
57,+3.40779100E-05,1559358154.0633333
58,+3.41326600E-05,1559358154.2716668
59,+3.41433500E-05,1559358154.48
60,+3.41039500E-05,1559358154.6883333
61,+3.42108100E-05,1559358154.8966668
62,+3.40438500E-05,1559358155.105
63,+3.40598700E-05,1559358155.3133333
64,+3.40859200E-05,1559358155.5216668
65,+3.40558700E-05,1559358155.73
66,+3.40505200E-05,1559358155.9383333
67,+3.41306700E-05,1559358156.1466668
68,+3.40765700E-05,1559358156.355
69,+3.40498400E-05,1559358156.5633333
70,+3.40298200E-05,1559358156.7716668
71,+3.42829100E-05,1559358156.98
72,+3.40959400E-05,1559358157.1883333
73,+3.40585400E-05,1559358157.3966668
74,+3.40124500E-05,1559358157.605
75,+3.40244800E-05,1559358159.206
76,+3.40839200E-05,1559358159.4143333
77,+3.41019400E-05,1559358159.6226668
78,+3.40912600E-05,1559358159.831
79,+3.40445100E-05,1559358160.0393333
80,+3.40425000E-05,1559358160.2476668
81,+3.41126300E-05,1559358160.456
82,+3.40511900E-05,1559358160.6643333
83,+3.40785800E-05,1559358160.8726668
84,+3.41019400E-05,1559358161.081
85,+3.40885900E-05,1559358161.2893333
86,+3.41006100E-05,1559358161.4976668
87,+3.42568800E-05,1559358161.706
88,+3.40538600E-05,1559358161.9143333
89,+3.40765700E-05,1559358162.1226668
90,+3.40645500E-05,1559358162.331
91,+3.40885900E-05,1559358162.5393333
92,+3.40812500E-05,1559358162.7476668
93,+3.41126300E-05,1559358162.956
94,+3.41520300E-05,1559358163.1643333
95,+3.40705600E-05,1559358163.3726668
96,+3.40758900E-05,1559358163.581
97,+3.42441900E-05,1559358163.7893333
98,+3.40318100E-05,1559358163.9976668
99,+3.40558700E-05,1559358164.206
100,+3.41106200E-05,1559358165.806
101,+3.40785700E-05,1559358166.0143332
102,+3.40238100E-05,1559358166.2226667
103,+3.41981000E-05,1559358166.431
104,+3.40411700E-05,1559358166.6393332
105,+3.41159700E-05,1559358166.8476667
106,+3.40632100E-05,1559358167.056
107,+3.40839100E-05,1559358167.2643332
108,+3.40391700E-05,1559358167.4726667
109,+3.41086300E-05,1559358167.681
110,+3.40705600E-05,1559358167.8893332
111,+3.40398400E-05,1559358168.0976667
112,+3.40471700E-05,1559358168.306
113,+3.42034500E-05,1559358168.5143332
114,+3.40291400E-05,1559358168.7226667
115,+3.40284900E-05,1559358168.931
116,+3.40064400E-05,1559358169.1393332
117,+3.39897500E-05,1559358169.3476667
118,+3.40819000E-05,1559358169.556
119,+3.39997700E-05,1559358169.7643332
120,+3.41473500E-05,1559358169.9726667
121,+3.40705600E-05,1559358170.181
122,+3.40091200E-05,1559358170.3893332
123,+3.42054500E-05,1559358170.5976667
124,+3.41139600E-05,1559358170.806
125,+3.40705600E-05,1559358172.406
126,+3.40632100E-05,1559358172.6143332
127,+3.40739000E-05,1559358172.8226666
128,+3.40551900E-05,1559358173.031
129,+3.41520300E-05,1559358173.2393332
130,+3.40458500E-05,1559358173.4476666
131,+3.40772300E-05,1559358173.656
132,+3.40231300E-05,1559358173.8643332
133,+3.40298200E-05,1559358174.0726666
134,+3.39990900E-05,1559358174.281
135,+3.39596900E-05,1559358174.4893332
136,+3.39884200E-05,1559358174.6976666
137,+3.39930800E-05,1559358174.906
138,+3.39824000E-05,1559358175.1143332
139,+3.41587000E-05,1559358175.3226666
140,+3.40384900E-05,1559358175.531
141,+3.39810600E-05,1559358175.7393332
142,+3.39904200E-05,1559358175.9476666
143,+3.40231300E-05,1559358176.156
144,+3.39870700E-05,1559358176.3643332
145,+3.39884000E-05,1559358176.5726666
146,+3.40485100E-05,1559358176.781
147,+3.40164600E-05,1559358176.9893332
148,+3.39857400E-05,1559358177.1976666
149,+3.41059600E-05,1559358177.406
150,+3.39997700E-05,1559358179.006
151,+3.40051100E-05,1559358179.2143333
152,+3.40398400E-05,1559358179.4226668
153,+3.39757300E-05,1559358179.631
154,+3.40498600E-05,1559358179.8393333
155,+3.41653900E-05,1559358180.0476668
156,+3.40198100E-05,1559358180.256
157,+3.40438500E-05,1559358180.4643333
158,+3.40238100E-05,1559358180.6726668
159,+3.40371600E-05,1559358180.881
160,+3.40558700E-05,1559358181.0893333
161,+3.40899200E-05,1559358181.2976668
162,+3.41734000E-05,1559358181.506
163,+3.40478600E-05,1559358181.7143333
164,+3.41019400E-05,1559358181.9226668
165,+3.43022900E-05,1559358182.131
166,+3.41306600E-05,1559358182.3393333
