,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,+4.71813100E-05,1559362325.409,
1,+4.75880100E-05,1559362325.6173332,
2,+4.74764900E-05,1559362325.8256667,
3,+4.75673200E-05,1559362326.034,
4,+4.75753300E-05,1559362326.2423332,
5,+4.75933500E-05,1559362326.4506667,
6,+4.76294100E-05,1559362326.659,
7,+4.76621400E-05,1559362326.8673332,
8,+4.76334300E-05,1559362327.0756667,
9,+4.76427800E-05,1559362327.284,
10,+4.76033700E-05,1559362327.4923332,
11,+4.76240800E-05,1559362327.7006667,
12,+4.76601400E-05,1559362327.909,
13,+4.77409500E-05,1559362328.1173332,
14,+4.76928700E-05,1559362328.3256667,
15,+4.77583000E-05,1559362328.534,
16,+4.77950400E-05,1559362328.7423332,
17,+4.76621500E-05,1559362328.9506667,
18,+4.77416100E-05,1559362329.159,
19,+4.77743300E-05,1559362329.3673332,
20,+4.78438000E-05,1559362329.5756667,
21,+4.77756700E-05,1559362329.784,
22,+4.77997100E-05,1559362329.9923332,
23,+4.78224100E-05,1559362330.2006667,
24,+4.78805300E-05,1559362330.409,
25,+4.78070700E-05,1559362332.758,
26,+4.78851900E-05,1559362332.9663332,
27,+4.78291000E-05,1559362333.1746666,
28,+4.78484700E-05,1559362333.383,
29,+4.78998800E-05,1559362333.5913332,
30,+4.78498100E-05,1559362333.7996666,
31,+4.78838600E-05,1559362334.008,
32,+4.78578100E-05,1559362334.2163332,
33,+4.78685000E-05,1559362334.4246666,
34,+4.78444600E-05,1559362334.633,
35,+4.78878600E-05,1559362334.8413332,
36,+4.79032300E-05,1559362335.0496666,
37,+4.78491400E-05,1559362335.258,
38,+4.78631600E-05,1559362335.4663332,
39,+4.78731700E-05,1559362335.6746666,
40,+4.78397800E-05,1559362335.883,
41,+4.79205900E-05,1559362336.0913332,
42,+4.79680100E-05,1559362336.2996666,
43,+4.79813600E-05,1559362336.508,
44,+4.79259300E-05,1559362336.7163332,
45,+4.78504700E-05,1559362336.9246666,
46,+4.78424500E-05,1559362337.133,
47,+4.76801800E-05,1559362337.3413332,
48,+4.74290700E-05,1559362337.5496666,
49,+4.75940200E-05,1559362337.758,
50,+4.75325900E-05,1559362339.404,
51,+4.71425700E-05,1559362339.6123333,
52,+4.74103800E-05,1559362339.8206668,
53,+4.71712900E-05,1559362340.029,
54,+4.67559000E-05,1559362340.2373333,
55,+4.66076500E-05,1559362340.4456668,
56,+4.67191800E-05,1559362340.654,
57,+4.65609100E-05,1559362340.8623333,
58,+4.70357100E-05,1559362341.0706668,
59,+4.71191900E-05,1559362341.279,
60,+4.72327400E-05,1559362341.4873333,
61,+4.72527600E-05,1559362341.6956668,
62,+4.71592700E-05,1559362341.904,
63,+4.71425800E-05,1559362342.1123333,
64,+4.75439300E-05,1559362342.3206668,
65,+4.75232400E-05,1559362342.529,
66,+4.72808200E-05,1559362342.7373333,
67,+4.73255600E-05,1559362342.9456668,
68,+4.73061900E-05,1559362343.154,
69,+4.75259000E-05,1559362343.3623333,
70,+4.73696400E-05,1559362343.5706668,
71,+4.75659800E-05,1559362343.779,
72,+4.76314200E-05,1559362343.9873333,
73,+4.74250700E-05,1559362344.1956668,
74,+4.73783200E-05,1559362344.404,
75,+4.76314300E-05,1559362346.003,
76,+4.76654900E-05,1559362346.2113333,
77,+4.77242500E-05,1559362346.4196668,
78,+4.75011900E-05,1559362346.628,
79,+4.74764900E-05,1559362346.8363333,
80,+4.74337400E-05,1559362347.0446668,
81,+4.74918500E-05,1559362347.253,
82,+4.75866800E-05,1559362347.4613333,
83,+4.74711400E-05,1559362347.6696668,
84,+4.74544600E-05,1559362347.878,
85,+4.73783200E-05,1559362348.0863333,
86,+4.72607800E-05,1559362348.2946668,
87,+4.70544200E-05,1559362348.503,
88,+4.69295300E-05,1559362348.7113333,
89,+4.69656000E-05,1559362348.9196668,
90,+4.59050900E-05,1559362349.128,
91,+4.59945800E-05,1559362349.3363333,
92,+4.57394700E-05,1559362349.5446668,
93,+4.64093100E-05,1559362349.753,
94,+4.64113100E-05,1559362349.9613333,
95,+4.57094200E-05,1559362350.1696668,
96,+4.62209800E-05,1559362350.378,
97,+4.57027300E-05,1559362350.5863333,
98,+4.58616800E-05,1559362350.7946668,
99,+4.60346400E-05,1559362351.003,
100,+4.60627000E-05,1559362352.604,
101,+4.66383600E-05,1559362352.8123333,
102,+4.72287300E-05,1559362353.0206668,
103,+4.72040100E-05,1559362353.229,
104,+4.73616200E-05,1559362353.4373333,
105,+4.73763100E-05,1559362353.6456668,
106,+4.73282400E-05,1559362353.854,
107,+4.74537800E-05,1559362354.0623333,
108,+4.73349200E-05,1559362354.2706668,
109,+4.72066900E-05,1559362354.479,
110,+4.70597600E-05,1559362354.6873333,
111,+4.73435900E-05,1559362354.8956668,
112,+4.75933600E-05,1559362355.104,
113,+4.71846500E-05,1559362355.3123333,
114,+4.70637700E-05,1559362355.5206668,
115,+4.70584300E-05,1559362355.729,
116,+4.64527100E-05,1559362355.9373333,
117,+4.65729200E-05,1559362356.1456668,
118,+4.62303300E-05,1559362356.354,
119,+4.66757600E-05,1559362356.5623333,
120,+4.65261600E-05,1559362356.7706668,
121,+4.63792500E-05,1559362356.979,
122,+4.66757700E-05,1559362357.1873333,
123,+4.64720800E-05,1559362357.3956668,
124,+4.63705700E-05,1559362357.604,
125,+4.66163300E-05,1559362359.204,
126,+4.67585800E-05,1559362359.4123333,
127,+4.67445500E-05,1559362359.6206667,
128,+4.70584300E-05,1559362359.829,
129,+4.72127000E-05,1559362360.0373333,
130,+4.70924800E-05,1559362360.2456667,
131,+4.64193200E-05,1559362360.454,
132,+4.68266900E-05,1559362360.6623333,
133,+4.67559000E-05,1559362360.8706667,
134,+4.67278500E-05,1559362361.079,
135,+4.64413600E-05,1559362361.2873333,
136,+4.65528900E-05,1559362361.4956667,
137,+4.69228600E-05,1559362361.704,
138,+4.71318900E-05,1559362361.9123333,
139,+4.67145000E-05,1559362362.1206667,
140,+4.64680600E-05,1559362362.329,
141,+4.67906300E-05,1559362362.5373333,
142,+4.68006500E-05,1559362362.7456667,
143,+4.65408700E-05,1559362362.954,
144,+4.63398500E-05,1559362363.1623333,
145,+4.64173200E-05,1559362363.3706667,
146,+4.59945900E-05,1559362363.579,
147,+4.67726000E-05,1559362363.7873333,
148,+4.67505600E-05,1559362363.9956667,
149,+4.69502500E-05,1559362364.204,
150,+4.68707700E-05,1559362365.804,
151,+4.68761100E-05,1559362366.0123332,
152,+4.68514000E-05,1559362366.2206666,
153,+4.69522400E-05,1559362366.429,
154,+4.63331600E-05,1559362366.6373332,
155,+4.66490500E-05,1559362366.8456666,
156,+4.65609000E-05,1559362367.054,
157,+4.66644100E-05,1559362367.2623332,
158,+4.56820300E-05,1559362367.4706666,
159,+4.56039100E-05,1559362367.679,
160,+4.55611700E-05,1559362367.8873332,
161,+4.56793800E-05,1559362368.0956666,
162,+4.57428100E-05,1559362368.304,
163,+4.63198100E-05,1559362368.5123332,
164,+4.66196700E-05,1559362368.7206666,
165,+4.68540800E-05,1559362368.929,
166,+4.67051600E-05,1559362369.1373332,
167,+4.63518700E-05,1559362369.3456666,
168,+4.67873000E-05,1559362369.554,
169,+4.68928100E-05,1559362369.7623332,
170,+4.70056700E-05,1559362369.9706666,
171,+4.68821300E-05,1559362370.179,
172,+4.69489000E-05,1559362370.3873332,
173,+4.59458400E-05,1559362370.5956666,
174,+4.60773900E-05,1559362370.804,
175,+4.60259600E-05,1559362372.404,
176,+4.57875500E-05,1559362372.6123333,
177,+4.60733900E-05,1559362372.8206668,
178,+4.62911000E-05,1559362373.029,
179,+4.63331700E-05,1559362373.2373333,
180,+4.55024000E-05,1559362373.4456668,
181,+4.60466700E-05,1559362373.654,
182,+4.53461300E-05,1559362373.8623333,
183,+4.57935600E-05,1559362374.0706668,
184,+4.61588700E-05,1559362374.279,
185,+4.58176000E-05,1559362374.4873333,
186,+4.62356600E-05,1559362374.6956668,
187,+4.67752600E-05,1559362374.904,
188,+4.70170200E-05,1559362375.1123333,
189,+4.68848000E-05,1559362375.3206668,
190,+4.67652600E-05,1559362375.529,
191,+4.62904300E-05,1559362375.7373333,
192,+4.66584100E-05,1559362375.9456668,
193,+4.65829400E-05,1559362376.154,
194,+4.64667300E-05,1559362376.3623333,
195,+4.58222800E-05,1559362376.5706668,
196,+4.59251300E-05,1559362376.779,
197,+4.65255000E-05,1559362376.9873333,
198,+4.52920200E-05,1559362377.1956668,
199,+4.60607000E-05,1559362377.404,
200,+4.63091200E-05,1559362379.004,
201,+4.62169800E-05,1559362379.2123332,
202,+4.63017800E-05,1559362379.4206667,
203,+4.64834300E-05,1559362379.629,
204,+4.66991300E-05,1559362379.8373332,
205,+4.66216700E-05,1559362380.0456667,
206,+4.69589200E-05,1559362380.254,
207,+4.66924600E-05,1559362380.4623332,
208,+4.69809600E-05,1559362380.6706667,
209,+4.66677600E-05,1559362380.879,
210,+4.61181300E-05,1559362381.0873332,
211,+4.67993200E-05,1559362381.2956667,
212,+4.61214700E-05,1559362381.504,
213,+4.67098300E-05,1559362381.7123332,
214,+4.68961500E-05,1559362381.9206667,
215,+4.61294900E-05,1559362382.129,
216,+4.59511800E-05,1559362382.3373332,
217,+4.68674200E-05,1559362382.5456667,
218,+4.69782900E-05,1559362382.754,
219,+4.69742900E-05,1559362382.9623332,
220,+4.69943100E-05,1559362383.1706667,
221,+4.69555800E-05,1559362383.379,
222,+4.70804600E-05,1559362383.5873332,
223,+4.71252000E-05,1559362383.7956667,
224,+4.70390600E-05,1559362384.004,
225,+4.70804700E-05,1559362385.604,
226,+4.71873100E-05,1559362385.8123333,
227,+4.66049600E-05,1559362386.0206668,
228,+4.72915100E-05,1559362386.229,
229,+4.71045100E-05,1559362386.4373333,
230,+4.65802700E-05,1559362386.6456668,
231,+4.66497200E-05,1559362386.854,
232,+4.69014900E-05,1559362387.0623333,
233,+4.68654300E-05,1559362387.2706668,
234,+4.62096200E-05,1559362387.479,
235,+4.61234600E-05,1559362387.6873333,
236,+4.74905200E-05,1559362387.8956668,
237,+4.75158900E-05,1559362388.104,
238,+4.76053700E-05,1559362388.3123333,
239,+4.74604500E-05,1559362388.5206668,
240,+4.76167300E-05,1559362388.729,
241,+4.78965500E-05,1559362388.9373333,
242,+4.75292500E-05,1559362389.1456668,
243,+4.78411300E-05,1559362389.354,
244,+4.78003900E-05,1559362389.5623333,
245,+4.72895000E-05,1559362389.7706668,
246,+4.76821700E-05,1559362389.979,
247,+4.86224700E-05,1559362390.1873333,
248,+5.05371200E-05,1559362390.3956668,
249,+5.34642200E-05,1559362390.604,
250,+4.83025800E-05,1559362392.203,
251,+4.89904400E-05,1559362392.4113333,
252,+5.12470200E-05,1559362392.6196668,
253,+5.39817900E-05,1559362392.828,
254,+5.32752400E-05,1559362393.0363333,
255,+5.43364100E-05,1559362393.2446668,
256,+5.56153000E-05,1559362393.453,
257,+5.30141200E-05,1559362393.6613333,
258,+5.58343300E-05,1559362393.8696668,
259,+5.57361700E-05,1559362394.078,
260,+5.44673100E-05,1559362394.2863333,
261,+5.64347200E-05,1559362394.4946668,
262,+5.82792500E-05,1559362394.703,
263,+6.05077900E-05,1559362394.9113333,
264,+5.90993500E-05,1559362395.1196668,
265,+6.64214300E-05,1559362395.328,
266,+6.49949500E-05,1559362395.5363333,
267,+6.43965800E-05,1559362395.7446668,
268,+6.36512900E-05,1559362395.953,
269,+6.09565600E-05,1559362396.1613333,
270,+6.67065900E-05,1559362396.3696668,
271,+6.86573000E-05,1559362396.578,
272,+6.54557600E-05,1559362396.7863333,
273,+6.80335500E-05,1559362396.9946668,
274,+6.66164400E-05,1559362397.203,
275,+6.86833500E-05,1559362398.804,
276,+7.14481400E-05,1559362399.0123332,
277,+7.43184900E-05,1559362399.2206666,
278,+7.53876600E-05,1559362399.429,
279,+7.57242500E-05,1559362399.6373332,
280,+8.55099200E-05,1559362399.8456666,
281,+7.75914900E-05,1559362400.054,
282,+9.03970700E-05,1559362400.2623332,
283,+8.28245900E-05,1559362400.4706666,
284,+7.20578800E-05,1559362400.679,
285,+8.43138500E-05,1559362400.8873332,
286,+8.95629600E-05,1559362401.0956666,
287,+8.99843600E-05,1559362401.304,
288,+8.47986900E-05,1559362401.5123332,
289,+9.55861200E-05,1559362401.7206666,
290,+9.61551000E-05,1559362401.929,
291,+1.01501710E-04,1559362402.1373332,
292,+1.09108940E-04,1559362402.3456666,
293,+1.10622240E-04,1559362402.554,
294,+1.08014380E-04,1559362402.7623332,
295,+1.05250250E-04,1559362402.9706666,
296,+1.14543740E-04,1559362403.179,
297,+1.12553590E-04,1559362403.3873332,
298,+1.14522360E-04,1559362403.5956666,
299,+1.20563520E-04,1559362403.804,
300,+1.17301860E-04,1559362405.404,
301,+1.20026590E-04,1559362405.6123333,
302,+1.31368980E-04,1559362405.8206668,
303,+1.24625890E-04,1559362406.029,
304,+1.30663740E-04,1559362406.2373333,
305,+1.41863200E-04,1559362406.4456668,
306,+1.42247200E-04,1559362406.654,
307,+1.42484950E-04,1559362406.8623333,
308,+1.44641360E-04,1559362407.0706668,
309,+1.47743440E-04,1559362407.279,
310,+1.46879280E-04,1559362407.4873333,
311,+1.52627250E-04,1559362407.6956668,
312,+1.38821260E-04,1559362407.904,
313,+1.47026860E-04,1559362408.1123333,
314,+1.49161240E-04,1559362408.3206668,
315,+1.46244830E-04,1559362408.529,
316,+1.50306560E-04,1559362408.7373333,
317,+1.50678540E-04,1559362408.9456668,
318,+1.53847360E-04,1559362409.154,
319,+1.51872600E-04,1559362409.3623333,
320,+1.52927100E-04,1559362409.5706668,
321,+1.52390170E-04,1559362409.779,
322,+1.52989210E-04,1559362409.9873333,
323,+1.50517590E-04,1559362410.1956668,
324,+1.56147360E-04,1559362410.404,
325,+1.49725530E-04,1559362412.004,
326,+1.49269420E-04,1559362412.2123332,
327,+1.54656770E-04,1559362412.4206667,
328,+1.52787520E-04,1559362412.629,
329,+1.53099400E-04,1559362412.8373332,
330,+1.55660510E-04,1559362413.0456667,
331,+1.50727280E-04,1559362413.254,
332,+1.53477380E-04,1559362413.4623332,
333,+1.52505700E-04,1559362413.6706667,
334,+1.54513850E-04,1559362413.879,
335,+1.64228730E-04,1559362414.0873332,
336,+1.71249640E-04,1559362414.2956667,
337,+1.73975700E-04,1559362414.504,
338,+1.72702830E-04,1559362414.7123332,
339,+1.71839330E-04,1559362414.9206667,
340,+1.71835320E-04,1559362415.129,
341,+1.70640580E-04,1559362415.3373332,
342,+1.70695340E-04,1559362415.5456667,
343,+1.71130100E-04,1559362415.754,
344,+1.71927470E-04,1559362415.9623332,
345,+1.71273010E-04,1559362416.1706667,
346,+1.71941510E-04,1559362416.379,
347,+1.71076000E-04,1559362416.5873332,
348,+1.70896350E-04,1559362416.7956667,
349,+1.75225200E-04,1559362417.004,
350,+1.74332990E-04,1559362418.603,
351,+1.74932690E-04,1559362418.8113332,
352,+1.72443040E-04,1559362419.0196667,
353,+1.71874050E-04,1559362419.228,
354,+1.78530970E-04,1559362419.4363332,
355,+1.81282410E-04,1559362419.6446667,
356,+1.78116910E-04,1559362419.853,
357,+1.78683230E-04,1559362420.0613332,
358,+1.73018710E-04,1559362420.2696667,
359,+1.76012570E-04,1559362420.478,
360,+1.77890520E-04,1559362420.6863332,
361,+1.75972490E-04,1559362420.8946667,
362,+1.78812120E-04,1559362421.103,
363,+1.78348660E-04,1559362421.3113332,
364,+1.77223370E-04,1559362421.5196667,
365,+1.80016870E-04,1559362421.728,
366,+1.78639820E-04,1559362421.9363332,
367,+1.79816540E-04,1559362422.1446667,
368,+1.79077250E-04,1559362422.353,
369,+1.79363750E-04,1559362422.5613332,
370,+1.81647710E-04,1559362422.7696667,
371,+1.76998950E-04,1559362422.978,
372,+1.78804770E-04,1559362423.1863332,
373,+1.76978910E-04,1559362423.3946667,
374,+1.77210010E-04,1559362423.603,
375,+1.78733990E-04,1559362425.204,
376,+1.77550600E-04,1559362425.4123333,
377,+1.78913630E-04,1559362425.6206667,
378,+1.78299230E-04,1559362425.829,
379,+1.73133570E-04,1559362426.0373333,
380,+1.79079250E-04,1559362426.2456667,
381,+1.75536410E-04,1559362426.454,
382,+1.75814220E-04,1559362426.6623333,
383,+1.76709110E-04,1559362426.8706667,
384,+1.74345680E-04,1559362427.079,
385,+1.74491930E-04,1559362427.2873333,
386,+1.75128370E-04,1559362427.4956667,
387,+1.74590100E-04,1559362427.704,
388,+1.76624290E-04,1559362427.9123333,
389,+1.77636090E-04,1559362428.1206667,
390,+1.76026590E-04,1559362428.329,
391,+1.74841860E-04,1559362428.5373333,
392,+1.78191050E-04,1559362428.7456667,
393,+1.75914400E-04,1559362428.954,
394,+1.75592510E-04,1559362429.1623333,
395,+1.78433470E-04,1559362429.3706667,
396,+1.79787140E-04,1559362429.579,
397,+1.75556440E-04,1559362429.7873333,
398,+1.72782960E-04,1559362429.9956667,
399,+1.73172970E-04,1559362430.204,
400,+1.71548820E-04,1559362431.803,
401,+1.72334180E-04,1559362432.0113332,
402,+1.73741960E-04,1559362432.2196667,
403,+1.74083220E-04,1559362432.428,
404,+1.76657020E-04,1559362432.6363332,
405,+1.75224530E-04,1559362432.8446667,
406,+1.76827310E-04,1559362433.053,
407,+1.77969330E-04,1559362433.2613332,
408,+1.76133450E-04,1559362433.4696667,
409,+1.73964330E-04,1559362433.678,
410,+1.76778570E-04,1559362433.8863332,
411,+1.78208400E-04,1559362434.0946667,
412,+1.80382180E-04,1559362434.303,
413,+1.82612720E-04,1559362434.5113332,
414,+1.80187180E-04,1559362434.7196667,
415,+1.80690720E-04,1559362434.928,
416,+1.81287090E-04,1559362435.1363332,
417,+1.82188650E-04,1559362435.3446667,
418,+1.82591350E-04,1559362435.553,
419,+1.83120930E-04,1559362435.7613332,
420,+1.81261040E-04,1559362435.9696667,
421,+1.80748150E-04,1559362436.178,
422,+1.84398480E-04,1559362436.3863332,
423,+1.81454040E-04,1559362436.5946667,
424,+1.82859150E-04,1559362436.803,
425,+1.82839780E-04,1559362438.403,
426,+1.84341050E-04,1559362438.6113334,
427,+1.81832020E-04,1559362438.8196669,
428,+1.81017950E-04,1559362439.028,
429,+1.84020500E-04,1559362439.2363334,
430,+1.82202000E-04,1559362439.4446669,
431,+1.83315940E-04,1559362439.653,
432,+1.81970930E-04,1559362439.8613334,
433,+1.83928330E-04,1559362440.0696669,
