,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,+4.52372600E-05,1559362924.058,
1,+4.50936900E-05,1559362924.2663333,
2,+4.52846800E-05,1559362924.4746668,
3,+4.54543200E-05,1559362924.683,
4,+4.54042300E-05,1559362924.8913333,
5,+4.53234200E-05,1559362925.0996668,
6,+4.49694600E-05,1559362925.308,
7,+4.53608100E-05,1559362925.5163333,
8,+4.52960400E-05,1559362925.7246668,
9,+4.53788400E-05,1559362925.933,
10,+4.52372700E-05,1559362926.1413333,
11,+4.50957000E-05,1559362926.3496668,
12,+4.52813500E-05,1559362926.558,
13,+4.49554500E-05,1559362926.7663333,
14,+4.51244100E-05,1559362926.9746668,
15,+4.50442700E-05,1559362927.183,
16,+4.49701400E-05,1559362927.3913333,
17,+4.51310800E-05,1559362927.5996668,
18,+4.50208900E-05,1559362927.808,
19,+4.49681400E-05,1559362928.0163333,
20,+4.47985100E-05,1559362928.2246668,
21,+4.47397300E-05,1559362928.433,
22,+4.45974900E-05,1559362928.6413333,
23,+4.49327500E-05,1559362928.8496668,
24,+4.44325400E-05,1559362929.058,
25,+4.46155200E-05,1559362931.408,
26,+4.43784500E-05,1559362931.6163332,
27,+4.44739300E-05,1559362931.8246667,
28,+4.44378700E-05,1559362932.033,
29,+4.40839300E-05,1559362932.2413332,
30,+4.38996100E-05,1559362932.4496667,
31,+4.37920800E-05,1559362932.658,
32,+4.31463000E-05,1559362932.8663332,
33,+4.32004000E-05,1559362933.0746667,
34,+4.31316100E-05,1559362933.283,
35,+4.32711900E-05,1559362933.4913332,
36,+4.31783600E-05,1559362933.6996667,
37,+4.31997300E-05,1559362933.908,
38,+4.33166100E-05,1559362934.1163332,
39,+4.35917500E-05,1559362934.3246667,
40,+4.37767400E-05,1559362934.533,
41,+4.39790900E-05,1559362934.7413332,
42,+4.41133200E-05,1559362934.9496667,
43,+4.40799300E-05,1559362935.158,
44,+4.38348400E-05,1559362935.3663332,
45,+4.37553600E-05,1559362935.5746667,
46,+4.42869500E-05,1559362935.783,
47,+4.43263600E-05,1559362935.9913332,
48,+4.44365500E-05,1559362936.1996667,
49,+4.45000000E-05,1559362936.408,
50,+4.44632700E-05,1559362938.053,
51,+4.43129900E-05,1559362938.2613332,
52,+4.44024800E-05,1559362938.4696667,
53,+4.41046300E-05,1559362938.678,
54,+4.44866300E-05,1559362938.8863332,
55,+4.44352000E-05,1559362939.0946667,
56,+4.43270200E-05,1559362939.303,
57,+4.43690900E-05,1559362939.5113332,
58,+4.44492300E-05,1559362939.7196667,
59,+4.44111700E-05,1559362939.928,
60,+4.44325300E-05,1559362940.1363332,
61,+4.43530700E-05,1559362940.3446667,
62,+4.42695900E-05,1559362940.553,
63,+4.41139800E-05,1559362940.7613332,
64,+4.41507200E-05,1559362940.9696667,
65,+4.44151600E-05,1559362941.178,
66,+4.44238600E-05,1559362941.3863332,
67,+4.41146500E-05,1559362941.5946667,
68,+4.43831200E-05,1559362941.803,
69,+4.42742700E-05,1559362942.0113332,
70,+4.42755900E-05,1559362942.2196667,
71,+4.41573900E-05,1559362942.428,
72,+4.40064600E-05,1559362942.6363332,
73,+4.39463600E-05,1559362942.8446667,
74,+4.37326600E-05,1559362943.053,
75,+4.38441800E-05,1559362944.653,
76,+4.40044600E-05,1559362944.8613334,
77,+4.38128000E-05,1559362945.0696669,
78,+4.35376600E-05,1559362945.278,
79,+4.35897300E-05,1559362945.4863334,
80,+4.35596900E-05,1559362945.6946669,
81,+4.35042600E-05,1559362945.903,
82,+4.38228100E-05,1559362946.1113334,
83,+4.39703900E-05,1559362946.3196669,
84,+4.39497000E-05,1559362946.528,
85,+4.37954400E-05,1559362946.7363334,
86,+4.38835900E-05,1559362946.9446669,
87,+4.37520200E-05,1559362947.153,
88,+4.40839300E-05,1559362947.3613334,
89,+4.39390100E-05,1559362947.5696669,
90,+4.42709200E-05,1559362947.778,
