,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+3.48465800E-05,1559357196.304,1.4122672508214676e-08,4.954225615763547e-05
1,+3.58109200E-05,1559357196.5123332,1.4158817086527929e-08,4.954430541871921e-05
2,+3.53527900E-05,1559357196.7206666,2.595789704271632e-07,4.9546866995073895e-05
3,+3.56559700E-05,1559357196.929,2.1483728368017524e-06,4.9548669950738915e-05
4,+3.54222400E-05,1559357197.1373332,2.1488312157721797e-06,4.954571428571429e-05
5,+3.54576500E-05,1559357197.3456666,2.1556618838992333e-06,4.954661083743843e-05
6,+3.60359800E-05,1559357197.554,4.287945016429354e-06,4.9547123152709356e-05
7,+3.53160500E-05,1559357197.7623332,4.288054874041621e-06,4.954661083743843e-05
8,+3.54669900E-05,1559357197.9706666,4.725943483023001e-06,4.9546098522167485e-05
9,+3.45854600E-05,1559357198.179,6.425592004381161e-06,4.954622660098522e-05
10,+3.55805100E-05,1559357198.3873332,6.426300547645126e-06,4.954404926108374e-05
11,+3.56593300E-05,1559357198.5956666,6.121718510405258e-06,4.9545458128078816e-05
12,+3.56920500E-05,1559357198.804,8.567601204819277e-06,4.9544433497536945e-05
13,+3.56306000E-05,1559357199.0123332,8.567641730558598e-06,4.954404926108374e-05
14,+3.52031900E-05,1559357199.2206666,8.567761774370208e-06,4.9544817733990146e-05
15,+3.48392300E-05,1559357199.429,8.567946768893757e-06,4.9543665024630535e-05
16,+3.58195900E-05,1559357199.6373332,8.568045125958378e-06,4.954161576354679e-05
17,+3.47417300E-05,1559357199.8456666,8.568183899233296e-06,4.9545586206896556e-05
18,+3.52739900E-05,1559357200.054,8.568426834611172e-06,4.9542768472906404e-05
19,+3.52205600E-05,1559357200.2623332,8.568470208105147e-06,4.954302463054187e-05
20,+3.54503000E-05,1559357200.4706666,8.568533844468785e-06,4.954533004926108e-05
21,+3.57661700E-05,1559357200.679,8.568691456736035e-06,4.9545458128078816e-05
22,+3.55731800E-05,1559357200.8873332,8.56880569550931e-06,4.9544561576354685e-05
23,+3.49554300E-05,1559357201.0956666,8.568841840087623e-06,4.954392118226601e-05
24,+3.55965500E-05,1559357201.304,8.568850492880613e-06,4.9545458128078816e-05
25,+3.51224200E-05,1559357204.966,8.840918948521358e-06,4.954328078817734e-05
26,+3.54229500E-05,1559357205.1743333,1.07301852135816e-05,4.954404926108374e-05
27,+3.54242800E-05,1559357205.3826668,1.073059156626506e-05,4.954289655172414e-05
28,+3.54296300E-05,1559357205.591,1.1086095290251916e-05,4.95423842364532e-05
29,+3.51711900E-05,1559357205.7993333,1.2825911281489594e-05,4.954404926108374e-05
30,+3.49474600E-05,1559357206.0076668,1.2826764512595837e-05,4.9543408866995074e-05
31,+3.51551500E-05,1559357206.216,1.1602756845564073e-05,4.9542128078817735e-05
32,+3.52994100E-05,1559357206.4243333,1.4968162102957285e-05,4.954097536945813e-05
33,+3.50529800E-05,1559357206.6326668,1.4968595837897042e-05,4.954071921182266e-05
34,+3.50256000E-05,1559357206.841,1.608324644030668e-05,4.95412315270936e-05
35,+3.46429400E-05,1559357207.0493333,1.7162426067907995e-05,4.954225615763547e-05
36,+3.46382600E-05,1559357207.2576668,1.7163423877327493e-05,4.953956650246305e-05
37,+3.43337300E-05,1559357207.466,1.8323642935377874e-05,4.953828571428571e-05
38,+3.48092300E-05,1559357207.6743333,1.9257429353778752e-05,4.953918226600985e-05
39,+3.42829800E-05,1559357207.8826668,1.9258427163198247e-05,4.95412315270936e-05
40,+3.48900200E-05,1559357208.091,1.9259078860898138e-05,4.953815763546798e-05
41,+3.44813100E-05,1559357208.2993333,1.9259368017524644e-05,4.954071921182266e-05
42,+3.40418800E-05,1559357208.5076668,1.9259801752464403e-05,4.95412315270936e-05
43,+3.49100500E-05,1559357208.716,1.9260322015334064e-05,4.953892610837439e-05
44,+3.53321300E-05,1559357208.9243333,1.9261060240963856e-05,4.953892610837439e-05
