,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.51978100E-05,1559372396.241,+1.57066190E+00,0.00010570009999999999,,1.2747535596933188e-08,4.8145261083743845e-05
1,+3.51851200E-05,1559372396.4493332,+1.57064580E+00,0.00010932190000000001,,1.2403395399780942e-08,4.814846305418719e-05
2,+3.51524000E-05,1559372396.6576667,+1.57063340E+00,0.00010993050000000001,,1.2364403066812707e-08,4.814807881773399e-05
3,+3.51817900E-05,1559372396.866,+1.57064080E+00,0.0001099383,,1.2322453450164294e-08,4.814641379310345e-05
4,+3.51350500E-05,1559372397.0743332,+1.57064330E+00,0.0001098781,,1.2289266155531216e-08,4.814718226600985e-05
5,+3.54896600E-05,1559372397.2826667,+1.57064450E+00,0.0001640849,,1.2195180722891567e-08,4.814692610837438e-05
6,+3.55203800E-05,1559372397.491,+1.57017100E+00,0.0006348336,,1.2300766703176343e-08,4.8146285714285716e-05
7,+3.54956700E-05,1559372397.6993332,+1.57017600E+00,0.0006338964,,1.2232858707557503e-08,4.8141802955665024e-05
8,+3.55237200E-05,1559372397.9076667,+1.57017720E+00,0.0006334868,,1.2254545454545454e-08,4.814718226600985e-05
9,+3.55657900E-05,1559372398.116,+1.57017480E+00,0.0006338218,,1.2218400876232202e-08,4.8144236453201974e-05
10,+3.55310500E-05,1559372398.3243332,+1.57017850E+00,0.0006339881000000001,,1.2266046002190581e-08,4.814244334975369e-05
11,+3.54963300E-05,1559372398.5326667,+1.57017600E+00,0.0007565337,,1.218368017524644e-08,4.8145773399014774e-05
12,+3.54769700E-05,1559372398.741,+1.56912120E+00,0.0012127079,,1.2255969331872947e-08,4.8144236453201974e-05
13,+3.62776800E-05,1559372398.9493332,+1.56912490E+00,0.0012123165,,1.223855421686747e-08,4.8144876847290636e-05
14,+3.63531500E-05,1559372399.1576667,+1.56912860E+00,0.0012123989999999999,,1.2208214676889376e-08,4.8146285714285716e-05
15,+3.63164300E-05,1559372399.366,+1.56912860E+00,0.0012122432,,1.2224096385542168e-08,4.814333990147783e-05
16,+3.62656600E-05,1559372399.5743332,+1.56913360E+00,0.0012121895,,1.221117196056955e-08,4.8145773399014774e-05
17,+3.62449600E-05,1559372399.7826667,+1.56913230E+00,0.0012123689,,1.2192332968236583e-08,4.814743842364532e-05
18,+3.63244300E-05,1559372399.991,+1.56912980E+00,0.0012130573000000001,,1.2274808324205914e-08,4.815012807881774e-05
19,+3.63184300E-05,1559372400.1993332,+1.56913230E+00,0.0012124225,,1.2244359255202628e-08,4.8153330049261085e-05
20,+3.63084100E-05,1559372400.4076667,+1.56913600E+00,0.0012126175,,1.2222672508214677e-08,4.81447487684729e-05
21,+3.63084100E-05,1559372400.616,+1.56913730E+00,0.0012125979,,1.2209638554216867e-08,4.814641379310345e-05
22,+3.63003900E-05,1559372400.8243332,+1.56913600E+00,0.0012126895,,1.2214019715224535e-08,4.814769458128079e-05
23,+3.63504800E-05,1559372401.0326667,+1.56913600E+00,0.0012127995,,1.221117196056955e-08,4.813860098522168e-05
