,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+2.39756060E-04,1559371916.134,+1.57630080E+00,,,5.617692442497262e-06,4.8156275862068965e-05
1,+2.31621240E-04,1559371916.3423333,+1.57629580E+00,,,5.618146549835707e-06,4.8155635467980295e-05
2,+2.37335850E-04,1559371916.5506668,+1.57632930E+00,,,5.618425629791895e-06,4.815550738916256e-05
3,+2.35855930E-04,1559371916.759,+1.57631070E+00,,,5.61868291347207e-06,4.8153842364532014e-05
4,+2.32202920E-04,1559371916.9673333,+1.57630330E+00,,,5.6187378970427165e-06,4.8153842364532014e-05
5,+2.31907070E-04,1559371917.1756668,+1.57629830E+00,,,5.618912814895947e-06,4.8153842364532014e-05
6,+2.31691370E-04,1559371917.384,+1.57629460E+00,,,5.619030010952903e-06,4.815896551724138e-05
7,+2.27195560E-04,1559371917.5923333,+1.57627720E+00,,,5.619134063526835e-06,4.8152561576354675e-05
8,+2.34315910E-04,1559371917.8006668,+1.57626730E+00,,,5.619241073384447e-06,4.815204926108375e-05
9,+2.28849100E-04,1559371918.009,+1.57625740E+00,,,5.619264184008763e-06,4.8150256157635466e-05
10,+2.30786450E-04,1559371918.2173333,+1.57625120E+00,,,5.619327820372399e-06,4.815307389162562e-05
11,+2.30496630E-04,1559371918.4256668,+1.57623880E+00,,,5.619486966046002e-06,4.815537931034483e-05
12,+2.28400980E-04,1559371918.634,+1.57622770E+00,,,5.619491237677985e-06,4.815345812807882e-05
13,+2.27156160E-04,1559371918.8423333,+1.57622640E+00,,,5.619577984665937e-06,4.8154354679802956e-05
14,+2.26898380E-04,1559371919.0506668,+1.57620780E+00,,,5.61962573932092e-06,4.8153842364532014e-05
15,+2.28706840E-04,1559371919.259,+1.57619170E+00,,,5.619601095290252e-06,4.8154354679802956e-05
16,+2.30969430E-04,1559371919.4673333,+1.57618300E+00,,,5.619693647316539e-06,4.8153330049261085e-05
17,+2.28296140E-04,1559371919.6756668,+1.57617310E+00,,,5.619724096385542e-06,4.815614778325123e-05
18,+2.26641930E-04,1559371919.884,+1.57615700E+00,,,5.6198353778751365e-06,4.815358620689655e-05
19,+2.30393780E-04,1559371920.0923333,+1.57614960E+00,,,5.619909090909091e-06,4.8151280788177344e-05
20,+2.30296270E-04,1559371920.3006668,+1.57612970E+00,,,5.6198672508214676e-06,4.815307389162562e-05
21,+2.26096320E-04,1559371920.509,+1.57611980E+00,,,5.619936582694414e-06,4.814769458128079e-05
22,+2.26058260E-04,1559371920.7173333,+1.57611360E+00,,,5.620032092004381e-06,4.8156275862068965e-05
23,+2.27570210E-04,1559371920.9256668,+1.57610370E+00,,,5.620084118291347e-06,4.815870935960591e-05
24,+2.26919080E-04,1559371921.134,+1.57609250E+00,,,5.620185323110624e-06,4.815589162561577e-05
25,+2.28901180E-04,1559371924.932,+1.57607640E+00,,,5.6201332968236585e-06,4.815819704433498e-05
26,+2.31448930E-04,1559371925.1403332,+1.57606400E+00,,,5.6201245345016434e-06,4.8152561576354675e-05
27,+2.26480320E-04,1559371925.3486667,+1.57605040E+00,,,5.620156407447974e-06,4.815281773399014e-05
28,+2.30908670E-04,1559371925.557,+1.57603550E+00,,,5.620157831325301e-06,4.8155635467980295e-05
29,+2.29474180E-04,1559371925.7653332,+1.57602070E+00,,,5.620240306681271e-06,4.8155635467980295e-05
30,+2.33462430E-04,1559371925.9736667,+1.57600950E+00,,,5.620279299014239e-06,4.8156660098522166e-05
31,+2.28978650E-04,1559371926.182,+1.57599460E+00,,,5.6203443592552024e-06,4.8150512315270934e-05
32,+2.27606280E-04,1559371926.3903332,+1.57598350E+00,,,5.620423877327492e-06,4.8156660098522166e-05
33,+2.26905720E-04,1559371926.5986667,+1.57597110E+00,,,5.6203718510405255e-06,4.8152561576354675e-05
34,+2.27125430E-04,1559371926.807,+1.57596360E+00,,,5.620464403066813e-06,4.81571724137931e-05
35,+2.27029930E-04,1559371927.0153332,+1.57594880E+00,,,5.620473055859803e-06,4.815281773399014e-05
36,+2.29910280E-04,1559371927.2236667,+1.57593880E+00,,,5.620501971522454e-06,4.815397044334975e-05
37,+2.28583970E-04,1559371927.432,+1.57593390E+00,,,5.620467250821468e-06,4.8154354679802956e-05
38,+2.28033010E-04,1559371927.6403332,+1.57591650E+00,,,5.620461445783132e-06,4.8155251231527094e-05
39,+2.26846290E-04,1559371927.8486667,+1.57590410E+00,,,5.620532311062431e-06,4.8154610837438424e-05
40,+2.27098720E-04,1559371928.057,+1.57590170E+00,,,5.620504819277108e-06,4.8153842364532014e-05
41,+2.28063730E-04,1559371928.2653332,+1.57589550E+00,,,5.620611829134721e-06,4.8154866995073885e-05
42,+2.28294130E-04,1559371928.4736667,+1.57588430E+00,,,5.620522234392114e-06,4.815537931034483e-05
43,+2.27856040E-04,1559371928.682,+1.57587320E+00,,,5.620632092004381e-06,4.815307389162562e-05
44,+2.31072290E-04,1559371928.8903332,+1.57586080E+00,,,5.620632092004381e-06,4.8155635467980295e-05
45,+2.28344890E-04,1559371929.0986667,+1.57584340E+00,,,5.620704381161007e-06,4.815512315270936e-05
46,+2.29488210E-04,1559371929.307,+1.57582980E+00,,,5.620692880613363e-06,4.8153330049261085e-05
47,+2.29394710E-04,1559371929.5153332,+1.57581990E+00,,,5.620729025191676e-06,4.8154354679802956e-05
48,+2.29355310E-04,1559371929.7236667,+1.57580750E+00,,,5.6206985761226726e-06,4.815140886699507e-05
49,+2.26763480E-04,1559371929.932,+1.57579750E+00,,,5.620695728368017e-06,4.8154610837438424e-05
50,+2.27579560E-04,1559371933.532,+1.57578020E+00,,,5.6207593647316535e-06,4.8152305418719215e-05
51,+2.30131990E-04,1559371933.7403333,+1.57577150E+00,,,5.62079112814896e-06,4.8155635467980295e-05
52,+2.29552320E-04,1559371933.9486668,+1.57576160E+00,,,5.62084030668127e-06,4.815653201970443e-05
53,+2.26419550E-04,1559371934.157,+1.57574550E+00,,,5.62082300109529e-06,4.81567881773399e-05
54,+2.30497290E-04,1559371934.3653333,+1.57573180E+00,,,5.620786856516977e-06,4.8156275862068965e-05
55,+2.29106210E-04,1559371934.5736668,+1.57572190E+00,,,5.620875027382256e-06,4.81503842364532e-05
56,+2.29372000E-04,1559371934.782,+1.57569960E+00,,,5.620872179627601e-06,4.8158068965517245e-05
57,+2.30244850E-04,1559371934.9903333,+1.57569340E+00,,,5.620837458926616e-06,4.815281773399014e-05
58,+2.38809080E-04,1559371935.1986668,+1.57568600E+00,,,5.620932858707557e-06,4.8153842364532014e-05
59,+2.38030390E-04,1559371935.407,+1.57567110E+00,,,5.6209227820372395e-06,4.81564039408867e-05
60,+2.33404340E-04,1559371935.6153333,+1.57565870E+00,,,5.6209834611171956e-06,4.8157044334975375e-05
61,+2.33181290E-04,1559371935.8236668,+1.57565250E+00,,,5.6210210295728365e-06,4.8159605911330045e-05
62,+2.30717680E-04,1559371936.032,+1.57564260E+00,,,5.621068784227821e-06,4.815499507389162e-05
63,+2.33418360E-04,1559371936.2403333,+1.57563020E+00,,,5.621045673603505e-06,4.815422660098522e-05
64,+2.35439200E-04,1559371936.4486668,+1.57561910E+00,,,5.621100657174151e-06,4.814884729064039e-05
65,+2.30709660E-04,1559371936.657,+1.57561040E+00,,,5.621089047097481e-06,4.815422660098522e-05
66,+2.30308970E-04,1559371936.8653333,+1.57559800E+00,,,5.621167141292443e-06,4.815358620689655e-05
67,+2.34544320E-04,1559371937.0736668,+1.57558310E+00,,,5.621141073384448e-06,4.815281773399014e-05
68,+2.31769490E-04,1559371937.282,+1.57556950E+00,,,5.621104928806134e-06,4.8154866995073885e-05
69,+2.35495300E-04,1559371937.4903333,+1.57555460E+00,,,5.621115115005477e-06,4.815794088669951e-05
70,+2.32227620E-04,1559371937.6986668,+1.57554470E+00,,,5.621141073384448e-06,4.815473891625616e-05
71,+2.30907330E-04,1559371937.907,+1.57553480E+00,,,5.62114830230011e-06,4.815576354679803e-05
72,+2.30920020E-04,1559371938.1153333,+1.57552360E+00,,,5.621146878422782e-06,4.81571724137931e-05
73,+2.31939120E-04,1559371938.3236668,+1.57551860E+00,,,5.621178641840088e-06,4.815537931034483e-05
74,+2.33813040E-04,1559371938.532,+1.57550500E+00,,,5.621190251916758e-06,4.8152305418719215e-05
75,+2.25551340E-04,1559371942.131,+1.57548770E+00,,,5.621184446878423e-06,4.815589162561577e-05
76,+2.23383580E-04,1559371942.3393333,+1.57548020E+00,,,5.621167141292443e-06,4.8156660098522166e-05
77,+2.28742910E-04,1559371942.5476668,+1.57546660E+00,,,5.621265498357065e-06,4.815422660098522e-05
78,+2.28228680E-04,1559371942.756,+1.57544920E+00,,,5.621198904709748e-06,4.815742857142857e-05
79,+2.27826650E-04,1559371942.9643333,+1.57541820E+00,,,5.621233625410734e-06,4.815358620689655e-05
80,+2.29534960E-04,1559371943.1726668,+1.57541950E+00,,,5.62127699890471e-06,4.8149231527093595e-05
81,+2.37572930E-04,1559371943.381,+1.57541080E+00,,,5.621326177437021e-06,4.81571724137931e-05
82,+2.28022320E-04,1559371943.5893333,+1.57539590E+00,,,5.621236473165389e-06,4.8155635467980295e-05
83,+2.30546700E-04,1559371943.7976668,+1.57537980E+00,,,5.621233625410734e-06,4.815409852216749e-05
84,+2.33770310E-04,1559371944.006,+1.57536250E+00,,,5.6213377875136914e-06,4.8153330049261085e-05
85,+2.38595360E-04,1559371944.2143333,+1.57532530E+00,,,5.621324753559693e-06,4.8152561576354675e-05
86,+2.38111200E-04,1559371944.4226668,+1.57529680E+00,,,5.621326177437021e-06,4.815537931034483e-05
87,+2.32529480E-04,1559371944.631,+1.57529550E+00,,,5.621407119386638e-06,4.8151024630541876e-05
88,+2.44259200E-04,1559371944.8393333,+1.57527570E+00,,,5.621407119386638e-06,4.8154866995073885e-05
89,+2.39162360E-04,1559371945.0476668,+1.57527200E+00,,,5.621446221248631e-06,4.815499507389162e-05
90,+2.39639190E-04,1559371945.256,+1.57527200E+00,,,5.621375355969332e-06,4.8151536945812805e-05
91,+2.41614600E-04,1559371945.4643333,+1.57528560E+00,,,5.621385432639649e-06,4.8151536945812805e-05
92,+2.45934110E-04,1559371945.6726668,+1.57528810E+00,,,5.621379627601315e-06,4.815742857142857e-05
93,+2.41960540E-04,1559371945.881,+1.57525460E+00,,,5.6214143483023e-06,4.815768472906404e-05
94,+2.39223800E-04,1559371946.0893333,+1.57527320E+00,,,5.621443263964951e-06,4.8161399014778326e-05
95,+2.36024210E-04,1559371946.2976668,+1.57525710E+00,,,5.621433187294633e-06,4.815448275862069e-05
96,+2.38687530E-04,1559371946.506,+1.57523480E+00,,,5.621372398685652e-06,4.815768472906404e-05
97,+2.34206400E-04,1559371946.7143333,+1.57519510E+00,,,5.6214924424972615e-06,4.815973399014778e-05
98,+2.37574270E-04,1559371946.9226668,+1.57520500E+00,,,5.6214504928806134e-06,4.8154866995073885e-05
99,+2.34116240E-04,1559371947.131,+1.57518770E+00,,,5.621528587075575e-06,4.815742857142857e-05
100,+2.40323040E-04,1559371950.732,+1.57517530E+00,,,5.621528587075575e-06,4.8155635467980295e-05
101,+2.39737360E-04,1559371950.9403334,+1.57516790E+00,,,5.621574917853231e-06,4.815537931034483e-05
102,+2.42198960E-04,1559371951.1486669,+1.57514310E+00,,,5.621611062431544e-06,4.8154866995073885e-05
103,+2.35896660E-04,1559371951.357,+1.57512200E+00,,,5.6216457831325304e-06,4.815512315270936e-05
104,+2.41808950E-04,1559371951.5653334,+1.57512570E+00,,,5.621546002190581e-06,4.8155635467980295e-05
105,+2.40455930E-04,1559371951.7736669,+1.57511330E+00,,,5.621579189485214e-06,4.815512315270936e-05
106,+2.42023990E-04,1559371951.982,+1.57510220E+00,,,5.621598028477547e-06,4.8155251231527094e-05
107,+2.42048700E-04,1559371952.1903334,+1.57509230E+00,,,5.621567688937568e-06,4.815537931034483e-05
108,+2.42862110E-04,1559371952.3986669,+1.57507860E+00,,,5.621577765607886e-06,4.8156660098522166e-05
109,+2.42005280E-04,1559371952.607,+1.57506750E+00,,,5.621574917853231e-06,4.8159349753694584e-05
110,+2.39778090E-04,1559371952.8153334,+1.57505630E+00,,,5.621587842278204e-06,4.8148975369458134e-05
111,+2.40016510E-04,1559371953.0236669,+1.57503900E+00,,,5.621621139101862e-06,4.815691625615764e-05
112,+2.40560790E-04,1559371953.232,+1.57503150E+00,,,5.621598028477547e-06,4.815537931034483e-05
113,+2.41702760E-04,1559371953.4403334,+1.57501790E+00,,,5.621681927710843e-06,4.8153842364532014e-05
114,+2.45823260E-04,1559371953.6486669,+1.57500550E+00,,,5.62166308871851e-06,4.815320197044335e-05
115,+2.40216180E-04,1559371953.857,+1.57499430E+00,,,5.621686199342826e-06,4.815794088669951e-05
116,+2.46016920E-04,1559371954.0653334,+1.57498690E+00,,,5.621752683461117e-06,4.8153330049261085e-05
117,+2.41415600E-04,1559371954.2736669,+1.57497820E+00,,,5.621757064622125e-06,4.8156660098522166e-05
118,+2.40406510E-04,1559371954.482,+1.57496830E+00,,,5.621722343921139e-06,4.815294581280788e-05
119,+2.41469030E-04,1559371954.6903334,+1.57495590E+00,,,5.621772946330777e-06,4.815012807881774e-05
120,+2.40315030E-04,1559371954.8986669,+1.57494850E+00,,,5.621738225629792e-06,4.815179310344827e-05
121,+2.41519120E-04,1559371955.107,+1.57493980E+00,,,5.621741182913472e-06,4.815537931034483e-05
122,+2.41348820E-04,1559371955.3153334,+1.57492490E+00,,,5.6217253012048194e-06,4.815307389162562e-05
123,+2.39313950E-04,1559371955.5236669,+1.57491250E+00,,,5.6217628696604595e-06,4.8154610837438424e-05
124,+2.41961880E-04,1559371955.732,+1.57490760E+00,,,5.621755640744797e-06,4.814948768472906e-05
125,+2.44575070E-04,1559371959.331,+1.57489390E+00,,,5.621729572836802e-06,4.815409852216749e-05
126,+2.40552100E-04,1559371959.5393333,+1.57487660E+00,,,5.621738225629792e-06,4.8151921182266006e-05
127,+2.42779300E-04,1559371959.7476668,+1.57486910E+00,,,5.621813472070099e-06,4.8151280788177344e-05
128,+2.41801590E-04,1559371959.956,+1.57486170E+00,,,5.6217960569550925e-06,4.814846305418719e-05
129,+2.39883610E-04,1559371960.1643333,+1.57485180E+00,,,5.621816319824753e-06,4.8154354679802956e-05
130,+2.38521240E-04,1559371960.3726668,+1.57483690E+00,,,5.621816319824753e-06,4.8152305418719215e-05
131,+2.38040410E-04,1559371960.581,+1.57483070E+00,,,5.621829353778751e-06,4.815691625615764e-05
132,+2.40421870E-04,1559371960.7893333,+1.57482820E+00,,,5.621859693318729e-06,4.815358620689655e-05
133,+2.36262650E-04,1559371960.9976668,+1.57481210E+00,,,5.6219175246440304e-06,4.814833497536946e-05
134,+2.41891100E-04,1559371961.206,+1.57479970E+00,,,5.621960898138006e-06,4.815268965517241e-05
135,+2.39344670E-04,1559371961.4143333,+1.57479720E+00,,,5.621874151150055e-06,4.81564039408867e-05
136,+2.38889210E-04,1559371961.6226668,+1.57478480E+00,,,5.621887185104052e-06,4.815204926108375e-05
137,+2.39393410E-04,1559371961.831,+1.57476870E+00,,,5.621887185104052e-06,4.815409852216749e-05
138,+2.40835930E-04,1559371962.0393333,+1.57476130E+00,,,5.6219493975903615e-06,4.815179310344827e-05
139,+2.40313690E-04,1559371962.2476668,+1.57474890E+00,,,5.621839539978094e-06,4.815512315270936e-05
140,+2.36312750E-04,1559371962.456,+1.57473530E+00,,,5.6219118291347205e-06,4.814948768472906e-05
141,+2.40302340E-04,1559371962.6643333,+1.57472780E+00,,,5.6221040525739315e-06,4.8154354679802956e-05
142,+2.37453390E-04,1559371962.8726668,+1.57472410E+00,,,5.621814895947426e-06,4.815307389162562e-05
143,+2.42529530E-04,1559371963.081,+1.57471300E+00,,,5.62234852135816e-06,4.815409852216749e-05
