,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.32517600E-05,1559371472.258,+1.57061730E+00,,,5.62529386637459e-06,4.81763842364532e-05
1,+3.47557100E-05,1559371472.4663332,+1.57061350E+00,,,5.6256741511500546e-06,4.817395073891626e-05
2,+3.40678500E-05,1559371472.6746666,+1.57060490E+00,,,5.6258375684556405e-06,4.817395073891626e-05
3,+3.43750400E-05,1559371472.883,+1.57060120E+00,,,5.625974917853231e-06,4.81756157635468e-05
4,+3.50856200E-05,1559371473.0913332,+1.57060490E+00,,,5.62603713033954e-06,4.8171773399014776e-05
5,+3.42842200E-05,1559371473.2996666,+1.57060360E+00,,,5.626148411829134e-06,4.817587192118226e-05
6,+3.50174900E-05,1559371473.508,+1.57059990E+00,,,5.62623669222344e-06,4.817535960591133e-05
7,+3.68707600E-05,1559371473.7163332,+1.57060120E+00,,,5.626361007667032e-06,4.8173694581280784e-05
8,+3.68333500E-05,1559371473.9246666,+1.57059870E+00,,,5.626358159912377e-06,4.817356650246305e-05
9,+3.57053700E-05,1559371474.133,+1.57059870E+00,,,5.626465169769989e-06,4.8169852216748775e-05
10,+3.47336800E-05,1559371474.3413332,+1.57060490E+00,,,5.6265186199342826e-06,4.817113300492611e-05
11,+3.63585000E-05,1559371474.5496666,+1.57060360E+00,,,5.6265880613362546e-06,4.8175103448275864e-05
12,+3.45547000E-05,1559371474.758,+1.57059990E+00,,,5.6265417305585985e-06,4.817382266009852e-05
13,+3.69201800E-05,1559371474.9663332,+1.57059870E+00,,,5.626637239868565e-06,4.8171773399014776e-05
14,+3.70383800E-05,1559371475.1746666,+1.57059990E+00,,,5.626573603504929e-06,4.817818719211823e-05
15,+3.69943100E-05,1559371475.383,+1.57059990E+00,,,5.626629901423878e-06,4.817587192118226e-05
16,+3.46121300E-05,1559371475.5913332,+1.57059500E+00,,,5.6266776560788606e-06,4.81756157635468e-05
17,+3.54242000E-05,1559371475.7996666,+1.57059990E+00,,,5.62673691128149e-06,4.817625615763547e-05
18,+3.49841000E-05,1559371476.008,+1.57059740E+00,,,5.626770208105148e-06,4.817407881773399e-05
19,+3.58142300E-05,1559371476.2163332,+1.57059990E+00,,,5.626833844468784e-06,4.81695960591133e-05
20,+3.49353500E-05,1559371476.4246666,+1.57060490E+00,,,5.626852683461117e-06,4.8175103448275864e-05
21,+3.53153600E-05,1559371476.633,+1.57059990E+00,,,5.6268641840087625e-06,4.817407881773399e-05
22,+3.51397200E-05,1559371476.8413332,+1.57059870E+00,,,5.6269205914567355e-06,4.816946798029557e-05
23,+3.66463200E-05,1559371477.0496666,+1.57060490E+00,,,5.6269162102957284e-06,4.817484729064039e-05
24,+3.62422900E-05,1559371477.258,+1.57060730E+00,,,5.626884446878422e-06,4.817407881773399e-05
25,+3.55811400E-05,1559371481.057,+1.57060490E+00,,,5.626898904709748e-06,4.817382266009852e-05
26,+3.71125100E-05,1559371481.2653332,+1.57060240E+00,,,5.627011719605695e-06,4.817676847290641e-05
27,+3.59391000E-05,1559371481.4736667,+1.57060860E+00,,,5.626959583789704e-06,4.8175103448275864e-05
28,+3.72133500E-05,1559371481.682,+1.57060730E+00,,,5.626979846659365e-06,4.8175103448275864e-05
29,+3.67138200E-05,1559371481.8903332,+1.57060360E+00,,,5.627001533406352e-06,4.817459113300492e-05
30,+3.62162500E-05,1559371482.0986667,+1.57060730E+00,,,5.626058817086527e-06,4.8171773399014776e-05
31,+3.58776500E-05,1559371482.307,+1.57060490E+00,,,5.626764403066813e-06,4.8175743842364526e-05
32,+3.64025600E-05,1559371482.5153332,+1.57060860E+00,,,5.62665169769989e-06,4.817279802955665e-05
33,+3.60493000E-05,1559371482.7236667,+1.57060860E+00,,,5.62734282584885e-06,4.817356650246305e-05
34,+3.69074800E-05,1559371482.932,+1.57060730E+00,,,5.6268410733844465e-06,4.816716256157636e-05
35,+3.74871600E-05,1559371483.1403332,+1.57061110E+00,,,5.6272892661555315e-06,4.8175103448275864e-05
36,+3.69976400E-05,1559371483.3486667,+1.57060730E+00,,,5.62733986856517e-06,4.817202955665025e-05
37,+3.76013500E-05,1559371483.557,+1.57061230E+00,,,5.627173603504928e-06,4.817587192118226e-05
38,+3.73716200E-05,1559371483.7653332,+1.57061600E+00,,,5.627228587075575e-06,4.8172669950738913e-05
39,+3.76487800E-05,1559371483.9736667,+1.57061730E+00,,,5.627140416210296e-06,4.8179724137931036e-05
40,+3.79012200E-05,1559371484.182,+1.57061230E+00,,,5.62719386637459e-06,4.8177546798029553e-05
41,+3.79666700E-05,1559371484.3903332,+1.57061350E+00,,,5.627157721796276e-06,4.81752315270936e-05
