,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.76561200E-05,1559373818.979,+1.56940130E+00,,,1.2419386637458926e-08,4.809350738916256e-05
1,+3.77930200E-05,1559373819.1873333,+1.56937280E+00,,,1.2397699890470974e-08,4.808812807881774e-05
2,+3.79179100E-05,1559373819.3956668,+1.56935290E+00,,,2.1841084337349396e-07,4.809171428571429e-05
3,+3.78331000E-05,1559373819.604,+1.56934180E+00,,,2.1446870755750276e-06,4.809056157635468e-05
4,+3.78524700E-05,1559373819.8123333,+1.56932940E+00,,,2.1446538882803946e-06,4.809094581280788e-05
5,+3.79326100E-05,1559373820.0206668,+1.56933440E+00,,,2.112666265060241e-06,4.8090049261083746e-05
6,+3.79419500E-05,1559373820.229,+1.56932820E+00,,,4.284004709748083e-06,4.809312315270936e-05
7,+3.78491200E-05,1559373820.4373333,+1.56932070E+00,,,4.283767579408543e-06,4.809171428571429e-05
8,+3.79613200E-05,1559373820.6456668,+1.56931700E+00,,,4.734585980284775e-06,4.8093635467980295e-05
9,+3.80187500E-05,1559373820.854,+1.56931580E+00,,,6.422173713033954e-06,4.8086206896551723e-05
10,+3.79853600E-05,1559373821.0623333,+1.56930830E+00,,,6.422525082146769e-06,4.808966502463054e-05
11,+3.79486300E-05,1559373821.2706668,+1.56930710E+00,,,6.0120348302300115e-06,4.80940197044335e-05
12,+3.80928900E-05,1559373821.479,+1.56932320E+00,,,8.565297809419496e-06,4.809068965517241e-05
13,+3.80922000E-05,1559373821.6873333,+1.56931700E+00,,,8.565575465498357e-06,4.809376354679803e-05
14,+3.80414600E-05,1559373821.8956668,+1.56931580E+00,,,8.565760569550931e-06,4.809017733990148e-05
15,+3.80848700E-05,1559373822.104,+1.56931580E+00,,,8.565913800657174e-06,4.809017733990148e-05
16,+3.82077300E-05,1559373822.3123333,+1.56931450E+00,,,8.566215991237678e-06,4.809299507389162e-05
17,+3.81029000E-05,1559373822.5206668,+1.56931700E+00,,,8.56643439211391e-06,4.8086975369458133e-05
18,+3.80120700E-05,1559373822.729,+1.56931200E+00,,,8.566500876232202e-06,4.809325123152709e-05
19,+3.80922200E-05,1559373822.9373333,+1.56930960E+00,,,8.56665991237678e-06,4.8095300492610835e-05
20,+3.81817000E-05,1559373823.1456668,+1.56930580E+00,,,8.566733625410733e-06,4.80955566502463e-05
21,+3.80902000E-05,1559373823.354,+1.56930210E+00,,,8.567064731653888e-06,4.8090305418719214e-05
22,+3.80187600E-05,1559373823.5623333,+1.56930090E+00,,,8.566535596933187e-06,4.808966502463054e-05
23,+3.80808500E-05,1559373823.7706668,+1.56929720E+00,,,8.56702573932092e-06,4.809043349753695e-05
24,+3.80314400E-05,1559373823.979,+1.56929100E+00,,,8.56715443592552e-06,4.809350738916256e-05
25,+3.80467900E-05,1559373827.637,+1.56929350E+00,,,8.839141840087623e-06,4.809273891625616e-05
26,+3.80975500E-05,1559373827.8453333,+1.56928730E+00,,,1.0730102847754655e-05,4.809043349753695e-05
27,+3.81369600E-05,1559373828.0536668,+1.56929220E+00,,,1.0730282146768894e-05,4.809171428571429e-05
28,+3.81563200E-05,1559373828.262,+1.56928970E+00,,,1.117984556407448e-05,4.809683743842364e-05
29,+3.81716700E-05,1559373828.4703333,+1.56928850E+00,,,1.2828152245345017e-05,4.809222660098522e-05
30,+3.81950500E-05,1559373828.6786668,+1.56928730E+00,,,1.282836582694414e-05,4.809120197044335e-05
31,+3.82231000E-05,1559373828.887,+1.56928480E+00,,,1.131772617743702e-05,4.808710344827587e-05
32,+3.82157600E-05,1559373829.0953333,+1.56928600E+00,,,1.4965818181818181e-05,4.808491625615764e-05
33,+3.81002300E-05,1559373829.3036668,+1.56928480E+00,,,1.4966484118291345e-05,4.809197044334975e-05
34,+3.82084100E-05,1559373829.512,+1.56927610E+00,,,1.6085560788608983e-05,4.8091330049261085e-05
35,+3.82638300E-05,1559373829.7203333,+1.56927980E+00,,,1.7162484118291346e-05,4.809517241379311e-05
