,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.24604000E-05,1559376482.277,+1.57081310E+00,,,1.1997152245345016e-08,4.802099507389163e-05
1,+3.25879600E-05,1559376482.4853332,+1.57080940E+00,,,1.1962431544359254e-08,4.801933004926108e-05
2,+3.25859500E-05,1559376482.6936667,+1.57080570E+00,,,2.0667393209200438e-07,4.801856157635468e-05
3,+3.26006300E-05,1559376482.902,+1.57080570E+00,,,2.14589156626506e-06,4.8019842364532025e-05
4,+3.27943200E-05,1559376483.1103332,+1.57080690E+00,,,2.1460939759036143e-06,4.8016128078817736e-05
5,+3.27869700E-05,1559376483.3186667,+1.57080820E+00,,,2.139921248630887e-06,4.801702463054187e-05
6,+3.26847800E-05,1559376483.527,+1.57080200E+00,,,4.2807180722891566e-06,4.802048275862069e-05
7,+3.26567400E-05,1559376483.7353332,+1.57080320E+00,,,4.280871412924425e-06,4.8018817733990154e-05
8,+3.28490600E-05,1559376483.9436667,+1.57080570E+00,,,4.721821029572837e-06,4.8022660098522164e-05
9,+3.27829600E-05,1559376484.152,+1.57080070E+00,,,6.4177e-06,4.801728078817734e-05
10,+3.27522400E-05,1559376484.3603332,+1.57080200E+00,,,6.418104819277109e-06,4.801792118226601e-05
11,+3.27435500E-05,1559376484.5686667,+1.57080070E+00,,,6.107536582694414e-06,4.8019842364532025e-05
12,+3.29091800E-05,1559376484.777,+1.57080200E+00,,,8.569969660460022e-06,4.801817733990148e-05
13,+3.28096600E-05,1559376484.9853332,+1.57080320E+00,,,8.570254545454545e-06,4.802022660098522e-05
14,+3.28170100E-05,1559376485.1936667,+1.57080200E+00,,,8.570540854326397e-06,4.8018817733990154e-05
15,+3.28590900E-05,1559376485.402,+1.57079950E+00,,,8.5707143483023e-06,4.8015103448275865e-05
16,+3.29552500E-05,1559376485.6103332,+1.57080070E+00,,,8.57092552026287e-06,4.801920197044335e-05
17,+3.28270200E-05,1559376485.8186667,+1.57080320E+00,,,8.57115104052574e-06,4.802163546798029e-05
18,+3.27796100E-05,1559376486.027,+1.57079950E+00,,,8.571247973713034e-06,4.8016640394088665e-05
19,+3.27522400E-05,1559376486.2353332,+1.57079950E+00,,,8.571263855421686e-06,4.801766502463054e-05
