,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+3.43610500E-05,1559367805.42,0.00016704853231106243,4.830577339901478e-05
1,+3.43290000E-05,1559367805.6283333,0.00016706329682365827,4.83107684729064e-05
2,+3.44271600E-05,1559367805.8366668,0.00016706821467688936,4.8308591133004924e-05
3,+3.44164800E-05,1559367806.045,0.00016707198247535598,4.8309103448275866e-05
4,+3.44792600E-05,1559367806.2533333,0.00016707284775465498,4.830935960591133e-05
5,+3.44371700E-05,1559367806.4616668,0.0001670734282584885,4.8311024630541874e-05
6,+3.44004500E-05,1559367806.67,0.00016707242059145672,4.8309103448275866e-05
7,+3.44064600E-05,1559367806.8783333,0.00016707212486308872,4.831051231527093e-05
8,+3.44271700E-05,1559367807.0866668,0.0001670725629791895,4.8308078817733995e-05
9,+3.45159900E-05,1559367807.295,0.00016707226725082148,4.831166502463054e-05
10,+3.44892700E-05,1559367807.5033333,0.000167074008762322,4.830538916256158e-05
11,+3.44545500E-05,1559367807.7116668,0.0001670742935377875,4.8305901477832506e-05
12,+3.44699100E-05,1559367807.92,0.00016707415115005476,4.8309615763546795e-05
13,+3.45153200E-05,1559367808.1283333,0.00016707284775465498,4.830897536945813e-05
14,+3.43931000E-05,1559367808.3366668,0.000167073143483023,4.8310896551724134e-05
15,+3.44725700E-05,1559367808.545,0.00016707111719605698,4.8304876847290635e-05
16,+3.43223200E-05,1559367808.7533333,0.00016707169769989048,4.831025615763547e-05
17,+3.44278400E-05,1559367808.9616668,0.00016707212486308872,4.830846305418719e-05
18,+3.43737400E-05,1559367809.17,0.00016707053669222344,4.830423645320197e-05
19,+3.44358400E-05,1559367809.3783333,0.000167073143483023,4.831e-05
20,+3.44331700E-05,1559367809.5866668,0.0001670742935377875,4.8302571428571425e-05
21,+3.44251600E-05,1559367809.795,0.00016707458926615553,4.830526108374384e-05
22,+3.44178100E-05,1559367810.0033333,0.000167074008762322,4.8305645320197045e-05
23,+3.44211500E-05,1559367810.2116668,0.00016707242059145672,4.830526108374384e-05
24,+3.44104700E-05,1559367810.42,0.00016707270536692222,4.830679802955665e-05
25,+3.43977900E-05,1559367814.218,0.00016707603504928807,4.8309615763546795e-05
26,+3.44792600E-05,1559367814.4263332,0.000167074008762322,4.830935960591133e-05
27,+3.43864300E-05,1559367814.6346667,0.0001670725629791895,4.8310640394088666e-05
28,+3.43129700E-05,1559367814.843,0.000167073143483023,4.831409852216749e-05
29,+3.42949300E-05,1559367815.0513332,0.0001670744468784228,4.8309103448275866e-05
30,+3.43176400E-05,1559367815.2596667,0.0001670753121577218,4.830948768472906e-05
31,+3.43309900E-05,1559367815.468,0.0001670747316538883,4.830769458128079e-05
32,+3.42835800E-05,1559367815.6763332,0.00016707386637458926,4.830948768472906e-05
33,+3.42582100E-05,1559367815.8846667,0.00016707415115005476,4.8312945812807876e-05
34,+3.42842500E-05,1559367816.093,0.00016707415115005476,4.8308591133004924e-05
35,+3.43363400E-05,1559367816.3013332,0.0001670712595837897,4.830974384236453e-05
36,+3.43723900E-05,1559367816.5096667,0.00016707415115005476,4.8311408866995076e-05
37,+3.43336700E-05,1559367816.718,0.0001670758926615553,4.8307310344827585e-05
38,+3.43737400E-05,1559367816.9263332,0.00016707733844468784,4.830987192118226e-05
39,+3.43229700E-05,1559367817.1346667,0.0001670767579408543,4.829872906403941e-05
40,+3.43503500E-05,1559367817.343,0.0001670750273822563,4.830654187192118e-05
41,+3.41880900E-05,1559367817.5513332,0.0001670753121577218,4.830935960591133e-05
42,+3.43062900E-05,1559367817.7596667,0.0001670750273822563,4.830756650246305e-05
43,+3.41540300E-05,1559367817.968,0.00016707242059145672,4.830935960591133e-05
44,+3.41299800E-05,1559367818.1763332,0.000167073143483023,4.830526108374384e-05
45,+3.42187900E-05,1559367818.3846667,0.0001670750273822563,4.831422660098522e-05
46,+3.41440100E-05,1559367818.593,0.00016707516976998904,4.830935960591133e-05
47,+3.40685500E-05,1559367818.8013332,0.00016707372398685653,4.8306029556650247e-05
48,+3.41126200E-05,1559367819.0096667,0.000167074008762322,4.8305901477832506e-05
49,+3.42041100E-05,1559367819.218,0.0001670734282584885,4.830615763546798e-05
50,+3.39763900E-05,1559367822.762,0.0001670750273822563,4.830551724137931e-05
51,+3.39603600E-05,1559367822.9703333,0.0001670753121577218,4.830795073891626e-05
52,+3.39556800E-05,1559367823.1786668,0.0001670753121577218,4.830769458128079e-05
53,+3.40044300E-05,1559367823.387,0.0001670750273822563,4.83032118226601e-05
54,+3.39249600E-05,1559367823.5953333,0.00016707386637458926,4.830718226600985e-05
55,+3.39797200E-05,1559367823.8036668,0.00016707386637458926,4.8309103448275866e-05
56,+3.40384900E-05,1559367824.012,0.000167073143483023,4.830756650246305e-05
57,+3.39603500E-05,1559367824.2203333,0.00016707242059145672,4.8308591133004924e-05
58,+3.39937400E-05,1559367824.4286668,0.00016707328587075576,4.8308591133004924e-05
59,+3.39496700E-05,1559367824.637,0.000167074008762322,4.831166502463054e-05
60,+3.39677000E-05,1559367824.8453333,0.0001670734282584885,4.831538916256158e-05
61,+3.39576800E-05,1559367825.0536668,0.00016707357064622125,4.831422660098522e-05
62,+3.39463400E-05,1559367825.262,0.0001670744468784228,4.8309615763546795e-05
63,+3.39196200E-05,1559367825.4703333,0.00016707299014238775,4.831281773399014e-05
64,+3.38889000E-05,1559367825.6786668,0.00016707198247535598,4.8310384236453205e-05
65,+3.38895700E-05,1559367825.887,0.00016707270536692222,4.8308334975369456e-05
66,+3.39677000E-05,1559367826.0953333,0.00016707184008762322,4.831166502463054e-05
67,+3.38909100E-05,1559367826.3036668,0.000167073143483023,4.8310896551724134e-05
68,+3.38929000E-05,1559367826.512,0.00016707226725082148,4.831051231527093e-05
69,+3.38995800E-05,1559367826.7203333,0.00016707212486308872,4.8310640394088666e-05
70,+3.38394900E-05,1559367826.9286668,0.00016707487404162103,4.830769458128079e-05
71,+3.38648600E-05,1559367827.137,0.0001670742935377875,4.8308334975369456e-05
72,+3.38808800E-05,1559367827.3453333,0.00016707372398685653,4.8308334975369456e-05
73,+3.38822300E-05,1559367827.5536668,0.00016707372398685653,4.830987192118226e-05
74,+3.38314600E-05,1559367827.762,0.00016707284775465498,4.8309615763546795e-05
75,+3.39076000E-05,1559367831.362,0.00016707299014238775,4.830974384236453e-05
76,+3.38461500E-05,1559367831.5703332,0.00016707184008762322,4.8307310344827585e-05
77,+3.37753600E-05,1559367831.7786667,0.00016707299014238775,4.8308334975369456e-05
78,+3.38368000E-05,1559367831.987,0.00016707184008762322,4.830884729064039e-05
79,+3.38361400E-05,1559367832.1953332,0.00016707184008762322,4.830718226600985e-05
80,+3.37853900E-05,1559367832.4036667,0.00016707067907995618,4.8310640394088666e-05
81,+3.37994100E-05,1559367832.612,0.00016707299014238775,4.830884729064039e-05
82,+3.38848800E-05,1559367832.8203332,0.00016707270536692222,4.8308078817733995e-05
83,+3.38087600E-05,1559367833.0286667,0.0001670725629791895,4.831449261083744e-05
84,+3.37954000E-05,1559367833.237,0.00016707458926615553,4.8303980295566505e-05
85,+3.37713700E-05,1559367833.4453332,0.000167074008762322,4.830935960591133e-05
86,+3.39576900E-05,1559367833.6536667,0.00016707603504928807,4.830987192118226e-05
87,+3.38575100E-05,1559367833.862,0.00016707603504928807,4.8310896551724134e-05
88,+3.38040800E-05,1559367834.0703332,0.0001670755969331873,4.8310896551724134e-05
89,+3.38755400E-05,1559367834.2786667,0.0001670747316538883,4.83092315270936e-05
90,+3.38454900E-05,1559367834.487,0.00016707299014238775,4.830538916256158e-05
91,+3.38648600E-05,1559367834.6953332,0.0001670747316538883,4.8314620689655176e-05
92,+3.39062600E-05,1559367834.9036667,0.0001670747316538883,4.830718226600985e-05
93,+3.39576800E-05,1559367835.112,0.0001670750273822563,4.8308334975369456e-05
94,+3.39510100E-05,1559367835.3203332,0.0001670753121577218,4.8308591133004924e-05
95,+3.38802200E-05,1559367835.5286667,0.0001670758926615553,4.830884729064039e-05
96,+3.39450000E-05,1559367835.737,0.0001670755969331873,4.831025615763547e-05
97,+3.40017500E-05,1559367835.9453332,0.00016707690032858707,4.830935960591133e-05
98,+3.40104500E-05,1559367836.1536667,0.00016707864184008762,4.831128078817734e-05
99,+3.40097700E-05,1559367836.362,0.00016707372398685653,4.830795073891626e-05
100,+3.40839100E-05,1559367839.962,0.0001670747316538883,4.8306029556650247e-05
101,+3.40431700E-05,1559367840.1703331,0.00016707647316538884,4.831345812807882e-05
102,+3.41333200E-05,1559367840.3786666,0.00016707415115005476,4.8307310344827585e-05
103,+3.41146200E-05,1559367840.587,0.00016707386637458926,4.8312689655172415e-05
104,+3.41480200E-05,1559367840.7953331,0.0001670761774370208,4.830782266009852e-05
105,+3.41279800E-05,1559367841.0036666,0.00016707386637458926,4.830935960591133e-05
106,+3.41533600E-05,1559367841.212,0.00016707299014238775,4.831115270935961e-05
107,+3.40965800E-05,1559367841.4203331,0.00016707516976998904,4.831115270935961e-05
108,+3.41426700E-05,1559367841.6286666,0.0001670742935377875,4.8306285714285714e-05
109,+3.41894200E-05,1559367841.837,0.0001670750273822563,4.830743842364532e-05
110,+3.41413400E-05,1559367842.0453331,0.00016707603504928807,4.830782266009852e-05
111,+3.41740700E-05,1559367842.2536666,0.00016707633077765608,4.830871921182266e-05
112,+3.42862600E-05,1559367842.462,0.0001670755969331873,4.830987192118226e-05
113,+3.42021000E-05,1559367842.6703331,0.000167074008762322,4.8310640394088666e-05
114,+3.41346500E-05,1559367842.8786666,0.00016707415115005476,4.830718226600985e-05
115,+3.40785600E-05,1559367843.087,0.00016707386637458926,4.831012807881774e-05
116,+3.42602100E-05,1559367843.2953331,0.0001670747316538883,4.830718226600985e-05
117,+3.41319900E-05,1559367843.5036666,0.0001670755969331873,4.831012807881774e-05
118,+3.40712100E-05,1559367843.712,0.00016707328587075576,4.830871921182266e-05
119,+3.41460100E-05,1559367843.9203331,0.0001670753121577218,4.830820689655172e-05
120,+3.41126200E-05,1559367844.1286666,0.0001670758926615553,4.8310640394088666e-05
121,+3.40932500E-05,1559367844.337,0.0001670771960569551,4.8305004926108376e-05
122,+3.41339900E-05,1559367844.5453331,0.0001670771960569551,4.830846305418719e-05
123,+3.41139600E-05,1559367844.7536666,0.00016707603504928807,4.830987192118226e-05
124,+3.41446700E-05,1559367844.962,0.0001670742935377875,4.830769458128079e-05
125,+3.40551900E-05,1559367848.562,0.00016707762322015334,4.831115270935961e-05
126,+3.40692200E-05,1559367848.7703333,0.0001670767579408543,4.83092315270936e-05
127,+3.40551900E-05,1559367848.9786668,0.00016707415115005476,4.8311024630541874e-05
128,+3.40986000E-05,1559367849.187,0.0001670761774370208,4.8305901477832506e-05
129,+3.41146200E-05,1559367849.3953333,0.0001670750273822563,4.8309103448275866e-05
130,+3.40545200E-05,1559367849.6036668,0.0001670753121577218,4.831012807881774e-05
131,+3.40571800E-05,1559367849.812,0.0001670744468784228,4.830948768472906e-05
132,+3.40551900E-05,1559367850.0203333,0.0001670758926615553,4.8310384236453205e-05
133,+3.41046100E-05,1559367850.2286668,0.0001670753121577218,4.830846305418719e-05
134,+3.40658800E-05,1559367850.437,0.00016707545454545453,4.830846305418719e-05
135,+3.40832300E-05,1559367850.6453333,0.00016707487404162103,4.830782266009852e-05
136,+3.40732200E-05,1559367850.8536668,0.00016707487404162103,4.830948768472906e-05
137,+3.40438300E-05,1559367851.062,0.00016707458926615553,4.830935960591133e-05
138,+3.40752100E-05,1559367851.2703333,0.000167074008762322,4.830987192118226e-05
139,+3.41219600E-05,1559367851.4786668,0.00016707284775465498,4.830846305418719e-05
140,+3.40985900E-05,1559367851.687,0.00016707299014238775,4.8310384236453205e-05
141,+3.40024300E-05,1559367851.8953333,0.000167074008762322,4.831e-05
142,+3.41426700E-05,1559367852.1036668,0.0001670744468784228,4.830846305418719e-05
143,+3.40144500E-05,1559367852.312,0.00016707226725082148,4.8308334975369456e-05
144,+3.40191100E-05,1559367852.5203333,0.00016707169769989048,4.830820689655172e-05
145,+3.39897400E-05,1559367852.7286668,0.00016707184008762322,4.830846305418719e-05
146,+3.41393300E-05,1559367852.937,0.00016707212486308872,4.83092315270936e-05
147,+3.39910700E-05,1559367853.1453333,0.00016707299014238775,4.830743842364532e-05
148,+3.39269700E-05,1559367853.3536668,0.0001670725629791895,4.8308591133004924e-05
149,+3.39817300E-05,1559367853.562,0.00016707415115005476,4.830884729064039e-05
150,+3.41580200E-05,1559367857.162,0.000167073143483023,4.8312049261083745e-05
151,+3.40718900E-05,1559367857.3703332,0.00016707357064622125,4.8305645320197045e-05
152,+3.41126200E-05,1559367857.5786667,0.0001670742935377875,4.8308334975369456e-05
153,+3.42555300E-05,1559367857.787,0.00016707357064622125,4.830705418719212e-05
154,+3.40986000E-05,1559367857.9953332,0.00016707415115005476,4.831577339901478e-05
155,+3.40157800E-05,1559367858.2036667,0.0001670758926615553,4.830756650246305e-05
156,+3.41132800E-05,1559367858.412,0.00016707545454545453,4.8309615763546795e-05
157,+3.40652000E-05,1559367858.6203332,0.00016707545454545453,4.8306285714285714e-05
158,+3.40752100E-05,1559367858.8286667,0.00016707458926615553,4.830935960591133e-05
159,+3.40612000E-05,1559367859.037,0.000167074008762322,4.830782266009852e-05
160,+3.40318100E-05,1559367859.2453332,0.0001670758926615553,4.8305645320197045e-05
161,+3.40852400E-05,1559367859.4536667,0.000167074008762322,4.83092315270936e-05
162,+3.40925900E-05,1559367859.662,0.0001670747316538883,4.830782266009852e-05
163,+3.40685500E-05,1559367859.8703332,0.00016707733844468784,4.830935960591133e-05
164,+3.41092800E-05,1559367860.0786667,0.00016707705366922235,4.830820689655172e-05
165,+3.41433300E-05,1559367860.287,0.0001670767579408543,4.8306029556650247e-05
166,+3.40912500E-05,1559367860.4953332,0.0001670758926615553,4.830743842364532e-05
167,+3.41279700E-05,1559367860.7036667,0.0001670758926615553,4.830705418719212e-05
168,+3.41132900E-05,1559367860.912,0.00016707328587075576,4.8307310344827585e-05
169,+3.41647100E-05,1559367861.1203332,0.0001670753121577218,4.8306029556650247e-05
170,+3.41179600E-05,1559367861.3286667,0.00016707386637458926,4.830218719211823e-05
171,+3.42034500E-05,1559367861.537,0.0001670753121577218,4.8303980295566505e-05
172,+3.43096300E-05,1559367861.7453332,0.0001670753121577218,4.830372413793103e-05
173,+3.41693900E-05,1559367861.9536667,0.00016707545454545453,4.830782266009852e-05
174,+3.41540200E-05,1559367862.162,0.000167074008762322,4.831012807881774e-05
175,+3.40999200E-05,1559367865.762,0.00016707575027382254,4.830884729064039e-05
176,+3.41787400E-05,1559367865.9703333,0.00016707545454545453,4.830884729064039e-05
177,+3.40485100E-05,1559367866.1786668,0.00016707575027382254,4.8313970443349747e-05
178,+3.41012600E-05,1559367866.387,0.000167074008762322,4.830705418719212e-05
179,+3.41867500E-05,1559367866.5953333,0.00016707516976998904,4.8304364532019706e-05
180,+3.41012600E-05,1559367866.8036668,0.0001670755969331873,4.831128078817734e-05
181,+3.40304700E-05,1559367867.012,0.0001670744468784228,4.831115270935961e-05
182,+3.40398300E-05,1559367867.2203333,0.0001670761774370208,4.8308078817733995e-05
183,+3.41673700E-05,1559367867.4286668,0.0001670755969331873,4.830679802955665e-05
184,+3.40545200E-05,1559367867.637,0.0001670750273822563,4.830641379310345e-05
185,+3.39383200E-05,1559367867.8453333,0.00016707415115005476,4.8310896551724134e-05
186,+3.40191100E-05,1559367868.0536668,0.00016707415115005476,4.830654187192118e-05
187,+3.39890600E-05,1559367868.262,0.00016707386637458926,4.830987192118226e-05
