,SQUID_Volt(V),Temp(V),FC_CURR(A),MAG_CURR(A),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,,,,0.0,1559375791.661,,
1,,,,-0.001,1559375791.768,,
2,,,,0.002,1559375791.888,,
3,,,,0.01,1559375792.009,,
4,,,,0.026,1559375792.116,,
5,,,,0.056,1559375792.236,,
6,,,,0.085,1559375792.356,,
7,,,,0.126,1559375792.463,,
8,,,,0.169,1559375792.582,,
9,,,,0.203,1559375792.705,,
10,,,,0.246,1559375792.826,,
11,,,,0.296,1559375792.954,,
12,,,,0.328,1559375793.075,,
13,,,,0.366,1559375793.196,,
14,,,,0.404,1559375793.304,,
15,,,,0.442,1559375793.423,,
16,,,,0.471,1559375793.544,,
17,,,,0.507,1559375793.651,,
18,,,,0.545,1559375793.77,,
19,,,,0.574,1559375793.891,,
20,,,,0.611,1559375793.998,,
21,,,,0.648,1559375794.117,,
22,,,,0.686,1559375794.263,,
23,,,,0.721,1559375794.369,,
24,,,,0.759,1559375794.488,,
25,,,,0.789,1559375794.608,,
26,,,,0.825,1559375794.714,,
27,,,,0.862,1559375794.835,,
28,,,,0.893,1559375794.955,,
29,,,,0.93,1559375795.062,,
30,,,,0.967,1559375795.181,,
31,,,,0.997,1559375795.302,,
32,,,,1.035,1559375795.408,,
33,,,,1.072,1559375795.527,,
34,,,,1.101,1559375795.648,,
35,,,,1.137,1559375795.755,,
36,,,,1.175,1559375795.875,,
37,,,,1.22,1559375796.026,,
38,,,,1.256,1559375796.147,,
39,,,,1.286,1559375796.268,,
40,,,,1.323,1559375796.389,,
41,,,,1.36,1559375796.496,,
42,,,,1.398,1559375796.617,,
43,,,,1.428,1559375796.737,,
44,,,,1.464,1559375796.844,,
45,,,,1.494,1559375796.962,,
46,,,,1.514,1559375797.082,,
47,,,,1.499,1559375799.836,,
48,,,,1.5,1559375799.956,,
49,,,,1.499,1559375800.058,,
50,,,,1.491,1559375800.185,,
51,,,,1.483,1559375800.256,,
52,,,,1.463,1559375800.355,,
53,,,,1.437,1559375800.454,,
54,,,,1.407,1559375800.553,,
55,,,,1.374,1559375800.652,,
56,,,,1.34,1559375800.751,,
57,,,,1.305,1559375800.85,,
58,,,,1.27,1559375800.949,,
59,,,,1.236,1559375801.071,,
60,,,,1.204,1559375801.149,,
61,,,,1.171,1559375801.249,,
62,,,,1.14,1559375801.35,,
63,,,,1.111,1559375801.465,,
64,,,,1.081,1559375801.565,,
65,,,,1.044,1559375801.666,,
66,,,,1.014,1559375801.765,,
67,,,,0.984,1559375801.864,,
68,,,,0.955,1559375801.966,,
69,,,,0.925,1559375802.062,,
70,,,,0.895,1559375802.161,,
71,,,,0.866,1559375802.26,,
72,,,,0.837,1559375802.36,,
73,,,,0.808,1559375802.459,,
74,,,,0.778,1559375802.558,,
75,,,,0.748,1559375802.658,,
76,,,,0.718,1559375802.758,,
77,,,,0.681,1559375802.879,,
78,,,,0.659,1559375802.974,,
79,,,,0.628,1559375803.074,,
80,,,,0.599,1559375803.174,,
81,,,,0.563,1559375803.275,,
82,,,,0.533,1559375803.374,,
83,,,,0.504,1559375803.473,,
84,,,,0.474,1559375803.572,,
85,,,,0.444,1559375803.671,,
86,,,,0.413,1559375803.792,,
87,,,,0.383,1559375803.869,,
88,,,,0.355,1559375803.968,,
89,,,,0.325,1559375804.067,,
90,,,,0.295,1559375804.166,,
91,,,,0.265,1559375804.267,,
92,,,,0.234,1559375804.367,,
93,,,,0.204,1559375804.483,,
94,,,,0.175,1559375804.583,,
95,,,,0.14,1559375804.685,,
96,,,,0.109,1559375804.784,,
97,,,,0.079,1559375804.882,,
98,,,,0.051,1559375804.981,,
99,,,,0.023,1559375805.081,,
100,,,,-0.002,1559375805.179,,
