,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+5.40319580E-03,1559376053.445,+1.57088130E+00,,,,
1,+5.40536540E-03,1559376053.6533332,+1.57088870E+00,,,,
2,+3.54662800E-05,1559376053.8616667,+1.57089740E+00,,,,
3,+3.55444200E-05,1559376054.07,+1.57090360E+00,,,,
4,+3.56492700E-05,1559376054.2783332,+1.57089990E+00,,,,
5,+3.56118700E-05,1559376054.4866667,+1.57090860E+00,,,,
6,+3.55150300E-05,1559376054.695,+1.57090860E+00,,,,
7,+3.55611000E-05,1559376054.9033332,+1.57091100E+00,,,,
8,+3.56265600E-05,1559376055.1116667,+1.57090860E+00,,,,
9,+3.55551000E-05,1559376055.32,+1.57090860E+00,,,,
10,+3.54950000E-05,1559376055.5283332,+1.57090360E+00,,,,
11,+3.55584400E-05,1559376055.7366667,+1.57089990E+00,,,,
12,+3.55871600E-05,1559376055.945,+1.57089490E+00,,,,
13,+3.55938400E-05,1559376056.1533332,+1.57088620E+00,,,,
14,+3.55410900E-05,1559376056.3616667,+1.57088620E+00,,,,
15,+3.55731300E-05,1559376056.57,+1.57088620E+00,,,,
16,+3.55784800E-05,1559376056.7783332,+1.57088380E+00,,,,
17,+3.55985000E-05,1559376056.9866667,+1.57088380E+00,,,,
18,+3.55577700E-05,1559376057.195,+1.57088250E+00,,,,
19,+3.55711300E-05,1559376057.4033332,+1.57088500E+00,,,,
20,+3.56065300E-05,1559376057.6116667,+1.57088620E+00,,,,
21,+3.55831500E-05,1559376057.82,+1.57088250E+00,,,,
22,+3.55778200E-05,1559376058.0283332,+1.57088870E+00,,,,
23,+3.55898200E-05,1559376058.2366667,+1.57088380E+00,,,,
24,+3.56232100E-05,1559376058.445,+1.57088620E+00,,,,
25,+3.55965100E-05,1559376061.966,+1.57088000E+00,,,,
26,+3.55631200E-05,1559376062.1743333,+1.57087880E+00,,,,
27,+3.55537600E-05,1559376062.3826668,+1.57087630E+00,,,,
28,+3.54809700E-05,1559376062.591,+1.57088380E+00,,,,
29,+3.55918300E-05,1559376062.7993333,+1.57088380E+00,,,,
30,+3.55030100E-05,1559376063.0076668,+1.57089240E+00,,,,
31,+3.55551000E-05,1559376063.216,+1.57089370E+00,,,,
32,+3.55190500E-05,1559376063.4243333,+1.57089860E+00,,,,
33,+3.55617800E-05,1559376063.6326668,+1.57089740E+00,,,,
34,+3.55016600E-05,1559376063.841,+1.57089740E+00,,,,
35,+3.55297300E-05,1559376064.0493333,+1.57089370E+00,,,,
36,+3.56239000E-05,1559376064.2576668,+1.57089490E+00,,,,
37,+3.55951700E-05,1559376064.466,+1.57089240E+00,,,,
38,+3.56225400E-05,1559376064.6743333,+1.57088620E+00,,,,
39,+3.56365700E-05,1559376064.8826668,+1.57088380E+00,,,,
40,+3.56592700E-05,1559376065.091,+1.57088000E+00,,,,
41,+3.56826600E-05,1559376065.2993333,+1.57088500E+00,,,,
42,+3.57294100E-05,1559376065.5076668,+1.57088750E+00,,,,
43,+3.56906800E-05,1559376065.716,+1.57074740E+00,,,,
44,+3.56880000E-05,1559376065.9243333,+1.57081190E+00,,,,
45,+3.56011800E-05,1559376066.1326668,+1.57082300E+00,,,,
46,+3.56986800E-05,1559376066.341,+1.57082550E+00,,,,
47,+3.56706400E-05,1559376066.5493333,+1.57082800E+00,,,,
48,+3.57033700E-05,1559376066.7576668,+1.57082300E+00,,,,
49,+4.02005400E-05,1559376066.966,+1.57082550E+00,,,,
50,+3.65094300E-05,1559376070.587,+1.57082300E+00,,,,
51,+3.64099200E-05,1559376070.7953331,+1.57082300E+00,,,,
52,+3.65521600E-05,1559376071.0036666,+1.57082430E+00,,,,
53,+3.65775500E-05,1559376071.212,+1.57082300E+00,,,,
54,+3.64680100E-05,1559376071.4203331,+1.57082050E+00,,,,
55,+3.64039100E-05,1559376071.6286666,+1.57082300E+00,,,,
56,+3.64626800E-05,1559376071.837,+1.57081930E+00,,,,
57,+3.64593400E-05,1559376072.0453331,+1.57082180E+00,,,,
58,+3.63785400E-05,1559376072.2536666,+1.57082430E+00,,,,
59,+3.63337900E-05,1559376072.462,+1.57082180E+00,,,,
60,+3.63358000E-05,1559376072.6703331,+1.57082550E+00,,,,
61,+3.64526500E-05,1559376072.8786666,+1.57082300E+00,,,,
62,+3.63965500E-05,1559376073.087,+1.57081810E+00,,,,
63,+3.63725200E-05,1559376073.2953331,+1.57082180E+00,,,,
64,+3.63845300E-05,1559376073.5036666,+1.57081430E+00,,,,
65,+3.64433100E-05,1559376073.712,+1.57081930E+00,,,,
66,+3.64366400E-05,1559376073.9203331,+1.57081810E+00,,,,
67,+3.63625100E-05,1559376074.1286666,+1.57082050E+00,,,,
68,+3.63418000E-05,1559376074.337,+1.57082180E+00,,,,
69,+3.64226100E-05,1559376074.5453331,+1.57082050E+00,,,,
70,+3.63858800E-05,1559376074.7536666,+1.57082050E+00,,,,
71,+3.64159300E-05,1559376074.962,+1.57081680E+00,,,,
72,+3.64165900E-05,1559376075.1703331,+1.57082300E+00,,,,
73,+3.64633400E-05,1559376075.3786666,+1.57081680E+00,,,,
74,+3.64646900E-05,1559376075.587,+1.57081680E+00,,,,
75,+3.64239500E-05,1559376079.187,+1.57081560E+00,,,,
76,+3.64099200E-05,1559376079.3953333,+1.57081560E+00,,,,
77,+3.63872100E-05,1559376079.6036668,+1.57082050E+00,,,,
78,+3.63965600E-05,1559376079.812,+1.57081810E+00,,,,
79,+3.63518100E-05,1559376080.0203333,+1.57081680E+00,,,,
80,+3.63705100E-05,1559376080.2286668,+1.57082050E+00,,,,
81,+3.63658400E-05,1559376080.437,+1.57081810E+00,,,,
82,+3.63484700E-05,1559376080.6453333,+1.57082050E+00,,,,
83,+3.62950500E-05,1559376080.8536668,+1.57081680E+00,,,,
84,+3.63344600E-05,1559376081.062,+1.57081560E+00,,,,
85,+3.63017400E-05,1559376081.2703333,+1.57082050E+00,,,,
86,+3.63197700E-05,1559376081.4786668,+1.57081310E+00,,,,
87,+3.63371200E-05,1559376081.687,+1.57081560E+00,,,,
88,+3.42675400E-05,1559376081.8953333,+1.57081060E+00,,,,
89,+3.63578300E-05,1559376082.1036668,+1.57081310E+00,,,,
90,+3.63825300E-05,1559376082.312,+1.57081190E+00,,,,
91,+3.63952200E-05,1559376082.5203333,+1.57081430E+00,,,,
92,+3.63998900E-05,1559376082.7286668,+1.57078960E+00,,,,
93,+3.64212700E-05,1559376082.937,+1.57081430E+00,,,,
94,+3.64266100E-05,1559376083.1453333,+1.57081310E+00,,,,
95,+3.61761800E-05,1559376083.3536668,+1.57081560E+00,,,,
96,+3.63471300E-05,1559376083.562,+1.57081560E+00,,,,
97,+3.63878800E-05,1559376083.7703333,+1.57081430E+00,,,,
98,+4.13865900E-05,1559376083.9786668,+1.57081680E+00,,,,
99,+4.13258200E-05,1559376084.187,+1.57081560E+00,,,,
100,+4.06413100E-05,1559376087.787,+1.57081680E+00,,,,
101,+4.07935700E-05,1559376087.9953332,+1.57081060E+00,,,,
102,+4.07040900E-05,1559376088.2036667,+1.57081680E+00,,,,
103,+4.06733500E-05,1559376088.412,+1.57082300E+00,,,,
104,+4.07247700E-05,1559376088.6203332,+1.57082180E+00,,,,
105,+4.07207700E-05,1559376088.8286667,+1.57081930E+00,,,,
106,+4.06967300E-05,1559376089.037,+1.57081430E+00,,,,
107,+4.06960600E-05,1559376089.2453332,+1.57081430E+00,,,,
108,+4.07448100E-05,1559376089.4536667,+1.57081680E+00,,,,
109,+4.07281200E-05,1559376089.662,+1.57082050E+00,,,,
110,+4.07414700E-05,1559376089.8703332,+1.57082050E+00,,,,
111,+4.07287800E-05,1559376090.0786667,+1.57082050E+00,,,,
112,+4.08336400E-05,1559376090.287,+1.57081930E+00,,,,
113,+4.07975700E-05,1559376090.4953332,+1.57082550E+00,,,,
114,+4.08102600E-05,1559376090.7036667,+1.57082180E+00,,,,
115,+4.08196200E-05,1559376090.912,+1.57082920E+00,,,,
116,+4.08543300E-05,1559376091.1203332,+1.57083050E+00,,,,
117,+4.08209500E-05,1559376091.3286667,+1.57082800E+00,,,,
118,+4.08202900E-05,1559376091.537,+1.57082670E+00,,,,
119,+4.08089300E-05,1559376091.7453332,+1.57083170E+00,,,,
120,+4.08964200E-05,1559376091.9536667,+1.57082550E+00,,,,
121,+4.08216100E-05,1559376092.162,+1.57082800E+00,,,,
122,+4.08376300E-05,1559376092.3703332,+1.57082670E+00,,,,
123,+4.08289600E-05,1559376092.5786667,+1.57082920E+00,,,,
124,+4.08877200E-05,1559376092.787,+1.57082920E+00,,,,
125,+4.08476600E-05,1559376096.387,+1.57082920E+00,,,,
126,+4.08863800E-05,1559376096.5953333,+1.57083050E+00,,,,
127,+4.08469900E-05,1559376096.8036668,+1.57083170E+00,,,,
128,+4.08503300E-05,1559376097.012,+1.57082550E+00,,,,
129,+4.08456500E-05,1559376097.2203333,+1.57083050E+00,,,,
130,+4.08563400E-05,1559376097.4286668,+1.57082300E+00,,,,
131,+4.08603400E-05,1559376097.637,+1.57082430E+00,,,,
132,+4.08222900E-05,1559376097.8453333,+1.57082430E+00,,,,
133,+4.08149400E-05,1559376098.0536668,+1.57082050E+00,,,,
134,+4.08035900E-05,1559376098.262,+1.57082670E+00,,,,
135,+4.07574900E-05,1559376098.4703333,+1.57082670E+00,,,,
136,+4.07735300E-05,1559376098.6786668,+1.57081680E+00,,,,
137,+4.07521600E-05,1559376098.887,+1.57081930E+00,,,,
138,+4.08196200E-05,1559376099.0953333,+1.57081060E+00,,,,
139,+4.08162800E-05,1559376099.3036668,+1.57080940E+00,,,,
140,+4.07775300E-05,1559376099.512,+1.57080820E+00,,,,
141,+4.12617000E-05,1559376099.7203333,+1.57080690E+00,,,,
142,+4.12597100E-05,1559376099.9286668,+1.57080940E+00,,,,
143,+4.12744000E-05,1559376100.137,+1.57080940E+00,,,,
144,+4.12824100E-05,1559376100.3453333,+1.57080690E+00,,,,
145,+4.13345100E-05,1559376100.5536668,+1.57081190E+00,,,,
146,+4.13158100E-05,1559376100.762,+1.57081060E+00,,,,
147,+4.13251600E-05,1559376100.9703333,+1.57080940E+00,,,,
148,+4.13044500E-05,1559376101.1786668,+1.57080940E+00,,,,
149,+4.13418400E-05,1559376101.387,+1.57080690E+00,,,,
150,+4.14273400E-05,1559376104.987,+1.57081060E+00,,,,
151,+4.14133100E-05,1559376105.1953332,+1.57081680E+00,,,,
152,+4.14233200E-05,1559376105.4036667,+1.57081060E+00,,,,
153,+4.13966100E-05,1559376105.612,+1.57080940E+00,,,,
154,+4.14186400E-05,1559376105.8203332,+1.57081060E+00,,,,
155,+4.14153100E-05,1559376106.0286667,+1.57080690E+00,,,,
156,+4.14153200E-05,1559376106.237,+1.57081190E+00,,,,
157,+4.14133100E-05,1559376106.4453332,+1.57080940E+00,,,,
158,+4.14727400E-05,1559376106.6536667,+1.57080940E+00,,,,
159,+4.14573800E-05,1559376106.862,+1.57081190E+00,,,,
160,+4.14740800E-05,1559376107.0703332,+1.57081310E+00,,,,
161,+4.14487000E-05,1559376107.2786667,+1.57080940E+00,,,,
162,+4.14974600E-05,1559376107.487,+1.57081560E+00,,,,
163,+4.15655700E-05,1559376107.6953332,+1.57081310E+00,,,,
164,+4.15381900E-05,1559376107.9036667,+1.57081310E+00,,,,
165,+4.15088100E-05,1559376108.112,+1.57081680E+00,,,,
166,+4.15355300E-05,1559376108.3203332,+1.57081810E+00,,,,
167,+4.15669000E-05,1559376108.5286667,+1.57081060E+00,,,,
168,+4.15361900E-05,1559376108.737,+1.57081560E+00,,,,
169,+4.15375300E-05,1559376108.9453332,+1.57081680E+00,,,,
170,+4.14754200E-05,1559376109.1536667,+1.57081680E+00,,,,
171,+4.15268500E-05,1559376109.362,+1.57081680E+00,,,,
172,+4.15548800E-05,1559376109.5703332,+1.57081310E+00,,,,
173,+4.15448700E-05,1559376109.7786667,+1.57081310E+00,,,,
174,+4.14821000E-05,1559376109.987,+1.57081190E+00,,,,
175,+4.13291700E-05,1559376113.588,+1.57081430E+00,,,,
176,+4.13057800E-05,1559376113.7963333,+1.57081430E+00,,,,
177,+4.13077900E-05,1559376114.0046668,+1.57081310E+00,,,,
178,+4.12844300E-05,1559376114.213,+1.57081560E+00,,,,
179,+4.12977800E-05,1559376114.4213333,+1.57081680E+00,,,,
180,+4.12917700E-05,1559376114.6296668,+1.57081190E+00,,,,
181,+4.12643900E-05,1559376114.838,+1.57081060E+00,,,,
182,+4.12410000E-05,1559376115.0463333,+1.57081190E+00,,,,
183,+4.12850900E-05,1559376115.2546668,+1.57081060E+00,,,,
184,+4.13111400E-05,1559376115.463,+1.57080820E+00,,,,
185,+4.12757400E-05,1559376115.6713333,+1.57081560E+00,,,,
186,+4.13118100E-05,1559376115.8796668,+1.57081190E+00,,,,
187,+4.12984400E-05,1559376116.088,+1.57081310E+00,,,,
188,+4.13191500E-05,1559376116.2963333,+1.57081560E+00,,,,
189,+4.12630500E-05,1559376116.5046668,+1.57081190E+00,,,,
190,+4.12837500E-05,1559376116.713,+1.57081680E+00,,,,
191,+4.12690600E-05,1559376116.9213333,+1.57081560E+00,,,,
192,+4.13097800E-05,1559376117.1296668,+1.57081930E+00,,,,
193,+4.12924400E-05,1559376117.338,+1.57081810E+00,,,,
194,+4.12871000E-05,1559376117.5463333,+1.57081560E+00,,,,
195,+4.13151400E-05,1559376117.7546668,+1.57080570E+00,,,,
196,+4.13552200E-05,1559376117.963,+1.57082180E+00,,,,
197,+4.13191500E-05,1559376118.1713333,+1.57081560E+00,,,,
198,+4.13411900E-05,1559376118.3796668,+1.57081810E+00,,,,
199,+4.13445200E-05,1559376118.588,+1.57081560E+00,,,,
200,+4.13952700E-05,1559376122.187,+1.57081560E+00,,,,
201,+4.14086300E-05,1559376122.3953333,+1.57081680E+00,,,,
202,+4.14306800E-05,1559376122.6036668,+1.57081560E+00,,,,
203,+4.14186500E-05,1559376122.812,+1.57081430E+00,,,,
204,+4.14300100E-05,1559376123.0203333,+1.57081310E+00,,,,
205,+4.14420100E-05,1559376123.2286668,+1.57081310E+00,,,,
206,+4.14640700E-05,1559376123.437,+1.57081310E+00,,,,
207,+4.15141400E-05,1559376123.6453333,+1.57081560E+00,,,,
208,+4.14573900E-05,1559376123.8536668,+1.57081560E+00,,,,
209,+4.15174900E-05,1559376124.062,+1.57081560E+00,,,,
210,+4.15007900E-05,1559376124.2703333,+1.57081680E+00,,,,
211,+4.15088100E-05,1559376124.4786668,+1.57081680E+00,,,,
212,+4.14780900E-05,1559376124.687,+1.57081430E+00,,,,
213,+4.14747600E-05,1559376124.8953333,+1.57081310E+00,,,,
214,+4.15161400E-05,1559376125.1036668,+1.57081190E+00,,,,
215,+4.15375300E-05,1559376125.312,+1.57080940E+00,,,,
216,+4.15201600E-05,1559376125.5203333,+1.57081190E+00,,,,
217,+4.15622300E-05,1559376125.7286668,+1.57081060E+00,,,,
218,+4.15328600E-05,1559376125.937,+1.57081060E+00,,,,
219,+4.15762600E-05,1559376126.1453333,+1.57080690E+00,,,,
220,+4.15001300E-05,1559376126.3536668,+1.57080940E+00,,,,
221,+4.15221600E-05,1559376126.562,+1.57081310E+00,,,,
222,+4.15815900E-05,1559376126.7703333,+1.57081430E+00,,,,
223,+4.15715800E-05,1559376126.9786668,+1.57081310E+00,,,,
224,+4.15582300E-05,1559376127.187,+1.57081190E+00,,,,
225,+4.16350200E-05,1559376130.787,+1.57081310E+00,,,,
226,+4.16744300E-05,1559376130.9953332,+1.57081680E+00,,,,
227,+4.16296900E-05,1559376131.2036667,+1.57081190E+00,,,,
228,+4.16149900E-05,1559376131.412,+1.57080940E+00,,,,
229,+4.16370300E-05,1559376131.6203332,+1.57081060E+00,,,,
230,+4.16450500E-05,1559376131.8286667,+1.57081060E+00,,,,
231,+4.16076500E-05,1559376132.037,+1.57080940E+00,,,,
232,+4.16363600E-05,1559376132.2453332,+1.57080690E+00,,,,
