,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.47884300E-05,1559372745.076,+1.57068170E+00,0.00010286640000000002,,1.2002957283680176e-08,4.813309359605911e-05
1,+3.47984400E-05,1559372745.2843332,+1.57068670E+00,0.0001027931,,1.1956626506024096e-08,4.8134502463054186e-05
2,+3.48285100E-05,1559372745.4926667,+1.57068170E+00,0.00010316870000000001,,1.204775465498357e-08,4.813386206896552e-05
3,+3.49266800E-05,1559372745.701,+1.57067300E+00,0.0001059226,,1.2026067907995619e-08,4.813514285714286e-05
4,+3.49534000E-05,1559372745.9093332,+1.57065450E+00,0.0001082918,,1.2098357064622125e-08,4.813373399014778e-05
5,+3.53427400E-05,1559372746.1176667,+1.57064950E+00,0.000180026,,1.2017415115005476e-08,4.8131290640394087e-05
6,+3.53220300E-05,1559372746.326,+1.57021070E+00,0.000629725,,1.1965279299014239e-08,4.8139497536945814e-05
7,+3.53447400E-05,1559372746.5343332,+1.57020820E+00,0.0006293323,,1.1974041621029572e-08,4.813847290640394e-05
8,+3.53981600E-05,1559372746.7426667,+1.57021440E+00,0.0006291831,,1.2005805038335159e-08,4.813360591133005e-05
9,+3.54195300E-05,1559372746.951,+1.57021190E+00,0.0006293192,,1.1994194961664841e-08,4.813334975369458e-05
10,+3.53774500E-05,1559372747.1593332,+1.57021440E+00,0.0006294292,,1.2135925520262869e-08,4.813258128078818e-05
11,+3.53741200E-05,1559372747.3676667,+1.57021940E+00,0.0007719368,,1.2086746987951808e-08,4.813077832512316e-05
12,+3.53567600E-05,1559372747.576,+1.56921780E+00,0.0012072969,,1.2102738225629791e-08,4.813167487684729e-05
13,+3.62015600E-05,1559372747.7843332,+1.56924510E+00,0.0012070364,,1.2093975903614458e-08,4.813360591133005e-05
14,+3.60893600E-05,1559372747.9926667,+1.56922900E+00,0.0012066333,,1.2107009857612268e-08,4.813527093596059e-05
15,+3.61040500E-05,1559372748.201,+1.56923150E+00,0.0012058492,,1.2023110624315444e-08,4.8136039408867e-05
16,+3.60065500E-05,1559372748.4093332,+1.56928970E+00,0.0012016738000000002,,1.2017415115005476e-08,4.813527093596059e-05
17,+3.61401200E-05,1559372748.6176667,+1.56926000E+00,0.0012022799,,1.2075246440306681e-08,4.813463054187192e-05
18,+3.60139000E-05,1559372748.826,+1.56923890E+00,0.0012048008,,1.2057831325301204e-08,4.813258128078818e-05
19,+3.60119000E-05,1559372749.0343332,+1.56922530E+00,0.0012057393,,1.2057831325301204e-08,4.8134502463054186e-05
20,+3.59304100E-05,1559372749.2426667,+1.56922280E+00,0.0012072393,,1.2049178532311063e-08,4.813090640394089e-05
21,+3.59371000E-05,1559372749.451,+1.56922280E+00,0.0012065888,,1.2095509309967141e-08,4.813463054187192e-05
22,+3.60245800E-05,1559372749.6593332,+1.56923890E+00,0.0012066071,,1.2018838992332969e-08,4.813322167487685e-05
23,+3.59938700E-05,1559372749.8676667,+1.56920540E+00,0.0012098505000000001,,1.2078094194961665e-08,4.813591133004926e-05
24,+3.59324100E-05,1559372750.076,+1.56920300E+00,0.001208217,,1.218225629791895e-08,4.8132197044334977e-05
25,+3.59551300E-05,1559372753.76,+1.56925250E+00,0.0012065861,,1.1953778751369112e-08,4.813309359605911e-05
26,+3.54876500E-05,1559372753.9683332,+1.56954380E+00,0.0017018089,,1.2114238773274918e-08,4.8125270935960595e-05
27,+3.54235400E-05,1559372754.1766667,+1.56955750E+00,0.0017001898000000002,,1.205355969331873e-08,4.813167487684729e-05
28,+3.54996700E-05,1559372754.385,+1.56954380E+00,0.0017026021,,1.2043373493975904e-08,4.813052216748768e-05
29,+3.54956700E-05,1559372754.5933332,+1.56954140E+00,0.0017038887,,1.2046330777656079e-08,4.813141871921182e-05
30,+3.54736200E-05,1559372754.8016667,+1.56955250E+00,0.0017033979,,1.1982694414019714e-08,4.813090640394089e-05
31,+3.53834700E-05,1559372755.01,+1.56951410E+00,0.0017692747000000002,,1.2043373493975904e-08,4.8128600985221675e-05
32,+3.54970100E-05,1559372755.2183332,+1.56919920E+00,0.0023053366,,1.204052573932092e-08,4.813565517241379e-05
33,+3.54756400E-05,1559372755.4266667,+1.56917940E+00,0.0023077163,,1.194512595837897e-08,4.813232512315271e-05
34,+3.60219100E-05,1559372755.635,+1.56918310E+00,0.0023074166,,1.2069441401971523e-08,4.8135783251231525e-05
35,+3.59457700E-05,1559372755.8433332,+1.56918070E+00,0.0023065866,,1.204052573932092e-08,4.812808866995074e-05
36,+3.59805000E-05,1559372756.0516667,+1.56918190E+00,0.0023072281,,1.2083899233296824e-08,4.8134758620689654e-05
37,+3.60446300E-05,1559372756.26,+1.56905550E+00,0.0023928432,,1.2034720700985761e-08,4.812616748768473e-05
38,+3.60593000E-05,1559372756.4683332,+1.56823990E+00,0.002871702,,1.202026286966046e-08,4.813232512315271e-05
39,+3.60352600E-05,1559372756.6766667,+1.56823740E+00,0.0028723735,,1.1988499452354875e-08,4.8134758620689654e-05
40,+3.60199000E-05,1559372756.885,+1.56823610E+00,0.0028730463000000003,,1.2008652792990143e-08,4.8132837438423646e-05
41,+3.64393000E-05,1559372757.0933332,+1.56823610E+00,0.0028722281999999997,,1.2066484118291348e-08,4.813270935960591e-05
42,+3.64833800E-05,1559372757.3016667,+1.56824230E+00,0.0028720816,,1.2005805038335159e-08,4.813373399014778e-05
43,+3.64506600E-05,1559372757.51,+1.56824230E+00,0.0028726222,,1.2023110624315444e-08,4.8132837438423646e-05
44,+3.64920600E-05,1559372757.7183332,+1.56824980E+00,0.0028713565,,1.206801752464403e-08,4.813309359605911e-05
45,+3.64987300E-05,1559372757.9266667,+1.56824850E+00,0.0028715082999999997,,1.2046330777656079e-08,4.8133477832512315e-05
46,+3.64773700E-05,1559372758.135,+1.56824610E+00,0.0028721549,,1.2063636363636364e-08,4.8134758620689654e-05
47,+3.64954000E-05,1559372758.3433332,+1.56824610E+00,0.0028708578,,1.2043373493975904e-08,4.813565517241379e-05
48,+3.65301300E-05,1559372758.5516667,+1.56824360E+00,0.0028713578,,1.2031872946330777e-08,4.813770443349753e-05
49,+3.64666800E-05,1559372758.76,+1.56824230E+00,0.0028721039,,1.2066484118291348e-08,4.813411822660098e-05
50,+3.64833800E-05,1559372762.36,+1.56824850E+00,0.0028714402,,1.2083899233296824e-08,4.813565517241379e-05
51,+3.69976000E-05,1559372762.5683331,+1.56690740E+00,0.0034418986,,1.2031872946330777e-08,4.813527093596059e-05
52,+3.68727200E-05,1559372762.7766666,+1.56690980E+00,0.0034417035999999997,,1.2052026286966047e-08,4.8132068965517236e-05
53,+3.69642100E-05,1559372762.985,+1.56690980E+00,0.0034413500999999997,,1.2120043811610077e-08,4.813437438423645e-05
54,+3.69154700E-05,1559372763.1933331,+1.56691360E+00,0.0034415622,,1.206078860898138e-08,4.8131546798029554e-05
