,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.25926400E-05,1559370256.958,+1.57077840E+00,,,5.626634282584885e-06,4.710477832512315e-05
1,+3.66076400E-05,1559370257.1663332,+1.57077840E+00,,,5.62723439211391e-06,4.709299507389163e-05
2,+3.34414400E-05,1559370257.3746667,+1.57077470E+00,,,5.627457064622125e-06,4.7504857142857144e-05
3,+3.31916900E-05,1559370257.583,+1.57077220E+00,,,5.6276511500547645e-06,4.744874876847291e-05
4,+3.50749700E-05,1559370257.7913332,+1.57077220E+00,,,5.627798576122672e-06,4.746386206896552e-05
5,+3.55865400E-05,1559370257.9996667,+1.57077220E+00,,,5.627888280394304e-06,4.746898522167488e-05
6,+3.50182100E-05,1559370258.208,+1.57077720E+00,,,5.627872398685651e-06,4.745925123152709e-05
7,+3.32157200E-05,1559370258.4163332,+1.57077470E+00,,,5.627928806133626e-06,4.74656551724138e-05
8,+3.43917600E-05,1559370258.6246667,+1.57077340E+00,,,5.627989485213582e-06,4.7464630541871915e-05
9,+3.29626200E-05,1559370258.833,+1.57077220E+00,,,5.627950492880614e-06,4.751215763546798e-05
10,+3.49975100E-05,1559370259.0413332,+1.57076720E+00,,,5.62799090909091e-06,4.7515231527093594e-05
11,+3.36564900E-05,1559370259.2496667,+1.57077340E+00,,,5.628018400876233e-06,4.748512315270936e-05
12,+3.56446300E-05,1559370259.458,+1.57076970E+00,,,5.628099342825849e-06,4.748307389162561e-05
13,+3.55491200E-05,1559370259.6663332,+1.57076970E+00,,,5.6281268346111725e-06,4.746924137931034e-05
14,+3.39383100E-05,1559370259.8746667,+1.57076970E+00,,,5.628119605695509e-06,4.7477438423645315e-05
15,+3.39850500E-05,1559370260.083,+1.57076850E+00,,,5.628200547645126e-06,4.749256157635468e-05
16,+3.61862300E-05,1559370260.2913332,+1.57077100E+00,,,5.628200547645126e-06,4.749461083743842e-05
17,+3.50329000E-05,1559370260.4996667,+1.57076970E+00,,,5.628184665936473e-06,4.749730049261084e-05
18,+3.51157000E-05,1559370260.708,+1.57077220E+00,,,5.62825991237678e-06,4.748537931034482e-05
19,+3.56259400E-05,1559370260.9163332,+1.57077100E+00,,,5.628200547645126e-06,4.755020689655172e-05
20,+3.41740500E-05,1559370261.1246667,+1.57077220E+00,,,5.628275794085433e-06,4.7553408866995074e-05
21,+3.55811800E-05,1559370261.333,+1.57077220E+00,,,5.6282338444687846e-06,4.755468965517242e-05
22,+3.58917200E-05,1559370261.5413332,+1.57077220E+00,,,5.62814852135816e-06,4.7548029556650245e-05
