,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+5.43618790E-03,1559369345.948,+1.57089740E+00,,,,
1,+5.43646470E-03,1559369346.1563332,+1.57090610E+00,,,,
2,+3.02879800E-05,1559369346.3646667,+1.57091100E+00,,,,
3,+3.03053500E-05,1559369346.573,+1.57079700E+00,,,,
4,+3.02646100E-05,1559369346.7813332,+1.57079950E+00,,,,
5,+3.02919900E-05,1559369346.9896667,+1.57080200E+00,,,,
6,+3.02752800E-05,1559369347.198,+1.57079950E+00,,,,
7,+3.02726100E-05,1559369347.4063332,+1.57080070E+00,,,,
8,+3.01791200E-05,1559369347.6146667,+1.57079700E+00,,,,
9,+3.03106800E-05,1559369347.823,+1.57078830E+00,,,,
10,+3.02626100E-05,1559369348.0313332,+1.57078460E+00,,,,
11,+3.03287100E-05,1559369348.2396667,+1.57078460E+00,,,,
12,+3.02018300E-05,1559369348.448,+1.57078340E+00,,,,
13,+3.02385600E-05,1559369348.6563332,+1.57078090E+00,,,,
14,+3.02519100E-05,1559369348.8646667,+1.57077840E+00,,,,
15,+3.01590900E-05,1559369349.073,+1.57077720E+00,,,,
16,+3.03434000E-05,1559369349.2813332,+1.57077100E+00,,,,
17,+3.02218700E-05,1559369349.4896667,+1.57077340E+00,,,,
18,+3.02091700E-05,1559369349.698,+1.57077470E+00,,,,
19,+3.01236900E-05,1559369349.9063332,+1.57077590E+00,,,,
20,+3.03634400E-05,1559369350.1146667,+1.57077470E+00,,,,
21,+3.02419000E-05,1559369350.323,+1.57077960E+00,,,,
22,+3.02145100E-05,1559369350.5313332,+1.57077840E+00,,,,
23,+3.01731100E-05,1559369350.7396667,+1.57077840E+00,,,,
24,+3.01664400E-05,1559369350.948,+1.57078090E+00,,,,
25,+3.02512400E-05,1559369354.467,+1.57078090E+00,,,,
26,+3.02586000E-05,1559369354.6753333,+1.57078090E+00,,,,
27,+3.01617600E-05,1559369354.8836668,+1.57077840E+00,,,,
28,+3.01297000E-05,1559369355.092,+1.57077720E+00,,,,
29,+3.02605900E-05,1559369355.3003333,+1.57077220E+00,,,,
30,+3.02051700E-05,1559369355.5086668,+1.57077220E+00,,,,
31,+3.01744600E-05,1559369355.717,+1.57076850E+00,,,,
32,+3.02252000E-05,1559369355.9253333,+1.57077220E+00,,,,
33,+3.03500900E-05,1559369356.1336668,+1.57077220E+00,,,,
34,+3.02712800E-05,1559369356.342,+1.57077100E+00,,,,
35,+3.01898100E-05,1559369356.5503333,+1.57077340E+00,,,,
36,+3.02011700E-05,1559369356.7586668,+1.57077590E+00,,,,
37,+3.03060100E-05,1559369356.967,+1.57077960E+00,,,,
38,+3.02031600E-05,1559369357.1753333,+1.57077590E+00,,,,
39,+3.01904800E-05,1559369357.3836668,+1.57077340E+00,,,,
40,+3.01530900E-05,1559369357.592,+1.57077470E+00,,,,
41,+3.01537400E-05,1559369357.8003333,+1.57077720E+00,,,,
42,+3.01297100E-05,1559369358.0086668,+1.57077590E+00,,,,
43,+3.01217000E-05,1559369358.217,+1.57077960E+00,,,,
44,+3.01464000E-05,1559369358.4253333,+1.57078210E+00,,,,
45,+3.01517500E-05,1559369358.6336668,+1.57077960E+00,,,,
46,+3.01303800E-05,1559369358.842,+1.57078710E+00,,,,
47,+3.01183600E-05,1559369359.0503333,+1.57077720E+00,,,,
48,+3.01103300E-05,1559369359.2586668,+1.57077720E+00,,,,
49,+3.01944800E-05,1559369359.467,+1.57078210E+00,,,,
50,+2.99921400E-05,1559369363.09,+1.57078090E+00,,,,
51,+2.99120000E-05,1559369363.2983332,+1.57078340E+00,,,,
52,+2.99968000E-05,1559369363.5066667,+1.57078210E+00,,,,
53,+2.99654200E-05,1559369363.715,+1.57077840E+00,,,,
54,+2.99540600E-05,1559369363.9233332,+1.57078090E+00,,,,
55,+2.98933000E-05,1559369364.1316667,+1.57077100E+00,,,,
56,+2.99220100E-05,1559369364.34,+1.57076970E+00,,,,
57,+2.99320300E-05,1559369364.5483332,+1.57076850E+00,,,,
58,+2.99173300E-05,1559369364.7566667,+1.57076480E+00,,,,
59,+2.98973000E-05,1559369364.965,+1.57076600E+00,,,,
60,+2.99520700E-05,1559369365.1733332,+1.57076600E+00,,,,
61,+2.99307000E-05,1559369365.3816667,+1.57076970E+00,,,,
62,+2.98712600E-05,1559369365.59,+1.57076970E+00,,,,
63,+2.98806000E-05,1559369365.7983332,+1.57077100E+00,,,,
64,+2.99180000E-05,1559369366.0066667,+1.57076720E+00,,,,
65,+2.98699200E-05,1559369366.215,+1.57076850E+00,,,,
66,+2.98866100E-05,1559369366.4233332,+1.57077100E+00,,,,
67,+2.98512300E-05,1559369366.6316667,+1.57076970E+00,,,,
68,+2.99066600E-05,1559369366.84,+1.57076850E+00,,,,
69,+2.98806000E-05,1559369367.0483332,+1.57076970E+00,,,,
