,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.69328300E-05,1559373458.211,+1.56927110E+00,,,1.2144578313253012e-08,4.8113487684729065e-05
1,+3.69722300E-05,1559373458.4193332,+1.56924630E+00,,,1.2138882803943045e-08,4.8111694581280784e-05
2,+3.70357200E-05,1559373458.6276667,+1.56922900E+00,,,2.0767163198247534e-07,4.811476847290641e-05
3,+3.69468600E-05,1559373458.836,+1.56922160E+00,,,2.146146111719606e-06,4.810900492610838e-05
4,+3.70176800E-05,1559373459.0443332,+1.56921160E+00,,,2.146428039430449e-06,4.8111182266009855e-05
5,+3.70470700E-05,1559373459.2526667,+1.56920670E+00,,,2.124355421686747e-06,4.811425615763547e-05
6,+3.70457200E-05,1559373459.461,+1.56919680E+00,,,4.279467360350493e-06,4.811195073891626e-05
7,+3.70704400E-05,1559373459.6693332,+1.56918190E+00,,,4.279747864184009e-06,4.810964532019704e-05
8,+3.64760700E-05,1559373459.8776667,+1.56200260E+00,,,4.716940963855421e-06,4.8109773399014776e-05
9,+4.24290800E-05,1559373460.086,+1.56713670E+00,,,6.416246768893757e-06,4.8113487684729065e-05
10,+3.73108600E-05,1559373460.2943332,+1.56917940E+00,,,6.416773055859803e-06,4.811054187192118e-05
11,+3.72060100E-05,1559373460.5026667,+1.56196040E+00,,,5.986846111719606e-06,4.8106059113300494e-05
12,+3.65982900E-05,1559373460.711,+1.55401010E+00,,,8.57212278203724e-06,4.8110157635467984e-05
13,+4.17712600E-05,1559373460.9193332,+1.56173980E+00,,,8.572443702081052e-06,4.810951724137931e-05
14,+3.73055000E-05,1559373461.1276667,+1.56269670E+00,,,8.572727163198249e-06,4.811182266009852e-05
15,+4.14159800E-05,1559373461.336,+1.56918440E+00,,,8.572848630887186e-06,4.811066995073891e-05
16,+4.01417700E-05,1559373461.5443332,+1.56835510E+00,,,8.573097371303395e-06,4.8112206896551726e-05
17,+3.72894800E-05,1559373461.7526667,+1.56293100E+00,,,8.573218729463308e-06,4.8109901477832517e-05
18,+4.21379000E-05,1559373461.961,+1.56917940E+00,,,8.573156626506023e-06,4.811553694581281e-05
19,+4.06853700E-05,1559373462.1693332,+1.56918070E+00,,,8.573318510405256e-06,4.810913300492611e-05
20,+3.87827500E-05,1559373462.3776667,+1.56323960E+00,,,8.573421248630888e-06,4.811066995073891e-05
21,+3.72901600E-05,1559373462.586,+1.55543060E+00,,,8.57366265060241e-06,4.8112206896551726e-05
22,+3.72968300E-05,1559373462.7943332,+1.56379240E+00,,,8.573521029572837e-06,4.811233497536946e-05
23,+4.16710800E-05,1559373463.0026667,+1.55385640E+00,,,8.573656955093101e-06,4.8111694581280784e-05
24,+3.72380600E-05,1559373463.211,+1.56065020E+00,,,8.573749397590362e-06,4.8114e-05
25,+3.74110200E-05,1559373466.868,+1.56362510E+00,,,8.83667360350493e-06,4.8111182266009855e-05
26,+4.16824500E-05,1559373467.0763333,+1.55379440E+00,,,1.0738544359255202e-05,4.810964532019704e-05
27,+3.73816500E-05,1559373467.2846668,+1.56139520E+00,,,1.0738576122672507e-05,4.8108748768472905e-05
28,+4.18340400E-05,1559373467.493,+1.56447670E+00,,,1.1180844468784229e-05,4.8108108374384236e-05
29,+3.99494300E-05,1559373467.7013333,+1.55882320E+00,,,1.2837939759036144e-05,4.8107724137931034e-05
30,+3.67024700E-05,1559373467.9096668,+1.55918140E+00,,,1.2838331872946331e-05,4.8106827586206904e-05
31,+3.72440700E-05,1559373468.118,+1.55826170E+00,,,1.1345691128148959e-05,4.8111694581280784e-05
32,+4.12924200E-05,1559373468.3263333,+1.55370890E+00,,,1.4982772179627602e-05,4.8112206896551726e-05
33,+4.16851100E-05,1559373468.5346668,+1.55370390E+00,,,1.498311938663746e-05,4.8111694581280784e-05
34,+4.16764300E-05,1559373468.743,+1.55440550E+00,,,1.6090175246440305e-05,4.811335960591133e-05
35,+4.18514000E-05,1559373468.9513333,+1.55375600E+00,,,1.7180725082146768e-05,4.8111182266009855e-05
36,+4.18734300E-05,1559373469.1596668,+1.56092910E+00,,,1.718102847754655e-05,4.811195073891626e-05
37,+4.17338700E-05,1559373469.368,+1.55993130E+00,,,1.842260350492881e-05,4.8111182266009855e-05
38,+4.17145000E-05,1559373469.5763333,+1.56263970E+00,,,1.9278564074479736e-05,4.8110157635467984e-05
39,+4.23789800E-05,1559373469.7846668,+1.56120430E+00,,,1.9278939759036144e-05,4.8112206896551726e-05
40,+4.13979500E-05,1559373469.993,+1.56212030E+00,,,1.927935925520263e-05,4.811207881773399e-05
41,+3.76100500E-05,1559373470.2013333,+1.55783160E+00,,,1.9279590361445784e-05,4.811143842364532e-05
42,+3.89497000E-05,1559373470.4096668,+1.56060310E+00,,,1.9279634173055862e-05,4.811195073891626e-05
43,+4.24377400E-05,1559373470.618,+1.56038750E+00,,,1.9279967141292443e-05,4.810913300492611e-05
44,+3.73228800E-05,1559373470.8263333,+1.55974910E+00,,,1.9280270536692226e-05,4.811335960591133e-05
45,+4.07488200E-05,1559373471.0346668,+1.55967230E+00,,,1.9280053669222344e-05,4.810862068965517e-05
46,+3.77128900E-05,1559373471.243,+1.56198640E+00,,,1.92802847754655e-05,4.811566502463054e-05
47,+4.18547500E-05,1559373471.4513333,+1.56817420E+00,,,1.9280733844468786e-05,4.8107852216748775e-05
48,+3.89216500E-05,1559373471.6596668,+1.55361840E+00,,,1.9280950711938663e-05,4.8111182266009855e-05
49,+4.18554100E-05,1559373471.868,+1.55365680E+00,,,1.9281254107338443e-05,4.8114e-05
50,+4.17572400E-05,1559373475.469,+1.55364940E+00,,,1.9597215772179626e-05,4.811105418719212e-05
51,+4.17953000E-05,1559373475.6773334,+1.55365060E+00,,,2.1380368017524643e-05,4.811156650246305e-05
52,+4.18166700E-05,1559373475.8856668,+1.55379070E+00,,,2.1380757940854324e-05,4.8108364532019703e-05
53,+4.17739300E-05,1559373476.094,+1.55817370E+00,,,2.176651369112815e-05,4.811092610837439e-05
54,+3.85156100E-05,1559373476.3023334,+1.55367540E+00,,,2.3575705366922234e-05,4.811528078817734e-05
55,+4.19442200E-05,1559373476.5106668,+1.56009120E+00,,,2.3575865279299014e-05,4.8111182266009855e-05
56,+4.22213800E-05,1559373476.719,+1.55672220E+00,,,2.4133041621029574e-05,4.811054187192118e-05
57,+4.15401900E-05,1559373476.9273334,+1.55505870E+00,,,2.5673865279299014e-05,4.811079802955665e-05
58,+4.18874600E-05,1559373477.1356668,+1.55366430E+00,,,2.567441511500548e-05,4.8111694581280784e-05
59,+4.20277000E-05,1559373477.344,+1.55558550E+00,,,2.7870722891566268e-05,4.810964532019704e-05
60,+4.18747700E-05,1559373477.5523334,+1.55350690E+00,,,2.7865414019715225e-05,4.811054187192118e-05
61,+4.09905700E-05,1559373477.7606668,+1.55353910E+00,,,2.786570317634173e-05,4.810926108374384e-05
62,+3.90091300E-05,1559373477.969,+1.55355890E+00,,,3.0046475355969333e-05,4.8110157635467984e-05
63,+4.19656000E-05,1559373478.1773334,+1.56117830E+00,,,3.0047719605695512e-05,4.811182266009852e-05
64,+4.19101700E-05,1559373478.3856668,+1.55479720E+00,,,3.004837020810515e-05,4.811079802955665e-05
65,+4.18827900E-05,1559373478.594,+1.55530290E+00,,,3.0048630887185102e-05,4.811092610837439e-05
66,+4.19075000E-05,1559373478.8023334,+1.55408080E+00,,,3.0049209200438114e-05,4.8107083743842365e-05
67,+3.72928300E-05,1559373479.0106668,+1.55946150E+00,,,3.0049122672508216e-05,4.81132315270936e-05
68,+4.13572100E-05,1559373479.219,+1.55345980E+00,,,3.0049469879518073e-05,4.8116177339901476e-05
69,+4.19622500E-05,1559373479.4273334,+1.55346590E+00,,,3.0049454545454546e-05,4.811566502463054e-05
70,+4.20237000E-05,1559373479.6356668,+1.55351550E+00,,,3.004993209200438e-05,4.811105418719212e-05
71,+4.24611200E-05,1559373479.844,+1.55353910E+00,,,3.005012048192771e-05,4.811553694581281e-05
72,+3.76888500E-05,1559373480.0523334,+1.55350440E+00,,,3.005039539978094e-05,4.811733004926108e-05
73,+4.20009800E-05,1559373480.2606668,+1.55351920E+00,,,3.0050626506024094e-05,4.810926108374384e-05
74,+4.20704600E-05,1559373480.469,+1.55670240E+00,,,3.0050496166484118e-05,4.811054187192118e-05
75,+4.18901300E-05,1559373484.189,+1.55354900E+00,,,3.1365974808324205e-05,4.81143842364532e-05
76,+4.18954700E-05,1559373484.3973331,+1.55358250E+00,,,3.216818510405257e-05,4.811002955665025e-05
77,+4.20450600E-05,1559373484.6056666,+1.55815260E+00,,,3.21684600219058e-05,4.811259113300493e-05
78,+4.19903100E-05,1559373484.814,+1.55745600E+00,,,3.351778751369113e-05,4.8108364532019703e-05
79,+3.78878500E-05,1559373485.0223331,+1.55625360E+00,,,3.4257834611171956e-05,4.81136157635468e-05
80,+3.72801300E-05,1559373485.2306666,+1.55870050E+00,,,3.425792223439211e-05,4.8112206896551726e-05
81,+4.26835100E-05,1559373485.439,+1.55500790E+00,,,3.585980832420591e-05,4.811387192118226e-05
82,+4.19676100E-05,1559373485.6473331,+1.55576770E+00,,,3.6439807228915664e-05,4.810823645320197e-05
83,+4.07915600E-05,1559373485.8556666,+1.55948880E+00,,,3.6439951807228913e-05,4.810862068965517e-05
84,+4.18894600E-05,1559373486.064,+1.55351430E+00,,,3.8044788608981384e-05,4.811156650246305e-05
85,+4.26567900E-05,1559373486.2723331,+1.55347340E+00,,,3.8557725082146767e-05,4.811143842364532e-05
86,+3.76013600E-05,1559373486.4806666,+1.55346220E+00,,,3.855784118291347e-05,4.811502463054187e-05
87,+4.19268700E-05,1559373486.689,+1.55349570E+00,,,4.032376998904709e-05,4.810913300492611e-05
88,+4.18901400E-05,1559373486.8973331,+1.55345360E+00,,,4.064486418400876e-05,4.811066995073891e-05
89,+4.19829500E-05,1559373487.1056666,+1.55351550E+00,,,4.064499452354874e-05,4.811028571428572e-05
90,+4.19769500E-05,1559373487.314,+1.55357630E+00,,,4.064564512595838e-05,4.811259113300493e-05
91,+4.19368900E-05,1559373487.5223331,+1.55357010E+00,,,4.0645789704271635e-05,4.8109389162561574e-05
92,+4.18914600E-05,1559373487.7306666,+1.55353040E+00,,,4.064605038335159e-05,4.811105418719212e-05
93,+4.19121800E-05,1559373487.939,+1.55351920E+00,,,4.064605038335159e-05,4.811143842364532e-05
94,+4.19682600E-05,1559373488.1473331,+1.55460630E+00,,,4.0646165388828036e-05,4.8106955665024624e-05
95,+4.19575800E-05,1559373488.3556666,+1.55566110E+00,,,4.064590580503834e-05,4.810516256157636e-05
