,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.35763400E-05,1559374186.369,+1.56934800E+00,,,1.253066812705367e-08,4.806813793103448e-05
1,+3.37072300E-05,1559374186.5773332,+1.56931450E+00,,,1.2485870755750273e-08,4.806275862068965e-05
2,+3.35910300E-05,1559374186.7856667,+1.56928480E+00,,,1.6620295728368017e-07,4.806608866995074e-05
3,+3.36497900E-05,1559374186.994,+1.56927490E+00,,,2.1448562979189483e-06,4.8067241379310344e-05
4,+3.35442800E-05,1559374187.2023332,+1.56927610E+00,,,2.1450745892661556e-06,4.806224630541872e-05
5,+3.36270900E-05,1559374187.4106667,+1.56927240E+00,,,2.114761555312158e-06,4.806621674876847e-05
6,+3.35903600E-05,1559374187.619,+1.56926250E+00,,,4.278998795180723e-06,4.807108374384237e-05
7,+3.36397700E-05,1559374187.8273332,+1.56926370E+00,,,4.2794065717415116e-06,4.8065320197044336e-05
8,+3.36504600E-05,1559374188.0356667,+1.56926000E+00,,,4.672663855421687e-06,4.8064039408867e-05
9,+3.36678300E-05,1559374188.244,+1.56925250E+00,,,6.415849178532311e-06,4.806736945812808e-05
10,+3.36083800E-05,1559374188.4523332,+1.56925130E+00,,,6.416469441401971e-06,4.806736945812808e-05
11,+3.36404500E-05,1559374188.6606667,+1.56925250E+00,,,6.023553340635269e-06,4.806647290640394e-05
12,+3.36497900E-05,1559374188.869,+1.56926740E+00,,,8.564261007667033e-06,4.806211822660099e-05
13,+3.37599800E-05,1559374189.0773332,+1.56926000E+00,,,8.564937787513691e-06,4.8065320197044336e-05
14,+3.36932000E-05,1559374189.2856667,+1.56925630E+00,,,8.565364293537788e-06,4.8064807881773394e-05
15,+3.36778400E-05,1559374189.494,+1.56926370E+00,,,8.565853012048192e-06,4.8068266009852215e-05
16,+3.37753500E-05,1559374189.7023332,+1.56926250E+00,,,8.566133625410733e-06,4.8067241379310344e-05
17,+3.36785100E-05,1559374189.9106667,+1.56926000E+00,,,8.566256516976999e-06,4.806672906403941e-05
18,+3.36464500E-05,1559374190.119,+1.56925870E+00,,,8.566470536692223e-06,4.8065320197044336e-05
19,+3.36404400E-05,1559374190.3273332,+1.56925870E+00,,,8.566655531215772e-06,4.806865024630542e-05
20,+3.36417800E-05,1559374190.5356667,+1.56925630E+00,,,8.566912924424972e-06,4.806416748768473e-05
21,+3.36431200E-05,1559374190.744,+1.56925750E+00,,,8.567098028477547e-06,4.8069290640394086e-05
22,+3.36077200E-05,1559374190.9523332,+1.56925630E+00,,,8.567196385542168e-06,4.806647290640394e-05
23,+3.36197500E-05,1559374191.1606667,+1.56925380E+00,,,8.567285980284775e-06,4.806916256157636e-05
24,+3.37412800E-05,1559374191.369,+1.56925250E+00,,,8.567384337349397e-06,4.806455172413793e-05
25,+3.36604800E-05,1559374195.027,+1.56924630E+00,,,8.924826725082147e-06,4.806788177339902e-05
26,+3.36444400E-05,1559374195.2353332,+1.56924510E+00,,,1.073043099671413e-05,4.8066600985221675e-05
27,+3.36417800E-05,1559374195.4436667,+1.56924140E+00,,,1.0730783899233297e-05,4.806275862068965e-05
28,+3.35522800E-05,1559374195.652,+1.56924140E+00,,,1.112715334063527e-05,4.806647290640394e-05
29,+3.36210800E-05,1559374195.8603332,+1.56923770E+00,,,1.2828580503833515e-05,4.8065320197044336e-05
30,+3.35910200E-05,1559374196.0686667,+1.56923020E+00,,,1.2829081051478643e-05,4.806621674876847e-05
31,+3.36651600E-05,1559374196.277,+1.56923890E+00,,,1.139972617743702e-05,4.806275862068965e-05
32,+3.35369200E-05,1559374196.4853332,+1.56924140E+00,,,1.4981412924424972e-05,4.8063527093596055e-05
33,+3.36017100E-05,1559374196.6936667,+1.56923890E+00,,,1.4981412924424972e-05,4.806916256157636e-05
