,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.03046800E-05,1559369731.864,+1.57076480E+00,,,1.2724424972617744e-08,4.824223645320197e-05
1,+3.03768000E-05,1559369732.0723333,+1.57076100E+00,,,1.2426615553121578e-08,4.8239034482758625e-05
2,+3.04128700E-05,1559369732.2806668,+1.57076230E+00,,,2.7562190580503833e-07,4.8242364532019706e-05
3,+3.05390900E-05,1559369732.489,+1.57077100E+00,,,2.1437718510405256e-06,4.82404433497537e-05
4,+3.04662800E-05,1559369732.6973333,+1.57077220E+00,,,2.1440146768893757e-06,4.8241852216748764e-05
5,+3.05163700E-05,1559369732.9056668,+1.57076850E+00,,,2.1353693318729464e-06,4.823852216748768e-05
6,+3.04081800E-05,1559369733.114,+1.57076600E+00,,,4.279795618838992e-06,4.8242620689655174e-05
7,+3.04475800E-05,1559369733.3223333,+1.57076100E+00,,,4.280216319824753e-06,4.823980295566502e-05
8,+3.04101800E-05,1559369733.5306668,+1.57076100E+00,,,4.787755421686747e-06,4.8242620689655174e-05
9,+3.05083600E-05,1559369733.739,+1.57076100E+00,,,6.416781818181818e-06,4.8240571428571425e-05
10,+3.06292400E-05,1559369733.9473333,+1.57075980E+00,,,6.417198247535597e-06,4.8238009852216754e-05
11,+3.05217300E-05,1559369734.1556668,+1.57076230E+00,,,6.0694133625410735e-06,4.8242876847290635e-05
12,+3.05023400E-05,1559369734.364,+1.57076100E+00,,,8.566629572836801e-06,4.824326108374384e-05
13,+3.05043500E-05,1559369734.5723333,+1.57076350E+00,,,8.567932311062432e-06,4.823583251231527e-05
14,+3.07200600E-05,1559369734.7806668,+1.57075980E+00,,,9.19333986856517e-06,4.824223645320197e-05
15,+3.05704800E-05,1559369734.989,+1.57076100E+00,,,1.0732239978094195e-05,4.8237881773399014e-05
16,+3.05050200E-05,1559369735.1973333,+1.57076350E+00,,,1.0732799561883899e-05,4.824441379310345e-05
17,+3.06466100E-05,1559369735.4056668,+1.57076480E+00,,,1.07332708652793e-05,4.824338916256158e-05
18,+3.07067200E-05,1559369735.614,+1.57076350E+00,,,1.0733562979189485e-05,4.824441379310345e-05
19,+3.06399300E-05,1559369735.8223333,+1.57076350E+00,,,1.0733713362541073e-05,4.824415763546798e-05
20,+3.06118800E-05,1559369736.0306668,+1.57076230E+00,,,1.0733879627601315e-05,4.8239034482758625e-05
21,+3.05284000E-05,1559369736.239,+1.57076600E+00,,,1.0734215115005476e-05,4.824172413793103e-05
22,+3.05871600E-05,1559369736.4473333,+1.57075730E+00,,,1.0734385761226725e-05,4.824223645320197e-05
23,+3.06105500E-05,1559369736.6556668,+1.57076230E+00,,,1.0734601204819277e-05,4.8237881773399014e-05
24,+3.06138800E-05,1559369736.864,+1.57076230E+00,,,1.0734813800657173e-05,4.824390147783252e-05
25,+3.05324000E-05,1559369740.526,+1.57075860E+00,,,1.1047265060240964e-05,4.824108374384237e-05
26,+3.05991800E-05,1559369740.7343333,+1.57076230E+00,,,1.283338335158817e-05,4.8243645320197045e-05
27,+3.06098800E-05,1559369740.9426668,+1.57076230E+00,,,1.2833800657174152e-05,4.823647290640394e-05
28,+3.06759900E-05,1559369741.151,+1.57075980E+00,,,1.1174338444687843e-05,4.824390147783252e-05
29,+3.05470900E-05,1559369741.3593333,+1.57075860E+00,,,1.4880019715224534e-05,4.824223645320197e-05
30,+3.05537800E-05,1559369741.5676668,+1.57076100E+00,,,1.489007338444688e-05,4.824210837438424e-05
31,+3.06292500E-05,1559369741.776,+1.57076480E+00,,,1.5999373493975904e-05,4.823852216748768e-05
32,+3.06486100E-05,1559369741.9843333,+1.57075860E+00,,,1.708250383351588e-05,4.823980295566502e-05
33,+3.06232300E-05,1559369742.1926668,+1.57075860E+00,,,1.7085555312157724e-05,4.824108374384237e-05
34,+3.06292500E-05,1559369742.401,+1.57075980E+00,,,1.819429134720701e-05,4.824402955665024e-05
35,+3.07027100E-05,1559369742.6093333,+1.57076230E+00,,,1.9174990142387734e-05,4.823775369458128e-05
36,+3.07474500E-05,1559369742.8176668,+1.57076230E+00,,,1.9176610076670318e-05,4.824082758620689e-05
37,+3.07087200E-05,1559369743.026,+1.57075860E+00,,,2.047104162102957e-05,4.824108374384237e-05
38,+3.07507900E-05,1559369743.2343333,+1.57076350E+00,,,2.126768017524644e-05,4.823877832512315e-05
39,+3.08289200E-05,1559369743.4426668,+1.57076350E+00,,,2.12692278203724e-05,4.824300492610837e-05
40,+3.07594700E-05,1559369743.651,+1.57076480E+00,,,2.1270602409638555e-05,4.824018719211823e-05
41,+3.07487900E-05,1559369743.8593333,+1.57076350E+00,,,2.1271543263964952e-05,4.823775369458128e-05
42,+3.07741700E-05,1559369744.0676668,+1.57075730E+00,,,2.1272699890470973e-05,4.824249261083744e-05
43,+3.08970500E-05,1559369744.276,+1.57075610E+00,,,2.127348083242059e-05,4.8239034482758625e-05
44,+3.08603000E-05,1559369744.4843333,+1.57076100E+00,,,2.1274522453450165e-05,4.823813793103449e-05
45,+3.07481100E-05,1559369744.6926668,+1.57075980E+00,,,2.1275174151150056e-05,4.8242876847290635e-05
46,+3.07594700E-05,1559369744.901,+1.57075730E+00,,,2.1276041621029574e-05,4.8243645320197045e-05
47,+3.09137200E-05,1559369745.1093333,+1.57076100E+00,,,2.127676451259584e-05,4.8240571428571425e-05
