,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+3.42381800E-05,1559368384.079,1.3256516976998905e-08,4.829591133004926e-05
1,+3.49480700E-05,1559368384.2873333,1.2915334063526835e-08,4.829578325123152e-05
2,+3.50135200E-05,1559368384.4956667,2.7957513691128146e-07,4.829770443349754e-05
3,+3.47617500E-05,1559368384.704,2.141870317634173e-06,4.829360591133005e-05
4,+3.46448800E-05,1559368384.9123333,2.142185542168675e-06,4.8295270935960595e-05
5,+3.46161600E-05,1559368385.1206667,2.124426286966046e-06,4.82971921182266e-05
6,+3.55357600E-05,1559368385.329,4.2720422782037235e-06,4.8299241379310345e-05
7,+3.52759700E-05,1559368385.5373333,4.272370536692224e-06,4.829988177339902e-05
8,+3.48332100E-05,1559368385.7456667,4.647291675794085e-06,4.829373399014778e-05
9,+3.40625300E-05,1559368385.954,6.405341292442497e-06,4.8292837438423644e-05
10,+3.41399900E-05,1559368386.1623333,6.405856078860898e-06,4.829898522167487e-05
11,+3.44906000E-05,1559368386.3706667,5.986856297918949e-06,4.829411822660099e-05
12,+3.45400200E-05,1559368386.579,8.574076232201534e-06,4.8296039408867e-05
13,+3.41787300E-05,1559368386.7873333,8.574239649507119e-06,4.829808866995074e-05
14,+3.39610100E-05,1559368386.9956667,9.202559255202628e-06,4.8293862068965515e-05
15,+3.40618700E-05,1559368387.204,1.0739090909090909e-05,4.8293862068965515e-05
16,+3.46121400E-05,1559368387.4123333,1.0739599890470976e-05,4.8296295566502466e-05
17,+3.44051200E-05,1559368387.6206667,1.0739640416210297e-05,4.829744827586207e-05
18,+3.47557400E-05,1559368387.829,1.0739861555312158e-05,4.8292197044334975e-05
19,+3.51337200E-05,1559368388.0373333,1.073999748083242e-05,4.829885714285715e-05
20,+3.48819500E-05,1559368388.2456667,1.0740153669222343e-05,4.829437438423645e-05
21,+3.40238000E-05,1559368388.454,1.074017108433735e-05,4.829463054187192e-05
22,+3.40331600E-05,1559368388.6623333,1.0740269331872946e-05,4.829770443349754e-05
23,+3.42127800E-05,1559368388.8706667,1.0740448630887186e-05,4.830065024630542e-05
24,+3.40645400E-05,1559368389.079,1.0740335925520264e-05,4.829475862068965e-05
25,+3.39356500E-05,1559368392.74,1.1076156626506024e-05,4.8295527093596056e-05
26,+3.39429900E-05,1559368392.9483333,1.2838975903614459e-05,4.8294246305418724e-05
27,+3.37666800E-05,1559368393.1566668,1.283962322015334e-05,4.829655172413793e-05
28,+3.37286200E-05,1559368393.365,1.1284427163198248e-05,4.829258128078818e-05
29,+3.38688600E-05,1559368393.5733333,1.4963851040525741e-05,4.829770443349754e-05
30,+3.42034300E-05,1559368393.7816668,1.4963937568455643e-05,4.829616748768473e-05
31,+3.40779000E-05,1559368393.99,1.6101776560788608e-05,4.829770443349754e-05
32,+3.40932600E-05,1559368394.1983333,1.715946111719606e-05,4.8293862068965515e-05
33,+3.40465100E-05,1559368394.4066668,1.7159706462212487e-05,4.829667980295566e-05
34,+3.42568700E-05,1559368394.615,1.8300743702081053e-05,4.829591133004926e-05
35,+3.46782700E-05,1559368394.8233333,1.9255028477546548e-05,4.8297832512315265e-05
36,+3.46308500E-05,1559368395.0316668,1.925583789704272e-05,4.8295270935960595e-05
37,+3.40338200E-05,1559368395.24,2.0449053669222343e-05,4.8296039408867e-05
38,+3.37620000E-05,1559368395.4483333,2.1353042716319824e-05,4.8295527093596056e-05
39,+3.41500100E-05,1559368395.6566668,2.1353751369112813e-05,4.8295527093596056e-05
40,+3.41186300E-05,1559368395.865,2.1354054764512596e-05,4.829168472906404e-05
41,+3.38334700E-05,1559368396.0733333,2.13543439211391e-05,4.829655172413793e-05
42,+3.36772000E-05,1559368396.2816668,2.1354792990142388e-05,4.829706403940887e-05
43,+3.39530000E-05,1559368396.49,2.135496604600219e-05,4.8293862068965515e-05
44,+3.40024300E-05,1559368396.6983333,2.1355415115005478e-05,4.830282758620689e-05
45,+3.39990900E-05,1559368396.9066668,2.1355573932092005e-05,4.829270935960591e-05
46,+3.37353000E-05,1559368397.115,2.135567469879518e-05,4.829475862068965e-05
47,+3.37519800E-05,1559368397.3233333,2.135586308871851e-05,4.829475862068965e-05
48,+3.39396500E-05,1559368397.5316668,2.135635487404162e-05,4.829245320197044e-05
49,+3.40071100E-05,1559368397.74,2.1356499452354874e-05,4.8292965517241385e-05
50,+3.35356200E-05,1559368401.325,2.1918420591456735e-05,4.8296295566502466e-05
51,+3.32598100E-05,1559368401.5333333,2.3548207009857612e-05,4.8294246305418724e-05
52,+3.35008800E-05,1559368401.7416668,2.3548843373493975e-05,4.8294502463054185e-05
53,+3.35770300E-05,1559368401.95,2.4139450164293538e-05,4.8294502463054185e-05
54,+3.32664800E-05,1559368402.1583333,2.564470317634173e-05,4.8294886699507386e-05
