,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,+3.46602300E-05,1559367381.111,1.2157612267250822e-08,4.8337931034482754e-05
1,+3.47377100E-05,1559367381.3193333,1.2127272727272728e-08,4.8333704433497536e-05
2,+3.46054700E-05,1559367381.5276668,2.0336418400876234e-07,4.83388275862069e-05
3,+3.45420300E-05,1559367381.736,2.145443373493976e-06,4.8336137931034486e-05
4,+3.46134900E-05,1559367381.9443333,2.145677546549836e-06,4.8335625615763544e-05
5,+3.46502100E-05,1559367382.1526668,2.1591076670317635e-06,4.8336137931034486e-05
6,+3.44665900E-05,1559367382.361,4.253772617743702e-06,4.833767487684729e-05
7,+3.44438600E-05,1559367382.5693333,4.256998576122672e-06,4.833524137931035e-05
8,+3.44338400E-05,1559367382.7776668,4.686352792990143e-06,4.8338955665024625e-05
9,+3.44024400E-05,1559367382.986,6.387774370208105e-06,4.833588177339901e-05
10,+3.43483700E-05,1559367383.1943333,6.390064731653888e-06,4.833524137931035e-05
11,+3.43443600E-05,1559367383.4026668,6.075720591456736e-06,4.8334088669950744e-05
12,+3.43604000E-05,1559367383.611,8.563895180722891e-06,4.8337418719211825e-05
13,+3.43230000E-05,1559367383.8193333,8.564428806133625e-06,4.8335113300492615e-05
14,+3.42996300E-05,1559367384.0276668,8.564775794085432e-06,4.833575369458128e-05
15,+3.43016300E-05,1559367384.236,8.565104052573932e-06,4.834062068965517e-05
16,+3.42615700E-05,1559367384.4443333,8.565326725082146e-06,4.833549753694581e-05
17,+3.43276800E-05,1559367384.6526668,8.565569660460022e-06,4.8334088669950744e-05
18,+3.42482000E-05,1559367384.861,8.565500219058051e-06,4.833767487684729e-05
19,+3.42755800E-05,1559367385.0693333,8.565724424972619e-06,4.833690640394088e-05
20,+3.44138300E-05,1559367385.2776668,8.56617699890471e-06,4.833729064039409e-05
21,+3.43403700E-05,1559367385.486,8.566150930996714e-06,4.8335113300492615e-05
22,+3.43083200E-05,1559367385.6943333,8.566438663745892e-06,4.833588177339901e-05
23,+3.42562200E-05,1559367385.9026668,8.566502300109528e-06,4.834087684729064e-05
24,+3.43624100E-05,1559367386.111,8.566635377875136e-06,4.833677832512315e-05
25,+3.43210000E-05,1559367389.774,8.820668236582695e-06,4.8336394088669954e-05
26,+3.42689100E-05,1559367389.9823332,1.072941161007667e-05,4.8336650246305415e-05
27,+3.42081400E-05,1559367390.1906667,1.0729781818181819e-05,4.8339724137931035e-05
28,+3.42709100E-05,1559367390.399,1.1160773274917854e-05,4.8335113300492615e-05
