,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,-3.41619000E-05,1559284800.797,+1.57116140E+00,4.47107e-05,1.2364403066812707e-08,4.931025615763547e-05
1,-2.92168000E-05,1559284801.0053332,+1.57116510E+00,4.47107e-05,1.2292113910186198e-08,4.9307822660098525e-05
2,-2.93303000E-05,1559284801.2136667,+1.57116270E+00,4.47643e-05,1.2289266155531216e-08,4.9306798029556654e-05
3,-2.88298000E-05,1559284801.422,+1.57116390E+00,4.47395e-05,1.1965279299014239e-08,4.930807881773399e-05
4,-2.84494000E-05,1559284801.6303332,+1.57116270E+00,4.47329e-05,1.238170865279299e-08,4.9306413793103445e-05
5,-2.50591000E-05,1559284801.8386667,+1.57115770E+00,0.0001523794,1.2263198247535597e-08,4.9304364532019703e-05
6,-2.28703000E-05,1559284802.047,+1.57027020E+00,0.0011637236,1.1976889375684556e-08,4.9304492610837444e-05
7,-2.74082000E-05,1559284802.2553332,+1.57028510E+00,0.0011631084,1.1974041621029572e-08,4.930462068965518e-05
8,-2.75955000E-05,1559284802.4636667,+1.57029130E+00,0.0011629867,1.1968236582694415e-08,4.9307054187192115e-05
9,-2.60805000E-05,1559284802.672,+1.57029370E+00,0.0011630443000000001,1.1942168674698795e-08,4.931102463054187e-05
10,-2.50995000E-05,1559284802.8803332,+1.57029500E+00,0.001163005,1.1947973713033955e-08,4.930333990147783e-05
11,-2.91367000E-05,1559284803.0886667,+1.57029990E+00,0.0013870863000000002,1.1791785323110624e-08,4.930564532019705e-05
12,-3.13323000E-05,1559284803.297,+1.56960830E+00,0.0022416377,1.1266922234392114e-08,4.9306413793103445e-05
13,-3.27471000E-05,1559284803.5053332,+1.56960950E+00,0.0022415042,1.1211938663745893e-08,4.930462068965518e-05
14,-3.01578000E-05,1559284803.7136667,+1.56961200E+00,0.0022414493,1.1161336254107339e-08,4.930666995073892e-05
15,-3.28206000E-05,1559284803.922,+1.56961450E+00,0.0022414754,1.1226396495071194e-08,4.930513300492611e-05
16,-3.12522000E-05,1559284804.1303332,+1.56961570E+00,0.0022413904,1.119463307776561e-08,4.930718226600985e-05
17,-2.83960000E-05,1559284804.3386667,+1.56961940E+00,0.0022413472,1.1174370208105148e-08,4.930948768472906e-05
18,-3.25002000E-05,1559284804.547,+1.56962070E+00,0.0022411456,1.1196056955093099e-08,4.930846305418719e-05
19,-3.21065000E-05,1559284804.7553332,+1.56962320E+00,0.0022412608,1.1188828039430449e-08,4.930974384236453e-05
20,-3.28006000E-05,1559284804.9636667,+1.56962440E+00,0.0022410684,1.1206243154435925e-08,4.9306798029556654e-05
21,-3.53431000E-05,1559284805.172,+1.56963560E+00,0.002240698,1.1209090909090909e-08,4.9304108374384236e-05
22,-3.35347000E-05,1559284805.3803332,+1.56963310E+00,0.0022407896,1.118302300109529e-08,4.9304492610837444e-05
23,-3.21002000E-05,1559284805.5886667,+1.56964050E+00,0.002240677,1.12105147864184e-08,4.9301290640394084e-05
24,-3.47162000E-05,1559284805.797,+1.56963930E+00,0.0022407189,1.1239430449069003e-08,4.9303083743842365e-05
25,-3.13723000E-05,1559284809.481,+1.56964420E+00,0.0022405749,1.1102081051478641e-08,4.93039802955665e-05
26,-3.05449000E-05,1559284809.6893332,+1.56856460E+00,0.0032861564000000003,1.1146878422782038e-08,4.930756650246306e-05
27,-3.45022000E-05,1559284809.8976667,+1.56856580E+00,0.0032865411999999997,1.1415881708652794e-08,4.930526108374384e-05
28,-3.23934000E-05,1559284810.106,+1.56856960E+00,0.0032865255000000004,1.1035596933187294e-08,4.930731034482758e-05
29,-3.09386000E-05,1559284810.3143332,+1.56857330E+00,0.0032866839,1.1295837897042715e-08,4.930846305418719e-05
30,-3.21197000E-05,1559284810.5226667,+1.56857700E+00,0.0032864601,1.144184008762322e-08,4.9310768472906404e-05
31,-2.97707000E-05,1559284810.731,+1.56852250E+00,0.0033739562,1.1412924424972618e-08,4.931051231527093e-05
32,-3.29007000E-05,1559284810.9393332,+1.56788780E+00,0.0042895573999999995,1.2707119386637459e-08,4.930692610837439e-05
33,-3.14592000E-05,1559284811.1476667,+1.56788910E+00,0.0042897027,1.2576998904709748e-08,4.931128078817734e-05
34,-3.27205000E-05,1559284811.356,+1.56790020E+00,0.0042899042999999994,1.2720153340635267e-08,4.9308334975369453e-05
35,-3.00444000E-05,1559284811.5643332,+1.56790890E+00,0.0042895875,1.2790909090909091e-08,4.930974384236453e-05
36,-3.04247000E-05,1559284811.7726667,+1.56791260E+00,0.0042897184,1.2825629791894852e-08,4.930590147783251e-05
37,-3.03780000E-05,1559284811.981,+1.56787540E+00,0.0044839436,1.2990470974808324e-08,4.930974384236453e-05
38,-3.07718000E-05,1559284812.1893332,+1.56765980E+00,0.0052750292,1.365421686746988e-08,4.9310768472906404e-05
39,-3.10253000E-05,1559284812.3976667,+1.56765980E+00,0.0052752543,1.3560240963855421e-08,4.931025615763547e-05
40,-3.15393000E-05,1559284812.606,+1.56765600E+00,0.0052754847,1.3612267250821468e-08,4.931089655172414e-05
41,-3.25002000E-05,1559284812.8143332,+1.56766220E+00,0.005275701900000001,1.3657064622124865e-08,4.930859113300493e-05
42,-3.05649000E-05,1559284813.0226667,+1.56767340E+00,0.0052755553,1.3623877327491787e-08,4.930871921182266e-05
43,-3.07385000E-05,1559284813.231,+1.56767830E+00,0.0052754218,1.3626725082146768e-08,4.931537931034482e-05
44,-3.26937000E-05,1559284813.4393332,+1.56767960E+00,0.0052754689,1.3657064622124865e-08,4.931025615763547e-05
45,-3.09452000E-05,1559284813.6476667,+1.56768830E+00,0.0052757163,1.3651259583789703e-08,4.9312817733990146e-05
46,-3.29340000E-05,1559284813.856,+1.56769200E+00,0.0052756823,1.366725082146769e-08,4.9309103448275863e-05
47,-3.08386000E-05,1559284814.0643332,+1.56769820E+00,0.0052756273,1.3662869660460023e-08,4.9311793103448275e-05
48,-2.96306000E-05,1559284814.2726667,+1.56770190E+00,0.0052758276,1.3729353778751368e-08,4.9315891625615765e-05
49,-3.16059000E-05,1559284814.481,+1.56770440E+00,0.0052759074,1.37236582694414e-08,4.931333004926108e-05
50,-2.91967000E-05,1559284818.08,+1.56770810E+00,0.0052761325999999996,1.366002190580504e-08,4.9313073891625613e-05
51,-3.19864000E-05,1559284818.2883332,+1.56795480E+00,0.0062934185,1.3910186199342825e-08,4.930820689655172e-05
52,-3.00043000E-05,1559284818.4966667,+1.56796220E+00,0.006293986499999999,1.3923110624315444e-08,4.931051231527093e-05
53,-3.19197000E-05,1559284818.705,+1.56796470E+00,0.006294084699999999,1.3940525739320919e-08,4.931768472906404e-05
54,-3.01045000E-05,1559284818.9133332,+1.56797090E+00,0.0062941462000000005,1.3855202628696605e-08,4.9307438423645316e-05
55,-3.15259000E-05,1559284819.1216667,+1.56797340E+00,0.0062940808,1.3840744797371302e-08,4.930871921182266e-05
56,-3.15926000E-05,1559284819.33,+1.56796220E+00,0.0063757823000000005,1.392026286966046e-08,4.930820689655172e-05
57,-3.04648000E-05,1559284819.5383332,+1.56774280E+00,0.0073669059,1.4476998904709749e-08,4.930846305418719e-05
58,-3.37081000E-05,1559284819.7466667,+1.56774650E+00,0.007367125800000001,1.4437897042716318e-08,4.930948768472906e-05
59,-3.37015000E-05,1559284819.955,+1.56775150E+00,0.0073672292,1.444370208105148e-08,4.931435467980295e-05
60,-3.24734000E-05,1559284820.1633332,+1.56775640E+00,0.0073670682,1.4362760131434831e-08,4.9313073891625613e-05
61,-3.21600000E-05,1559284820.3716667,+1.56775640E+00,0.0073670394,1.4455312157721796e-08,4.9314866995073894e-05
62,-3.03847000E-05,1559284820.58,+1.56782460E+00,0.0073149503,1.4325082146768895e-08,4.9311793103448275e-05
