,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),SQUID_Curr(A)
0,-3.03513000E-05,1559281266.045,+1.57115400E+00,4.77251e-05,4.965179310344828e-05
1,-3.03247000E-05,1559281266.2533333,+1.57115270E+00,4.76047e-05,4.9647438423645316e-05
2,-3.04447000E-05,1559281266.4616668,+1.57115030E+00,4.76125e-05,4.9650128078817735e-05
3,-3.04447000E-05,1559281266.67,+1.57115270E+00,4.76361e-05,4.96492315270936e-05
4,-3.04515000E-05,1559281266.8783333,+1.57114900E+00,4.76164e-05,4.965128078817734e-05
5,-3.03580000E-05,1559281267.0866668,+1.57091100E+00,0.0011240272000000002,4.965281773399015e-05
6,-3.04514000E-05,1559281267.295,+1.57090110E+00,0.001123361,4.965140886699507e-05
7,-3.09854000E-05,1559281267.5033333,+1.57090240E+00,0.0011231974,4.9657684729064046e-05
8,-3.09318000E-05,1559281267.7116668,+1.57090240E+00,0.0011231974,4.9652433497536944e-05
9,-3.08918000E-05,1559281267.92,+1.57090730E+00,0.001123039,4.9646798029556654e-05
10,-3.07384000E-05,1559281268.1283333,+1.57090730E+00,0.0011231503,4.9652945812807886e-05
11,-3.07384000E-05,1559281268.3366668,+1.57085150E+00,0.0021616937,4.9652433497536944e-05
12,-3.07184000E-05,1559281268.545,+1.57085400E+00,0.0021616388,4.965333004926108e-05
13,-3.06984000E-05,1559281268.7533333,+1.57085280E+00,0.0021622238,4.964590147783252e-05
14,-3.07051000E-05,1559281268.9616668,+1.57085280E+00,0.0021620013,4.9649487684729065e-05
15,-3.05983000E-05,1559281269.17,+1.57085770E+00,0.0021615393,4.9648206896551726e-05
16,-3.06117000E-05,1559281269.3783333,+1.57085650E+00,0.0021614791,4.965166502463054e-05
17,-3.09386000E-05,1559281269.5866668,+1.57085650E+00,0.0021616414,4.9650512315270936e-05
18,-3.08318000E-05,1559281269.795,+1.57085400E+00,0.0021622631,4.96492315270936e-05
19,-3.07184000E-05,1559281270.0033333,+1.57085280E+00,0.0021620615,4.9649487684729065e-05
20,-3.07450000E-05,1559281270.2116668,+1.57085770E+00,0.0021612932,4.965e-05
21,-3.07250000E-05,1559281270.42,+1.57085530E+00,0.0021619136,4.965204926108374e-05
22,-3.06316000E-05,1559281270.6283333,+1.57085650E+00,0.002162517,4.965128078817734e-05
23,-3.06849000E-05,1559281270.8366668,+1.57085770E+00,0.0021621296000000003,4.9649487684729065e-05
24,-3.07517000E-05,1559281271.045,+1.57085150E+00,0.0021616309,4.96507684729064e-05
25,-3.09051000E-05,1559281274.926,+1.57085030E+00,0.0021945275,4.965128078817734e-05
26,-3.13056000E-05,1559281275.1343334,+1.57044000E+00,0.0033816369,4.9648206896551726e-05
27,-3.15326000E-05,1559281275.3426669,+1.57035570E+00,0.0034352296999999995,4.964666995073891e-05
28,-3.16326000E-05,1559281275.551,+1.57032600E+00,0.0034513645000000003,4.965102463054187e-05
29,-3.17127000E-05,1559281275.7593334,+1.57033340E+00,0.0034477952,4.9649743842364526e-05
30,-3.16594000E-05,1559281275.9676669,+1.57032470E+00,0.0034544143,4.964590147783252e-05
31,-3.17527000E-05,1559281276.176,+1.57029370E+00,0.0036058922,4.965e-05
32,-3.17261000E-05,1559281276.3843334,+1.57010290E+00,0.0045873101,4.9649743842364526e-05
33,-3.18662000E-05,1559281276.5926669,+1.57010660E+00,0.0045831229,4.9647182266009856e-05
34,-3.17260000E-05,1559281276.801,+1.57010530E+00,0.0045826714,4.9647822660098525e-05
35,-3.17194000E-05,1559281277.0093334,+1.57011030E+00,0.0045800078,4.9647438423645316e-05
36,-3.20330000E-05,1559281277.2176669,+1.57010660E+00,0.0045863507,4.9647438423645316e-05
37,-3.22133000E-05,1559281277.426,+1.57011030E+00,0.0048303314,4.964833497536946e-05
38,-3.20131000E-05,1559281277.6343334,+1.57012890E+00,0.005585502,4.9648206896551726e-05
39,-3.20531000E-05,1559281277.8426669,+1.57013260E+00,0.0055815229,4.964935960591133e-05
40,-3.19730000E-05,1559281278.051,+1.57013010E+00,0.0055834366,4.9646413793103446e-05
41,-3.20264000E-05,1559281278.2593334,+1.57013260E+00,0.005581405100000001,4.964897536945813e-05
42,-3.21398000E-05,1559281278.4676669,+1.57013140E+00,0.005580498099999999,4.964897536945813e-05
43,-3.21399000E-05,1559281278.676,+1.57012890E+00,0.0055809837,4.964577339901478e-05
44,-3.21199000E-05,1559281278.8843334,+1.57012640E+00,0.0055799339,4.964513300492611e-05
45,-3.22000000E-05,1559281279.0926669,+1.57012390E+00,0.005580875,4.9647694581280784e-05
46,-3.21599000E-05,1559281279.301,+1.57012890E+00,0.0055764379,4.964513300492611e-05
47,-3.22199000E-05,1559281279.5093334,+1.57013010E+00,0.005575710100000001,4.965e-05
48,-3.21332000E-05,1559281279.7176669,+1.57013380E+00,0.005570769,4.964961576354679e-05
49,-3.21065000E-05,1559281279.926,+1.57012770E+00,0.0055735557,4.964846305418719e-05
50,-3.16059000E-05,1559281283.505,+1.57019710E+00,0.0056744654,4.965025615763547e-05
51,-3.08451000E-05,1559281283.7133334,+1.57077340E+00,0.0062739824,4.965102463054187e-05
52,-3.06716000E-05,1559281283.9216669,+1.57076970E+00,0.006277303100000001,4.964731034482758e-05
53,-3.05648000E-05,1559281284.13,+1.57072880E+00,0.006296837299999999,4.964692610837439e-05
54,-3.09253000E-05,1559281284.3383334,+1.57074250E+00,0.0062914892,4.9648847290640396e-05
55,-3.09053000E-05,1559281284.5466669,+1.57073750E+00,0.006295498300000001,4.964590147783252e-05
56,-3.10453000E-05,1559281284.755,+1.57077340E+00,0.0065168885,4.965204926108374e-05
57,-3.07651000E-05,1559281284.9633334,+1.57074250E+00,0.007282298500000001,4.9648847290640396e-05
58,-3.08584000E-05,1559281285.1716669,+1.57074740E+00,0.0072820995,4.964795073891626e-05
59,-3.09986000E-05,1559281285.38,+1.57074490E+00,0.0072820524,4.964987192118227e-05
60,-3.07451000E-05,1559281285.5883334,+1.57074490E+00,0.0072821833,4.965025615763547e-05
61,-3.09652000E-05,1559281285.7966669,+1.57074370E+00,0.0072821859,4.964833497536946e-05
62,-3.06316000E-05,1559281286.005,+1.57074120E+00,0.0073727292,4.964846305418719e-05
63,-3.06917000E-05,1559281286.2133334,+1.57070900E+00,0.00831877,4.9647822660098525e-05
64,-3.07651000E-05,1559281286.4216669,+1.57071270E+00,0.008318355099999999,4.9648206896551726e-05
65,-3.07985000E-05,1559281286.63,+1.57071390E+00,0.008318271300000001,4.965153694581281e-05
66,-3.08318000E-05,1559281286.8383334,+1.57071150E+00,0.0083179441,4.964628571428571e-05
67,-3.07852000E-05,1559281287.0466669,+1.57071270E+00,0.008317894400000001,4.9648719211822655e-05
68,-3.05982000E-05,1559281287.255,+1.57071520E+00,0.0083177478,4.965192118226601e-05
69,-3.07384000E-05,1559281287.4633334,+1.57071770E+00,0.0083178158,4.96492315270936e-05
70,-3.08252000E-05,1559281287.6716669,+1.57071390E+00,0.0083178839,4.96507684729064e-05
71,-3.08184000E-05,1559281287.88,+1.57071520E+00,0.0083179899,4.96503842364532e-05
72,-3.08186000E-05,1559281288.0883334,+1.57071520E+00,0.0083180331,4.9649743842364526e-05
73,-3.07118000E-05,1559281288.2966669,+1.57071390E+00,0.008318198,4.9648206896551726e-05
74,-3.07051000E-05,1559281288.505,+1.57071520E+00,0.0083177635,4.964795073891626e-05
75,-3.06383000E-05,1559281292.104,+1.57071390E+00,0.0084418276,4.96507684729064e-05
76,-3.07250000E-05,1559281292.3123333,+1.57070650E+00,0.0093445278,4.964961576354679e-05
77,-3.06650000E-05,1559281292.5206668,+1.57070780E+00,0.009344603699999999,4.964590147783252e-05
78,-3.06517000E-05,1559281292.729,+1.57070400E+00,0.009344670400000001,4.964731034482758e-05
79,-3.06651000E-05,1559281292.9373333,+1.57070900E+00,0.0093445736,4.96503842364532e-05
80,-3.06517000E-05,1559281293.1456668,+1.57070400E+00,0.0093445775,4.9649487684729065e-05
81,-3.05248000E-05,1559281293.354,+1.57070650E+00,0.009584271299999999,4.964897536945813e-05
82,-3.07049000E-05,1559281293.5623333,+1.57071150E+00,0.010371197,4.964795073891626e-05
83,-3.07183000E-05,1559281293.7706668,+1.57071020E+00,0.010371136999999999,4.965064039408867e-05
84,-3.05248000E-05,1559281293.979,+1.57070900E+00,0.010371213,4.9646798029556654e-05
85,-3.05582000E-05,1559281294.1873333,+1.57070900E+00,0.0103714,4.9653842364532024e-05
86,-3.06784000E-05,1559281294.3956668,+1.57071020E+00,0.010371405,4.964628571428571e-05
87,-3.06984000E-05,1559281294.604,+1.57071020E+00,0.010727759,4.9647438423645316e-05
88,-3.06183000E-05,1559281294.8123333,+1.57071390E+00,0.011399066,4.96492315270936e-05
89,-3.06183000E-05,1559281295.0206668,+1.57071770E+00,0.011399303,4.9649487684729065e-05
90,-3.05516000E-05,1559281295.229,+1.57071640E+00,0.011399344,4.96492315270936e-05
91,-3.06517000E-05,1559281295.4373333,+1.57071270E+00,0.011399501,4.9648847290640396e-05
92,-3.06116000E-05,1559281295.6456668,+1.57071770E+00,0.011399598,4.965179310344828e-05
93,-3.06651000E-05,1559281295.854,+1.57071890E+00,0.011399549,4.9650512315270936e-05
94,-3.06582000E-05,1559281296.0623333,+1.57072010E+00,0.011399407,4.964987192118227e-05
95,-3.07451000E-05,1559281296.2706668,+1.57072010E+00,0.011399321,4.964795073891626e-05
96,-3.07584000E-05,1559281296.479,+1.57071390E+00,0.011399477,4.964897536945813e-05
97,-3.06716000E-05,1559281296.6873333,+1.57071520E+00,0.011399361,4.9648206896551726e-05
98,-3.07852000E-05,1559281296.8956668,+1.57071890E+00,0.011399550999999999,4.9650512315270936e-05
99,-3.05916000E-05,1559281297.104,+1.57071770E+00,0.011399487,4.96435960591133e-05
100,-3.06717000E-05,1559281300.705,+1.57071640E+00,0.011512726,4.964833497536946e-05
101,-3.07451000E-05,1559281300.9133332,+1.57072390E+00,0.012420266000000001,4.965128078817734e-05
102,-3.07184000E-05,1559281301.1216667,+1.57071890E+00,0.012420449,4.964795073891626e-05
103,-3.07584000E-05,1559281301.33,+1.57072510E+00,0.012420528,4.9648206896551726e-05
104,-3.06784000E-05,1559281301.5383332,+1.57072140E+00,0.012420397,4.965153694581281e-05
105,-3.08252000E-05,1559281301.7466667,+1.57072390E+00,0.012420449,4.964961576354679e-05
106,-3.06650000E-05,1559281301.955,+1.57072510E+00,0.012897200000000001,4.965153694581281e-05
107,-3.06850000E-05,1559281302.1633332,+1.57073010E+00,0.013443568999999999,4.965025615763547e-05
108,-3.07784000E-05,1559281302.3716667,+1.57072880E+00,0.013443988,4.964897536945813e-05
109,-3.08452000E-05,1559281302.58,+1.57072880E+00,0.013443988,4.9649103448275864e-05
110,-3.06382000E-05,1559281302.7883332,+1.57073130E+00,0.013444119,4.964705418719212e-05
111,-3.06850000E-05,1559281302.9966667,+1.57072880E+00,0.013444119,4.96503842364532e-05
112,-3.06516000E-05,1559281303.205,+1.57073130E+00,0.014035674000000001,4.964897536945813e-05
113,-3.07383000E-05,1559281303.4133332,+1.57073630E+00,0.014468024,4.9647822660098525e-05
