,MAG_CURR(A),timestamp
0,-0.011,1559701772.9
1,-0.01,1559701773.007
2,-0.01,1559701773.126
3,-0.002,1559701773.247
4,0.016,1559701773.354
5,0.045,1559701773.473
6,0.074,1559701773.594
7,0.115,1559701773.715
8,0.159,1559701773.822
9,0.201,1559701773.943
10,0.236,1559701774.063
11,0.294,1559701774.219
12,0.333,1559701774.339
13,0.364,1559701774.46
14,0.4,1559701774.581
15,0.439,1559701774.688
16,0.475,1559701774.809
17,0.505,1559701774.93
18,0.542,1559701775.037
19,0.579,1559701775.155
20,0.608,1559701775.276
21,0.644,1559701775.383
22,0.681,1559701775.502
23,0.711,1559701775.623
24,0.749,1559701775.729
25,0.786,1559701775.848
26,0.831,1559701776.0
27,0.868,1559701776.121
28,0.898,1559701776.242
29,0.934,1559701776.363
30,0.972,1559701776.47
31,1.009,1559701776.591
32,1.039,1559701776.712
33,1.075,1559701776.833
34,1.113,1559701776.94
35,1.15,1559701777.061
36,1.179,1559701777.182
37,1.216,1559701777.289
38,1.253,1559701777.408
39,1.283,1559701777.528
40,1.32,1559701777.634
41,1.365,1559701777.778
42,1.395,1559701777.899
43,1.433,1559701778.005
44,1.468,1559701778.123
45,1.493,1559701778.242
46,1.516,1559701778.349
47,1.499,1559701780.085
48,1.5,1559701780.232
49,1.499,1559701780.303
50,1.494,1559701780.403
51,1.482,1559701780.502
52,1.463,1559701780.601
53,1.437,1559701780.699
54,1.406,1559701780.799
55,1.375,1559701780.897
56,1.339,1559701780.997
57,1.304,1559701781.097
58,1.271,1559701781.198
59,1.237,1559701781.298
60,1.204,1559701781.413
61,1.172,1559701781.513
62,1.126,1559701781.642
63,1.103,1559701781.714
64,1.073,1559701781.813
65,1.043,1559701781.912
66,1.014,1559701782.011
67,0.985,1559701782.111
68,0.955,1559701782.209
69,0.925,1559701782.308
70,0.897,1559701782.407
71,0.868,1559701782.506
72,0.837,1559701782.606
73,0.807,1559701782.706
74,0.778,1559701782.807
75,0.749,1559701782.922
76,0.711,1559701783.026
77,0.689,1559701783.123
78,0.651,1559701783.223
79,0.62,1559701783.323
80,0.591,1559701783.422
81,0.563,1559701783.521
82,0.534,1559701783.62
83,0.504,1559701783.719
84,0.474,1559701783.818
85,0.444,1559701783.937
86,0.414,1559701784.015
87,0.384,1559701784.115
88,0.353,1559701784.215
89,0.324,1559701784.316
90,0.294,1559701784.416
91,0.264,1559701784.531
92,0.234,1559701784.631
93,0.198,1559701784.732
94,0.168,1559701784.854
95,0.138,1559701784.932
96,0.109,1559701785.031
97,0.079,1559701785.128
98,0.049,1559701785.227
99,0.022,1559701785.326
100,-0.001,1559701785.425
