,MAG_CURR(A),timestamp
0,0.0,1559718442.377
1,-0.001,1559718442.484
2,0.002,1559718442.603
3,0.009,1559718442.725
4,0.026,1559718442.846
5,0.056,1559718442.953
6,0.1,1559718443.099
7,0.133,1559718443.22
8,0.177,1559718443.341
9,0.22,1559718443.448
10,0.263,1559718443.568
11,0.296,1559718443.689
12,0.336,1559718443.796
13,0.374,1559718443.915
14,0.403,1559718444.036
15,0.441,1559718444.157
16,0.478,1559718444.264
17,0.515,1559718444.385
18,0.544,1559718444.506
19,0.582,1559718444.627
20,0.618,1559718444.734
21,0.656,1559718444.855
22,0.685,1559718444.976
23,0.722,1559718445.083
24,0.759,1559718445.201
25,0.789,1559718445.322
26,0.827,1559718445.429
27,0.862,1559718445.548
28,0.892,1559718445.669
29,0.936,1559718445.801
30,0.974,1559718445.919
31,1.004,1559718446.039
32,1.041,1559718446.147
33,1.079,1559718446.266
34,1.108,1559718446.387
35,1.146,1559718446.493
36,1.182,1559718446.612
37,1.212,1559718446.733
38,1.249,1559718446.84
39,1.287,1559718446.959
40,1.316,1559718447.08
41,1.352,1559718447.187
42,1.391,1559718447.305
43,1.42,1559718447.425
44,1.457,1559718447.531
45,1.491,1559718447.65
46,1.51,1559718447.769
47,1.5,1559718451.118
48,1.5,1559718451.27
49,1.499,1559718451.34
50,1.494,1559718451.44
51,1.482,1559718451.539
52,1.462,1559718451.638
53,1.437,1559718451.738
54,1.406,1559718451.836
55,1.374,1559718451.935
56,1.34,1559718452.034
57,1.305,1559718452.132
58,1.27,1559718452.232
59,1.237,1559718452.331
60,1.204,1559718452.432
61,1.172,1559718452.533
62,1.142,1559718452.647
63,1.11,1559718452.748
64,1.08,1559718452.848
65,1.044,1559718452.949
66,1.015,1559718453.048
67,0.985,1559718453.148
68,0.956,1559718453.247
69,0.926,1559718453.345
70,0.896,1559718453.444
71,0.867,1559718453.566
72,0.838,1559718453.642
73,0.808,1559718453.741
74,0.777,1559718453.84
75,0.747,1559718453.941
76,0.718,1559718454.041
77,0.689,1559718454.142
78,0.658,1559718454.256
79,0.628,1559718454.357
80,0.593,1559718454.46
81,0.563,1559718454.559
82,0.532,1559718454.657
83,0.502,1559718454.756
84,0.473,1559718454.855
85,0.443,1559718454.954
86,0.413,1559718455.053
87,0.383,1559718455.152
88,0.354,1559718455.251
89,0.318,1559718455.395
90,0.295,1559718455.449
91,0.265,1559718455.55
92,0.235,1559718455.65
93,0.205,1559718455.751
94,0.176,1559718455.865
95,0.147,1559718455.966
96,0.109,1559718456.067
97,0.079,1559718456.165
98,0.049,1559718456.286
99,0.022,1559718456.363
100,0.0,1559718456.461
