,MAG_CURR(A),timestamp
0,-0.001,1559714125.783
1,-0.001,1559714125.889
2,0.002,1559714126.008
3,0.007,1559714126.128
4,0.017,1559714126.235
5,0.038,1559714126.354
6,0.058,1559714126.475
7,0.083,1559714126.582
8,0.111,1559714126.701
9,0.135,1559714126.821
10,0.165,1559714126.928
11,0.191,1559714127.047
12,0.212,1559714127.168
13,0.239,1559714127.275
14,0.265,1559714127.394
15,0.285,1559714127.515
16,0.309,1559714127.636
17,0.334,1559714127.743
18,0.357,1559714127.864
19,0.377,1559714127.985
20,0.412,1559714128.139
21,0.436,1559714128.259
22,0.457,1559714128.38
23,0.481,1559714128.487
24,0.506,1559714128.607
25,0.527,1559714128.727
26,0.551,1559714128.834
27,0.576,1559714128.953
28,0.595,1559714129.074
29,0.62,1559714129.181
30,0.644,1559714129.298
31,0.663,1559714129.418
32,0.688,1559714129.525
33,0.705,1559714129.645
34,0.699,1559714131.702
35,0.699,1559714131.822
36,0.701,1559714131.926
37,0.696,1559714132.023
38,0.688,1559714132.122
39,0.675,1559714132.221
40,0.657,1559714132.32
41,0.638,1559714132.419
42,0.616,1559714132.518
43,0.592,1559714132.617
44,0.57,1559714132.716
45,0.536,1559714132.865
46,0.524,1559714132.914
47,0.503,1559714133.015
48,0.482,1559714133.116
49,0.461,1559714133.216
50,0.435,1559714133.335
51,0.421,1559714133.432
52,0.395,1559714133.532
53,0.375,1559714133.632
54,0.356,1559714133.731
55,0.337,1559714133.83
56,0.317,1559714133.929
57,0.297,1559714134.027
58,0.278,1559714134.127
59,0.248,1559714134.276
60,0.238,1559714134.325
61,0.218,1559714134.424
62,0.198,1559714134.524
63,0.179,1559714134.624
64,0.155,1559714134.744
65,0.14,1559714134.84
66,0.119,1559714134.94
67,0.099,1559714135.041
68,0.065,1559714135.191
69,0.054,1559714135.239
70,0.035,1559714135.338
71,0.017,1559714135.437
72,0.0,1559714135.535
