,MAG_CURR(A),timestamp
0,0.0,1559703258.901
1,-0.001,1559703259.022
2,0.0,1559703259.129
3,0.001,1559703259.249
4,0.001,1559703259.37
5,0.003,1559703259.477
6,0.008,1559703259.596
7,0.009,1559703259.717
8,0.012,1559703259.874
9,0.015,1559703259.993
10,0.017,1559703260.113
11,0.02,1559703260.22
12,0.022,1559703260.339
13,0.025,1559703260.46
14,0.029,1559703260.567
15,0.03,1559703260.686
16,0.031,1559703260.807
17,0.033,1559703260.928
18,0.036,1559703261.035
19,0.04,1559703261.182
20,0.042,1559703261.303
21,0.044,1559703261.424
22,0.046,1559703261.531
23,0.049,1559703261.651
24,0.052,1559703261.772
25,0.054,1559703261.893
26,0.056,1559703262.0
27,0.058,1559703262.121
28,0.06,1559703262.242
29,0.063,1559703262.349
30,0.065,1559703262.493
31,0.069,1559703262.615
32,0.071,1559703262.736
33,0.072,1559703262.843
34,0.075,1559703262.962
35,0.077,1559703263.083
36,0.08,1559703263.19
37,0.083,1559703263.309
38,0.084,1559703263.429
39,0.086,1559703263.536
40,0.088,1559703263.656
41,0.091,1559703263.776
42,0.094,1559703263.883
43,0.096,1559703264.0
44,0.1,1559703266.126
45,0.1,1559703266.28
46,0.1,1559703266.333
47,0.099,1559703266.447
48,0.098,1559703266.548
49,0.097,1559703266.649
50,0.096,1559703266.749
51,0.094,1559703266.849
52,0.092,1559703266.947
53,0.088,1559703267.046
54,0.085,1559703267.145
55,0.083,1559703267.244
56,0.081,1559703267.343
57,0.079,1559703267.442
58,0.077,1559703267.541
59,0.076,1559703267.667
60,0.074,1559703267.74
61,0.072,1559703267.841
62,0.069,1559703267.942
63,0.067,1559703268.057
64,0.065,1559703268.157
65,0.062,1559703268.258
66,0.06,1559703268.358
67,0.058,1559703268.457
68,0.056,1559703268.577
69,0.054,1559703268.655
70,0.053,1559703268.754
71,0.052,1559703268.853
72,0.05,1559703268.952
73,0.048,1559703269.051
74,0.046,1559703269.15
75,0.044,1559703269.249
76,0.041,1559703269.35
77,0.038,1559703269.473
78,0.036,1559703269.55
79,0.035,1559703269.666
80,0.034,1559703269.766
81,0.032,1559703269.867
82,0.029,1559703269.967
83,0.028,1559703270.066
84,0.026,1559703270.165
85,0.023,1559703270.264
86,0.02,1559703270.407
87,0.018,1559703270.461
88,0.016,1559703270.561
89,0.014,1559703270.66
90,0.012,1559703270.759
91,0.01,1559703270.859
92,0.009,1559703270.959
93,0.007,1559703271.06
94,0.006,1559703271.173
95,0.002,1559703271.299
