,MAG_CURR(A),timestamp
0,0.0,1559713280.677
1,0.0,1559713280.8
2,0.0,1559713280.906
3,0.002,1559713281.024
4,0.005,1559713281.145
5,0.009,1559713281.266
6,0.015,1559713281.373
7,0.021,1559713281.494
8,0.027,1559713281.615
9,0.036,1559713281.722
10,0.042,1559713281.841
11,0.049,1559713281.962
12,0.055,1559713282.083
13,0.061,1559713282.19
14,0.066,1559713282.311
15,0.071,1559713282.432
16,0.079,1559713282.539
17,0.084,1559713282.658
18,0.09,1559713282.779
19,0.096,1559713282.9
20,0.102,1559713283.007
21,0.108,1559713283.127
22,0.112,1559713283.248
23,0.12,1559713283.355
24,0.128,1559713283.525
25,0.132,1559713283.646
26,0.137,1559713283.767
27,0.146,1559713283.874
28,0.152,1559713283.994
29,0.156,1559713284.115
30,0.163,1559713284.222
31,0.169,1559713284.341
32,0.173,1559713284.462
33,0.18,1559713284.583
34,0.186,1559713284.69
35,0.191,1559713284.81
36,0.196,1559713284.931
37,0.204,1559713285.038
38,0.209,1559713285.157
39,0.216,1559713285.306
40,0.221,1559713285.427
41,0.228,1559713285.548
42,0.234,1559713285.655
43,0.24,1559713285.776
44,0.245,1559713285.898
45,0.252,1559713286.019
46,0.258,1559713286.126
47,0.264,1559713286.247
48,0.269,1559713286.367
49,0.275,1559713286.474
50,0.28,1559713286.592
51,0.285,1559713286.712
52,0.293,1559713286.819
53,0.298,1559713286.938
54,0.3,1559713289.169
55,0.3,1559713289.289
56,0.3,1559713289.389
57,0.298,1559713289.489
58,0.296,1559713289.588
59,0.293,1559713289.687
60,0.29,1559713289.786
61,0.285,1559713289.885
62,0.28,1559713290.006
63,0.274,1559713290.083
64,0.268,1559713290.182
65,0.263,1559713290.281
66,0.257,1559713290.382
67,0.25,1559713290.482
68,0.244,1559713290.597
69,0.24,1559713290.697
70,0.235,1559713290.798
71,0.228,1559713290.947
72,0.225,1559713290.998
73,0.22,1559713291.097
74,0.215,1559713291.197
75,0.209,1559713291.296
76,0.204,1559713291.395
77,0.199,1559713291.494
78,0.194,1559713291.594
79,0.189,1559713291.692
80,0.184,1559713291.838
81,0.18,1559713291.89
82,0.175,1559713291.991
83,0.169,1559713292.091
84,0.165,1559713292.192
85,0.159,1559713292.307
86,0.155,1559713292.407
87,0.149,1559713292.508
88,0.143,1559713292.608
89,0.137,1559713292.732
90,0.133,1559713292.806
91,0.128,1559713292.905
92,0.123,1559713293.004
93,0.119,1559713293.103
94,0.115,1559713293.202
95,0.109,1559713293.301
96,0.104,1559713293.399
97,0.1,1559713293.499
98,0.092,1559713293.648
99,0.089,1559713293.701
100,0.084,1559713293.801
101,0.08,1559713293.916
102,0.075,1559713294.016
103,0.069,1559713294.119
104,0.063,1559713294.216
105,0.058,1559713294.316
106,0.053,1559713294.415
107,0.048,1559713294.514
108,0.044,1559713294.612
109,0.038,1559713294.711
110,0.034,1559713294.811
111,0.029,1559713294.91
112,0.023,1559713295.013
113,0.018,1559713295.109
114,0.013,1559713295.209
115,0.009,1559713295.31
116,0.004,1559713295.422
