,MAG_CURR(A),timestamp
0,0.0,1559715814.364
1,0.001,1559715814.47
2,0.002,1559715814.59
3,0.008,1559715814.71
4,0.027,1559715814.817
5,0.057,1559715814.936
6,0.086,1559715815.057
7,0.125,1559715815.164
8,0.169,1559715815.283
9,0.203,1559715815.404
10,0.245,1559715815.51
11,0.288,1559715815.629
12,0.32,1559715815.75
13,0.359,1559715815.857
14,0.396,1559715815.976
15,0.426,1559715816.097
16,0.463,1559715816.218
17,0.5,1559715816.325
18,0.538,1559715816.446
19,0.568,1559715816.567
20,0.618,1559715816.738
21,0.655,1559715816.845
22,0.692,1559715816.966
23,0.722,1559715817.087
24,0.76,1559715817.208
25,0.797,1559715817.315
26,0.825,1559715817.435
27,0.864,1559715817.555
28,0.9,1559715817.662
29,0.938,1559715817.783
30,0.968,1559715817.904
31,1.004,1559715818.01
32,1.041,1559715818.129
33,1.071,1559715818.25
34,1.109,1559715818.357
35,1.144,1559715818.475
36,1.174,1559715818.596
37,1.212,1559715818.703
38,1.249,1559715818.82
39,1.283,1559715818.965
40,1.31,1559715819.072
41,1.298,1559715820.477
42,1.298,1559715820.605
43,1.297,1559715820.699
44,1.293,1559715820.799
45,1.278,1559715820.9
46,1.256,1559715821.0
47,1.23,1559715821.099
48,1.199,1559715821.198
49,1.166,1559715821.297
50,1.132,1559715821.396
51,1.087,1559715821.521
52,1.061,1559715821.594
53,1.028,1559715821.693
54,0.996,1559715821.792
55,0.964,1559715821.892
56,0.934,1559715821.992
57,0.903,1559715822.093
58,0.874,1559715822.193
59,0.844,1559715822.308
60,0.798,1559715822.457
61,0.776,1559715822.509
62,0.746,1559715822.609
63,0.718,1559715822.708
64,0.69,1559715822.807
65,0.66,1559715822.906
66,0.63,1559715823.005
67,0.601,1559715823.104
68,0.571,1559715823.203
69,0.532,1559715823.347
70,0.511,1559715823.401
71,0.48,1559715823.501
72,0.451,1559715823.601
73,0.423,1559715823.702
74,0.393,1559715823.817
75,0.362,1559715823.917
76,0.325,1559715824.018
77,0.296,1559715824.118
78,0.251,1559715824.267
79,0.236,1559715824.317
80,0.206,1559715824.416
81,0.176,1559715824.514
82,0.147,1559715824.613
83,0.11,1559715824.737
84,0.087,1559715824.811
85,0.058,1559715824.909
86,0.029,1559715825.01
87,0.004,1559715825.11
