,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.62791000E-05,1559293784.01,+1.57709530E+00,,2.204437239868565e-05,5.1460778325123155e-05
1,+4.62497300E-05,1559293784.2183332,+1.57707550E+00,,2.204845235487404e-05,5.146090640394089e-05
2,+4.62584000E-05,1559293784.4266667,+1.57705570E+00,,2.205383351588171e-05,5.145988177339902e-05
3,+4.62684200E-05,1559293784.635,+1.57702720E+00,,2.2056740416210297e-05,5.14571921182266e-05
4,+4.61275100E-05,1559293784.8433332,+1.57699620E+00,,2.2057926615553123e-05,5.14632118226601e-05
5,+4.62911200E-05,1559293785.0516667,+1.57697390E+00,,2.205821577217963e-05,5.145770443349754e-05
6,+4.61695900E-05,1559293785.26,+1.57695150E+00,,2.2058707557502736e-05,5.1455527093596066e-05
7,+4.66544300E-05,1559293785.4683332,+1.57692430E+00,,2.2060039430449068e-05,5.145885714285715e-05
8,+4.61328500E-05,1559293785.6766667,+1.57690940E+00,,2.2061326396495072e-05,5.146218719211823e-05
9,+4.61014600E-05,1559293785.885,+1.57687960E+00,,2.2062209200438117e-05,5.145847290640394e-05
10,+4.60654100E-05,1559293786.0933332,+1.57685360E+00,,2.206325082146769e-05,5.145885714285715e-05
11,+4.61401900E-05,1559293786.3016667,+1.57682760E+00,,2.2063626506024097e-05,5.14632118226601e-05
12,+4.62049700E-05,1559293786.51,+1.57680030E+00,,2.2064407447973714e-05,5.145949753694581e-05
13,+4.61976400E-05,1559293786.7183332,+1.57678050E+00,,2.206489923329682e-05,5.14632118226601e-05
14,+4.60326800E-05,1559293786.9266667,+1.57675200E+00,,2.206515991237678e-05,5.146026600985221e-05
15,+4.59739100E-05,1559293787.135,+1.57672840E+00,,2.2065665936473164e-05,5.146295566502463e-05
16,+4.60393500E-05,1559293787.3433332,+1.57671110E+00,,2.2065854326396495e-05,5.145872906403941e-05
17,+4.58630600E-05,1559293787.5516667,+1.57668260E+00,,2.2065824753559694e-05,5.145860098522168e-05
