,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.62477100E-05,1559291421.549,+1.57711140E+00,,2.2159924424972618e-05,5.161566502463054e-05
1,+4.62824300E-05,1559291421.7573333,+1.57709780E+00,,2.2161110624315443e-05,5.161464039408867e-05
2,+4.62503700E-05,1559291421.9656668,+1.57708050E+00,,2.2162180722891566e-05,5.1618610837438424e-05
3,+4.62410300E-05,1559291422.174,+1.57705440E+00,,2.2162614457831325e-05,5.1614256157635465e-05
4,+4.62824400E-05,1559291422.3823333,+1.57703090E+00,,2.2163048192771084e-05,5.161681773399014e-05
5,+4.62537100E-05,1559291422.5906668,+1.57700860E+00,,2.216336692223439e-05,5.1618354679802956e-05
6,+4.63592400E-05,1559291422.799,+1.57698250E+00,,2.2163757940854327e-05,5.161771428571428e-05
7,+4.64814400E-05,1559291423.0073333,+1.57695770E+00,,2.2164322015334062e-05,5.1618866995073885e-05
8,+4.64013100E-05,1559291423.2156668,+1.57693910E+00,,2.216420591456736e-05,5.161694581280788e-05
9,+4.63719200E-05,1559291423.424,+1.57690940E+00,,2.2164697699890473e-05,5.161989162561577e-05
10,+4.63999800E-05,1559291423.6323333,+1.57688210E+00,,2.2164538882803943e-05,5.161335960591133e-05
11,+4.64013100E-05,1559291423.8406668,+1.57685490E+00,,2.2164856516977e-05,5.161643349753695e-05
12,+4.69389100E-05,1559291424.049,+1.57683630E+00,,2.216498685651698e-05,5.161015763546798e-05
13,+4.64968100E-05,1559291424.2573333,+1.57680900E+00,,2.2165088718510405e-05,5.161720197044335e-05
14,+4.68126900E-05,1559291424.4656668,+1.57677920E+00,,2.2165131434830232e-05,5.161925123152709e-05
15,+4.63632500E-05,1559291424.674,+1.57675570E+00,,2.2165233296823658e-05,5.161297536945813e-05
16,+4.64066500E-05,1559291424.8823333,+1.57672970E+00,,2.216550821467689e-05,5.161489655172414e-05
17,+4.66878100E-05,1559291425.0906668,+1.57671230E+00,,2.2165638554216867e-05,5.1615024630541875e-05
18,+4.65989800E-05,1559291425.299,+1.57668750E+00,,2.216584008762322e-05,5.161771428571428e-05
19,+4.65308700E-05,1559291425.5073333,+1.57666150E+00,,2.216586966046002e-05,5.1620275862068964e-05
20,+4.67278700E-05,1559291425.7156668,+1.57663550E+00,,2.2166086527929903e-05,5.162014778325123e-05
21,+4.65442200E-05,1559291425.924,+1.57661560E+00,,2.216594194961665e-05,5.161707389162562e-05
22,+4.70965200E-05,1559291426.1323333,+1.57658840E+00,,2.2165883899233298e-05,5.1613231527093594e-05
23,+4.64908000E-05,1559291426.3406668,+1.57656360E+00,,2.2165797371303397e-05,5.1618866995073885e-05
24,+4.64901200E-05,1559291426.549,+1.57654000E+00,,2.2166e-05,5.1614000000000004e-05
