,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.41661000E-05,1559292926.363,+1.57096060E+00,,2.2088840087623218e-05,5.1508561576354675e-05
1,+4.34208000E-05,1559292926.5713332,+1.57096060E+00,,2.2092167579408545e-05,5.150548768472906e-05
2,+4.36806000E-05,1559292926.7796667,+1.57096190E+00,,2.2094596933187293e-05,5.149805911330049e-05
3,+4.38789400E-05,1559292926.988,+1.57096060E+00,,2.2096477546549837e-05,5.149639408866995e-05
4,+4.38642400E-05,1559292927.1963332,+1.57096310E+00,,2.2097823658269443e-05,5.1498187192118225e-05
5,+4.45895000E-05,1559292927.4046667,+1.57095940E+00,,2.2099009857612268e-05,5.150202955665025e-05
6,+4.47564500E-05,1559292927.613,+1.57095690E+00,,2.209994961664841e-05,5.150177339901478e-05
7,+4.44673000E-05,1559292927.8213332,+1.57095690E+00,,2.2100860898138007e-05,5.1500492610837435e-05
8,+4.46830000E-05,1559292928.0296667,+1.57095440E+00,,2.2101641840087623e-05,5.1499980295566506e-05
9,+4.45728100E-05,1559292928.238,+1.57095440E+00,,2.210242278203724e-05,5.150266995073891e-05
10,+4.42656000E-05,1559292928.4463332,+1.57095320E+00,,2.210294414019715e-05,5.150382266009852e-05
11,+4.44586000E-05,1559292928.6546667,+1.57095940E+00,,2.2103363636363637e-05,5.150100492610838e-05
12,+4.45200500E-05,1559292928.863,+1.57095810E+00,,2.2103783132530123e-05,5.1496650246305425e-05
13,+4.48553000E-05,1559292929.0713332,+1.57095810E+00,,2.210413033953998e-05,5.150484729064039e-05
14,+4.49488000E-05,1559292929.2796667,+1.57095440E+00,,2.2104564074479736e-05,5.150369458128078e-05
15,+4.50242600E-05,1559292929.488,+1.57095570E+00,,2.2105113910186198e-05,5.150382266009852e-05
16,+4.49681500E-05,1559292929.6963332,+1.57095940E+00,,2.2105489594742605e-05,5.150446305418719e-05
17,+4.47818400E-05,1559292929.9046667,+1.57095690E+00,,2.210572179627601e-05,5.1501261083743845e-05
18,+4.48493000E-05,1559292930.113,+1.57095940E+00,,2.2106083242059145e-05,5.1498571428571427e-05
19,+4.51030600E-05,1559292930.3213332,+1.57096430E+00,,2.21063439211391e-05,5.149741871921182e-05
20,+4.45674600E-05,1559292930.5296667,+1.57096560E+00,,2.2106733844468785e-05,5.149972413793104e-05
21,+4.43831500E-05,1559292930.738,+1.57096680E+00,,2.2106980284775464e-05,5.150023645320197e-05
22,+4.53241100E-05,1559292930.9463332,+1.57096810E+00,,2.2107225629791896e-05,5.1502541871921177e-05
23,+4.57341600E-05,1559292931.1546667,+1.57096560E+00,,2.210737020810515e-05,5.1501261083743845e-05
24,+4.57722200E-05,1559292931.363,+1.57096680E+00,,2.210786199342826e-05,5.150087684729064e-05
25,+4.54743700E-05,1559292935.383,+1.57096680E+00,,2.2108339539978096e-05,5.149972413793104e-05
26,+4.52379600E-05,1559292935.5913332,+1.57097180E+00,,2.210832530120482e-05,5.1501517241379306e-05
27,+4.53114300E-05,1559292935.7996666,+1.57096810E+00,,2.2108614457831325e-05,5.150100492610838e-05
28,+4.37126500E-05,1559292936.008,+1.57097050E+00,,2.2108628696604602e-05,5.150202955665025e-05
29,+4.49040500E-05,1559292936.2163332,+1.57096930E+00,,2.210903395399781e-05,5.149972413793104e-05
30,+4.46275600E-05,1559292936.4246666,+1.57097300E+00,,2.2109208105147865e-05,5.1497162561576354e-05
31,+4.57321600E-05,1559292936.633,+1.57097180E+00,,2.2109164293537787e-05,5.150279802955665e-05
32,+4.56760600E-05,1559292936.8413332,+1.57097800E+00,,2.2109539978094195e-05,5.1498955665024635e-05
33,+4.56934200E-05,1559292937.0496666,+1.57098170E+00,,2.210933734939759e-05,5.150074876847291e-05
34,+4.56947600E-05,1559292937.258,+1.57098420E+00,,2.2109887185104052e-05,5.150023645320197e-05
35,+4.59759100E-05,1559292937.4663332,+1.57099160E+00,,2.211000328587076e-05,5.1499980295566506e-05
36,+4.59051300E-05,1559292937.6746666,+1.57099040E+00,,2.2109858707557505e-05,5.150535960591133e-05
37,+4.59405200E-05,1559292937.883,+1.57099530E+00,,2.211011938663746e-05,5.150074876847291e-05
38,+4.52212700E-05,1559292938.0913332,+1.57099530E+00,,2.2110581599123767e-05,5.1499211822660096e-05
39,+4.55091000E-05,1559292938.2996666,+1.57100030E+00,,2.2110306681270535e-05,5.1496522167487685e-05
40,+4.55939200E-05,1559292938.508,+1.57099900E+00,,2.2110495071193865e-05,5.149985221674877e-05
41,+4.56860700E-05,1559292938.7163332,+1.57100150E+00,,2.211066812705367e-05,5.14995960591133e-05
42,+4.55852300E-05,1559292938.9246666,+1.57100520E+00,,2.2110856516976996e-05,5.150023645320197e-05
43,+4.50215900E-05,1559292939.133,+1.57100900E+00,,2.2111044906900327e-05,5.1499467980295564e-05
44,+4.54596800E-05,1559292939.3413332,+1.57101390E+00,,2.2110378970427163e-05,5.150100492610838e-05
45,+4.57889300E-05,1559292939.5496666,+1.57101760E+00,,2.2111073384446878e-05,5.150010837438424e-05
46,+4.55992500E-05,1559292939.758,+1.57101760E+00,,2.2111392113910185e-05,5.1498187192118225e-05
47,+4.55485000E-05,1559292939.9663332,+1.57102010E+00,,2.2111203723986857e-05,5.1496522167487685e-05
48,+4.53334700E-05,1559292940.1746666,+1.57102630E+00,,2.211168127053669e-05,5.149460098522167e-05
49,+4.54964100E-05,1559292940.383,+1.57102630E+00,,2.2111608981380066e-05,5.150164532019704e-05
50,+4.58951100E-05,1559292943.962,+1.57103130E+00,,2.21120569550931e-05,5.14988275862069e-05
51,+4.58269800E-05,1559292944.1703331,+1.57103500E+00,,2.211220153340635e-05,5.150087684729064e-05
52,+4.58069500E-05,1559292944.3786666,+1.57103870E+00,,2.211220153340635e-05,5.149869950738917e-05
53,+4.57675500E-05,1559292944.587,+1.57104490E+00,,2.2112289156626504e-05,5.149805911330049e-05
54,+4.54650300E-05,1559292944.7953331,+1.57104860E+00,,2.2112578313253013e-05,5.149626600985222e-05
55,+4.53207700E-05,1559292945.0036666,+1.57105230E+00,,2.2112693318729462e-05,5.1496650246305425e-05
56,+4.53000700E-05,1559292945.212,+1.57105980E+00,,2.211283899233297e-05,5.1497546798029556e-05
