,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.56386500E-05,1559291095.859,+1.57096680E+00,,2.216498685651698e-05,5.163500492610837e-05
1,+4.59158000E-05,1559291096.0673332,+1.57096310E+00,,2.2166086527929903e-05,5.163423645320197e-05
2,+4.59144500E-05,1559291096.2756667,+1.57096310E+00,,2.2166867469879516e-05,5.1630778325123155e-05
3,+4.59284800E-05,1559291096.484,+1.57096430E+00,,2.2167345016429353e-05,5.163218719211823e-05
4,+4.59772400E-05,1559291096.6923332,+1.57096430E+00,,2.2167648411829132e-05,5.163333990147783e-05
5,+4.59732300E-05,1559291096.9006667,+1.57096310E+00,,2.2167648411829132e-05,5.16339802955665e-05
6,+4.60059600E-05,1559291097.109,+1.57096060E+00,,2.2167677984665937e-05,5.1632443349753695e-05
7,+4.59799000E-05,1559291097.3173332,+1.57095940E+00,,2.2168300109529023e-05,5.1633467980295566e-05
8,+4.60981200E-05,1559291097.5256667,+1.57096060E+00,,2.2168430449069003e-05,5.163731034482758e-05
9,+4.61555400E-05,1559291097.734,+1.57095940E+00,,2.2168762322015333e-05,5.163295566502463e-05
10,+4.61602300E-05,1559291097.9423332,+1.57095940E+00,,2.216883461117196e-05,5.163551724137931e-05
11,+4.61822600E-05,1559291098.1506667,+1.57096190E+00,,2.2168864184008762e-05,5.163295566502463e-05
12,+4.61735800E-05,1559291098.359,+1.57096190E+00,,2.2169196056955092e-05,5.163654187192118e-05
13,+4.61835900E-05,1559291098.5673332,+1.57096560E+00,,2.216905147864184e-05,5.1636798029556653e-05
14,+4.61448700E-05,1559291098.7756667,+1.57096560E+00,,2.216923986856517e-05,5.1633467980295566e-05
15,+4.62036200E-05,1559291098.984,+1.57096430E+00,,2.216926944140197e-05,5.1632059113300494e-05
16,+4.62283400E-05,1559291099.1923332,+1.57096560E+00,,2.2169355969331872e-05,5.163449261083744e-05
17,+4.62644100E-05,1559291099.4006667,+1.57096930E+00,,2.2169470974808324e-05,5.1637438423645316e-05
18,+4.62664000E-05,1559291099.609,+1.57096810E+00,,2.2169283680175247e-05,5.1640128078817734e-05
19,+4.62503900E-05,1559291099.8173332,+1.57096930E+00,,2.2169500547645125e-05,5.1639871921182266e-05
20,+4.62684200E-05,1559291100.0256667,+1.57097180E+00,,2.2169934282584884e-05,5.1635389162561574e-05
21,+4.61441900E-05,1559291100.234,+1.57097420E+00,,2.2169876232201533e-05,5.163692610837439e-05
22,+4.61769200E-05,1559291100.4423332,+1.57097550E+00,,2.217016538882804e-05,5.163807881773399e-05
23,+4.61154700E-05,1559291100.6506667,+1.57097420E+00,,2.2169992332968236e-05,5.1636798029556653e-05
24,+4.61468700E-05,1559291100.859,+1.57097670E+00,,2.2170020810514786e-05,5.1634876847290645e-05
25,+4.59064500E-05,1559291104.657,+1.57097920E+00,,2.2170600219058052e-05,5.163551724137931e-05
26,+4.59118000E-05,1559291104.8653333,+1.57098170E+00,,2.2170455640744796e-05,5.163756650246305e-05
27,+4.59498600E-05,1559291105.0736668,+1.57098040E+00,,2.2170600219058052e-05,5.1634108374384235e-05
28,+4.59084600E-05,1559291105.282,+1.57098910E+00,,2.2170542168674698e-05,5.163193103448276e-05
29,+4.59572100E-05,1559291105.4903333,+1.57098660E+00,,2.2170744797371305e-05,5.163526108374384e-05
30,+4.59618800E-05,1559291105.6986668,+1.57098540E+00,,2.2170584884994525e-05,5.163705418719212e-05
31,+4.58770600E-05,1559291105.907,+1.57099160E+00,,2.21707152245345e-05,5.163833497536946e-05
32,+4.59298300E-05,1559291106.1153333,+1.57099660E+00,,2.217091785323111e-05,5.1637822660098524e-05
33,+4.59338300E-05,1559291106.3236668,+1.57099530E+00,,2.217091785323111e-05,5.1639871921182266e-05
34,+4.58710600E-05,1559291106.532,+1.57099660E+00,,2.217103395399781e-05,5.163577339901478e-05
35,+4.58430100E-05,1559291106.7403333,+1.57099780E+00,,2.2171207009857615e-05,5.163705418719212e-05
36,+4.58196200E-05,1559291106.9486668,+1.57099530E+00,,2.2171265060240966e-05,5.163295566502463e-05
37,+4.57956000E-05,1559291107.157,+1.57100520E+00,,2.217146768893757e-05,5.163756650246305e-05
38,+4.58944300E-05,1559291107.3653333,+1.57100650E+00,,2.2171265060240966e-05,5.163577339901478e-05
39,+4.59244700E-05,1559291107.5736668,+1.57101020E+00,,2.2171120481927713e-05,5.1635389162561574e-05
40,+4.58550300E-05,1559291107.782,+1.57101640E+00,,2.2171106243154436e-05,5.163628571428571e-05
41,+4.58991000E-05,1559291107.9903333,+1.57101390E+00,,2.217125082146769e-05,5.16332118226601e-05
42,+4.59011000E-05,1559291108.1986668,+1.57101640E+00,,2.217143921139102e-05,5.163449261083744e-05
43,+4.57668800E-05,1559291108.407,+1.57102140E+00,,2.2171554216867472e-05,5.16403842364532e-05
44,+4.57535200E-05,1559291108.6153333,+1.57102010E+00,,2.2171786418400878e-05,5.1638206896551726e-05
45,+4.57268100E-05,1559291108.8236668,+1.57102880E+00,,2.2171786418400878e-05,5.1644482758620686e-05
46,+4.57501800E-05,1559291109.032,+1.57102630E+00,,2.217190142387733e-05,5.163602955665025e-05
47,+4.57762200E-05,1559291109.2403333,+1.57103000E+00,,2.2172248630887184e-05,5.1631674876847285e-05
48,+4.58937500E-05,1559291109.4486668,+1.57103370E+00,,2.217190142387733e-05,5.163449261083744e-05
49,+4.59124700E-05,1559291109.657,+1.57103870E+00,,2.2172046002190583e-05,5.16339802955665e-05
50,+4.54944000E-05,1559291113.257,+1.57104370E+00,,2.2172262869660457e-05,5.163526108374384e-05
51,+4.49888600E-05,1559291113.4653332,+1.57104860E+00,,2.2172292442497265e-05,5.163756650246305e-05
52,+4.45921700E-05,1559291113.6736667,+1.57105110E+00,,2.217193099671413e-05,5.163218719211823e-05
53,+4.40191800E-05,1559291113.882,+1.57105850E+00,,2.217195947426068e-05,5.16339802955665e-05
54,+4.27369500E-05,1559291114.0903332,+1.57105730E+00,,2.2172118291347208e-05,5.163602955665025e-05
55,+4.39163200E-05,1559291114.2986667,+1.57105980E+00,,2.2172162102957285e-05,5.1638719211822655e-05
56,+4.43343900E-05,1559291114.507,+1.57106720E+00,,2.217236473165389e-05,5.163731034482758e-05
57,+4.50309300E-05,1559291114.7153332,+1.57106850E+00,,2.217253778751369e-05,5.163731034482758e-05
58,+4.54596700E-05,1559291114.9236667,+1.57107590E+00,,2.2172842278203723e-05,5.1634876847290645e-05
