,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.60201000E-05,1559284709.902,+1.57116140E+00,1.2349945235487404e-08,4.932819704433498e-05
1,-2.50458000E-05,1559284710.1103332,+1.57116760E+00,1.234709748083242e-08,4.932115270935961e-05
2,-2.52260000E-05,1559284710.3186667,+1.57116140E+00,1.232683461117196e-08,4.932230541871921e-05
3,-2.50926000E-05,1559284710.527,+1.57116020E+00,1.2322453450164294e-08,4.932333004926108e-05
4,-2.53396000E-05,1559284710.7353332,+1.57116510E+00,1.2349945235487404e-08,4.9319743842364534e-05
5,-2.50925000E-05,1559284710.9436667,+1.57116270E+00,1.2341292442497263e-08,4.9317428571428565e-05
6,-2.50391000E-05,1559284711.152,+1.57116140E+00,1.2312376779846658e-08,4.931947783251232e-05
7,-2.57332000E-05,1559284711.3603332,+1.57115890E+00,1.2345564074479736e-08,4.9319221674876846e-05
8,-2.52260000E-05,1559284711.5686667,+1.57116140E+00,1.233986856516977e-08,4.93215369458128e-05
9,-2.53529000E-05,1559284711.777,+1.57116270E+00,1.2312376779846658e-08,4.9320768472906405e-05
10,-2.53662000E-05,1559284711.9853332,+1.57116140E+00,1.2417853231106243e-08,4.931947783251232e-05
11,-2.53929000E-05,1559284712.1936667,+1.57116390E+00,1.2689704271631983e-08,4.932e-05
12,-2.53461000E-05,1559284712.402,+1.57115890E+00,1.2193756845564075e-08,4.932025615763547e-05
13,-2.52394000E-05,1559284712.6103332,+1.57116270E+00,1.2574041621029572e-08,4.9319743842364534e-05
14,-2.53594000E-05,1559284712.8186667,+1.57116640E+00,1.2331106243154437e-08,4.9322049261083744e-05
15,-2.47522000E-05,1559284713.027,+1.57116020E+00,1.2069441401971523e-08,4.931870935960591e-05
16,-2.56065000E-05,1559284713.2353332,+1.57116510E+00,1.2147535596933188e-08,4.931845320197045e-05
17,-2.58332000E-05,1559284713.4436667,+1.57116140E+00,1.2289266155531216e-08,4.9321793103448276e-05
18,-2.55130000E-05,1559284713.652,+1.57116270E+00,1.2352792990142388e-08,4.932e-05
19,-2.53529000E-05,1559284713.8603332,+1.57116140E+00,1.233263964950712e-08,4.93256354679803e-05
20,-2.53728000E-05,1559284714.0686667,+1.57116270E+00,1.2286308871851041e-08,4.932e-05
21,-2.51260000E-05,1559284714.277,+1.57116270E+00,1.233263964950712e-08,4.9319221674876846e-05
22,-2.54062000E-05,1559284714.4853332,+1.57116140E+00,1.2303723986856517e-08,4.932025615763547e-05
23,-2.59667000E-05,1559284714.6936667,+1.57115890E+00,1.2318181818181819e-08,4.932051231527093e-05
24,-2.52994000E-05,1559284714.902,+1.57116390E+00,1.2323877327491785e-08,4.9319221674876846e-05
25,-2.53127000E-05,1559284718.562,+1.57116390E+00,1.2316648411829135e-08,4.9318197044334975e-05
26,-2.53061000E-05,1559284718.7703333,+1.57116390E+00,1.2323877327491785e-08,4.9320768472906405e-05
27,-2.52595000E-05,1559284718.9786668,+1.57116640E+00,1.2318181818181819e-08,4.93215369458128e-05
28,-2.56664000E-05,1559284719.187,+1.57116640E+00,1.2358598028477546e-08,4.931768472906404e-05
29,-2.58133000E-05,1559284719.3953333,+1.57116140E+00,1.2360021905805038e-08,4.932384236453202e-05
30,-2.51392000E-05,1559284719.6036668,+1.57116020E+00,1.2362979189485214e-08,4.9320768472906405e-05
31,-2.53529000E-05,1559284719.812,+1.57116140E+00,1.2354326396495071e-08,4.931794088669951e-05
32,-2.51126000E-05,1559284720.0203333,+1.57116390E+00,1.2316648411829135e-08,4.932e-05
33,-2.56397000E-05,1559284720.2286668,+1.57116270E+00,1.238893756845564e-08,4.93156354679803e-05
34,-2.54528000E-05,1559284720.437,+1.57116390E+00,1.2357174151150054e-08,4.931794088669951e-05
35,-2.52194000E-05,1559284720.6453333,+1.57116270E+00,1.2354326396495071e-08,4.93203842364532e-05
36,-2.51526000E-05,1559284720.8536668,+1.57116510E+00,1.2345564074479736e-08,4.9317812807881773e-05
37,-2.53929000E-05,1559284721.062,+1.57116270E+00,1.23947426067908e-08,4.9321408866995075e-05
38,-2.51727000E-05,1559284721.2703333,+1.57116390E+00,1.2274808324205914e-08,4.9321793103448276e-05
39,-2.51726000E-05,1559284721.4786668,+1.57116390E+00,1.2362979189485214e-08,4.932e-05
40,-2.53461000E-05,1559284721.687,+1.57116270E+00,1.2349945235487404e-08,4.932230541871921e-05
41,-2.49257000E-05,1559284721.8953333,+1.57116020E+00,1.2345564074479736e-08,4.932281773399015e-05
42,-2.54929000E-05,1559284722.1036668,+1.57116270E+00,1.2334063526834611e-08,4.931947783251232e-05
43,-2.50592000E-05,1559284722.312,+1.57116510E+00,1.2355750273822562e-08,4.9319743842364534e-05
44,-2.56998000E-05,1559284722.5203333,+1.57116390E+00,1.2297918948521359e-08,4.932461083743843e-05
45,-2.49992000E-05,1559284722.7286668,+1.57116510E+00,1.2349945235487404e-08,4.932102463054187e-05
46,-2.54330000E-05,1559284722.937,+1.57116270E+00,1.2391894852135817e-08,4.932230541871921e-05
47,-2.56665000E-05,1559284723.1453333,+1.57116390E+00,1.2313800657174151e-08,4.9321793103448276e-05
48,-2.57199000E-05,1559284723.3536668,+1.57116640E+00,1.2329682365826944e-08,4.9322049261083744e-05
49,-2.54730000E-05,1559284723.562,+1.57116270E+00,1.2334063526834611e-08,4.932333004926108e-05
