,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.32477000E-05,1559292585.167,+1.57097300E+00,,1.2584227820372398e-08,5.153969458128079e-05
1,+3.23202000E-05,1559292585.3753333,+1.57097420E+00,,1.253789704271632e-08,5.1535596059113295e-05
2,+3.32145000E-05,1559292585.5836668,+1.57097670E+00,,2.660684556407448e-07,5.153380295566503e-05
3,+3.23401000E-05,1559292585.792,+1.57097300E+00,,2.1437024096385545e-06,5.153662068965518e-05
4,+3.30341000E-05,1559292586.0003333,+1.57096930E+00,,2.1439207009857613e-06,5.153610837438424e-05
5,+3.26805000E-05,1559292586.2086668,+1.57096560E+00,,2.1653585980284773e-06,5.153841379310345e-05
6,+3.23402000E-05,1559292586.417,+1.57096680E+00,,4.261638663745892e-06,5.154059113300492e-05
7,+3.24603000E-05,1559292586.6253333,+1.57096430E+00,,4.26297765607886e-06,5.1537389162561576e-05
8,+3.28606000E-05,1559292586.8336668,+1.57096430E+00,,4.7520112814895945e-06,5.153969458128079e-05
9,+3.18264000E-05,1559292587.042,+1.57096190E+00,,6.392295837897043e-06,5.1535339901477834e-05
10,+3.24602000E-05,1559292587.2503333,+1.57096190E+00,,6.393407776560789e-06,5.153585221674877e-05
11,+3.24936000E-05,1559292587.4586668,+1.57096310E+00,,6.0749065717415116e-06,5.1535083743842366e-05
12,+3.24870000E-05,1559292587.667,+1.57096560E+00,,8.570413581599123e-06,5.15348275862069e-05
13,+3.18263000E-05,1559292587.8753333,+1.57096810E+00,,8.570513362541073e-06,5.153418719211823e-05
14,+3.16460000E-05,1559292588.0836668,+1.57097050E+00,,8.570720153340637e-06,5.153380295566503e-05
15,+3.26538000E-05,1559292588.292,+1.57097050E+00,,8.570831544359255e-06,5.1533290640394085e-05
16,+3.17862000E-05,1559292588.5003333,+1.57097050E+00,,8.570898028477547e-06,5.1535083743842366e-05
17,+3.19598000E-05,1559292588.7086668,+1.57096930E+00,,8.57105991237678e-06,5.153367487684729e-05
18,+3.09922000E-05,1559292588.917,+1.57097180E+00,,8.57115104052574e-06,5.153610837438424e-05
19,+3.13726000E-05,1559292589.1253333,+1.57096930E+00,,8.571214676889377e-06,5.1533290640394085e-05
20,+3.10656000E-05,1559292589.3336668,+1.57097300E+00,,8.571230558598028e-06,5.1534571428571424e-05
21,+3.26939000E-05,1559292589.542,+1.57096930E+00,,8.571286966046003e-06,5.1535083743842366e-05
22,+3.25804000E-05,1559292589.7503333,+1.57096680E+00,,8.57132026286966e-06,5.1535596059113295e-05
23,+3.15060000E-05,1559292589.9586668,+1.57096930E+00,,8.571412814895946e-06,5.153431527093596e-05
24,+3.18129000E-05,1559292590.167,+1.57097420E+00,,8.571512595837897e-06,5.153866995073892e-05
25,+3.17729000E-05,1559292593.83,+1.57096930E+00,,8.878722343921139e-06,5.1537004926108374e-05
26,+3.26072000E-05,1559292594.0383332,+1.57097180E+00,,1.0735079846659366e-05,5.1536364532019705e-05
27,+3.21333000E-05,1559292594.2466667,+1.57097050E+00,,1.073541960569551e-05,5.153866995073892e-05
28,+3.19265000E-05,1559292594.455,+1.57097300E+00,,1.108034939759036e-05,5.153764532019705e-05
29,+3.15060000E-05,1559292594.6633332,+1.57096930E+00,,1.2833895947426068e-05,5.1533034482758624e-05
30,+3.22734000E-05,1559292594.8716667,+1.57096560E+00,,1.2834277108433735e-05,5.153764532019705e-05
31,+3.16862000E-05,1559292595.08,+1.57096560E+00,,1.1429116100766703e-05,5.1536364532019705e-05
