,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.53528000E-05,1559281805.046,+1.57115270E+00,1.332880613362541e-08,4.959208866995074e-05
1,-2.59133000E-05,1559281805.2543333,+1.57114780E+00,1.335629791894852e-08,4.9587990147783254e-05
2,-2.45587000E-05,1559281805.4626667,+1.57115400E+00,2.1463196056955093e-06,4.958875862068966e-05
3,-2.67410000E-05,1559281805.671,+1.57115030E+00,2.1473072289156627e-06,4.9589527093596054e-05
4,-2.59868000E-05,1559281805.8793333,+1.57115400E+00,2.1474460021905805e-06,4.959144827586207e-05
5,-2.61604000E-05,1559281806.0876667,+1.57115400E+00,4.276049069003286e-06,4.9590679802955665e-05
6,-2.60269000E-05,1559281806.296,+1.57115150E+00,4.27661730558598e-06,4.958645320197044e-05
7,-2.63673000E-05,1559281806.5043333,+1.57115270E+00,4.276921029572837e-06,4.9591704433497536e-05
8,-2.64939000E-05,1559281806.7126667,+1.57115030E+00,6.409481161007667e-06,4.959208866995074e-05
9,-2.65673000E-05,1559281806.921,+1.57115770E+00,6.411049945235487e-06,4.959183251231527e-05
10,-2.62738000E-05,1559281807.1293333,+1.57115400E+00,6.411553231106243e-06,4.95904236453202e-05
11,-2.54597000E-05,1559281807.3376667,+1.57115400E+00,8.578398247535596e-06,4.958888669950739e-05
12,-2.61869000E-05,1559281807.546,+1.57115270E+00,8.577498795180723e-06,4.958888669950739e-05
13,-2.66542000E-05,1559281807.7543333,+1.57115270E+00,8.577676670317634e-06,4.95908078817734e-05
14,-2.67410000E-05,1559281807.9626667,+1.57115150E+00,1.0741728368017526e-05,4.9593891625615765e-05
15,-2.65006000E-05,1559281808.171,+1.57115030E+00,1.0742406462212486e-05,4.958850246305418e-05
16,-2.62404000E-05,1559281808.3793333,+1.57115400E+00,1.0742623439211392e-05,4.958683743842365e-05
17,-2.67210000E-05,1559281808.5876667,+1.57115150E+00,1.0742730339539979e-05,4.958747783251231e-05
18,-2.76553000E-05,1559281808.796,+1.57115520E+00,1.0742860569550931e-05,4.959260098522168e-05
19,-2.61802000E-05,1559281809.0043333,+1.57115400E+00,1.0742951588170864e-05,4.95904236453202e-05
20,-2.65074000E-05,1559281809.2126667,+1.57115030E+00,1.0742958817086528e-05,4.9589527093596054e-05
21,-2.70480000E-05,1559281809.421,+1.57115150E+00,1.0742944359255203e-05,4.9590039408866996e-05
22,-2.66408000E-05,1559281809.6293333,+1.57115030E+00,1.0742984884994524e-05,4.9590551724137925e-05
23,-2.67810000E-05,1559281809.8376667,+1.57115150E+00,1.0743107776560788e-05,4.95911921182266e-05
24,-2.69078000E-05,1559281810.046,+1.57116020E+00,1.0743224863088719e-05,4.9592344827586206e-05
25,-2.74550000E-05,1559281813.929,+1.57115150E+00,1.0827889156626507e-05,4.959106403940887e-05
26,-2.63805000E-05,1559281814.1373332,+1.57115270E+00,1.2841962760131434e-05,4.95908078817734e-05
27,-2.76486000E-05,1559281814.3456666,+1.57115150E+00,1.2842495071193867e-05,4.9590679802955665e-05
28,-2.75618000E-05,1559281814.554,+1.57114780E+00,1.1897541073384447e-05,4.9590295566502464e-05
29,-2.67877000E-05,1559281814.7623332,+1.57115270E+00,1.4968393209200438e-05,4.959427586206897e-05
30,-2.69878000E-05,1559281814.9706666,+1.57115150E+00,1.4968220153340636e-05,4.958991133004926e-05
31,-2.71280000E-05,1559281815.179,+1.57115270E+00,1.571279518072289e-05,4.958927093596059e-05
32,-2.71748000E-05,1559281815.3873332,+1.57115270E+00,1.7162484118291346e-05,4.958709359605911e-05
33,-2.74883000E-05,1559281815.5956666,+1.57115150E+00,1.7162773274917852e-05,4.958850246305418e-05
34,-2.71680000E-05,1559281815.804,+1.57115030E+00,1.8067499452354872e-05,4.959183251231527e-05
35,-2.71480000E-05,1559281816.0123332,+1.57115520E+00,1.9257168674698797e-05,4.959016748768473e-05
36,-2.75752000E-05,1559281816.2206666,+1.57115030E+00,1.9257559693318732e-05,4.959349753694581e-05
37,-2.80757000E-05,1559281816.429,+1.57115400E+00,2.022574808324206e-05,4.95911921182266e-05
38,-2.65407000E-05,1559281816.6373332,+1.57115400E+00,2.1353404162102955e-05,4.959285714285714e-05
39,-2.76418000E-05,1559281816.8456666,+1.57115400E+00,2.135376560788609e-05,4.958850246305418e-05
40,-2.66475000E-05,1559281817.054,+1.57115030E+00,2.1354271631982477e-05,4.9589014778325125e-05
41,-2.78286000E-05,1559281817.2623332,+1.57115270E+00,2.1355140197152246e-05,4.9590295566502464e-05
42,-2.85028000E-05,1559281817.4706666,+1.57115030E+00,2.13553713033954e-05,4.9589655172413794e-05
43,-2.76753000E-05,1559281817.679,+1.57115520E+00,2.1355110624315445e-05,4.9591960591133004e-05
44,-2.71814000E-05,1559281817.8873332,+1.57115150E+00,2.1355226725082147e-05,4.9591320197044335e-05
45,-2.78554000E-05,1559281818.0956666,+1.57115270E+00,2.135577656078861e-05,4.958978325123153e-05
46,-2.73683000E-05,1559281818.304,+1.57115270E+00,2.1355544359255204e-05,4.9590551724137925e-05
47,-2.77153000E-05,1559281818.5123332,+1.57115270E+00,2.1356094194961666e-05,4.959208866995074e-05
48,-2.78221000E-05,1559281818.7206666,+1.57115520E+00,2.1356210295728368e-05,4.959311330049261e-05
49,-2.79355000E-05,1559281818.929,+1.57115150E+00,2.135678860898138e-05,4.959221674876847e-05
50,-2.82225000E-05,1559281822.508,+1.57115030E+00,2.172803504928806e-05,4.9590551724137925e-05
51,-2.80890000E-05,1559281822.7163332,+1.57115270E+00,2.3548438116100767e-05,4.9592729064039414e-05
52,-2.82091000E-05,1559281822.9246666,+1.57115270E+00,2.3549060240963853e-05,4.959285714285714e-05
53,-2.79289000E-05,1559281823.133,+1.57115400E+00,2.396373165388828e-05,4.9590295566502464e-05
54,-2.80288000E-05,1559281823.3413332,+1.57114900E+00,2.5643531215772178e-05,4.9589527093596054e-05
55,-2.82157000E-05,1559281823.5496666,+1.57114780E+00,2.5644514786418402e-05,4.9588246305418715e-05
56,-2.87164000E-05,1559281823.758,+1.57115400E+00,2.787426615553122e-05,4.959311330049261e-05
57,-2.79155000E-05,1559281823.9663332,+1.57115270E+00,2.786140635268346e-05,4.958939901477832e-05
58,-2.84626000E-05,1559281824.1746666,+1.57114780E+00,2.7861088718510406e-05,4.9590295566502464e-05
59,-2.87564000E-05,1559281824.383,+1.57115270E+00,3.003983570646221e-05,4.959106403940887e-05
60,-2.64406000E-05,1559281824.5913332,+1.57115400E+00,3.0039950711938663e-05,4.959260098522168e-05
61,-2.86429000E-05,1559281824.7996666,+1.57115270E+00,3.0040819277108432e-05,4.959183251231527e-05
62,-2.85295000E-05,1559281825.008,+1.57115270E+00,3.215517634173056e-05,4.9585300492610836e-05
63,-2.83893000E-05,1559281825.2163332,+1.57115150E+00,3.2156101861993424e-05,4.959349753694581e-05
64,-2.84026000E-05,1559281825.4246666,+1.57115520E+00,3.215691237677984e-05,4.9589655172413794e-05
65,-2.85828000E-05,1559281825.633,+1.57114900E+00,3.2156940854326395e-05,4.959208866995074e-05
66,-2.88364000E-05,1559281825.8413332,+1.57115400E+00,3.215684008762322e-05,4.958927093596059e-05
67,-2.88164000E-05,1559281826.0496666,+1.57115150E+00,3.2157548740416215e-05,4.9592985221674875e-05
68,-2.90967000E-05,1559281826.258,+1.57115270E+00,3.215780941949617e-05,4.9589014778325125e-05
69,-2.85761000E-05,1559281826.4663332,+1.57115400E+00,3.2158492880613364e-05,4.95911921182266e-05
70,-2.89633000E-05,1559281826.6746666,+1.57115400E+00,3.2158159912376776e-05,4.959157635467981e-05
71,-2.89097000E-05,1559281826.883,+1.57115400E+00,3.215853669222344e-05,4.9594532019704434e-05
72,-2.85762000E-05,1559281827.0913332,+1.57114900E+00,3.2158261774370206e-05,4.959311330049261e-05
73,-2.87563000E-05,1559281827.2996666,+1.57115030E+00,3.2158579408543265e-05,4.95911921182266e-05
74,-2.90099000E-05,1559281827.508,+1.57115150E+00,3.215921686746988e-05,4.959247290640394e-05
75,-2.90967000E-05,1559281831.229,+1.57115400E+00,3.343916648411829e-05,4.95908078817734e-05
76,-2.92636000E-05,1559281831.4373333,+1.57115150E+00,3.424765060240964e-05,4.958747783251231e-05
77,-2.91368000E-05,1559281831.6456668,+1.57115150E+00,3.4248288061336254e-05,4.958978325123153e-05
78,-3.29072000E-05,1559281831.854,+1.57115270E+00,3.564697480832421e-05,4.9590039408866996e-05
