,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.59926200E-05,1559291737.454,+1.57095570E+00,,1.343012048192771e-08,5.1600029556650246e-05
1,+4.58784400E-05,1559291737.6623333,+1.57096060E+00,,1.3138006571741512e-08,5.1595034482758625e-05
2,+4.58644100E-05,1559291737.8706667,+1.57095940E+00,,2.0449638554216866e-07,5.1593241379310344e-05
3,+4.58864400E-05,1559291738.079,+1.57096190E+00,,2.13981708652793e-06,5.159785221674877e-05
4,+4.57949500E-05,1559291738.2873333,+1.57096310E+00,,2.140190142387733e-06,5.1596699507389165e-05
5,+4.58256600E-05,1559291738.4956667,+1.57096560E+00,,2.1459002190580503e-06,5.159349753694581e-05
6,+4.57889400E-05,1559291738.704,+1.57096560E+00,,4.276853012048193e-06,5.1594266009852215e-05
7,+4.57742500E-05,1559291738.9123333,+1.57096680E+00,,4.277150930996714e-06,5.1595674876847294e-05
8,+4.58250100E-05,1559291739.1206667,+1.57096930E+00,,4.715482037239869e-06,5.160015763546798e-05
9,+4.57982900E-05,1559291739.329,+1.57097180E+00,,6.411813472070099e-06,5.1597596059113296e-05
10,+4.58283400E-05,1559291739.5373333,+1.57097050E+00,,6.4122067907995615e-06,5.159541871921182e-05
11,+4.58503900E-05,1559291739.7456667,+1.57097550E+00,,6.048496056955093e-06,5.159516256157635e-05
12,+4.58123200E-05,1559291739.954,+1.57098040E+00,,8.569833844468784e-06,5.1595546798029554e-05
13,+4.58704100E-05,1559291740.1623333,+1.57097550E+00,,8.570161993428258e-06,5.159746798029556e-05
14,+4.58083200E-05,1559291740.3706667,+1.57097420E+00,,8.57048587075575e-06,5.160207881773399e-05
15,+4.57448700E-05,1559291740.579,+1.57097300E+00,,8.570766484118293e-06,5.1597980295566504e-05
16,+4.57622300E-05,1559291740.7873333,+1.57097300E+00,,8.571006462212487e-06,5.159849261083744e-05
17,+4.57375100E-05,1559291740.9956667,+1.57097420E+00,,8.57105991237678e-06,5.159823645320197e-05
18,+4.57729100E-05,1559291741.204,+1.57097180E+00,,8.57136648411829e-06,5.160413793103448e-05
19,+4.57275000E-05,1559291741.4123333,+1.57097180E+00,,8.571514019715225e-06,5.160169458128079e-05
20,+4.57695800E-05,1559291741.6206667,+1.57096810E+00,,8.571621029572838e-06,5.160143842364532e-05
21,+4.57201500E-05,1559291741.829,+1.57096810E+00,,8.57171204819277e-06,5.160143842364532e-05
22,+4.57281800E-05,1559291742.0373333,+1.57097180E+00,,8.57180317634173e-06,5.159580295566503e-05
23,+4.57248200E-05,1559291742.2456667,+1.57097300E+00,,8.571806133625412e-06,5.159285714285714e-05
24,+4.57134700E-05,1559291742.454,+1.57097670E+00,,8.571895728368019e-06,5.159593103448276e-05
25,+4.57769200E-05,1559291746.116,+1.57097420E+00,,8.84470613362541e-06,5.159183251231527e-05
26,+4.57962900E-05,1559291746.3243332,+1.57096930E+00,,1.0735879408543263e-05,5.159490640394089e-05
27,+4.57882700E-05,1559291746.5326667,+1.57096930E+00,,1.0736116538882804e-05,5.159349753694581e-05
28,+4.57381900E-05,1559291746.741,+1.57096930E+00,,1.1186725082146769e-05,5.159695566502463e-05
29,+4.57755800E-05,1559291746.9493332,+1.57097180E+00,,1.2834730558598028e-05,5.159823645320197e-05
30,+4.57088100E-05,1559291747.1576667,+1.57096430E+00,,1.2835123767798466e-05,5.159644334975369e-05
31,+4.57789200E-05,1559291747.366,+1.57096430E+00,,1.1280230010952903e-05,5.159541871921182e-05
32,+4.57742500E-05,1559291747.5743332,+1.57096430E+00,,1.4916082146768894e-05,5.1595034482758625e-05
33,+4.57395200E-05,1559291747.7826667,+1.57096310E+00,,1.492007447973713e-05,5.159541871921182e-05
34,+4.56907700E-05,1559291747.991,+1.57095940E+00,,1.603986308871851e-05,5.1597596059113296e-05
35,+4.56680500E-05,1559291748.1993332,+1.57096060E+00,,1.7113271631982475e-05,5.159644334975369e-05
36,+4.56867700E-05,1559291748.4076667,+1.57096560E+00,,1.7114515881708655e-05,5.159695566502463e-05
37,+4.56687300E-05,1559291748.616,+1.57097050E+00,,1.836650383351588e-05,5.15972118226601e-05
38,+4.56527100E-05,1559291748.8243332,+1.57097180E+00,,1.9205743702081052e-05,5.159708374384237e-05
39,+4.56527100E-05,1559291749.0326667,+1.57097300E+00,,1.9207305585980285e-05,5.159593103448276e-05
40,+4.56253200E-05,1559291749.241,+1.57097670E+00,,1.920852135815991e-05,5.1595034482758625e-05
41,+4.56440200E-05,1559291749.4493332,+1.57097550E+00,,1.9210025191675796e-05,5.159644334975369e-05
