,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.58370000E-05,1559292257.026,+1.57087630E+00,,1.2646330777656079e-08,5.156800985221675e-05
1,+3.54032000E-05,1559292257.2343333,+1.57087380E+00,,1.2670974808324206e-08,5.1566857142857146e-05
2,+3.59506000E-05,1559292257.4426668,+1.57087260E+00,,2.8007546549835704e-07,5.156877832512315e-05
3,+3.60173000E-05,1559292257.651,+1.57087140E+00,,2.1456515881708654e-06,5.157005911330049e-05
4,+3.56236000E-05,1559292257.8593333,+1.57087140E+00,,2.1458857612267253e-06,5.156352709359606e-05
5,+3.57570000E-05,1559292258.0676668,+1.57087260E+00,,2.1546946330777655e-06,5.156608866995074e-05
6,+3.57905000E-05,1559292258.276,+1.57087380E+00,,4.278332311062432e-06,5.1567369458128075e-05
7,+3.54367000E-05,1559292258.4843333,+1.57087260E+00,,4.278806571741512e-06,5.156800985221675e-05
8,+3.54834000E-05,1559292258.6926668,+1.57086890E+00,,4.781666484118292e-06,5.156532019704433e-05
9,+3.59172000E-05,1559292258.901,+1.57087510E+00,,6.414581051478642e-06,5.156698522167488e-05
10,+3.56102000E-05,1559292259.1093333,+1.57087260E+00,,6.4151940854326395e-06,5.156800985221675e-05
11,+3.50562000E-05,1559292259.3176668,+1.57087260E+00,,6.104339539978094e-06,5.156429556650246e-05
12,+3.52098000E-05,1559292259.526,+1.57087380E+00,,8.571626834611172e-06,5.157005911330049e-05
13,+3.55969000E-05,1559292259.7343333,+1.57087140E+00,,8.571710624315444e-06,5.1568650246305414e-05
14,+3.55702000E-05,1559292259.9426668,+1.57087380E+00,,9.320767031763417e-06,5.1567369458128075e-05
15,+3.52364000E-05,1559292260.151,+1.57087630E+00,,1.0735769550930996e-05,5.156647290640394e-05
16,+3.60573000E-05,1559292260.3593333,+1.57087260E+00,,1.0736067360350493e-05,5.15715960591133e-05
17,+3.56902000E-05,1559292260.5676668,+1.57087140E+00,,1.073627995618839e-05,5.1567369458128075e-05
18,+3.56969000E-05,1559292260.776,+1.57087010E+00,,1.0736462102957284e-05,5.156852216748768e-05
19,+3.61708000E-05,1559292260.9843333,+1.57087510E+00,,1.0736551807228915e-05,5.1571083743842364e-05
20,+3.59305000E-05,1559292261.1926668,+1.57087880E+00,,1.073666604600219e-05,5.156954679802956e-05
21,+3.54700000E-05,1559292261.401,+1.57087010E+00,,1.073687426067908e-05,5.1566857142857146e-05
22,+3.62042000E-05,1559292261.6093333,+1.57087260E+00,,1.0736843921139102e-05,5.157133990147783e-05
23,+3.50364000E-05,1559292261.8176668,+1.57087510E+00,,1.0737001533406352e-05,5.157082758620689e-05
24,+3.47026000E-05,1559292262.026,+1.57088130E+00,,1.0737112814895947e-05,5.1569162561576356e-05
25,+3.59372000E-05,1559292265.689,+1.57088380E+00,,1.103677108433735e-05,5.156749753694581e-05
26,+3.62642000E-05,1559292265.8973331,+1.57088620E+00,,1.283564074479737e-05,5.1571852216748774e-05
27,+3.57704000E-05,1559292266.1056666,+1.57088620E+00,,1.2836040525739322e-05,5.156749753694581e-05
28,+3.61574000E-05,1559292266.314,+1.57088750E+00,,1.1345934282584884e-05,5.157018719211823e-05
