,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+4.64046500E-05,1559293373.464,+1.57710280E+00,,1.2756297918948522e-08,5.147987192118227e-05
1,+4.63599000E-05,1559293373.6723332,+1.57710030E+00,,1.272157721796276e-08,5.147935960591133e-05
2,+4.63759400E-05,1559293373.8806667,+1.57710150E+00,,2.1433235487404162e-06,5.148115270935961e-05
3,+4.64500800E-05,1559293374.089,+1.57710280E+00,,2.143835377875137e-06,5.147974384236453e-05
4,+4.65555800E-05,1559293374.2973332,+1.57710650E+00,,2.1439192771084336e-06,5.148333004926108e-05
5,+4.64400500E-05,1559293374.5056667,+1.57710770E+00,,4.281007228915663e-06,5.147692610837439e-05
6,+4.64587500E-05,1559293374.714,+1.57710520E+00,,4.281276232201533e-06,5.147974384236453e-05
7,+4.64654300E-05,1559293374.9223332,+1.57711270E+00,,4.2814179627601315e-06,5.148e-05
8,+4.65362200E-05,1559293375.1306667,+1.57710520E+00,,6.417511938663746e-06,5.1484098522167486e-05
9,+4.64754400E-05,1559293375.339,+1.57710400E+00,,6.418203176341731e-06,5.1478719211822656e-05
10,+4.63225200E-05,1559293375.5473332,+1.57710280E+00,,6.418489485213581e-06,5.147859113300492e-05
11,+4.64353700E-05,1559293375.7556667,+1.57710280E+00,,8.572435049288061e-06,5.148025615763547e-05
12,+4.64353700E-05,1559293375.964,+1.57710650E+00,,8.572310733844468e-06,5.148128078817734e-05
13,+4.63732600E-05,1559293376.1723332,+1.57710520E+00,,8.572555093099672e-06,5.1479615763546793e-05
14,+4.64861300E-05,1559293376.3806667,+1.57710650E+00,,8.572680832420593e-06,5.147987192118227e-05
15,+4.63686000E-05,1559293376.589,+1.57710520E+00,,8.572811062431545e-06,5.147987192118227e-05
16,+4.65095100E-05,1559293376.7973332,+1.57710650E+00,,8.572952683461118e-06,5.148115270935961e-05
17,+4.64701100E-05,1559293377.0056667,+1.57709660E+00,,8.573043811610077e-06,5.148089655172414e-05
18,+4.65896400E-05,1559293377.214,+1.57710030E+00,,8.573205805038334e-06,5.147820689655173e-05
19,+4.65061700E-05,1559293377.4223332,+1.57710030E+00,,8.5733286966046e-06,5.148089655172414e-05
20,+4.64727800E-05,1559293377.6306667,+1.57710150E+00,,8.573492113910185e-06,5.147820689655173e-05
21,+4.64113400E-05,1559293377.839,+1.57710030E+00,,8.573419824753558e-06,5.1479103448275865e-05
22,+4.64988200E-05,1559293378.0473332,+1.57710150E+00,,8.57348335158817e-06,5.147935960591133e-05
23,+4.65749600E-05,1559293378.2556667,+1.57710650E+00,,8.573597590361446e-06,5.147743842364532e-05
24,+4.65362200E-05,1559293378.464,+1.57710520E+00,,8.573743702081053e-06,5.147820689655173e-05
25,+4.65722900E-05,1559293382.349,+1.57711020E+00,,8.57369156626506e-06,5.1476029556650245e-05
26,+4.66317100E-05,1559293382.5573332,+1.57710900E+00,,1.0737981818181817e-05,5.1479615763546793e-05
27,+4.65295400E-05,1559293382.7656667,+1.57711020E+00,,1.0738140854326396e-05,5.14792315270936e-05
28,+4.65335400E-05,1559293382.974,+1.57710770E+00,,1.0869375246440307e-05,5.147948768472906e-05
29,+4.65242000E-05,1559293383.1823332,+1.57711270E+00,,1.2837153340635268e-05,5.148435467980295e-05
30,+4.66170200E-05,1559293383.3906667,+1.57710770E+00,,1.2837416210295728e-05,5.1478719211822656e-05
31,+4.65348900E-05,1559293383.599,+1.57711140E+00,,1.1412741511500548e-05,5.1478719211822656e-05
32,+4.63492300E-05,1559293383.8073332,+1.57711140E+00,,1.4991451259583789e-05,5.147462068965517e-05
33,+4.64186900E-05,1559293384.0156667,+1.57711520E+00,,1.4990844468784228e-05,5.148422660098522e-05
34,+4.63946500E-05,1559293384.224,+1.57711760E+00,,1.5917584884994522e-05,5.147756650246305e-05
35,+4.63499000E-05,1559293384.4323332,+1.57712010E+00,,1.7188912376779845e-05,5.1477310344827584e-05
36,+4.63926300E-05,1559293384.6406667,+1.57711760E+00,,1.7189289156626507e-05,5.147487684729064e-05
37,+4.64313700E-05,1559293384.849,+1.57712260E+00,,1.8131727272727274e-05,5.147948768472906e-05
38,+4.63679200E-05,1559293385.0573332,+1.57712380E+00,,1.9287518072289157e-05,5.147974384236453e-05
39,+4.65168400E-05,1559293385.2656667,+1.57712630E+00,,1.928763307776561e-05,5.147423645320197e-05
40,+4.64914700E-05,1559293385.474,+1.57712380E+00,,1.9287865279299014e-05,5.147756650246305e-05
41,+4.64367200E-05,1559293385.6823332,+1.57712380E+00,,1.9287951807228916e-05,5.14807684729064e-05
42,+4.64353800E-05,1559293385.8906667,+1.57712510E+00,,1.9287807228915663e-05,5.1480128078817736e-05
43,+4.63158400E-05,1559293386.099,+1.57712380E+00,,1.9288110624315442e-05,5.147859113300492e-05
44,+4.63044800E-05,1559293386.3073332,+1.57711890E+00,,1.9287907995618838e-05,5.147935960591133e-05
45,+4.62931300E-05,1559293386.5156667,+1.57711640E+00,,1.9288270536692223e-05,5.147551724137931e-05
46,+4.63358600E-05,1559293386.724,+1.57711890E+00,,1.9288110624315442e-05,5.147654187192118e-05
47,+4.62523900E-05,1559293386.9323332,+1.57711890E+00,,1.928842935377875e-05,5.147948768472906e-05
48,+4.62711000E-05,1559293387.1406667,+1.57711390E+00,,1.9288357064622124e-05,5.1477310344827584e-05
49,+4.62817700E-05,1559293387.349,+1.57711520E+00,,1.9288415115005476e-05,5.1480128078817736e-05
50,+4.63973000E-05,1559293390.927,+1.57711270E+00,,1.9586409638554216e-05,5.147820689655173e-05
51,+4.65489100E-05,1559293391.1353333,+1.57711140E+00,,2.1388309967141292e-05,5.1478719211822656e-05
52,+4.64714400E-05,1559293391.3436668,+1.57710650E+00,,2.1388599123767798e-05,5.1476029556650245e-05
53,+4.63719300E-05,1559293391.552,+1.57710900E+00,,2.1755968236582694e-05,5.147705418719212e-05
54,+4.64360400E-05,1559293391.7603333,+1.57711020E+00,,2.3583589266155532e-05,5.1478078817733994e-05
55,+4.64460700E-05,1559293391.9686668,+1.57711140E+00,,2.3584081051478642e-05,5.147948768472906e-05
56,+4.64701000E-05,1559293392.177,+1.57711520E+00,,2.412242387732749e-05,5.148166502463055e-05
57,+4.65135200E-05,1559293392.3853333,+1.57711640E+00,,2.568289266155531e-05,5.147859113300492e-05
58,+4.64307100E-05,1559293392.5936668,+1.57711520E+00,,2.5683340635268345e-05,5.147859113300492e-05
